# _root_ Szerinte az egyéves lejáratú hitelek jó részét több év múlva megtérülő vásárlásokra , például alkatrészek és műtrágya beszerzésére fordították a gazdák , ezért e tartozások három-öt éves hitelekké történő átütemezése is szükséges lenne .
#goldHeads=19,5,4,5,7,7,19,9,10,11,12,19,19,19,18,18,18,19,23,21,19,23,0,25,30,29,28,29,30,33,33,33,23,23,
#predictedHeads=19,5,5,5,7,7,19,9,10,11,12,19,19,19,18,19,18,19,23,21,19,19,0,25,30,27,28,29,30,33,33,33,19,19,
(0,1),-2.12057 # DEPENDENCYPART_ARC
(0,16),-3.34854 # DEPENDENCYPART_ARC
(0,19),-1.45164 # DEPENDENCYPART_ARC
(0,23),-0.594453 # DEPENDENCYPART_ARC
(0,33),-2.72776 # DEPENDENCYPART_ARC
(1,3),-0.0161432 # DEPENDENCYPART_ARC
(1,4),0.0246884 # DEPENDENCYPART_ARC
(1,5),-0.20858 # DEPENDENCYPART_ARC
(1,6),-0.231529 # DEPENDENCYPART_ARC
(1,7),-0.80845 # DEPENDENCYPART_ARC
(1,9),-0.648692 # DEPENDENCYPART_ARC
(1,11),-0.232324 # DEPENDENCYPART_ARC
(1,12),-0.662788 # DEPENDENCYPART_ARC
(1,13),0.0561622 # DEPENDENCYPART_ARC
(1,15),-1.56728 # DEPENDENCYPART_ARC
(1,17),-1.20551 # DEPENDENCYPART_ARC
(1,18),-1.23389 # DEPENDENCYPART_ARC
(1,19),-0.795587 # DEPENDENCYPART_ARC
(1,33),-1.51784 # DEPENDENCYPART_ARC
(1,34),0.078246 # DEPENDENCYPART_ARC
(2,3),0.100316 # DEPENDENCYPART_ARC
(2,4),-0.145555 # DEPENDENCYPART_ARC
(3,1),-0.446667 # DEPENDENCYPART_ARC
(3,2),0.255017 # DEPENDENCYPART_ARC
(4,1),-0.468482 # DEPENDENCYPART_ARC
(4,2),-0.209416 # DEPENDENCYPART_ARC
(4,3),1.4989 # DEPENDENCYPART_ARC
(5,2),2.20656 # DEPENDENCYPART_ARC
(5,3),2.95383 # DEPENDENCYPART_ARC
(5,4),3.67299 # DEPENDENCYPART_ARC
(6,3),-0.361317 # DEPENDENCYPART_ARC
(6,4),-0.437644 # DEPENDENCYPART_ARC
(6,5),-0.0383363 # DEPENDENCYPART_ARC
(6,7),-0.268487 # DEPENDENCYPART_ARC
(6,9),-0.350586 # DEPENDENCYPART_ARC
