# _root_ A szponzoroknak és nekünk is szívügyünk az utánpótlás , ezért mindent elkövetünk , hogy a jövőben még több pénzt fordítsunk erre .
#goldHeads=2,4,4,6,6,10,8,6,10,0,12,10,12,12,16,20,19,19,20,12,20,10,
#predictedHeads=2,12,10,12,10,10,8,6,10,0,12,10,12,12,16,20,20,19,20,12,20,10,
(0,2),-2.79498 # DEPENDENCYPART_ARC
(0,3),-2.26816 # DEPENDENCYPART_ARC
(0,4),-2.47678 # DEPENDENCYPART_ARC
(0,5),-2.13458 # DEPENDENCYPART_ARC
(0,6),-2.8781 # DEPENDENCYPART_ARC
(0,10),-1.04358 # DEPENDENCYPART_ARC
(0,12),-1.42931 # DEPENDENCYPART_ARC
(0,14),-2.04018 # DEPENDENCYPART_ARC
(0,20),-2.83791 # DEPENDENCYPART_ARC
(0,21),-3.71068 # DEPENDENCYPART_ARC
(2,1),2.76916 # DEPENDENCYPART_ARC
(2,5),-1.19999 # DEPENDENCYPART_ARC
(3,1),-0.720918 # DEPENDENCYPART_ARC
(3,2),0.189262 # DEPENDENCYPART_ARC
(3,4),-0.455636 # DEPENDENCYPART_ARC
(3,5),-0.392358 # DEPENDENCYPART_ARC
(3,6),-0.770081 # DEPENDENCYPART_ARC
(3,8),-0.738572 # DEPENDENCYPART_ARC
(3,9),-0.754578 # DEPENDENCYPART_ARC
(3,10),-0.665517 # DEPENDENCYPART_ARC
(3,12),-1.19371 # DEPENDENCYPART_ARC
(3,13),-0.692449 # DEPENDENCYPART_ARC
(3,14),-0.554098 # DEPENDENCYPART_ARC
(3,17),-1.47731 # DEPENDENCYPART_ARC
(3,18),-1.49031 # DEPENDENCYPART_ARC
(3,20),-2.02171 # DEPENDENCYPART_ARC
(3,22),1.2879 # DEPENDENCYPART_ARC
(4,2),-0.208254 # DEPENDENCYPART_ARC
(4,3),0.257109 # DEPENDENCYPART_ARC
(4,6),-0.697971 # DEPENDENCYPART_ARC
(4,8),-1.16589 # DEPENDENCYPART_ARC
(4,9),-1.03172 # DEPENDENCYPART_ARC
(4,12),-0.658995 # DEPENDENCYPART_ARC
(4,13),-1.27715 # DEPENDENCYPART_ARC
(4,16),-2.82801 # DEPENDENCYPART_ARC
(4,20),-1.35355 # DEPENDENCYPART_ARC
(4,22),-0.330173 # DEPENDENCYPART_ARC
(5,1),-1.63586 # DEPENDENCYPART_ARC
(5,2),-1.19023 # DEPENDENCYPART_ARC
(5,3),-0.557248 # DEPENDENCYPART_ARC
(5,4),0.0425846 # DEPENDENCYPART_ARC
(5,6),-0.656309 # DEPENDENCYPART_ARC
(5,8),-1.09488 # DEPENDENCYPART_ARC
(5,10),-1.06698 # DEPENDENCYPART_ARC
(5,12),-1.13721 # DEPENDENCYPART_ARC
(5,14),-0.910265 # DEPENDENCYPART_ARC
(5,20),-1.8197 # DEPENDENCYPART_ARC
(5,22),0.701778 # DEPENDENCYPART_ARC
(6,1),0.502452 # DEPENDENCYPART_ARC
(6,2),-2.5424 # DEPENDENCYPART_ARC
(6,3),0.01874 # DEPENDENCYPART_ARC
(6,4),0.246286 # DEPENDENCYPART_ARC
