# _root_ — Mivel a legnagyobb vetélytársunk , Turi_Tamás anyagiak hiánya miatt nem indult , elég volt biztonsági autózással teljesíteni a távot .
#goldHeads=15,15,5,5,12,12,12,9,10,12,12,15,15,15,0,17,18,15,20,18,15,
#predictedHeads=2,15,5,5,9,15,8,9,10,12,12,0,15,15,12,17,18,15,20,18,2,
(0,2),-1.57311 # DEPENDENCYPART_ARC
(0,5),-3.65573 # DEPENDENCYPART_ARC
(0,11),-2.5131 # DEPENDENCYPART_ARC
(0,12),-1.5512 # DEPENDENCYPART_ARC
(0,14),-3.03497 # DEPENDENCYPART_ARC
(0,15),-1.89745 # DEPENDENCYPART_ARC
(0,16),-3.0154 # DEPENDENCYPART_ARC
(0,18),-3.07553 # DEPENDENCYPART_ARC
(2,1),1.09606 # DEPENDENCYPART_ARC
(2,4),-0.243593 # DEPENDENCYPART_ARC
(2,5),-0.370951 # DEPENDENCYPART_ARC
(2,6),-0.397428 # DEPENDENCYPART_ARC
(2,7),-0.656432 # DEPENDENCYPART_ARC
(2,8),-0.75513 # DEPENDENCYPART_ARC
(2,9),-0.689892 # DEPENDENCYPART_ARC
(2,12),0.275744 # DEPENDENCYPART_ARC
(2,13),0.0921419 # DEPENDENCYPART_ARC
(2,14),-0.970341 # DEPENDENCYPART_ARC
(2,15),0.0950515 # DEPENDENCYPART_ARC
(2,16),-0.876363 # DEPENDENCYPART_ARC
(2,17),-1.207 # DEPENDENCYPART_ARC
(2,18),-0.654026 # DEPENDENCYPART_ARC
(2,20),-1.28617 # DEPENDENCYPART_ARC
(2,21),2.1309 # DEPENDENCYPART_ARC
(3,4),-0.0818517 # DEPENDENCYPART_ARC
(4,2),-1.31483 # DEPENDENCYPART_ARC
(4,3),0.783825 # DEPENDENCYPART_ARC
(5,1),-0.857582 # DEPENDENCYPART_ARC
(5,2),-1.44804 # DEPENDENCYPART_ARC
(5,3),2.12335 # DEPENDENCYPART_ARC
(5,4),3.8902 # DEPENDENCYPART_ARC
(5,6),-0.0937515 # DEPENDENCYPART_ARC
(5,7),-1.06539 # DEPENDENCYPART_ARC
(5,8),-0.772705 # DEPENDENCYPART_ARC
(5,9),-0.930386 # DEPENDENCYPART_ARC
(5,10),-0.603979 # DEPENDENCYPART_ARC
(5,12),-1.51554 # DEPENDENCYPART_ARC
(5,15),-1.61074 # DEPENDENCYPART_ARC
(5,18),-1.00423 # DEPENDENCYPART_ARC
(5,21),0.127347 # DEPENDENCYPART_ARC
(7,1),-0.158313 # DEPENDENCYPART_ARC
(7,2),-0.434833 # DEPENDENCYPART_ARC
(7,3),0.574644 # DEPENDENCYPART_ARC
(7,4),0.913585 # DEPENDENCYPART_ARC
(7,5),-0.0998684 # DEPENDENCYPART_ARC
(7,6),0.345036 # DEPENDENCYPART_ARC
(7,8),-0.5806 # DEPENDENCYPART_ARC
(7,9),-0.353817 # DEPENDENCYPART_ARC
(7,10),-0.217467 # DEPENDENCYPART_ARC
(7,14),-1.45951 # DEPENDENCYPART_ARC
(7,18),-0.724226 # DEPENDENCYPART_ARC
(8,1),-0.045243 # DEPENDENCYPART_ARC
(8,2),-0.399521 # DEPENDENCYPART_ARC
(8,3),1.20884 # DEPENDENCYPART_ARC
(8,4),1.68596 # DEPENDENCYPART_ARC
(8,5),-0.607058 # DEPENDENCYPART_ARC
(8,6),0.59842 # DEPENDENCYPART_ARC
(8,7),2.91945 # DEPENDENCYPART_ARC
(8,9),-1.13937 # DEPENDENCYPART_ARC
(8,10),-0.37423 # DEPENDENCYPART_ARC
(9,1),-0.343047 # DEPENDENCYPART_ARC
(9,2),-0.586958 # DEPENDENCYPART_ARC
(9,3),-0.224328 # DEPENDENCYPART_ARC
(9,4),0.994412 # DEPENDENCYPART_ARC
(9,5),1.17158 # DEPENDENCYPART_ARC
(9,6),0.680345 # DEPENDENCYPART_ARC
(9,7),2.51562 # DEPENDENCYPART_ARC
(9,8),3.60289 # DEPENDENCYPART_ARC
(9,13),-0.485987 # DEPENDENCYPART_ARC
(9,14),-1.46274 # DEPENDENCYPART_ARC
(9,18),-0.72815 # DEPENDENCYPART_ARC
(9,20),-2.94672 # DEPENDENCYPART_ARC
(9,21),0.135655 # DEPENDENCYPART_ARC
(10,1),-0.577303 # DEPENDENCYPART_ARC
(10,4),-0.714257 # DEPENDENCYPART_ARC
