# _root_ Éppen ezért a Simi_Kft.-vel szembeni kartell megalakítására hívja föl a vidéki csapatokat , a Nyíregyházát , a Pécset és a Százhalombattát .
#goldHeads=8,8,4,5,6,7,8,0,8,12,12,8,8,15,19,19,18,19,8,21,19,8,
#predictedHeads=8,8,4,5,6,7,8,0,8,12,12,8,8,15,8,8,18,19,8,21,19,8,
(0,1),-1.85747 # DEPENDENCYPART_ARC
(0,2),-1.84886 # DEPENDENCYPART_ARC
(0,4),-2.82935 # DEPENDENCYPART_ARC
(0,6),-3.36351 # DEPENDENCYPART_ARC
(0,7),-3.59526 # DEPENDENCYPART_ARC
(0,8),-0.904396 # DEPENDENCYPART_ARC
(0,9),-2.64002 # DEPENDENCYPART_ARC
(0,18),-4.71943 # DEPENDENCYPART_ARC
(0,19),-1.99715 # DEPENDENCYPART_ARC
(0,21),-4.93062 # DEPENDENCYPART_ARC
(1,4),-0.758409 # DEPENDENCYPART_ARC
(1,5),-0.332634 # DEPENDENCYPART_ARC
(1,6),-0.863723 # DEPENDENCYPART_ARC
(1,7),-1.17079 # DEPENDENCYPART_ARC
(1,8),-0.549754 # DEPENDENCYPART_ARC
(1,12),-1.5349 # DEPENDENCYPART_ARC
(1,13),-0.584676 # DEPENDENCYPART_ARC
(1,16),-0.671749 # DEPENDENCYPART_ARC
(1,19),-0.965414 # DEPENDENCYPART_ARC
(1,22),0.459764 # DEPENDENCYPART_ARC
(2,1),0.895022 # DEPENDENCYPART_ARC
(2,4),0.05978 # DEPENDENCYPART_ARC
(2,5),-0.0637152 # DEPENDENCYPART_ARC
(2,6),-0.227707 # DEPENDENCYPART_ARC
(2,7),-0.245743 # DEPENDENCYPART_ARC
(2,8),0.23261 # DEPENDENCYPART_ARC
(2,12),-0.817087 # DEPENDENCYPART_ARC
(2,13),0.168817 # DEPENDENCYPART_ARC
(2,22),2.31568 # DEPENDENCYPART_ARC
(3,4),-0.138737 # DEPENDENCYPART_ARC
(3,5),-0.22105 # DEPENDENCYPART_ARC
(4,1),-1.08014 # DEPENDENCYPART_ARC
(4,3),2.17117 # DEPENDENCYPART_ARC
(4,6),-0.770289 # DEPENDENCYPART_ARC
(4,7),-1.57778 # DEPENDENCYPART_ARC
(4,8),-1.16413 # DEPENDENCYPART_ARC
(4,12),-1.75888 # DEPENDENCYPART_ARC
(4,15),-2.38823 # DEPENDENCYPART_ARC
(4,16),-0.723249 # DEPENDENCYPART_ARC
(4,18),-2.72948 # DEPENDENCYPART_ARC
(5,1),0.264425 # DEPENDENCYPART_ARC
(5,2),0.393903 # DEPENDENCYPART_ARC
(5,3),0.440013 # DEPENDENCYPART_ARC
(5,4),2.76131 # DEPENDENCYPART_ARC
(5,8),-0.937837 # DEPENDENCYPART_ARC
(5,12),-2.27615 # DEPENDENCYPART_ARC
(5,19),-1.2077 # DEPENDENCYPART_ARC
(5,22),-0.0618191 # DEPENDENCYPART_ARC
(6,1),-0.160194 # DEPENDENCYPART_ARC
(6,2),-0.192323 # DEPENDENCYPART_ARC
(6,3),1.68396 # DEPENDENCYPART_ARC
(6,4),1.0252 # DEPENDENCYPART_ARC
(6,5),3.41311 # DEPENDENCYPART_ARC
(6,7),-1.12788 # DEPENDENCYPART_ARC
(6,8),-0.662202 # DEPENDENCYPART_ARC
(6,12),-2.12251 # DEPENDENCYPART_ARC
(6,15),-2.33382 # DEPENDENCYPART_ARC
(7,1),-0.0440663 # DEPENDENCYPART_ARC
(7,2),0.0436571 # DEPENDENCYPART_ARC
(7,3),-0.161649 # DEPENDENCYPART_ARC
(7,4),-1.2364 # DEPENDENCYPART_ARC
(7,5),1.61764 # DEPENDENCYPART_ARC
(7,6),4.00961 # DEPENDENCYPART_ARC
(7,8),-1.71717 # DEPENDENCYPART_ARC
