# _root_ Egyelőre az autó nem saját tulajdon , egy cseh cégtől bérlik , akik a szervizszerelőket és a programozó mérnököt is adják .
#goldHeads=4,3,4,0,6,4,4,10,10,11,4,11,21,15,21,21,19,19,21,21,11,4,
#predictedHeads=11,3,1,11,6,11,11,10,10,11,0,11,21,15,21,21,19,19,21,21,11,11,
(0,1),-2.01814 # DEPENDENCYPART_ARC
(0,3),-2.99071 # DEPENDENCYPART_ARC
(0,4),-2.34053 # DEPENDENCYPART_ARC
(0,6),-3.44406 # DEPENDENCYPART_ARC
(0,11),-1.81566 # DEPENDENCYPART_ARC
(0,16),-2.39189 # DEPENDENCYPART_ARC
(0,20),-3.70774 # DEPENDENCYPART_ARC
(0,21),-2.40697 # DEPENDENCYPART_ARC
(1,3),0.253392 # DEPENDENCYPART_ARC
(1,6),0.0356763 # DEPENDENCYPART_ARC
(1,7),0.297786 # DEPENDENCYPART_ARC
(1,10),-0.558151 # DEPENDENCYPART_ARC
(1,11),0.397041 # DEPENDENCYPART_ARC
(1,12),0.153429 # DEPENDENCYPART_ARC
(1,15),-1.47218 # DEPENDENCYPART_ARC
(1,16),-0.119882 # DEPENDENCYPART_ARC
(1,19),-1.43085 # DEPENDENCYPART_ARC
(1,20),-1.29768 # DEPENDENCYPART_ARC
(1,21),-0.237101 # DEPENDENCYPART_ARC
(1,22),1.26215 # DEPENDENCYPART_ARC
(2,6),-1.08188 # DEPENDENCYPART_ARC
(3,1),-0.836618 # DEPENDENCYPART_ARC
(3,2),2.65248 # DEPENDENCYPART_ARC
(3,6),-0.830788 # DEPENDENCYPART_ARC
(3,7),-0.111164 # DEPENDENCYPART_ARC
(3,11),-0.407861 # DEPENDENCYPART_ARC
(3,21),-1.18153 # DEPENDENCYPART_ARC
(3,22),0.524442 # DEPENDENCYPART_ARC
(4,1),0.254067 # DEPENDENCYPART_ARC
(4,3),0.0353381 # DEPENDENCYPART_ARC
(4,6),0.10381 # DEPENDENCYPART_ARC
(4,7),-0.0215934 # DEPENDENCYPART_ARC
(4,10),-0.937172 # DEPENDENCYPART_ARC
(4,11),-0.288344 # DEPENDENCYPART_ARC
(4,12),-0.190255 # DEPENDENCYPART_ARC
(4,16),0.00342608 # DEPENDENCYPART_ARC
(4,21),-1.19366 # DEPENDENCYPART_ARC
(4,22),0.607183 # DEPENDENCYPART_ARC
(6,1),-0.592961 # DEPENDENCYPART_ARC
(6,2),0.910986 # DEPENDENCYPART_ARC
(6,3),-0.771039 # DEPENDENCYPART_ARC
(6,4),0.500662 # DEPENDENCYPART_ARC
(6,5),2.85198 # DEPENDENCYPART_ARC
(6,7),0.145475 # DEPENDENCYPART_ARC
(6,9),-0.826795 # DEPENDENCYPART_ARC
(6,10),-0.652806 # DEPENDENCYPART_ARC
(6,11),-0.0424296 # DEPENDENCYPART_ARC
(6,12),-0.108666 # DEPENDENCYPART_ARC
(6,15),-2.29231 # DEPENDENCYPART_ARC
(6,19),-2.27559 # DEPENDENCYPART_ARC
(6,20),-1.4679 # DEPENDENCYPART_ARC
(6,21),-0.91717 # DEPENDENCYPART_ARC
(6,22),0.878274 # DEPENDENCYPART_ARC
(8,9),0.428417 # DEPENDENCYPART_ARC
(9,1),-1.94734 # DEPENDENCYPART_ARC
(9,3),-2.45594 # DEPENDENCYPART_ARC
(9,4),-1.36498 # DEPENDENCYPART_ARC
(9,6),-2.35543 # DEPENDENCYPART_ARC
