# _root_ Még inkább meglepődtek a vizsgálódók azon , hogy az idősek és fiatalok értékválasztása alig különbözött : az 55 éven felüliek 97 százaléka , a 15-24 évesek 93 százaléka említette első helyen a családot .
#goldHeads=2,3,0,5,3,3,3,3,10,13,13,13,15,15,6,3,20,19,20,22,22,29,29,26,26,28,28,29,3,31,29,33,29,3,
#predictedHeads=3,3,0,5,3,3,3,3,10,15,13,13,15,15,6,15,19,19,20,22,22,15,29,26,26,28,28,29,15,31,29,33,29,3,
(0,1),-2.11327 # DEPENDENCYPART_ARC
(0,2),-1.96312 # DEPENDENCYPART_ARC
(0,3),-1.00395 # DEPENDENCYPART_ARC
(0,6),-3.75111 # DEPENDENCYPART_ARC
(0,8),-1.04693 # DEPENDENCYPART_ARC
(0,11),-2.15726 # DEPENDENCYPART_ARC
(0,15),-1.98149 # DEPENDENCYPART_ARC
(0,29),-2.96178 # DEPENDENCYPART_ARC
(1,2),-0.855119 # DEPENDENCYPART_ARC
(1,3),-0.758227 # DEPENDENCYPART_ARC
(1,5),-1.0326 # DEPENDENCYPART_ARC
(1,8),-1.03364 # DEPENDENCYPART_ARC
(1,15),-1.58174 # DEPENDENCYPART_ARC
(1,34),-1.40769 # DEPENDENCYPART_ARC
(2,1),0.471421 # DEPENDENCYPART_ARC
(2,3),-0.272148 # DEPENDENCYPART_ARC
(2,5),-0.882872 # DEPENDENCYPART_ARC
(2,15),-1.3131 # DEPENDENCYPART_ARC
(2,34),0.424664 # DEPENDENCYPART_ARC
(3,1),1.8325 # DEPENDENCYPART_ARC
(3,2),2.23535 # DEPENDENCYPART_ARC
(3,4),0.146449 # DEPENDENCYPART_ARC
(3,5),1.09111 # DEPENDENCYPART_ARC
(3,6),0.719303 # DEPENDENCYPART_ARC
(3,7),2.18344 # DEPENDENCYPART_ARC
(3,8),2.77586 # DEPENDENCYPART_ARC
(3,9),-0.234147 # DEPENDENCYPART_ARC
(3,10),-0.423918 # DEPENDENCYPART_ARC
(3,11),0.285335 # DEPENDENCYPART_ARC
(3,12),-0.289883 # DEPENDENCYPART_ARC
(3,13),-0.468652 # DEPENDENCYPART_ARC
(3,14),0.359574 # DEPENDENCYPART_ARC
(3,15),0.764595 # DEPENDENCYPART_ARC
(3,16),1.25246 # DEPENDENCYPART_ARC
(3,18),-0.978055 # DEPENDENCYPART_ARC
(3,19),-1.96253 # DEPENDENCYPART_ARC
(3,20),-0.800832 # DEPENDENCYPART_ARC
(3,21),-0.969191 # DEPENDENCYPART_ARC
(3,22),0.237041 # DEPENDENCYPART_ARC
(3,23),0.237524 # DEPENDENCYPART_ARC
(3,25),-1.02099 # DEPENDENCYPART_ARC
(3,26),-2.35556 # DEPENDENCYPART_ARC
(3,27),-0.989203 # DEPENDENCYPART_ARC
