# _root_ — Azt a határtalan boldogságot nem lehet leírni , amikor a bagi fiúk a második vonalba jutottak — mondja Lajtos_István , a RO-LA_Kft. egyik társtulajdonosa .
#goldHeads=19,5,5,5,8,7,19,7,7,17,13,13,17,16,16,17,2,19,0,19,19,23,25,25,19,19,
#predictedHeads=19,8,5,5,8,7,19,7,7,17,13,13,17,16,16,17,19,19,0,19,19,23,25,25,19,19,
(0,2),-3.45236 # DEPENDENCYPART_ARC
(0,5),-3.90461 # DEPENDENCYPART_ARC
(0,6),-2.5795 # DEPENDENCYPART_ARC
(0,7),-1.60012 # DEPENDENCYPART_ARC
(0,8),-2.27193 # DEPENDENCYPART_ARC
(0,10),-2.60149 # DEPENDENCYPART_ARC
(0,17),-2.00911 # DEPENDENCYPART_ARC
(0,19),1.3808 # DEPENDENCYPART_ARC
(2,1),0.0878393 # DEPENDENCYPART_ARC
(2,4),0.72268 # DEPENDENCYPART_ARC
(2,5),0.262879 # DEPENDENCYPART_ARC
(2,6),0.428557 # DEPENDENCYPART_ARC
(2,7),1.65772 # DEPENDENCYPART_ARC
(2,8),1.17804 # DEPENDENCYPART_ARC
(2,9),1.28978 # DEPENDENCYPART_ARC
(2,10),0.666939 # DEPENDENCYPART_ARC
(2,12),0.504093 # DEPENDENCYPART_ARC
(2,13),0.240479 # DEPENDENCYPART_ARC
(2,16),-0.181101 # DEPENDENCYPART_ARC
(2,17),2.2214 # DEPENDENCYPART_ARC
(2,18),0.444885 # DEPENDENCYPART_ARC
(2,19),1.12193 # DEPENDENCYPART_ARC
(2,20),0.0881413 # DEPENDENCYPART_ARC
(2,21),1.16759 # DEPENDENCYPART_ARC
(2,23),0.042628 # DEPENDENCYPART_ARC
(2,24),-0.101478 # DEPENDENCYPART_ARC
(2,25),0.171404 # DEPENDENCYPART_ARC
(2,26),1.23071 # DEPENDENCYPART_ARC
(3,1),-0.940543 # DEPENDENCYPART_ARC
(3,4),0.081238 # DEPENDENCYPART_ARC
(4,1),-1.03361 # DEPENDENCYPART_ARC
(4,2),-1.00099 # DEPENDENCYPART_ARC
(4,3),0.363556 # DEPENDENCYPART_ARC
