# _root_ Nagy_Lajos , a kisgazdapárt helyi vezetője azt szeretné elérni , hogy a gázvagyonért kapott 45_millió forint felhasználását ellenőrizhessék .
#goldHeads=8,8,4,6,6,8,9,0,8,8,8,13,14,16,16,17,18,7,8,
#predictedHeads=6,8,4,6,6,8,9,0,8,8,8,13,14,16,16,17,18,7,8,
(0,1),-2.19526 # DEPENDENCYPART_ARC
(0,6),-3.98416 # DEPENDENCYPART_ARC
(0,7),-4.66077 # DEPENDENCYPART_ARC
(0,8),-0.927676 # DEPENDENCYPART_ARC
(0,9),-2.19126 # DEPENDENCYPART_ARC
(0,11),-2.33288 # DEPENDENCYPART_ARC
(0,18),-2.72074 # DEPENDENCYPART_ARC
(1,2),0.077413 # DEPENDENCYPART_ARC
(1,4),-0.224423 # DEPENDENCYPART_ARC
(1,5),-0.702512 # DEPENDENCYPART_ARC
(1,6),-0.0512704 # DEPENDENCYPART_ARC
(1,7),-1.92348 # DEPENDENCYPART_ARC
(1,8),-0.551602 # DEPENDENCYPART_ARC
(1,9),-0.1613 # DEPENDENCYPART_ARC
(1,10),-0.0704264 # DEPENDENCYPART_ARC
(1,11),-0.517016 # DEPENDENCYPART_ARC
(1,13),-2.46625 # DEPENDENCYPART_ARC
(1,16),-1.56168 # DEPENDENCYPART_ARC
(1,18),-1.02315 # DEPENDENCYPART_ARC
(1,19),0.857302 # DEPENDENCYPART_ARC
(3,2),-0.724606 # DEPENDENCYPART_ARC
(3,5),-0.410405 # DEPENDENCYPART_ARC
(4,1),-0.813651 # DEPENDENCYPART_ARC
(4,2),-0.715587 # DEPENDENCYPART_ARC
(4,3),2.82978 # DEPENDENCYPART_ARC
(4,6),-0.239399 # DEPENDENCYPART_ARC
(4,8),-0.407191 # DEPENDENCYPART_ARC
(4,18),-1.309 # DEPENDENCYPART_ARC
(5,1),-1.72059 # DEPENDENCYPART_ARC
(5,2),-0.202409 # DEPENDENCYPART_ARC
(5,3),-0.0487231 # DEPENDENCYPART_ARC
(5,4),1.29459 # DEPENDENCYPART_ARC
(5,8),-0.295694 # DEPENDENCYPART_ARC
(5,18),-1.99206 # DEPENDENCYPART_ARC
(6,1),0.567143 # DEPENDENCYPART_ARC
(6,2),0.347627 # DEPENDENCYPART_ARC
(6,3),1.19226 # DEPENDENCYPART_ARC
(6,4),3.42391 # DEPENDENCYPART_ARC
(6,5),3.58986 # DEPENDENCYPART_ARC
(6,8),-1.06822 # DEPENDENCYPART_ARC
(6,9),-0.00919978 # DEPENDENCYPART_ARC
(6,10),-0.0103899 # DEPENDENCYPART_ARC
(6,15),-0.872223 # DEPENDENCYPART_ARC
(6,18),-1.93248 # DEPENDENCYPART_ARC
(6,19),0.669174 # DEPENDENCYPART_ARC
(7,1),-0.983668 # DEPENDENCYPART_ARC
(7,2),-0.406374 # DEPENDENCYPART_ARC
(7,4),-0.59402 # DEPENDENCYPART_ARC
(7,5),-0.00331878 # DEPENDENCYPART_ARC
(7,6),-0.425823 # DEPENDENCYPART_ARC
(7,8),1.81049 # DEPENDENCYPART_ARC
(7,9),1.03169 # DEPENDENCYPART_ARC
(7,10),1.35087 # DEPENDENCYPART_ARC
(7,11),1.06275 # DEPENDENCYPART_ARC
(7,13),0.958616 # DEPENDENCYPART_ARC
(7,14),1.019 # DEPENDENCYPART_ARC
(7,15),0.238908 # DEPENDENCYPART_ARC
(7,16),0.591265 # DEPENDENCYPART_ARC
(7,17),-0.126233 # DEPENDENCYPART_ARC
(7,18),3.30601 # DEPENDENCYPART_ARC
(7,19),0.557929 # DEPENDENCYPART_ARC
(8,1),0.389306 # DEPENDENCYPART_ARC
(8,2),1.17967 # DEPENDENCYPART_ARC
(8,3),-1.17457 # DEPENDENCYPART_ARC
(8,4),0.590851 # DEPENDENCYPART_ARC
(8,5),-0.386933 # DEPENDENCYPART_ARC
(8,6),1.7548 # DEPENDENCYPART_ARC
(8,7),1.54139 # DEPENDENCYPART_ARC
(8,9),3.14995 # DEPENDENCYPART_ARC
(8,10),2.53329 # DEPENDENCYPART_ARC
(8,11),3.17964 # DEPENDENCYPART_ARC
(8,12),-0.872843 # DEPENDENCYPART_ARC
(8,13),-1.14966 # DEPENDENCYPART_ARC
(8,14),-0.516717 # DEPENDENCYPART_ARC
(8,15),-0.613209 # DEPENDENCYPART_ARC
(8,16),-1.45532 # DEPENDENCYPART_ARC
(8,17),-0.416187 # DEPENDENCYPART_ARC
(8,18),0.42069 # DEPENDENCYPART_ARC
(8,19),2.99524 # DEPENDENCYPART_ARC
(9,1),-0.825445 # DEPENDENCYPART_ARC
(9,2),0.994762 # DEPENDENCYPART_ARC
(9,3),-0.675947 # DEPENDENCYPART_ARC
(9,4),-0.340217 # DEPENDENCYPART_ARC
(9,5),0.67412 # DEPENDENCYPART_ARC
(9,6),1.09016 # DEPENDENCYPART_ARC
(9,7),3.237 # DEPENDENCYPART_ARC
(9,8),1.57823 # DEPENDENCYPART_ARC
(9,10),0.749415 # DEPENDENCYPART_ARC
(9,11),1.05951 # DEPENDENCYPART_ARC
(9,12),-0.690773 # DEPENDENCYPART_ARC
(9,13),-0.906318 # DEPENDENCYPART_ARC
(9,14),-0.033994 # DEPENDENCYPART_ARC
(9,15),-1.01975 # DEPENDENCYPART_ARC
(9,16),-2.22038 # DEPENDENCYPART_ARC
(9,17),-0.263839 # DEPENDENCYPART_ARC
(9,18),1.50067 # DEPENDENCYPART_ARC
(9,19),0.99735 # DEPENDENCYPART_ARC
(11,1),-0.517763 # DEPENDENCYPART_ARC
(11,2),-0.321519 # DEPENDENCYPART_ARC
(11,4),-0.110361 # DEPENDENCYPART_ARC
(11,5),-0.0757622 # DEPENDENCYPART_ARC
(11,6),0.0253263 # DEPENDENCYPART_ARC
(11,7),-1.22268 # DEPENDENCYPART_ARC
(11,8),-0.795788 # DEPENDENCYPART_ARC
(11,9),-0.00675054 # DEPENDENCYPART_ARC
(11,10),0.98172 # DEPENDENCYPART_ARC
(11,13),-0.937214 # DEPENDENCYPART_ARC
(11,14),-0.180232 # DEPENDENCYPART_ARC
(11,15),-0.29836 # DEPENDENCYPART_ARC
(11,16),-0.776782 # DEPENDENCYPART_ARC
(11,17),-1.51793 # DEPENDENCYPART_ARC
(11,18),0.83222 # DEPENDENCYPART_ARC
(11,19),1.44656 # DEPENDENCYPART_ARC
(12,14),-0.456621 # DEPENDENCYPART_ARC
(13,7),-2.44596 # DEPENDENCYPART_ARC
(13,12),2.81238 # DEPENDENCYPART_ARC
(13,14),-0.832573 # DEPENDENCYPART_ARC
(13,15),-1.20521 # DEPENDENCYPART_ARC
(13,16),-1.12412 # DEPENDENCYPART_ARC
(14,1),-2.59321 # DEPENDENCYPART_ARC
(14,4),-1.46485 # DEPENDENCYPART_ARC
(14,6),-2.33116 # DEPENDENCYPART_ARC
(14,7),-1.26397 # DEPENDENCYPART_ARC
(14,8),-0.94496 # DEPENDENCYPART_ARC
(14,9),-0.589072 # DEPENDENCYPART_ARC
(14,10),-0.158667 # DEPENDENCYPART_ARC
(14,11),-0.279455 # DEPENDENCYPART_ARC
(14,12),0.193806 # DEPENDENCYPART_ARC
(14,13),2.88245 # DEPENDENCYPART_ARC
(14,15),-0.172395 # DEPENDENCYPART_ARC
(14,16),-0.252205 # DEPENDENCYPART_ARC
(14,17),-1.14752 # DEPENDENCYPART_ARC
(14,18),-1.12643 # DEPENDENCYPART_ARC
(14,19),-0.270819 # DEPENDENCYPART_ARC
(15,11),-0.435535 # DEPENDENCYPART_ARC
(15,12),-0.239927 # DEPENDENCYPART_ARC
(15,13),-1.35044 # DEPENDENCYPART_ARC
(15,14),-0.120894 # DEPENDENCYPART_ARC
(15,16),-0.640409 # DEPENDENCYPART_ARC
(15,19),-0.914095 # DEPENDENCYPART_ARC
(16,7),-2.93309 # DEPENDENCYPART_ARC
(16,9),0.316029 # DEPENDENCYPART_ARC
(16,10),-0.103866 # DEPENDENCYPART_ARC
(16,11),-0.726097 # DEPENDENCYPART_ARC
(16,12),0.994236 # DEPENDENCYPART_ARC
(16,13),-0.869521 # DEPENDENCYPART_ARC
(16,14),2.25788 # DEPENDENCYPART_ARC
(16,15),2.87481 # DEPENDENCYPART_ARC
(16,17),-1.42618 # DEPENDENCYPART_ARC
(17,4),-1.38889 # DEPENDENCYPART_ARC
(17,6),-2.63529 # DEPENDENCYPART_ARC
(17,7),-1.96503 # DEPENDENCYPART_ARC
(17,9),-0.288083 # DEPENDENCYPART_ARC
(17,10),-0.324013 # DEPENDENCYPART_ARC
(17,11),-0.418751 # DEPENDENCYPART_ARC
(17,12),-0.333295 # DEPENDENCYPART_ARC
(17,13),-0.956319 # DEPENDENCYPART_ARC
(17,14),0.779673 # DEPENDENCYPART_ARC
(17,15),1.42856 # DEPENDENCYPART_ARC
(17,16),4.66288 # DEPENDENCYPART_ARC
(17,19),-0.911239 # DEPENDENCYPART_ARC
(18,1),-1.81705 # DEPENDENCYPART_ARC
(18,2),0.147192 # DEPENDENCYPART_ARC
(18,4),-1.77771 # DEPENDENCYPART_ARC
