# _root_ Elismerte ugyanakkor , hogy kevés léket vágtak az őstó jégfelületén , de — hangsúlyozta — az egyesület álláspontja szerint nem ez volt a halpusztulás oka .
#goldHeads=12,1,1,1,6,7,1,9,10,7,12,0,14,12,14,17,18,19,22,22,22,14,24,25,22,12,
#predictedHeads=12,1,1,1,6,7,12,9,10,7,12,0,14,12,14,17,18,19,22,22,22,14,24,25,22,14,
(0,1),-0.383561 # DEPENDENCYPART_ARC
(0,2),-2.27694 # DEPENDENCYPART_ARC
(0,4),-0.685948 # DEPENDENCYPART_ARC
(0,7),-1.96749 # DEPENDENCYPART_ARC
(0,12),0.122622 # DEPENDENCYPART_ARC
(0,14),-1.07071 # DEPENDENCYPART_ARC
(0,20),-2.94356 # DEPENDENCYPART_ARC
(0,21),-3.607 # DEPENDENCYPART_ARC
(0,22),-2.15981 # DEPENDENCYPART_ARC
(1,2),2.89184 # DEPENDENCYPART_ARC
(1,3),2.44085 # DEPENDENCYPART_ARC
(1,4),2.66576 # DEPENDENCYPART_ARC
(1,5),-0.191917 # DEPENDENCYPART_ARC
(1,6),0.73358 # DEPENDENCYPART_ARC
(1,7),1.60692 # DEPENDENCYPART_ARC
(1,8),-0.682617 # DEPENDENCYPART_ARC
(1,9),-0.46773 # DEPENDENCYPART_ARC
(1,10),0.832589 # DEPENDENCYPART_ARC
(1,11),1.19284 # DEPENDENCYPART_ARC
(1,12),1.47599 # DEPENDENCYPART_ARC
(1,13),0.914608 # DEPENDENCYPART_ARC
(1,14),0.679737 # DEPENDENCYPART_ARC
(1,15),0.703425 # DEPENDENCYPART_ARC
(1,17),-2.41012 # DEPENDENCYPART_ARC
(1,18),-2.35892 # DEPENDENCYPART_ARC
(1,19),-1.50137 # DEPENDENCYPART_ARC
(1,20),0.269091 # DEPENDENCYPART_ARC
(1,21),-1.25914 # DEPENDENCYPART_ARC
(1,22),1.34905 # DEPENDENCYPART_ARC
(1,25),-2.03785 # DEPENDENCYPART_ARC
(1,26),2.73428 # DEPENDENCYPART_ARC
(2,1),0.0284947 # DEPENDENCYPART_ARC
(2,3),-0.650011 # DEPENDENCYPART_ARC
(2,6),-0.986986 # DEPENDENCYPART_ARC
(2,7),-0.787103 # DEPENDENCYPART_ARC
(2,14),-1.25041 # DEPENDENCYPART_ARC
(2,26),0.0709908 # DEPENDENCYPART_ARC
(4,1),0.181745 # DEPENDENCYPART_ARC
(4,2),1.16576 # DEPENDENCYPART_ARC
(4,3),1.20893 # DEPENDENCYPART_ARC
(4,5),0.204612 # DEPENDENCYPART_ARC
(4,6),-0.68747 # DEPENDENCYPART_ARC
(4,7),1.03071 # DEPENDENCYPART_ARC
(4,9),-1.2393 # DEPENDENCYPART_ARC
(4,10),-1.18219 # DEPENDENCYPART_ARC
(4,11),0.0222515 # DEPENDENCYPART_ARC
(4,12),0.554716 # DEPENDENCYPART_ARC
(4,13),0.247764 # DEPENDENCYPART_ARC
(4,14),-0.000580421 # DEPENDENCYPART_ARC
(4,15),-0.224503 # DEPENDENCYPART_ARC
(4,22),0.758242 # DEPENDENCYPART_ARC
(4,26),2.20009 # DEPENDENCYPART_ARC
(5,1),-1.46333 # DEPENDENCYPART_ARC
(5,4),-0.33588 # DEPENDENCYPART_ARC
(5,22),-1.53834 # DEPENDENCYPART_ARC
(5,26),0.323803 # DEPENDENCYPART_ARC
(6,1),-0.507461 # DEPENDENCYPART_ARC
(6,2),0.00491498 # DEPENDENCYPART_ARC
(6,3),0.356087 # DEPENDENCYPART_ARC
(6,4),0.433497 # DEPENDENCYPART_ARC
(6,5),3.02087 # DEPENDENCYPART_ARC
