# _root_ Azért nem lettem katona sem , mert nem tudtam volna elfogadni , hogy csak egy irány van .
#goldHeads=3,3,0,3,3,3,3,9,1,9,9,9,9,17,16,17,11,3,
#predictedHeads=3,3,0,3,3,3,3,9,1,9,9,9,9,17,16,17,9,7,
(0,1),-3.27567 # DEPENDENCYPART_ARC
(0,2),-2.03055 # DEPENDENCYPART_ARC
(0,3),-0.228089 # DEPENDENCYPART_ARC
(0,5),-2.16755 # DEPENDENCYPART_ARC
(0,7),-0.00458725 # DEPENDENCYPART_ARC
(0,8),-2.3007 # DEPENDENCYPART_ARC
(0,9),-0.87157 # DEPENDENCYPART_ARC
(0,10),-1.21541 # DEPENDENCYPART_ARC
(0,11),-1.68357 # DEPENDENCYPART_ARC
(0,13),-3.1013 # DEPENDENCYPART_ARC
(0,14),-1.86158 # DEPENDENCYPART_ARC
(0,17),-1.43542 # DEPENDENCYPART_ARC
(1,2),-0.0622124 # DEPENDENCYPART_ARC
(1,3),0.280602 # DEPENDENCYPART_ARC
(1,4),-0.496287 # DEPENDENCYPART_ARC
(1,5),-0.107632 # DEPENDENCYPART_ARC
(1,6),0.559775 # DEPENDENCYPART_ARC
(1,7),0.889408 # DEPENDENCYPART_ARC
(1,8),0.131625 # DEPENDENCYPART_ARC
(1,9),1.4034 # DEPENDENCYPART_ARC
(1,10),1.37407 # DEPENDENCYPART_ARC
(1,11),0.606492 # DEPENDENCYPART_ARC
(1,12),1.52307 # DEPENDENCYPART_ARC
(1,13),1.14512 # DEPENDENCYPART_ARC
(1,14),0.140296 # DEPENDENCYPART_ARC
(1,15),-0.450633 # DEPENDENCYPART_ARC
(1,16),-1.00038 # DEPENDENCYPART_ARC
(1,17),0.432337 # DEPENDENCYPART_ARC
(1,18),1.28358 # DEPENDENCYPART_ARC
(2,1),0.124687 # DEPENDENCYPART_ARC
(2,4),-0.245084 # DEPENDENCYPART_ARC
(2,6),-0.29532 # DEPENDENCYPART_ARC
(2,9),-0.655525 # DEPENDENCYPART_ARC
(3,1),1.81659 # DEPENDENCYPART_ARC
(3,2),2.80676 # DEPENDENCYPART_ARC
