# _root_ Nem is adott senki névre , papírra , dokumentre .
#goldHeads=3,3,0,3,3,3,3,3,3,3,
#predictedHeads=3,3,0,5,3,3,3,3,3,3,
(0,1),-1.82378 # DEPENDENCYPART_ARC
(0,2),-1.74939 # DEPENDENCYPART_ARC
(0,3),-0.652335 # DEPENDENCYPART_ARC
(0,5),-2.8868 # DEPENDENCYPART_ARC
(0,7),-3.27494 # DEPENDENCYPART_ARC
(0,9),-2.47581 # DEPENDENCYPART_ARC
(1,3),-0.466976 # DEPENDENCYPART_ARC
(1,5),-1.13609 # DEPENDENCYPART_ARC
(1,6),-0.548547 # DEPENDENCYPART_ARC
(1,7),-1.62259 # DEPENDENCYPART_ARC
(1,8),-0.562673 # DEPENDENCYPART_ARC
(1,10),-0.148672 # DEPENDENCYPART_ARC
(2,1),0.369157 # DEPENDENCYPART_ARC
(2,3),-0.122162 # DEPENDENCYPART_ARC
(2,5),-0.976507 # DEPENDENCYPART_ARC
(2,6),-0.369495 # DEPENDENCYPART_ARC
(2,7),-1.39232 # DEPENDENCYPART_ARC
(2,8),-0.437569 # DEPENDENCYPART_ARC
(2,10),-0.055034 # DEPENDENCYPART_ARC
(3,1),2.23055 # DEPENDENCYPART_ARC
(3,2),2.79953 # DEPENDENCYPART_ARC
(3,4),1.65204 # DEPENDENCYPART_ARC
(3,5),3.51363 # DEPENDENCYPART_ARC
(3,6),2.08036 # DEPENDENCYPART_ARC
(3,7),2.42253 # DEPENDENCYPART_ARC
(3,8),1.89699 # DEPENDENCYPART_ARC
(3,9),0.438948 # DEPENDENCYPART_ARC
(3,10),2.24141 # DEPENDENCYPART_ARC
(5,1),-0.448943 # DEPENDENCYPART_ARC
(5,2),-0.481955 # DEPENDENCYPART_ARC
(5,3),-0.886515 # DEPENDENCYPART_ARC
(5,4),2.87249 # DEPENDENCYPART_ARC
(5,6),-0.174994 # DEPENDENCYPART_ARC
(5,7),-1.23585 # DEPENDENCYPART_ARC
(5,8),-0.252105 # DEPENDENCYPART_ARC
(5,9),-1.00141 # DEPENDENCYPART_ARC
(5,10),-0.469416 # DEPENDENCYPART_ARC
(7,1),-0.638528 # DEPENDENCYPART_ARC
(7,2),-0.743966 # DEPENDENCYPART_ARC
(7,3),-1.66479 # DEPENDENCYPART_ARC
(7,4),0.76088 # DEPENDENCYPART_ARC
(7,5),-0.00103912 # DEPENDENCYPART_ARC
(7,6),0.834923 # DEPENDENCYPART_ARC
(7,8),0.618872 # DEPENDENCYPART_ARC
(7,9),-0.517874 # DEPENDENCYPART_ARC
(7,10),-0.0412555 # DEPENDENCYPART_ARC
(9,3),0.568211 # DEPENDENCYPART_ARC
(9,5),0.437548 # DEPENDENCYPART_ARC
(9,6),0.925649 # DEPENDENCYPART_ARC
(9,7),1.06251 # DEPENDENCYPART_ARC
(9,8),1.62299 # DEPENDENCYPART_ARC
(9,10),1.39974 # DEPENDENCYPART_ARC
