# _root_ A bíróságot nem annyira ez utóbbi zavarta , mint inkább a képrongálás , amelynek divatja úgy tűnik feltartóztathatatlan .
#goldHeads=2,7,7,7,6,7,0,7,7,5,12,5,5,18,18,17,18,5,7,
#predictedHeads=2,7,7,7,6,7,0,7,7,17,12,15,7,17,17,17,7,17,7,
(0,2),-2.5275 # DEPENDENCYPART_ARC
(0,3),-2.04521 # DEPENDENCYPART_ARC
(0,4),-2.10892 # DEPENDENCYPART_ARC
(0,5),-2.67748 # DEPENDENCYPART_ARC
(0,6),-2.99817 # DEPENDENCYPART_ARC
(0,7),0.254797 # DEPENDENCYPART_ARC
(0,9),-0.840855 # DEPENDENCYPART_ARC
(0,10),-2.31706 # DEPENDENCYPART_ARC
(0,16),-2.66458 # DEPENDENCYPART_ARC
(0,17),-0.89282 # DEPENDENCYPART_ARC
(0,18),-2.65534 # DEPENDENCYPART_ARC
(2,1),2.71944 # DEPENDENCYPART_ARC
(2,4),-0.517242 # DEPENDENCYPART_ARC
(2,7),-0.251858 # DEPENDENCYPART_ARC
(2,10),-0.592937 # DEPENDENCYPART_ARC
(3,2),-0.106214 # DEPENDENCYPART_ARC
(3,6),-0.651852 # DEPENDENCYPART_ARC
(3,7),-0.226271 # DEPENDENCYPART_ARC
(3,8),-0.550749 # DEPENDENCYPART_ARC
(3,9),-0.422202 # DEPENDENCYPART_ARC
(3,12),-1.58904 # DEPENDENCYPART_ARC
(3,17),-1.32688 # DEPENDENCYPART_ARC
(3,19),0.282072 # DEPENDENCYPART_ARC
(4,2),0.394181 # DEPENDENCYPART_ARC
(4,5),0.295824 # DEPENDENCYPART_ARC
(4,6),0.277435 # DEPENDENCYPART_ARC
(4,7),0.481951 # DEPENDENCYPART_ARC
(4,8),0.25849 # DEPENDENCYPART_ARC
(4,12),-1.04113 # DEPENDENCYPART_ARC
(4,13),0.0675664 # DEPENDENCYPART_ARC
(4,15),-1.45931 # DEPENDENCYPART_ARC
(4,17),-0.476091 # DEPENDENCYPART_ARC
