# _root_ Akkoriban a cég — átmeneti sikerrel — megszerezte a Magyar_Nemzet , az Esti_Hírlap és az Expressz kiadói jogát , 1997 végén pedig megindította a Napi_Magyarország című napilapot .
#goldHeads=8,3,8,8,6,8,8,0,10,18,18,13,18,18,16,18,18,8,8,21,23,23,8,27,26,27,23,8,
#predictedHeads=8,3,8,8,6,8,8,0,10,8,8,13,18,8,16,18,18,8,8,21,23,23,8,27,26,27,23,8,
(0,1),-2.1252 # DEPENDENCYPART_ARC
(0,3),-3.07229 # DEPENDENCYPART_ARC
(0,5),-2.62975 # DEPENDENCYPART_ARC
(0,6),-4.1685 # DEPENDENCYPART_ARC
(0,8),-0.569451 # DEPENDENCYPART_ARC
(0,14),-2.09081 # DEPENDENCYPART_ARC
(0,22),-2.66649 # DEPENDENCYPART_ARC
(0,23),-2.25732 # DEPENDENCYPART_ARC
(1,3),0.233215 # DEPENDENCYPART_ARC
(1,4),0.570791 # DEPENDENCYPART_ARC
(1,5),-0.186362 # DEPENDENCYPART_ARC
(1,6),-0.227204 # DEPENDENCYPART_ARC
(1,7),0.350481 # DEPENDENCYPART_ARC
(1,8),-0.364484 # DEPENDENCYPART_ARC
(1,11),-0.271704 # DEPENDENCYPART_ARC
(1,28),0.547973 # DEPENDENCYPART_ARC
(2,4),-0.285686 # DEPENDENCYPART_ARC
(2,6),-1.15915 # DEPENDENCYPART_ARC
(3,1),-0.220565 # DEPENDENCYPART_ARC
(3,2),3.6238 # DEPENDENCYPART_ARC
(3,4),0.144279 # DEPENDENCYPART_ARC
(3,6),-0.582858 # DEPENDENCYPART_ARC
(3,7),0.0170319 # DEPENDENCYPART_ARC
(3,8),-0.477601 # DEPENDENCYPART_ARC
(3,28),-0.295998 # DEPENDENCYPART_ARC
(5,1),-0.194008 # DEPENDENCYPART_ARC
(5,2),-0.00109813 # DEPENDENCYPART_ARC
(5,3),-0.245069 # DEPENDENCYPART_ARC
(5,4),0.548819 # DEPENDENCYPART_ARC
(5,7),0.222382 # DEPENDENCYPART_ARC
(5,8),-0.264924 # DEPENDENCYPART_ARC
(5,10),-1.05945 # DEPENDENCYPART_ARC
(5,23),-1.21269 # DEPENDENCYPART_ARC
(5,28),0.339785 # DEPENDENCYPART_ARC
(6,1),-0.353786 # DEPENDENCYPART_ARC
(6,2),1.5518 # DEPENDENCYPART_ARC
(6,3),-0.231948 # DEPENDENCYPART_ARC
(6,4),0.617075 # DEPENDENCYPART_ARC
(6,5),3.59246 # DEPENDENCYPART_ARC
(6,7),0.447472 # DEPENDENCYPART_ARC
(6,8),-0.370793 # DEPENDENCYPART_ARC
(6,10),-1.18264 # DEPENDENCYPART_ARC
(6,11),-0.0393889 # DEPENDENCYPART_ARC
(6,22),-0.751152 # DEPENDENCYPART_ARC
(6,23),-1.38483 # DEPENDENCYPART_ARC
(6,28),0.639819 # DEPENDENCYPART_ARC
(8,1),1.12141 # DEPENDENCYPART_ARC
(8,2),-1.03959 # DEPENDENCYPART_ARC
(8,3),0.54571 # DEPENDENCYPART_ARC
(8,4),1.49389 # DEPENDENCYPART_ARC
(8,5),0.225436 # DEPENDENCYPART_ARC
(8,6),0.551412 # DEPENDENCYPART_ARC
(8,7),1.56152 # DEPENDENCYPART_ARC
(8,9),-0.23428 # DEPENDENCYPART_ARC
(8,10),2.57687 # DEPENDENCYPART_ARC
(8,11),2.02425 # DEPENDENCYPART_ARC
(8,12),-0.41086 # DEPENDENCYPART_ARC
(8,13),0.396054 # DEPENDENCYPART_ARC
(8,14),1.04851 # DEPENDENCYPART_ARC
(8,15),-0.603993 # DEPENDENCYPART_ARC
(8,16),-1.38505 # DEPENDENCYPART_ARC
(8,17),-1.06497 # DEPENDENCYPART_ARC
(8,18),2.29172 # DEPENDENCYPART_ARC
(8,19),1.12559 # DEPENDENCYPART_ARC
(8,20),-0.747974 # DEPENDENCYPART_ARC
(8,21),-0.526717 # DEPENDENCYPART_ARC
(8,22),0.781914 # DEPENDENCYPART_ARC
(8,23),0.932855 # DEPENDENCYPART_ARC
(8,25),-2.70905 # DEPENDENCYPART_ARC
