# _root_ Mindebből azonban hiba volna azt a következtetést levonni , hogy gyermekek tömkelege születne " balkézről " ; sokkal inkább arról van szó , hogy az élettársi kapcsolatok egyre inkább hasonlítanak magára a házasságra .
#goldHeads=8,4,4,0,7,7,8,4,4,4,12,13,1,13,13,13,4,19,21,21,4,21,21,21,27,27,30,29,30,20,30,33,30,4,
#predictedHeads=4,4,4,0,7,7,8,4,4,4,12,13,5,13,13,13,13,19,21,21,5,21,21,21,27,27,30,29,30,20,33,33,30,4,
(0,1),-3.54751 # DEPENDENCYPART_ARC
(0,2),-2.49591 # DEPENDENCYPART_ARC
(0,3),-2.77905 # DEPENDENCYPART_ARC
(0,4),-0.877188 # DEPENDENCYPART_ARC
(0,5),-3.8623 # DEPENDENCYPART_ARC
(0,8),-2.28061 # DEPENDENCYPART_ARC
(0,10),-2.6523 # DEPENDENCYPART_ARC
(0,13),-1.89616 # DEPENDENCYPART_ARC
(0,20),-3.90222 # DEPENDENCYPART_ARC
(0,21),-1.87407 # DEPENDENCYPART_ARC
(1,2),-0.12485 # DEPENDENCYPART_ARC
(1,3),-0.0171304 # DEPENDENCYPART_ARC
(1,4),1.35119 # DEPENDENCYPART_ARC
(1,5),-1.24556 # DEPENDENCYPART_ARC
(1,7),-0.818657 # DEPENDENCYPART_ARC
(1,8),1.29844 # DEPENDENCYPART_ARC
(1,9),0.934436 # DEPENDENCYPART_ARC
(1,10),0.712982 # DEPENDENCYPART_ARC
(1,11),-0.454375 # DEPENDENCYPART_ARC
(1,12),-0.529977 # DEPENDENCYPART_ARC
(1,13),2.43693 # DEPENDENCYPART_ARC
(1,14),0.126396 # DEPENDENCYPART_ARC
(1,15),0.0687505 # DEPENDENCYPART_ARC
(1,16),-0.022822 # DEPENDENCYPART_ARC
(1,17),0.667664 # DEPENDENCYPART_ARC
(1,18),-0.0548773 # DEPENDENCYPART_ARC
(1,19),0.243415 # DEPENDENCYPART_ARC
(1,21),0.829295 # DEPENDENCYPART_ARC
(1,22),-1.0504 # DEPENDENCYPART_ARC
(1,23),0.646464 # DEPENDENCYPART_ARC
(1,24),0.6518 # DEPENDENCYPART_ARC
(1,26),-0.64831 # DEPENDENCYPART_ARC
(1,27),-1.15999 # DEPENDENCYPART_ARC
(1,28),-0.186634 # DEPENDENCYPART_ARC
(1,29),0.100043 # DEPENDENCYPART_ARC
(1,30),1.82104 # DEPENDENCYPART_ARC
(1,33),-1.85522 # DEPENDENCYPART_ARC
(2,1),-0.805693 # DEPENDENCYPART_ARC
(2,3),-0.372896 # DEPENDENCYPART_ARC
(2,4),0.227308 # DEPENDENCYPART_ARC
(2,8),-1.13841 # DEPENDENCYPART_ARC
(2,34),0.287072 # DEPENDENCYPART_ARC
(3,1),-1.36849 # DEPENDENCYPART_ARC
(3,2),0.130727 # DEPENDENCYPART_ARC
(4,1),1.00833 # DEPENDENCYPART_ARC
(4,2),2.2855 # DEPENDENCYPART_ARC
(4,3),2.90603 # DEPENDENCYPART_ARC
(4,5),-0.0414092 # DEPENDENCYPART_ARC
(4,6),-0.806523 # DEPENDENCYPART_ARC
(4,7),-0.292642 # DEPENDENCYPART_ARC
(4,8),1.58336 # DEPENDENCYPART_ARC
(4,9),1.2827 # DEPENDENCYPART_ARC
(4,10),2.1046 # DEPENDENCYPART_ARC
(4,11),-2.11384 # DEPENDENCYPART_ARC
(4,12),-1.86166 # DEPENDENCYPART_ARC
(4,13),0.787419 # DEPENDENCYPART_ARC
(4,14),0.327419 # DEPENDENCYPART_ARC
(4,15),-0.341129 # DEPENDENCYPART_ARC
(4,16),0.449254 # DEPENDENCYPART_ARC
(4,17),0.993188 # DEPENDENCYPART_ARC
(4,18),-1.46222 # DEPENDENCYPART_ARC
(4,20),-1.91606 # DEPENDENCYPART_ARC
(4,21),0.0579785 # DEPENDENCYPART_ARC
(4,23),0.199184 # DEPENDENCYPART_ARC
(4,24),-0.88498 # DEPENDENCYPART_ARC
(4,29),-2.05958 # DEPENDENCYPART_ARC
(4,30),0.980585 # DEPENDENCYPART_ARC
(4,34),4.2936 # DEPENDENCYPART_ARC
(5,1),-1.17688 # DEPENDENCYPART_ARC
(5,3),-0.975453 # DEPENDENCYPART_ARC
(5,4),0.0743074 # DEPENDENCYPART_ARC
(5,7),0.440117 # DEPENDENCYPART_ARC
(5,8),1.55501 # DEPENDENCYPART_ARC
(5,9),1.00521 # DEPENDENCYPART_ARC
(5,10),0.654085 # DEPENDENCYPART_ARC
(5,11),0.193172 # DEPENDENCYPART_ARC
(5,12),0.434268 # DEPENDENCYPART_ARC
(5,13),3.7787 # DEPENDENCYPART_ARC
(5,14),0.349456 # DEPENDENCYPART_ARC
(5,15),0.520526 # DEPENDENCYPART_ARC
(5,16),0.146681 # DEPENDENCYPART_ARC
(5,17),0.866499 # DEPENDENCYPART_ARC
(5,18),0.00995087 # DEPENDENCYPART_ARC
(5,19),0.377156 # DEPENDENCYPART_ARC
(5,20),-0.794602 # DEPENDENCYPART_ARC
(5,21),1.82792 # DEPENDENCYPART_ARC
(5,22),0.213566 # DEPENDENCYPART_ARC
(5,23),0.797627 # DEPENDENCYPART_ARC
(5,24),0.730142 # DEPENDENCYPART_ARC
(5,26),-0.139453 # DEPENDENCYPART_ARC
(5,27),-0.25013 # DEPENDENCYPART_ARC
(5,28),-0.205217 # DEPENDENCYPART_ARC
(5,29),0.0908666 # DEPENDENCYPART_ARC
(5,30),1.9026 # DEPENDENCYPART_ARC
(5,33),-0.48564 # DEPENDENCYPART_ARC
(7,5),2.22119 # DEPENDENCYPART_ARC
(7,6),2.55257 # DEPENDENCYPART_ARC
(8,1),0.902364 # DEPENDENCYPART_ARC
(8,2),1.34127 # DEPENDENCYPART_ARC
(8,3),0.948247 # DEPENDENCYPART_ARC
(8,4),-0.526942 # DEPENDENCYPART_ARC
(8,5),1.90656 # DEPENDENCYPART_ARC
(8,6),0.240348 # DEPENDENCYPART_ARC
(8,7),4.73666 # DEPENDENCYPART_ARC
(8,9),1.15484 # DEPENDENCYPART_ARC
(8,10),1.46603 # DEPENDENCYPART_ARC
(8,11),-1.03307 # DEPENDENCYPART_ARC
(8,12),-1.02391 # DEPENDENCYPART_ARC
(8,13),1.1948 # DEPENDENCYPART_ARC
(8,14),0.22032 # DEPENDENCYPART_ARC
(8,15),-0.593256 # DEPENDENCYPART_ARC
(8,16),0.44711 # DEPENDENCYPART_ARC
(8,17),0.58327 # DEPENDENCYPART_ARC
(8,20),-1.71709 # DEPENDENCYPART_ARC
(8,21),0.0217436 # DEPENDENCYPART_ARC
(8,23),-0.54659 # DEPENDENCYPART_ARC
(8,24),-1.83677 # DEPENDENCYPART_ARC
(8,30),0.598115 # DEPENDENCYPART_ARC
(8,34),2.53908 # DEPENDENCYPART_ARC
(10,1),-1.62003 # DEPENDENCYPART_ARC
(10,2),-0.348809 # DEPENDENCYPART_ARC
(10,3),-0.612642 # DEPENDENCYPART_ARC
(10,4),-0.670221 # DEPENDENCYPART_ARC
(10,5),-1.27707 # DEPENDENCYPART_ARC
(10,7),-0.280161 # DEPENDENCYPART_ARC
(10,8),0.151134 # DEPENDENCYPART_ARC
(10,9),1.07005 # DEPENDENCYPART_ARC
(10,11),-0.697001 # DEPENDENCYPART_ARC
(10,12),-0.900279 # DEPENDENCYPART_ARC
(10,13),0.731724 # DEPENDENCYPART_ARC
(10,14),-0.176971 # DEPENDENCYPART_ARC
(10,17),0.216573 # DEPENDENCYPART_ARC
(10,24),-0.445426 # DEPENDENCYPART_ARC
(10,34),1.9334 # DEPENDENCYPART_ARC
(11,6),-0.776988 # DEPENDENCYPART_ARC
(11,9),-0.408382 # DEPENDENCYPART_ARC
(11,10),-0.782858 # DEPENDENCYPART_ARC
(12,5),-3.42769 # DEPENDENCYPART_ARC
(12,6),-1.17645 # DEPENDENCYPART_ARC
(12,7),-2.96642 # DEPENDENCYPART_ARC
(12,9),0.58269 # DEPENDENCYPART_ARC
(12,10),0.237918 # DEPENDENCYPART_ARC
(12,11),4.53038 # DEPENDENCYPART_ARC
(13,1),-0.420132 # DEPENDENCYPART_ARC
(13,2),1.14446 # DEPENDENCYPART_ARC
(13,3),0.648052 # DEPENDENCYPART_ARC
(13,4),0.335473 # DEPENDENCYPART_ARC
(13,5),-1.00843 # DEPENDENCYPART_ARC
(13,6),-1.04969 # DEPENDENCYPART_ARC
(13,7),0.511155 # DEPENDENCYPART_ARC
(13,8),0.505558 # DEPENDENCYPART_ARC
(13,9),0.394094 # DEPENDENCYPART_ARC
(13,10),0.158632 # DEPENDENCYPART_ARC
(13,11),1.83011 # DEPENDENCYPART_ARC
(13,12),3.82158 # DEPENDENCYPART_ARC
(13,14),0.895997 # DEPENDENCYPART_ARC
(13,15),0.89756 # DEPENDENCYPART_ARC
(13,16),1.10707 # DEPENDENCYPART_ARC
(13,17),1.02626 # DEPENDENCYPART_ARC
(13,18),-0.793021 # DEPENDENCYPART_ARC
(13,19),-0.590517 # DEPENDENCYPART_ARC
(13,20),-1.75386 # DEPENDENCYPART_ARC
(13,21),0.686035 # DEPENDENCYPART_ARC
(13,23),0.289285 # DEPENDENCYPART_ARC
(13,24),0.29039 # DEPENDENCYPART_ARC
(13,28),-1.38648 # DEPENDENCYPART_ARC
(13,29),-1.57252 # DEPENDENCYPART_ARC
(13,30),0.684785 # DEPENDENCYPART_ARC
(13,34),2.68072 # DEPENDENCYPART_ARC
(15,7),-0.556353 # DEPENDENCYPART_ARC
(15,8),-0.127835 # DEPENDENCYPART_ARC
(15,11),-0.213662 # DEPENDENCYPART_ARC
(15,12),-0.0422662 # DEPENDENCYPART_ARC
(15,13),0.308539 # DEPENDENCYPART_ARC
(15,14),0.218809 # DEPENDENCYPART_ARC
(15,16),0.0459913 # DEPENDENCYPART_ARC
(15,17),0.24115 # DEPENDENCYPART_ARC
(15,18),-0.17995 # DEPENDENCYPART_ARC
(15,19),-0.232733 # DEPENDENCYPART_ARC
(15,21),0.405739 # DEPENDENCYPART_ARC
(15,22),-1.11281 # DEPENDENCYPART_ARC
(15,24),0.0892975 # DEPENDENCYPART_ARC
(15,30),-0.252889 # DEPENDENCYPART_ARC
(15,33),-2.01645 # DEPENDENCYPART_ARC
(15,34),0.908657 # DEPENDENCYPART_ARC
(18,15),-1.10836 # DEPENDENCYPART_ARC
(18,17),-0.694106 # DEPENDENCYPART_ARC
(18,19),-0.585544 # DEPENDENCYPART_ARC
(18,22),-0.960154 # DEPENDENCYPART_ARC
(18,28),-0.773537 # DEPENDENCYPART_ARC
(19,15),0.0602341 # DEPENDENCYPART_ARC
(19,16),0.334529 # DEPENDENCYPART_ARC
(19,18),1.21807 # DEPENDENCYPART_ARC
(19,22),-0.231335 # DEPENDENCYPART_ARC
(19,27),-0.990223 # DEPENDENCYPART_ARC
(19,28),-0.282417 # DEPENDENCYPART_ARC
(19,29),-0.293355 # DEPENDENCYPART_ARC
(20,4),-1.58883 # DEPENDENCYPART_ARC
(20,8),-1.62385 # DEPENDENCYPART_ARC
(20,13),-0.736066 # DEPENDENCYPART_ARC
(20,15),-0.767488 # DEPENDENCYPART_ARC
(20,18),-0.795192 # DEPENDENCYPART_ARC
(20,19),-0.197165 # DEPENDENCYPART_ARC
(20,21),1.83986 # DEPENDENCYPART_ARC
(20,22),0.877267 # DEPENDENCYPART_ARC
(20,23),1.21858 # DEPENDENCYPART_ARC
(20,24),1.01549 # DEPENDENCYPART_ARC
(20,26),0.606608 # DEPENDENCYPART_ARC
(20,27),0.21235 # DEPENDENCYPART_ARC
(20,28),0.300194 # DEPENDENCYPART_ARC
(20,29),0.365639 # DEPENDENCYPART_ARC
(20,30),2.8175 # DEPENDENCYPART_ARC
(20,31),-0.149356 # DEPENDENCYPART_ARC
(20,33),-0.0197646 # DEPENDENCYPART_ARC
(20,34),1.03044 # DEPENDENCYPART_ARC
(21,1),-2.07822 # DEPENDENCYPART_ARC
(21,2),-0.369998 # DEPENDENCYPART_ARC
(21,3),-0.816507 # DEPENDENCYPART_ARC
(21,4),-1.35513 # DEPENDENCYPART_ARC
(21,5),-2.48175 # DEPENDENCYPART_ARC
(21,7),-1.18461 # DEPENDENCYPART_ARC
(21,8),-0.957525 # DEPENDENCYPART_ARC
(21,9),-0.288682 # DEPENDENCYPART_ARC
(21,10),0.595221 # DEPENDENCYPART_ARC
