# _root_ Bár sokan emlegetik következő áldozatként a Hyundait , elemzők rámutatnak , hogy helyzete több szempontból sem hasonlítható a Daewooéhoz .
#goldHeads=10,3,10,5,3,7,3,10,10,0,10,10,10,15,10,10,10,19,10,10,
#predictedHeads=10,3,0,5,10,7,3,10,10,3,10,10,17,15,17,17,10,19,17,3,
(0,1),-2.10388 # DEPENDENCYPART_ARC
(0,2),-2.11239 # DEPENDENCYPART_ARC
(0,3),-0.926404 # DEPENDENCYPART_ARC
(0,4),-2.42679 # DEPENDENCYPART_ARC
(0,5),-2.96562 # DEPENDENCYPART_ARC
(0,10),-2.00988 # DEPENDENCYPART_ARC
(0,12),-2.52586 # DEPENDENCYPART_ARC
(0,16),-3.17934 # DEPENDENCYPART_ARC
(0,17),-2.83549 # DEPENDENCYPART_ARC
(0,19),-4.17443 # DEPENDENCYPART_ARC
(1,2),-0.692896 # DEPENDENCYPART_ARC
(1,3),0.0706948 # DEPENDENCYPART_ARC
(1,4),-0.44266 # DEPENDENCYPART_ARC
(1,5),-1.03727 # DEPENDENCYPART_ARC
(1,7),-1.03964 # DEPENDENCYPART_ARC
(1,8),0.336171 # DEPENDENCYPART_ARC
(1,10),-0.981453 # DEPENDENCYPART_ARC
(1,11),0.188213 # DEPENDENCYPART_ARC
(1,12),-0.595909 # DEPENDENCYPART_ARC
(1,13),-1.29922 # DEPENDENCYPART_ARC
(1,15),-1.94831 # DEPENDENCYPART_ARC
(1,17),-0.821556 # DEPENDENCYPART_ARC
(1,20),0.0173523 # DEPENDENCYPART_ARC
(2,1),-0.366551 # DEPENDENCYPART_ARC
(2,3),-0.108528 # DEPENDENCYPART_ARC
(2,4),-0.507764 # DEPENDENCYPART_ARC
(2,5),-0.97833 # DEPENDENCYPART_ARC
(2,7),-1.16531 # DEPENDENCYPART_ARC
(2,8),-0.77685 # DEPENDENCYPART_ARC
(2,10),-0.821718 # DEPENDENCYPART_ARC
(2,12),-0.550813 # DEPENDENCYPART_ARC
(2,20),-0.254 # DEPENDENCYPART_ARC
(3,1),1.14672 # DEPENDENCYPART_ARC
(3,2),2.42776 # DEPENDENCYPART_ARC
(3,4),1.08593 # DEPENDENCYPART_ARC
(3,5),1.6198 # DEPENDENCYPART_ARC
(3,6),-0.54802 # DEPENDENCYPART_ARC
(3,7),2.15867 # DEPENDENCYPART_ARC
(3,8),1.37257 # DEPENDENCYPART_ARC
(3,9),-0.0937547 # DEPENDENCYPART_ARC
(3,10),1.47335 # DEPENDENCYPART_ARC
(3,11),1.33991 # DEPENDENCYPART_ARC
(3,12),1.8458 # DEPENDENCYPART_ARC
(3,13),-1.41158 # DEPENDENCYPART_ARC
(3,14),-1.18381 # DEPENDENCYPART_ARC
(3,15),-1.62237 # DEPENDENCYPART_ARC
(3,16),0.0402724 # DEPENDENCYPART_ARC
(3,17),-0.929392 # DEPENDENCYPART_ARC
(3,19),-1.12647 # DEPENDENCYPART_ARC
(3,20),3.23629 # DEPENDENCYPART_ARC
(4,1),-0.84743 # DEPENDENCYPART_ARC
(4,2),-0.277389 # DEPENDENCYPART_ARC
(4,3),-0.170997 # DEPENDENCYPART_ARC
(4,7),-1.94585 # DEPENDENCYPART_ARC
(5,1),-0.627527 # DEPENDENCYPART_ARC
(5,2),-0.248169 # DEPENDENCYPART_ARC
(5,3),0.166175 # DEPENDENCYPART_ARC
(5,4),3.29761 # DEPENDENCYPART_ARC
(5,6),-1.00408 # DEPENDENCYPART_ARC
(5,7),-0.451479 # DEPENDENCYPART_ARC
(5,8),0.116502 # DEPENDENCYPART_ARC
(5,9),-0.832645 # DEPENDENCYPART_ARC
