# _root_ A junior lányok versenyén Mester_Orsolyáé ( 347 ) az első hely , a fiúk között Dienes_Miklósé ( 505 ) , aki mögött Varga_Zoltán a harmadik lett ( 495 ) .
#goldHeads=3,3,4,5,0,7,5,7,11,11,5,5,14,15,16,5,18,16,18,16,22,26,26,25,26,16,28,26,28,5,
#predictedHeads=3,3,4,5,7,7,0,7,11,11,15,15,14,15,16,18,18,7,18,16,22,26,26,25,26,16,28,26,28,26,
(0,3),-2.73224 # DEPENDENCYPART_ARC
(0,4),-3.01452 # DEPENDENCYPART_ARC
(0,5),-2.35531 # DEPENDENCYPART_ARC
(0,7),-2.95072 # DEPENDENCYPART_ARC
(0,11),-4.09404 # DEPENDENCYPART_ARC
(0,15),-3.75664 # DEPENDENCYPART_ARC
(0,18),-4.42113 # DEPENDENCYPART_ARC
(0,22),-4.13461 # DEPENDENCYPART_ARC
(0,23),-4.56573 # DEPENDENCYPART_ARC
(0,25),-5.22604 # DEPENDENCYPART_ARC
(0,26),-2.49466 # DEPENDENCYPART_ARC
(0,28),-5.32377 # DEPENDENCYPART_ARC
(1,2),-0.0941947 # DEPENDENCYPART_ARC
(2,1),0.528443 # DEPENDENCYPART_ARC
(2,7),-1.18906 # DEPENDENCYPART_ARC
(3,1),2.4322 # DEPENDENCYPART_ARC
(3,2),3.43242 # DEPENDENCYPART_ARC
(3,5),-1.71724 # DEPENDENCYPART_ARC
(3,6),-0.558274 # DEPENDENCYPART_ARC
(3,7),-1.45205 # DEPENDENCYPART_ARC
(3,15),-1.43529 # DEPENDENCYPART_ARC
(3,22),-1.71693 # DEPENDENCYPART_ARC
(3,26),-1.35427 # DEPENDENCYPART_ARC
(3,30),0.706387 # DEPENDENCYPART_ARC
(4,1),0.777411 # DEPENDENCYPART_ARC
(4,2),2.00258 # DEPENDENCYPART_ARC
(4,3),4.2868 # DEPENDENCYPART_ARC
(4,5),-0.89113 # DEPENDENCYPART_ARC
(4,6),-0.436612 # DEPENDENCYPART_ARC
(4,7),-1.10294 # DEPENDENCYPART_ARC
(4,8),-0.235976 # DEPENDENCYPART_ARC
(4,11),-1.462 # DEPENDENCYPART_ARC
(4,15),-1.18828 # DEPENDENCYPART_ARC
(4,22),-1.62214 # DEPENDENCYPART_ARC
(4,26),-0.948418 # DEPENDENCYPART_ARC
(4,30),0.899019 # DEPENDENCYPART_ARC
(5,1),0.550159 # DEPENDENCYPART_ARC
(5,2),0.715324 # DEPENDENCYPART_ARC
(5,3),0.462873 # DEPENDENCYPART_ARC
(5,4),0.660124 # DEPENDENCYPART_ARC
(5,6),0.819174 # DEPENDENCYPART_ARC
(5,7),-0.0986548 # DEPENDENCYPART_ARC
(5,8),0.789023 # DEPENDENCYPART_ARC
(5,11),0.317386 # DEPENDENCYPART_ARC
(5,12),0.677591 # DEPENDENCYPART_ARC
