# _root_ A reaktor felhasználási lehetőségei ez évtől kiteljesednek , ugyanis hamarosan üzembe helyezik az úgynevezett hidegneutron forrást , amely tulajdonképpen egy reaktorba helyezett hidrogéncella .
#goldHeads=2,4,4,7,6,7,9,9,0,12,12,9,16,16,16,12,12,12,12,23,22,23,12,9,
#predictedHeads=2,4,4,7,6,7,9,9,0,12,12,9,15,15,16,12,12,19,12,21,22,23,19,9,
(0,2),-1.91978 # DEPENDENCYPART_ARC
(0,4),-3.08071 # DEPENDENCYPART_ARC
(0,5),-3.345 # DEPENDENCYPART_ARC
(0,6),-3.6545 # DEPENDENCYPART_ARC
(0,7),-0.989368 # DEPENDENCYPART_ARC
(0,9),-0.13934 # DEPENDENCYPART_ARC
(0,12),-1.5368 # DEPENDENCYPART_ARC
(2,1),2.62096 # DEPENDENCYPART_ARC
(2,4),-0.281834 # DEPENDENCYPART_ARC
(2,6),-0.977812 # DEPENDENCYPART_ARC
(2,12),-0.270051 # DEPENDENCYPART_ARC
(3,1),0.00839248 # DEPENDENCYPART_ARC
(3,2),1.48594 # DEPENDENCYPART_ARC
(3,12),-1.58951 # DEPENDENCYPART_ARC
(4,1),1.33861 # DEPENDENCYPART_ARC
(4,2),3.20407 # DEPENDENCYPART_ARC
(4,3),3.44668 # DEPENDENCYPART_ARC
(4,6),-0.892121 # DEPENDENCYPART_ARC
(4,7),-0.517119 # DEPENDENCYPART_ARC
(4,8),-0.0522431 # DEPENDENCYPART_ARC
(4,12),-1.3435 # DEPENDENCYPART_ARC
(4,24),0.950079 # DEPENDENCYPART_ARC
(5,2),-0.903386 # DEPENDENCYPART_ARC
(5,3),-1.06321 # DEPENDENCYPART_ARC
(5,4),-0.861203 # DEPENDENCYPART_ARC
(5,6),-0.647575 # DEPENDENCYPART_ARC
(5,7),0.114628 # DEPENDENCYPART_ARC
(5,8),0.454401 # DEPENDENCYPART_ARC
(5,9),0.0116932 # DEPENDENCYPART_ARC
(5,10),-0.315411 # DEPENDENCYPART_ARC
(5,11),-0.84116 # DEPENDENCYPART_ARC
(5,12),1.13078 # DEPENDENCYPART_ARC
(5,14),-0.527585 # DEPENDENCYPART_ARC
(5,15),-0.242725 # DEPENDENCYPART_ARC
(5,16),-0.903581 # DEPENDENCYPART_ARC
(5,17),0.478258 # DEPENDENCYPART_ARC
(5,18),-0.517652 # DEPENDENCYPART_ARC
(5,19),0.0494184 # DEPENDENCYPART_ARC
(5,21),-0.700289 # DEPENDENCYPART_ARC
(5,22),-0.740314 # DEPENDENCYPART_ARC
(5,23),-0.605556 # DEPENDENCYPART_ARC
(5,24),0.272814 # DEPENDENCYPART_ARC
(6,1),-0.202034 # DEPENDENCYPART_ARC
(6,2),-1.80027 # DEPENDENCYPART_ARC
(6,3),0.636699 # DEPENDENCYPART_ARC
(6,4),-1.94097 # DEPENDENCYPART_ARC
(6,5),2.39741 # DEPENDENCYPART_ARC
(6,8),-0.595849 # DEPENDENCYPART_ARC
(6,9),-0.732779 # DEPENDENCYPART_ARC
(6,12),-1.33231 # DEPENDENCYPART_ARC
(6,24),0.113451 # DEPENDENCYPART_ARC
(7,1),-0.748602 # DEPENDENCYPART_ARC
(7,2),0.422329 # DEPENDENCYPART_ARC
(7,3),0.0194897 # DEPENDENCYPART_ARC
(7,4),2.54622 # DEPENDENCYPART_ARC
(7,5),0.754998 # DEPENDENCYPART_ARC
(7,6),3.19017 # DEPENDENCYPART_ARC
(7,8),1.28334 # DEPENDENCYPART_ARC
(7,9),0.563674 # DEPENDENCYPART_ARC
