# _root_ Európában elsősorban az olaszok és a franciák híresek kávézóikról , ahol a fekete ital számos változatát készítik , fogyasztásuk pedig mindennapos szertartássá vált .
#goldHeads=9,9,4,5,9,7,5,9,0,9,17,14,14,16,16,17,9,17,23,23,22,23,17,9,
#predictedHeads=17,17,4,17,17,7,8,9,17,23,17,14,14,16,16,17,0,17,23,23,22,23,17,23,
(0,1),-2.03608 # DEPENDENCYPART_ARC
(0,2),-2.09979 # DEPENDENCYPART_ARC
(0,5),-2.77939 # DEPENDENCYPART_ARC
(0,11),-2.91796 # DEPENDENCYPART_ARC
(0,17),-2.45127 # DEPENDENCYPART_ARC
(0,20),-2.42363 # DEPENDENCYPART_ARC
(0,23),-1.10692 # DEPENDENCYPART_ARC
(1,4),-1.2298 # DEPENDENCYPART_ARC
(1,9),-2.39718 # DEPENDENCYPART_ARC
(1,10),-0.285974 # DEPENDENCYPART_ARC
(1,17),-1.75384 # DEPENDENCYPART_ARC
(1,23),-2.1705 # DEPENDENCYPART_ARC
(1,24),0.0106063 # DEPENDENCYPART_ARC
(2,1),0.623897 # DEPENDENCYPART_ARC
(2,4),0.0198044 # DEPENDENCYPART_ARC
(2,5),0.127002 # DEPENDENCYPART_ARC
(2,7),-0.359738 # DEPENDENCYPART_ARC
(2,9),-0.249664 # DEPENDENCYPART_ARC
(2,10),-0.00903698 # DEPENDENCYPART_ARC
(2,11),-0.225957 # DEPENDENCYPART_ARC
(2,14),-0.984549 # DEPENDENCYPART_ARC
(2,16),-0.968981 # DEPENDENCYPART_ARC
(2,17),-0.277812 # DEPENDENCYPART_ARC
(2,18),-0.337331 # DEPENDENCYPART_ARC
(2,19),-1.51081 # DEPENDENCYPART_ARC
(2,20),-0.92423 # DEPENDENCYPART_ARC
(2,23),-0.905219 # DEPENDENCYPART_ARC
(2,24),0.560599 # DEPENDENCYPART_ARC
(4,1),-1.80419 # DEPENDENCYPART_ARC
(4,2),-0.673447 # DEPENDENCYPART_ARC
(4,3),2.6799 # DEPENDENCYPART_ARC
(5,1),-0.0178113 # DEPENDENCYPART_ARC
(5,2),-0.43241 # DEPENDENCYPART_ARC
(5,3),-0.434662 # DEPENDENCYPART_ARC
(5,4),0.428156 # DEPENDENCYPART_ARC
(5,6),-0.428279 # DEPENDENCYPART_ARC
(5,7),0.764478 # DEPENDENCYPART_ARC
(5,8),-0.0946554 # DEPENDENCYPART_ARC
(5,9),0.4835 # DEPENDENCYPART_ARC
(5,10),-0.327752 # DEPENDENCYPART_ARC
(5,11),-0.54202 # DEPENDENCYPART_ARC
(5,13),-0.783633 # DEPENDENCYPART_ARC
(5,14),-0.615124 # DEPENDENCYPART_ARC
(5,15),-0.758422 # DEPENDENCYPART_ARC
(5,16),-1.27942 # DEPENDENCYPART_ARC
(5,17),-0.166773 # DEPENDENCYPART_ARC
(5,18),-0.0302292 # DEPENDENCYPART_ARC
(5,20),-1.11041 # DEPENDENCYPART_ARC
(5,23),-1.47525 # DEPENDENCYPART_ARC
(5,24),-0.0869858 # DEPENDENCYPART_ARC
(7,3),-0.197534 # DEPENDENCYPART_ARC
(7,4),-1.70434 # DEPENDENCYPART_ARC
(7,5),-0.349599 # DEPENDENCYPART_ARC
(7,6),2.82081 # DEPENDENCYPART_ARC
(8,1),-0.364295 # DEPENDENCYPART_ARC
(8,2),-0.556902 # DEPENDENCYPART_ARC
(8,3),0.566669 # DEPENDENCYPART_ARC
(8,4),0.0398112 # DEPENDENCYPART_ARC
(8,5),0.645097 # DEPENDENCYPART_ARC
(8,6),1.44862 # DEPENDENCYPART_ARC
(8,7),1.8741 # DEPENDENCYPART_ARC
(9,1),-3.06753 # DEPENDENCYPART_ARC
(9,2),-0.554876 # DEPENDENCYPART_ARC
(9,3),0.242628 # DEPENDENCYPART_ARC
(9,4),-0.698558 # DEPENDENCYPART_ARC
(9,5),0.316845 # DEPENDENCYPART_ARC
(9,6),1.75658 # DEPENDENCYPART_ARC
(9,7),1.02631 # DEPENDENCYPART_ARC
(9,8),2.49396 # DEPENDENCYPART_ARC
(9,10),-0.0700401 # DEPENDENCYPART_ARC
(9,14),-1.34865 # DEPENDENCYPART_ARC
(9,15),-1.35178 # DEPENDENCYPART_ARC
(9,24),0.186819 # DEPENDENCYPART_ARC
(11,4),-0.336681 # DEPENDENCYPART_ARC
(11,7),0.070364 # DEPENDENCYPART_ARC
(11,9),-0.469803 # DEPENDENCYPART_ARC
(11,10),0.341983 # DEPENDENCYPART_ARC
(11,14),-0.0364703 # DEPENDENCYPART_ARC
(11,16),-0.167605 # DEPENDENCYPART_ARC
(11,17),0.0738223 # DEPENDENCYPART_ARC
(11,18),-0.222878 # DEPENDENCYPART_ARC
(11,19),-1.21426 # DEPENDENCYPART_ARC
(11,22),-1.19256 # DEPENDENCYPART_ARC
(11,23),-0.829427 # DEPENDENCYPART_ARC
(11,24),0.0985348 # DEPENDENCYPART_ARC
(12,13),-0.106398 # DEPENDENCYPART_ARC
(13,9),-2.00283 # DEPENDENCYPART_ARC
(13,11),-0.569249 # DEPENDENCYPART_ARC
(13,12),0.521612 # DEPENDENCYPART_ARC
(14,1),-3.58392 # DEPENDENCYPART_ARC
(14,2),-0.987391 # DEPENDENCYPART_ARC
(14,3),-0.78161 # DEPENDENCYPART_ARC
(14,4),-2.45683 # DEPENDENCYPART_ARC
(14,5),-0.759375 # DEPENDENCYPART_ARC
(14,6),0.0675326 # DEPENDENCYPART_ARC
(14,7),-1.77928 # DEPENDENCYPART_ARC
(14,8),-1.47125 # DEPENDENCYPART_ARC
(14,9),-4.211 # DEPENDENCYPART_ARC
(14,10),-0.460173 # DEPENDENCYPART_ARC
(14,11),-0.345886 # DEPENDENCYPART_ARC
(14,12),2.56708 # DEPENDENCYPART_ARC
(14,13),3.32772 # DEPENDENCYPART_ARC
(14,15),-0.629662 # DEPENDENCYPART_ARC
(14,16),-0.81877 # DEPENDENCYPART_ARC
(14,19),-1.49312 # DEPENDENCYPART_ARC
(14,20),-0.41762 # DEPENDENCYPART_ARC
(14,23),-1.03132 # DEPENDENCYPART_ARC
(14,24),0.24826 # DEPENDENCYPART_ARC
(15,9),-2.08422 # DEPENDENCYPART_ARC
(15,11),-0.480392 # DEPENDENCYPART_ARC
(15,12),-0.343457 # DEPENDENCYPART_ARC
(15,13),-0.850596 # DEPENDENCYPART_ARC
(15,14),-0.448225 # DEPENDENCYPART_ARC
(15,18),-0.519046 # DEPENDENCYPART_ARC
(15,19),-1.58768 # DEPENDENCYPART_ARC
(15,20),-0.866707 # DEPENDENCYPART_ARC
(15,23),-1.37005 # DEPENDENCYPART_ARC
(15,24),-0.435662 # DEPENDENCYPART_ARC
(16,1),-4.49758 # DEPENDENCYPART_ARC
(16,2),-0.423543 # DEPENDENCYPART_ARC
(16,3),-2.4409 # DEPENDENCYPART_ARC
(16,5),-0.520144 # DEPENDENCYPART_ARC
(16,6),-1.60807 # DEPENDENCYPART_ARC
(16,7),0.497323 # DEPENDENCYPART_ARC
(16,8),-1.63963 # DEPENDENCYPART_ARC
(16,9),-2.81656 # DEPENDENCYPART_ARC
(16,10),-0.329011 # DEPENDENCYPART_ARC
(16,11),-0.298867 # DEPENDENCYPART_ARC
(16,12),-0.180371 # DEPENDENCYPART_ARC
(16,13),0.645801 # DEPENDENCYPART_ARC
(16,14),2.42622 # DEPENDENCYPART_ARC
(16,15),2.95591 # DEPENDENCYPART_ARC
(16,19),-2.32624 # DEPENDENCYPART_ARC
(16,23),-1.72823 # DEPENDENCYPART_ARC
(17,1),1.18247 # DEPENDENCYPART_ARC
(17,2),1.63679 # DEPENDENCYPART_ARC
(17,3),-0.592445 # DEPENDENCYPART_ARC
(17,4),1.08664 # DEPENDENCYPART_ARC
(17,5),1.1894 # DEPENDENCYPART_ARC
(17,6),-0.773103 # DEPENDENCYPART_ARC
(17,7),0.902777 # DEPENDENCYPART_ARC
(17,8),0.406091 # DEPENDENCYPART_ARC
(17,9),0.709022 # DEPENDENCYPART_ARC
(17,10),0.810034 # DEPENDENCYPART_ARC
(17,11),2.42073 # DEPENDENCYPART_ARC
(17,12),-0.700355 # DEPENDENCYPART_ARC
(17,13),-0.290444 # DEPENDENCYPART_ARC
(17,14),1.66201 # DEPENDENCYPART_ARC
(17,15),0.563009 # DEPENDENCYPART_ARC
(17,16),3.70962 # DEPENDENCYPART_ARC
(17,18),1.56133 # DEPENDENCYPART_ARC
(17,19),0.029361 # DEPENDENCYPART_ARC
(17,20),0.551266 # DEPENDENCYPART_ARC
(17,21),-0.58128 # DEPENDENCYPART_ARC
(17,22),-1.45219 # DEPENDENCYPART_ARC
(17,23),1.44762 # DEPENDENCYPART_ARC
(17,24),1.7566 # DEPENDENCYPART_ARC
(19,12),-0.618533 # DEPENDENCYPART_ARC
(19,13),-0.454695 # DEPENDENCYPART_ARC
(19,14),-2.15666 # DEPENDENCYPART_ARC
(19,15),-0.489249 # DEPENDENCYPART_ARC
(19,16),-5.65152 # DEPENDENCYPART_ARC
(19,17),-0.674249 # DEPENDENCYPART_ARC
