# _root_ Ha ezt a hitelező nem adja meg , és a bank beváltja a hitelekhez járó állami garanciát , az az érintett gazdáknak az állami agrártámogatásokból való kizárását jelenti .
#goldHeads=28,6,4,6,6,28,6,28,28,11,12,28,14,15,17,17,12,28,28,22,22,28,25,25,26,27,28,0,28,
#predictedHeads=28,6,4,6,6,9,6,9,0,11,12,9,14,15,17,17,12,12,28,22,22,28,25,25,26,27,28,12,6,
(0,1),-2.27127 # DEPENDENCYPART_ARC
(0,2),-3.76038 # DEPENDENCYPART_ARC
(0,4),-3.4828 # DEPENDENCYPART_ARC
(0,5),-2.64083 # DEPENDENCYPART_ARC
(0,6),-1.54556 # DEPENDENCYPART_ARC
(0,7),-2.74775 # DEPENDENCYPART_ARC
(0,9),-1.09695 # DEPENDENCYPART_ARC
(0,12),-1.86904 # DEPENDENCYPART_ARC
(0,28),-1.53496 # DEPENDENCYPART_ARC
(1,4),-1.01177 # DEPENDENCYPART_ARC
(1,6),-0.770552 # DEPENDENCYPART_ARC
(1,7),-0.859009 # DEPENDENCYPART_ARC
(1,8),0.33955 # DEPENDENCYPART_ARC
(1,9),0.0194432 # DEPENDENCYPART_ARC
(1,12),-1.15533 # DEPENDENCYPART_ARC
(1,18),0.376542 # DEPENDENCYPART_ARC
(1,28),-1.13948 # DEPENDENCYPART_ARC
(1,29),-0.0731153 # DEPENDENCYPART_ARC
(2,1),-1.5709 # DEPENDENCYPART_ARC
(2,4),-0.282274 # DEPENDENCYPART_ARC
(2,5),-0.597103 # DEPENDENCYPART_ARC
(2,6),-0.522859 # DEPENDENCYPART_ARC
(2,7),-0.80869 # DEPENDENCYPART_ARC
(2,8),-0.121271 # DEPENDENCYPART_ARC
(2,9),-0.213585 # DEPENDENCYPART_ARC
(2,11),-0.622299 # DEPENDENCYPART_ARC
(2,12),-0.149188 # DEPENDENCYPART_ARC
(2,15),-1.49584 # DEPENDENCYPART_ARC
(2,16),-1.3774 # DEPENDENCYPART_ARC
(2,17),-1.35797 # DEPENDENCYPART_ARC
(2,18),-0.161152 # DEPENDENCYPART_ARC
(2,19),-0.570884 # DEPENDENCYPART_ARC
(2,21),-1.37533 # DEPENDENCYPART_ARC
(2,22),-1.45931 # DEPENDENCYPART_ARC
(2,24),-1.39495 # DEPENDENCYPART_ARC
(2,25),-1.49723 # DEPENDENCYPART_ARC
(2,26),-1.49157 # DEPENDENCYPART_ARC
(2,27),-1.63607 # DEPENDENCYPART_ARC
(2,28),-1.90278 # DEPENDENCYPART_ARC
(2,29),-0.578591 # DEPENDENCYPART_ARC
(4,1),-1.27625 # DEPENDENCYPART_ARC
(4,2),-0.152889 # DEPENDENCYPART_ARC
(4,3),2.849 # DEPENDENCYPART_ARC
(5,1),-0.121304 # DEPENDENCYPART_ARC
(5,2),-0.348412 # DEPENDENCYPART_ARC
(5,4),0.276292 # DEPENDENCYPART_ARC
(5,8),-0.561788 # DEPENDENCYPART_ARC
(5,12),-1.10761 # DEPENDENCYPART_ARC
(5,29),0.648749 # DEPENDENCYPART_ARC
(6,1),1.40408 # DEPENDENCYPART_ARC
(6,2),0.853534 # DEPENDENCYPART_ARC
(6,3),-0.708785 # DEPENDENCYPART_ARC
(6,4),2.90834 # DEPENDENCYPART_ARC
(6,5),3.39895 # DEPENDENCYPART_ARC
(6,7),2.92678 # DEPENDENCYPART_ARC
(6,8),1.81556 # DEPENDENCYPART_ARC
(6,9),0.69369 # DEPENDENCYPART_ARC
(6,10),-1.30711 # DEPENDENCYPART_ARC
(6,11),-0.640985 # DEPENDENCYPART_ARC
(6,12),0.666608 # DEPENDENCYPART_ARC
(6,13),-1.58835 # DEPENDENCYPART_ARC
(6,14),-2.26055 # DEPENDENCYPART_ARC
(6,15),-1.55176 # DEPENDENCYPART_ARC
(6,16),-1.60158 # DEPENDENCYPART_ARC
(6,17),0.597175 # DEPENDENCYPART_ARC
(6,18),0.788249 # DEPENDENCYPART_ARC
(6,19),-2.2163 # DEPENDENCYPART_ARC
(6,22),-0.914546 # DEPENDENCYPART_ARC
(6,25),-2.30968 # DEPENDENCYPART_ARC
(6,27),-0.56225 # DEPENDENCYPART_ARC
(6,28),-1.17755 # DEPENDENCYPART_ARC
(6,29),2.64416 # DEPENDENCYPART_ARC
(7,1),-0.0906931 # DEPENDENCYPART_ARC
(7,4),-0.193865 # DEPENDENCYPART_ARC
(7,5),0.111021 # DEPENDENCYPART_ARC
(7,6),0.0135155 # DEPENDENCYPART_ARC
(7,8),-0.434512 # DEPENDENCYPART_ARC
(7,11),-1.17566 # DEPENDENCYPART_ARC
(7,29),-0.513733 # DEPENDENCYPART_ARC
(9,1),0.966229 # DEPENDENCYPART_ARC
(9,2),-1.38967 # DEPENDENCYPART_ARC
(9,4),-0.398154 # DEPENDENCYPART_ARC
(9,5),0.0143917 # DEPENDENCYPART_ARC
(9,6),1.49054 # DEPENDENCYPART_ARC
(9,8),2.42565 # DEPENDENCYPART_ARC
(9,10),0.184293 # DEPENDENCYPART_ARC
(9,11),0.483961 # DEPENDENCYPART_ARC
(9,12),2.0497 # DEPENDENCYPART_ARC
(9,14),-0.266821 # DEPENDENCYPART_ARC
(9,15),-0.100704 # DEPENDENCYPART_ARC
(9,16),-0.409838 # DEPENDENCYPART_ARC
(9,17),-0.184432 # DEPENDENCYPART_ARC
(9,18),0.703796 # DEPENDENCYPART_ARC
(9,19),-0.20929 # DEPENDENCYPART_ARC
(9,21),-0.828462 # DEPENDENCYPART_ARC
(9,24),-1.0639 # DEPENDENCYPART_ARC
(9,25),-1.14491 # DEPENDENCYPART_ARC
(9,26),-1.12849 # DEPENDENCYPART_ARC
(9,27),-1.33856 # DEPENDENCYPART_ARC
(9,28),0.0941482 # DEPENDENCYPART_ARC
(9,29),2.56531 # DEPENDENCYPART_ARC
(11,2),-2.92704 # DEPENDENCYPART_ARC
(11,9),0.103446 # DEPENDENCYPART_ARC
(11,10),2.87402 # DEPENDENCYPART_ARC
(12,1),0.858145 # DEPENDENCYPART_ARC
(12,2),-1.46173 # DEPENDENCYPART_ARC
(12,3),-1.89623 # DEPENDENCYPART_ARC
(12,4),0.610986 # DEPENDENCYPART_ARC
(12,5),0.409397 # DEPENDENCYPART_ARC
(12,6),-0.268089 # DEPENDENCYPART_ARC
(12,7),0.413318 # DEPENDENCYPART_ARC
(12,8),0.738794 # DEPENDENCYPART_ARC
(12,9),0.510955 # DEPENDENCYPART_ARC
(12,10),-0.621923 # DEPENDENCYPART_ARC
(12,11),3.14331 # DEPENDENCYPART_ARC
(12,13),-0.700629 # DEPENDENCYPART_ARC
(12,14),-0.0529162 # DEPENDENCYPART_ARC
(12,15),-0.410052 # DEPENDENCYPART_ARC
(12,16),-0.626102 # DEPENDENCYPART_ARC
(12,17),2.91958 # DEPENDENCYPART_ARC
(12,18),1.95529 # DEPENDENCYPART_ARC
(12,19),-1.33031 # DEPENDENCYPART_ARC
(12,20),-1.18243 # DEPENDENCYPART_ARC
(12,21),-1.44417 # DEPENDENCYPART_ARC
(12,22),0.797434 # DEPENDENCYPART_ARC
(12,24),-1.77253 # DEPENDENCYPART_ARC
(12,25),-1.22799 # DEPENDENCYPART_ARC
(12,26),-1.30065 # DEPENDENCYPART_ARC
(12,27),0.80185 # DEPENDENCYPART_ARC
(12,28),0.53906 # DEPENDENCYPART_ARC
(12,29),2.51819 # DEPENDENCYPART_ARC
(14,10),-0.579721 # DEPENDENCYPART_ARC
(14,13),2.6457 # DEPENDENCYPART_ARC
(14,28),-2.04656 # DEPENDENCYPART_ARC
(15,2),-1.6495 # DEPENDENCYPART_ARC
(15,4),-1.69587 # DEPENDENCYPART_ARC
(15,5),-1.00711 # DEPENDENCYPART_ARC
(15,6),-0.962655 # DEPENDENCYPART_ARC
(15,10),-0.777525 # DEPENDENCYPART_ARC
(15,11),-0.716342 # DEPENDENCYPART_ARC
(15,12),-0.338709 # DEPENDENCYPART_ARC
(15,13),0.553299 # DEPENDENCYPART_ARC
(15,14),2.56149 # DEPENDENCYPART_ARC
(15,28),-0.983739 # DEPENDENCYPART_ARC
(16,10),-1.34328 # DEPENDENCYPART_ARC
(16,11),-2.09536 # DEPENDENCYPART_ARC
(16,13),-0.521245 # DEPENDENCYPART_ARC
(16,14),0.674892 # DEPENDENCYPART_ARC
(16,15),0.589034 # DEPENDENCYPART_ARC
(17,2),0.0238597 # DEPENDENCYPART_ARC
(17,3),-1.41597 # DEPENDENCYPART_ARC
(17,6),-1.42416 # DEPENDENCYPART_ARC
(17,8),-1.04119 # DEPENDENCYPART_ARC
(17,9),-0.482362 # DEPENDENCYPART_ARC
(17,10),-0.0399824 # DEPENDENCYPART_ARC
(17,11),-1.73047 # DEPENDENCYPART_ARC
(17,12),-0.725041 # DEPENDENCYPART_ARC
(17,13),1.82033 # DEPENDENCYPART_ARC
(17,14),-0.533479 # DEPENDENCYPART_ARC
(17,15),2.91122 # DEPENDENCYPART_ARC
(17,16),3.47379 # DEPENDENCYPART_ARC
(17,18),0.113563 # DEPENDENCYPART_ARC
(17,22),-0.738797 # DEPENDENCYPART_ARC
(17,25),-1.26246 # DEPENDENCYPART_ARC
(17,27),-0.808358 # DEPENDENCYPART_ARC
(17,28),-0.795227 # DEPENDENCYPART_ARC
(17,29),0.533775 # DEPENDENCYPART_ARC
(19,1),0.798561 # DEPENDENCYPART_ARC
(19,6),0.98177 # DEPENDENCYPART_ARC
(19,8),0.823241 # DEPENDENCYPART_ARC
(19,9),0.462266 # DEPENDENCYPART_ARC
(19,11),-0.175334 # DEPENDENCYPART_ARC
(19,12),0.975549 # DEPENDENCYPART_ARC
(19,15),-0.31851 # DEPENDENCYPART_ARC
(19,16),-0.163634 # DEPENDENCYPART_ARC
(19,17),-0.65986 # DEPENDENCYPART_ARC
(19,18),0.239349 # DEPENDENCYPART_ARC
(19,21),-0.239989 # DEPENDENCYPART_ARC
(19,22),0.068567 # DEPENDENCYPART_ARC
(19,24),-0.353859 # DEPENDENCYPART_ARC
(19,25),-0.188249 # DEPENDENCYPART_ARC
(19,26),-0.224464 # DEPENDENCYPART_ARC
(19,27),-0.579754 # DEPENDENCYPART_ARC
(19,28),0.617233 # DEPENDENCYPART_ARC
(19,29),0.775722 # DEPENDENCYPART_ARC
(20,21),0.263874 # DEPENDENCYPART_ARC
(21,17),-1.78907 # DEPENDENCYPART_ARC
(21,19),-1.26863 # DEPENDENCYPART_ARC
(21,20),0.393217 # DEPENDENCYPART_ARC
(22,10),-1.2145 # DEPENDENCYPART_ARC
(22,13),0.188109 # DEPENDENCYPART_ARC
(22,14),-2.37763 # DEPENDENCYPART_ARC
(22,15),0.139382 # DEPENDENCYPART_ARC
(22,16),0.256311 # DEPENDENCYPART_ARC
(22,17),-2.37606 # DEPENDENCYPART_ARC
(22,18),-0.640491 # DEPENDENCYPART_ARC
(22,19),0.134751 # DEPENDENCYPART_ARC
(22,20),2.65686 # DEPENDENCYPART_ARC
(22,21),3.65027 # DEPENDENCYPART_ARC
(22,23),-1.0928 # DEPENDENCYPART_ARC
(22,24),-0.389588 # DEPENDENCYPART_ARC
(22,25),-0.720926 # DEPENDENCYPART_ARC
(22,27),-1.10561 # DEPENDENCYPART_ARC
(23,24),0.194246 # DEPENDENCYPART_ARC
(24,20),-1.53857 # DEPENDENCYPART_ARC
(24,22),-3.70783 # DEPENDENCYPART_ARC
(24,23),-0.385757 # DEPENDENCYPART_ARC
(25,13),-0.891682 # DEPENDENCYPART_ARC
(25,16),-0.533808 # DEPENDENCYPART_ARC
(25,19),-1.13468 # DEPENDENCYPART_ARC
(25,20),0.611407 # DEPENDENCYPART_ARC
(25,21),1.22973 # DEPENDENCYPART_ARC
(25,22),-2.4343 # DEPENDENCYPART_ARC
(25,23),2.57516 # DEPENDENCYPART_ARC
(25,24),4.08678 # DEPENDENCYPART_ARC
(25,27),-1.81349 # DEPENDENCYPART_ARC
(26,14),0.212452 # DEPENDENCYPART_ARC
(26,17),-0.756147 # DEPENDENCYPART_ARC
(26,18),-0.426037 # DEPENDENCYPART_ARC
(26,19),-1.01047 # DEPENDENCYPART_ARC
(26,20),-0.232439 # DEPENDENCYPART_ARC
(26,21),-0.620448 # DEPENDENCYPART_ARC
(26,22),-2.05014 # DEPENDENCYPART_ARC
(26,23),0.0248146 # DEPENDENCYPART_ARC
(26,24),0.447772 # DEPENDENCYPART_ARC
(26,25),2.48093 # DEPENDENCYPART_ARC
(27,9),-0.843876 # DEPENDENCYPART_ARC
(27,13),-1.90266 # DEPENDENCYPART_ARC
(27,14),-1.59456 # DEPENDENCYPART_ARC
(27,15),-0.684848 # DEPENDENCYPART_ARC
(27,16),-0.669771 # DEPENDENCYPART_ARC
(27,17),-3.28377 # DEPENDENCYPART_ARC
(27,19),-0.353265 # DEPENDENCYPART_ARC
(27,20),-0.349243 # DEPENDENCYPART_ARC
(27,21),0.510431 # DEPENDENCYPART_ARC
(27,22),-0.942461 # DEPENDENCYPART_ARC
(27,23),0.495348 # DEPENDENCYPART_ARC
(27,24),1.68318 # DEPENDENCYPART_ARC
(27,25),0.173279 # DEPENDENCYPART_ARC
(27,26),3.20462 # DEPENDENCYPART_ARC
(28,1),1.88625 # DEPENDENCYPART_ARC
(28,2),-1.0589 # DEPENDENCYPART_ARC
(28,4),-0.579873 # DEPENDENCYPART_ARC
(28,5),-0.294316 # DEPENDENCYPART_ARC
(28,6),0.709345 # DEPENDENCYPART_ARC
(28,8),0.493346 # DEPENDENCYPART_ARC
(28,9),0.390105 # DEPENDENCYPART_ARC
(28,11),0.406347 # DEPENDENCYPART_ARC
(28,12),0.813233 # DEPENDENCYPART_ARC
(28,13),-0.758655 # DEPENDENCYPART_ARC
(28,14),-1.28988 # DEPENDENCYPART_ARC
(28,15),-0.641277 # DEPENDENCYPART_ARC
(28,16),-0.766947 # DEPENDENCYPART_ARC
(28,17),0.299329 # DEPENDENCYPART_ARC
