# _root_ Tudjuk , ahányfajta életmód , anynyiféle kultúra .
#goldHeads=0,1,4,1,1,7,1,1,
#predictedHeads=0,1,4,1,1,7,1,1,
(0,1),-0.465602 # DEPENDENCYPART_ARC
(0,3),-2.34838 # DEPENDENCYPART_ARC
(0,4),-2.92085 # DEPENDENCYPART_ARC
(0,6),-2.57543 # DEPENDENCYPART_ARC
(0,7),-3.47334 # DEPENDENCYPART_ARC
(1,2),2.30892 # DEPENDENCYPART_ARC
(1,3),0.330503 # DEPENDENCYPART_ARC
(1,4),0.447099 # DEPENDENCYPART_ARC
(1,5),1.31803 # DEPENDENCYPART_ARC
(1,6),0.246183 # DEPENDENCYPART_ARC
(1,7),-0.355061 # DEPENDENCYPART_ARC
(1,8),2.19806 # DEPENDENCYPART_ARC
(3,1),0.111893 # DEPENDENCYPART_ARC
(3,2),0.241642 # DEPENDENCYPART_ARC
(3,4),0.136211 # DEPENDENCYPART_ARC
(3,5),-0.0647391 # DEPENDENCYPART_ARC
(3,7),-1.12794 # DEPENDENCYPART_ARC
(3,8),-0.840901 # DEPENDENCYPART_ARC
(4,1),-0.42747 # DEPENDENCYPART_ARC
(4,2),0.77361 # DEPENDENCYPART_ARC
(4,3),3.34934 # DEPENDENCYPART_ARC
(4,5),0.422501 # DEPENDENCYPART_ARC
(4,6),-0.290559 # DEPENDENCYPART_ARC
(4,7),-0.448343 # DEPENDENCYPART_ARC
(4,8),0.122395 # DEPENDENCYPART_ARC
(6,1),-0.197867 # DEPENDENCYPART_ARC
(6,2),0.138768 # DEPENDENCYPART_ARC
(6,3),0.48647 # DEPENDENCYPART_ARC
(6,4),0.219688 # DEPENDENCYPART_ARC
(6,5),0.714244 # DEPENDENCYPART_ARC
(6,7),0.0923073 # DEPENDENCYPART_ARC
(6,8),0.0920239 # DEPENDENCYPART_ARC
(7,1),-0.961908 # DEPENDENCYPART_ARC
(7,2),0.601412 # DEPENDENCYPART_ARC
(7,3),1.01421 # DEPENDENCYPART_ARC
(7,4),0.0295239 # DEPENDENCYPART_ARC
(7,5),0.740725 # DEPENDENCYPART_ARC
(7,6),1.99552 # DEPENDENCYPART_ARC
(7,8),0.048408 # DEPENDENCYPART_ARC
