# _root_ " Előzőleg minden békés , tárgyalásos lehetőséggel megpróbálkoztunk , ám ezek kudarcot vallottak " — emlékeztetett .
#goldHeads=16,8,7,7,7,7,8,16,8,8,13,13,8,16,16,0,16,
#predictedHeads=16,8,7,7,7,7,8,10,10,16,13,13,10,16,16,0,10,
(0,2),-1.86212 # DEPENDENCYPART_ARC
(0,3),-2.40507 # DEPENDENCYPART_ARC
(0,4),-2.30052 # DEPENDENCYPART_ARC
(0,8),-1.48217 # DEPENDENCYPART_ARC
(0,10),-0.265365 # DEPENDENCYPART_ARC
(0,11),-3.15661 # DEPENDENCYPART_ARC
(0,13),-1.82731 # DEPENDENCYPART_ARC
(0,16),-0.639491 # DEPENDENCYPART_ARC
(2,1),-0.0344554 # DEPENDENCYPART_ARC
(2,4),-0.0705108 # DEPENDENCYPART_ARC
(2,5),-0.103181 # DEPENDENCYPART_ARC
(2,6),-0.367653 # DEPENDENCYPART_ARC
(2,7),-0.645212 # DEPENDENCYPART_ARC
(2,8),-0.0195793 # DEPENDENCYPART_ARC
(2,9),-0.380639 # DEPENDENCYPART_ARC
(2,10),-0.0891685 # DEPENDENCYPART_ARC
(2,12),-1.5026 # DEPENDENCYPART_ARC
(2,13),-0.510912 # DEPENDENCYPART_ARC
(2,14),-0.430411 # DEPENDENCYPART_ARC
(2,15),-0.509318 # DEPENDENCYPART_ARC
(2,16),-0.91962 # DEPENDENCYPART_ARC
(2,17),0.354359 # DEPENDENCYPART_ARC
(3,1),-0.267708 # DEPENDENCYPART_ARC
(3,2),0.330979 # DEPENDENCYPART_ARC
(4,1),-0.0543704 # DEPENDENCYPART_ARC
(4,2),0.440206 # DEPENDENCYPART_ARC
(4,3),0.384599 # DEPENDENCYPART_ARC
(4,5),0.0205527 # DEPENDENCYPART_ARC
(4,6),-0.927876 # DEPENDENCYPART_ARC
(4,7),-1.03178 # DEPENDENCYPART_ARC
(4,8),-0.68483 # DEPENDENCYPART_ARC
(4,9),-0.674358 # DEPENDENCYPART_ARC
(4,10),-0.865591 # DEPENDENCYPART_ARC
(4,13),-0.928936 # DEPENDENCYPART_ARC
(4,14),-0.386701 # DEPENDENCYPART_ARC
(4,15),-0.387659 # DEPENDENCYPART_ARC
(4,16),-0.876597 # DEPENDENCYPART_ARC
(4,17),0.568772 # DEPENDENCYPART_ARC
(6,1),-0.16804 # DEPENDENCYPART_ARC
(6,2),0.143597 # DEPENDENCYPART_ARC
(6,3),-0.713057 # DEPENDENCYPART_ARC
(6,4),-0.0945461 # DEPENDENCYPART_ARC
(6,5),0.479513 # DEPENDENCYPART_ARC
(6,8),-0.743818 # DEPENDENCYPART_ARC
(6,9),-0.437835 # DEPENDENCYPART_ARC
(6,10),-1.15212 # DEPENDENCYPART_ARC
(6,13),-1.127 # DEPENDENCYPART_ARC
(6,14),-0.358026 # DEPENDENCYPART_ARC
(6,15),-0.346387 # DEPENDENCYPART_ARC
(6,16),-0.977173 # DEPENDENCYPART_ARC
(6,17),0.146292 # DEPENDENCYPART_ARC
(7,1),-0.0189724 # DEPENDENCYPART_ARC
(7,2),0.0241347 # DEPENDENCYPART_ARC
(7,3),1.07675 # DEPENDENCYPART_ARC
(7,4),1.6924 # DEPENDENCYPART_ARC
(7,5),1.73724 # DEPENDENCYPART_ARC
(7,6),3.30029 # DEPENDENCYPART_ARC
(7,8),-1.13677 # DEPENDENCYPART_ARC
(7,9),-0.647348 # DEPENDENCYPART_ARC
(7,10),-0.694397 # DEPENDENCYPART_ARC
(7,13),-1.35259 # DEPENDENCYPART_ARC
(7,14),0.0574547 # DEPENDENCYPART_ARC
(7,15),-0.416588 # DEPENDENCYPART_ARC
(7,16),-0.919295 # DEPENDENCYPART_ARC
(7,17),0.426998 # DEPENDENCYPART_ARC
(8,1),0.813462 # DEPENDENCYPART_ARC
(8,2),1.22291 # DEPENDENCYPART_ARC
(8,3),-1.05101 # DEPENDENCYPART_ARC
(8,4),-0.460161 # DEPENDENCYPART_ARC
(8,5),1.07262 # DEPENDENCYPART_ARC
(8,6),0.190308 # DEPENDENCYPART_ARC
(8,7),3.24611 # DEPENDENCYPART_ARC
(8,9),1.69094 # DEPENDENCYPART_ARC
(8,10),0.980189 # DEPENDENCYPART_ARC
(8,11),-1.00833 # DEPENDENCYPART_ARC
(8,12),-0.942105 # DEPENDENCYPART_ARC
(8,13),1.09156 # DEPENDENCYPART_ARC
(8,14),0.891093 # DEPENDENCYPART_ARC
(8,15),0.233718 # DEPENDENCYPART_ARC
(8,16),-0.0861928 # DEPENDENCYPART_ARC
(8,17),2.2585 # DEPENDENCYPART_ARC
(10,1),0.415043 # DEPENDENCYPART_ARC
(10,2),0.211798 # DEPENDENCYPART_ARC
(10,4),-0.589793 # DEPENDENCYPART_ARC
(10,5),0.784734 # DEPENDENCYPART_ARC
(10,6),-0.280834 # DEPENDENCYPART_ARC
(10,7),-0.444839 # DEPENDENCYPART_ARC
(10,8),2.06272 # DEPENDENCYPART_ARC
(10,9),2.03085 # DEPENDENCYPART_ARC
(10,11),-0.829422 # DEPENDENCYPART_ARC
(10,12),-0.262225 # DEPENDENCYPART_ARC
(10,13),1.71535 # DEPENDENCYPART_ARC
(10,14),0.486564 # DEPENDENCYPART_ARC
(10,15),0.601987 # DEPENDENCYPART_ARC
(10,16),0.781317 # DEPENDENCYPART_ARC
(10,17),2.97762 # DEPENDENCYPART_ARC
(11,1),-0.88022 # DEPENDENCYPART_ARC
(11,2),-0.995449 # DEPENDENCYPART_ARC
(11,3),-1.25703 # DEPENDENCYPART_ARC
(11,4),-1.39153 # DEPENDENCYPART_ARC
(11,5),-0.556075 # DEPENDENCYPART_ARC
(11,8),-1.1547 # DEPENDENCYPART_ARC
(11,9),-0.762694 # DEPENDENCYPART_ARC
(11,10),-0.398268 # DEPENDENCYPART_ARC
(11,12),-0.327494 # DEPENDENCYPART_ARC
(11,13),0.0491933 # DEPENDENCYPART_ARC
(11,14),-0.421665 # DEPENDENCYPART_ARC
(11,15),-0.582072 # DEPENDENCYPART_ARC
(11,16),0.244029 # DEPENDENCYPART_ARC
(11,17),0.211167 # DEPENDENCYPART_ARC
(12,3),-0.987765 # DEPENDENCYPART_ARC
