# _root_ Óriási tévedés azt gondolni , hogy szórólapot terjeszteni semmivel sem nehezebb , mint mondjuk influenzát .
#goldHeads=2,4,4,0,4,4,8,3,8,8,8,8,8,3,14,4,
#predictedHeads=2,4,4,0,4,4,8,3,8,13,3,3,3,3,14,4,
(0,1),-1.96701 # DEPENDENCYPART_ARC
(0,2),-2.49934 # DEPENDENCYPART_ARC
(0,3),-4.09173 # DEPENDENCYPART_ARC
(0,4),-1.98014 # DEPENDENCYPART_ARC
(0,6),-0.789049 # DEPENDENCYPART_ARC
(0,8),-2.88069 # DEPENDENCYPART_ARC
(0,10),-2.89989 # DEPENDENCYPART_ARC
(0,13),-1.76133 # DEPENDENCYPART_ARC
(0,14),-2.83081 # DEPENDENCYPART_ARC
(1,4),-1.08053 # DEPENDENCYPART_ARC
(1,5),-0.8055 # DEPENDENCYPART_ARC
(1,6),-1.15686 # DEPENDENCYPART_ARC
(1,8),-1.5542 # DEPENDENCYPART_ARC
(1,9),-1.89962 # DEPENDENCYPART_ARC
(1,10),-1.34809 # DEPENDENCYPART_ARC
(2,1),3.33212 # DEPENDENCYPART_ARC
(2,4),0.17377 # DEPENDENCYPART_ARC
(2,5),0.0370289 # DEPENDENCYPART_ARC
(2,7),-1.52853 # DEPENDENCYPART_ARC
(2,8),-0.212457 # DEPENDENCYPART_ARC
(2,11),-0.820747 # DEPENDENCYPART_ARC
(2,15),-2.85578 # DEPENDENCYPART_ARC
(2,16),1.09811 # DEPENDENCYPART_ARC
(3,1),-0.019813 # DEPENDENCYPART_ARC
(3,2),-0.429729 # DEPENDENCYPART_ARC
(3,4),0.598803 # DEPENDENCYPART_ARC
(3,5),0.920045 # DEPENDENCYPART_ARC
(3,6),0.847113 # DEPENDENCYPART_ARC
(3,7),0.179604 # DEPENDENCYPART_ARC
(3,8),1.50563 # DEPENDENCYPART_ARC
(3,9),0.0933009 # DEPENDENCYPART_ARC
(3,10),0.668623 # DEPENDENCYPART_ARC
(3,11),1.37824 # DEPENDENCYPART_ARC
(3,12),1.43014 # DEPENDENCYPART_ARC
(3,13),0.957666 # DEPENDENCYPART_ARC
(3,14),2.93944 # DEPENDENCYPART_ARC
(3,15),-0.00237606 # DEPENDENCYPART_ARC
(3,16),0.73341 # DEPENDENCYPART_ARC
(4,1),1.20301 # DEPENDENCYPART_ARC
(4,2),1.61987 # DEPENDENCYPART_ARC
(4,3),4.09338 # DEPENDENCYPART_ARC
(4,5),2.12012 # DEPENDENCYPART_ARC
(4,6),1.72155 # DEPENDENCYPART_ARC
(4,7),0.415857 # DEPENDENCYPART_ARC
(4,8),0.548793 # DEPENDENCYPART_ARC
(4,9),-0.363669 # DEPENDENCYPART_ARC
(4,10),-0.534193 # DEPENDENCYPART_ARC
(4,11),0.109753 # DEPENDENCYPART_ARC
(4,12),0.242821 # DEPENDENCYPART_ARC
(4,13),0.131548 # DEPENDENCYPART_ARC
(4,14),0.470099 # DEPENDENCYPART_ARC
(4,15),-0.843661 # DEPENDENCYPART_ARC
(4,16),1.93471 # DEPENDENCYPART_ARC
(6,1),0.204048 # DEPENDENCYPART_ARC
(6,2),0.193298 # DEPENDENCYPART_ARC
(6,3),-0.783777 # DEPENDENCYPART_ARC
(6,4),-0.10024 # DEPENDENCYPART_ARC
(6,5),1.1275 # DEPENDENCYPART_ARC
(6,7),-1.25993 # DEPENDENCYPART_ARC
(6,8),0.660766 # DEPENDENCYPART_ARC
(6,11),-0.411494 # DEPENDENCYPART_ARC
(6,12),-0.0341528 # DEPENDENCYPART_ARC
(6,13),0.0718986 # DEPENDENCYPART_ARC
(6,14),-0.370142 # DEPENDENCYPART_ARC
(6,15),-2.34827 # DEPENDENCYPART_ARC
(6,16),1.7612 # DEPENDENCYPART_ARC
(7,2),-2.40851 # DEPENDENCYPART_ARC
(7,3),-1.22794 # DEPENDENCYPART_ARC
(7,4),-0.348925 # DEPENDENCYPART_ARC
(7,5),-0.708044 # DEPENDENCYPART_ARC
