# _root_ — 1997 telén a szponzorokkal megállapodtunk , hogy a ' 98-as szezonra egy F2-es Opel_Astrát vásárolunk , amit egy jó nevű német cég készít fel a versenyekre — nyilatkozta az újdonsült bronzérmes .
#goldHeads=29,3,6,5,6,29,6,6,12,12,12,16,15,15,16,6,16,24,23,21,23,23,24,16,24,27,24,29,0,32,32,29,29,
#predictedHeads=29,3,6,5,6,29,29,6,12,29,12,16,14,15,16,29,16,24,23,21,23,23,24,29,24,27,24,29,0,32,32,29,29,
(0,2),-2.18192 # DEPENDENCYPART_ARC
(0,3),-3.34421 # DEPENDENCYPART_ARC
(0,6),-1.54418 # DEPENDENCYPART_ARC
(0,8),-1.60345 # DEPENDENCYPART_ARC
(0,16),-2.23484 # DEPENDENCYPART_ARC
(0,24),-2.54538 # DEPENDENCYPART_ARC
(0,25),-4.20079 # DEPENDENCYPART_ARC
(0,29),2.10251 # DEPENDENCYPART_ARC
(2,1),0.061113 # DEPENDENCYPART_ARC
(2,3),-0.901032 # DEPENDENCYPART_ARC
(2,5),-1.86397 # DEPENDENCYPART_ARC
(2,6),-1.20464 # DEPENDENCYPART_ARC
(2,7),-0.614194 # DEPENDENCYPART_ARC
(2,12),-2.02314 # DEPENDENCYPART_ARC
(2,16),-1.58836 # DEPENDENCYPART_ARC
(2,24),-1.56769 # DEPENDENCYPART_ARC
(2,28),-1.70245 # DEPENDENCYPART_ARC
(2,29),-1.91544 # DEPENDENCYPART_ARC
(2,33),1.12086 # DEPENDENCYPART_ARC
(3,1),-0.0848547 # DEPENDENCYPART_ARC
(3,2),2.85175 # DEPENDENCYPART_ARC
(3,4),-1.3148 # DEPENDENCYPART_ARC
(3,5),0.0342588 # DEPENDENCYPART_ARC
(3,7),-0.232537 # DEPENDENCYPART_ARC
(3,12),-1.65106 # DEPENDENCYPART_ARC
(3,14),-0.86347 # DEPENDENCYPART_ARC
(3,24),-1.53874 # DEPENDENCYPART_ARC
(3,29),-1.63569 # DEPENDENCYPART_ARC
(3,33),1.2792 # DEPENDENCYPART_ARC
(5,1),-1.17034 # DEPENDENCYPART_ARC
(5,2),-1.42656 # DEPENDENCYPART_ARC
(5,3),-2.32581 # DEPENDENCYPART_ARC
(5,4),2.26823 # DEPENDENCYPART_ARC
(5,33),0.203076 # DEPENDENCYPART_ARC
(6,1),0.998903 # DEPENDENCYPART_ARC
(6,2),-0.422468 # DEPENDENCYPART_ARC
(6,3),3.09918 # DEPENDENCYPART_ARC
(6,4),0.230739 # DEPENDENCYPART_ARC
(6,5),3.76995 # DEPENDENCYPART_ARC
(6,7),1.63102 # DEPENDENCYPART_ARC
(6,8),2.56085 # DEPENDENCYPART_ARC
(6,9),-0.266631 # DEPENDENCYPART_ARC
(6,10),0.181055 # DEPENDENCYPART_ARC
(6,11),-1.02914 # DEPENDENCYPART_ARC
(6,12),-0.834218 # DEPENDENCYPART_ARC
(6,14),-0.451495 # DEPENDENCYPART_ARC
(6,15),-2.2871 # DEPENDENCYPART_ARC
(6,16),1.49742 # DEPENDENCYPART_ARC
(6,17),0.586412 # DEPENDENCYPART_ARC
(6,18),-3.01006 # DEPENDENCYPART_ARC
(6,20),-2.16733 # DEPENDENCYPART_ARC
(6,21),-2.0931 # DEPENDENCYPART_ARC
(6,23),-3.15273 # DEPENDENCYPART_ARC
(6,24),0.502459 # DEPENDENCYPART_ARC
(6,25),-0.252415 # DEPENDENCYPART_ARC
(6,27),-0.879929 # DEPENDENCYPART_ARC
(6,28),-0.664878 # DEPENDENCYPART_ARC
(6,29),-1.03646 # DEPENDENCYPART_ARC
(6,32),-2.99477 # DEPENDENCYPART_ARC
(6,33),2.89232 # DEPENDENCYPART_ARC
(8,1),0.366577 # DEPENDENCYPART_ARC
(8,3),-0.288864 # DEPENDENCYPART_ARC
(8,5),0.129957 # DEPENDENCYPART_ARC
(8,6),0.489243 # DEPENDENCYPART_ARC
(8,7),0.929518 # DEPENDENCYPART_ARC
(8,10),-0.35392 # DEPENDENCYPART_ARC
(8,11),-0.538119 # DEPENDENCYPART_ARC
(8,12),-1.55035 # DEPENDENCYPART_ARC
(8,15),-1.65002 # DEPENDENCYPART_ARC
(8,16),0.164215 # DEPENDENCYPART_ARC
(8,17),-0.0738106 # DEPENDENCYPART_ARC
(8,24),-0.520846 # DEPENDENCYPART_ARC
(8,28),-1.24491 # DEPENDENCYPART_ARC
(8,29),-1.24225 # DEPENDENCYPART_ARC
(8,33),1.44684 # DEPENDENCYPART_ARC
(9,10),0.247178 # DEPENDENCYPART_ARC
(9,11),0.106771 # DEPENDENCYPART_ARC
(11,2),-1.1873 # DEPENDENCYPART_ARC
(11,3),-2.0107 # DEPENDENCYPART_ARC
(11,4),-1.19306 # DEPENDENCYPART_ARC
(11,5),-1.60276 # DEPENDENCYPART_ARC
(11,6),-0.858712 # DEPENDENCYPART_ARC
(11,7),-0.244384 # DEPENDENCYPART_ARC
(11,8),-0.395815 # DEPENDENCYPART_ARC
(11,9),0.224231 # DEPENDENCYPART_ARC
(11,10),0.436278 # DEPENDENCYPART_ARC
(11,15),-1.77718 # DEPENDENCYPART_ARC
(12,1),-0.763981 # DEPENDENCYPART_ARC
(12,2),-0.886099 # DEPENDENCYPART_ARC
(12,3),-4.63267 # DEPENDENCYPART_ARC
(12,4),-0.310921 # DEPENDENCYPART_ARC
(12,5),-3.28326 # DEPENDENCYPART_ARC
(12,6),-1.63076 # DEPENDENCYPART_ARC
(12,7),-0.266705 # DEPENDENCYPART_ARC
(12,8),-0.555777 # DEPENDENCYPART_ARC
(12,9),1.97991 # DEPENDENCYPART_ARC
(12,10),1.33057 # DEPENDENCYPART_ARC
(12,11),3.37382 # DEPENDENCYPART_ARC
(12,14),-0.00177968 # DEPENDENCYPART_ARC
(12,15),-0.0646455 # DEPENDENCYPART_ARC
(12,17),0.413228 # DEPENDENCYPART_ARC
(12,23),-0.802917 # DEPENDENCYPART_ARC
(12,24),-0.712773 # DEPENDENCYPART_ARC
(12,27),-1.17863 # DEPENDENCYPART_ARC
(12,28),0.519297 # DEPENDENCYPART_ARC
(12,29),-0.52636 # DEPENDENCYPART_ARC
(12,33),1.574 # DEPENDENCYPART_ARC
(14,1),-0.745719 # DEPENDENCYPART_ARC
(14,4),-0.631962 # DEPENDENCYPART_ARC
(14,6),-0.546726 # DEPENDENCYPART_ARC
(14,7),-0.349101 # DEPENDENCYPART_ARC
(14,8),-0.173093 # DEPENDENCYPART_ARC
(14,9),0.107464 # DEPENDENCYPART_ARC
(14,10),-0.102253 # DEPENDENCYPART_ARC
(14,11),0.134164 # DEPENDENCYPART_ARC
(14,12),-0.0132313 # DEPENDENCYPART_ARC
(14,13),1.78515 # DEPENDENCYPART_ARC
(14,15),-0.087969 # DEPENDENCYPART_ARC
(14,16),-0.307499 # DEPENDENCYPART_ARC
(14,17),-0.108297 # DEPENDENCYPART_ARC
(14,23),-1.20408 # DEPENDENCYPART_ARC
(14,27),-1.18777 # DEPENDENCYPART_ARC
(15,9),-0.0383978 # DEPENDENCYPART_ARC
(15,10),0.447876 # DEPENDENCYPART_ARC
(15,11),-0.350056 # DEPENDENCYPART_ARC
(15,12),-1.7305 # DEPENDENCYPART_ARC
(15,13),0.994667 # DEPENDENCYPART_ARC
(15,14),2.11972 # DEPENDENCYPART_ARC
(15,17),-0.423598 # DEPENDENCYPART_ARC
(15,23),-1.45978 # DEPENDENCYPART_ARC
(15,24),-1.38876 # DEPENDENCYPART_ARC
(15,32),-1.98855 # DEPENDENCYPART_ARC
(15,33),0.476239 # DEPENDENCYPART_ARC
(16,1),0.415654 # DEPENDENCYPART_ARC
(16,2),-2.03012 # DEPENDENCYPART_ARC
(16,3),1.14465 # DEPENDENCYPART_ARC
(16,4),-0.76297 # DEPENDENCYPART_ARC
(16,5),1.30109 # DEPENDENCYPART_ARC
(16,6),-0.787025 # DEPENDENCYPART_ARC
(16,7),0.30287 # DEPENDENCYPART_ARC
(16,8),0.394945 # DEPENDENCYPART_ARC
(16,9),-0.299812 # DEPENDENCYPART_ARC
(16,10),0.478475 # DEPENDENCYPART_ARC
(16,11),-0.541987 # DEPENDENCYPART_ARC
(16,12),2.15901 # DEPENDENCYPART_ARC
(16,13),0.035202 # DEPENDENCYPART_ARC
(16,14),1.19696 # DEPENDENCYPART_ARC
(16,15),3.35486 # DEPENDENCYPART_ARC
(16,17),1.84396 # DEPENDENCYPART_ARC
(16,18),-1.12941 # DEPENDENCYPART_ARC
(16,20),-0.727793 # DEPENDENCYPART_ARC
(16,21),-0.73434 # DEPENDENCYPART_ARC
(16,22),-0.903492 # DEPENDENCYPART_ARC
(16,23),-1.25728 # DEPENDENCYPART_ARC
(16,24),1.00063 # DEPENDENCYPART_ARC
(16,25),0.498538 # DEPENDENCYPART_ARC
(16,27),0.358695 # DEPENDENCYPART_ARC
(16,28),-0.0356289 # DEPENDENCYPART_ARC
(16,29),-0.347337 # DEPENDENCYPART_ARC
(16,32),-1.54656 # DEPENDENCYPART_ARC
(16,33),3.17245 # DEPENDENCYPART_ARC
(18,20),-0.113896 # DEPENDENCYPART_ARC
(18,21),0.182664 # DEPENDENCYPART_ARC
(18,22),0.198007 # DEPENDENCYPART_ARC
(18,23),-0.0955743 # DEPENDENCYPART_ARC
(18,27),-1.28548 # DEPENDENCYPART_ARC
(18,32),-0.192771 # DEPENDENCYPART_ARC
(19,20),-0.134908 # DEPENDENCYPART_ARC
(19,21),-0.341904 # DEPENDENCYPART_ARC
(20,18),-1.91654 # DEPENDENCYPART_ARC
(20,19),-0.570255 # DEPENDENCYPART_ARC
(20,21),-0.926818 # DEPENDENCYPART_ARC
(21,2),-1.15295 # DEPENDENCYPART_ARC
(21,6),-0.635571 # DEPENDENCYPART_ARC
(21,8),-0.618138 # DEPENDENCYPART_ARC
(21,14),0.148448 # DEPENDENCYPART_ARC
(21,15),-0.512627 # DEPENDENCYPART_ARC
(21,16),0.0170109 # DEPENDENCYPART_ARC
(21,17),0.182756 # DEPENDENCYPART_ARC
(21,18),0.0869541 # DEPENDENCYPART_ARC
(21,19),0.850633 # DEPENDENCYPART_ARC
(21,20),2.53132 # DEPENDENCYPART_ARC
(21,32),-1.68958 # DEPENDENCYPART_ARC
(22,14),-1.61872 # DEPENDENCYPART_ARC
(22,18),-1.91096 # DEPENDENCYPART_ARC
(22,19),-1.2514 # DEPENDENCYPART_ARC
(22,20),-0.316683 # DEPENDENCYPART_ARC
(22,21),0.381119 # DEPENDENCYPART_ARC
(23,2),-1.08721 # DEPENDENCYPART_ARC
(23,4),-1.71037 # DEPENDENCYPART_ARC
(23,9),-0.232329 # DEPENDENCYPART_ARC
(23,11),-0.123186 # DEPENDENCYPART_ARC
(23,13),1.03106 # DEPENDENCYPART_ARC
(23,14),0.43977 # DEPENDENCYPART_ARC
(23,15),-2.7168 # DEPENDENCYPART_ARC
(23,16),-0.538405 # DEPENDENCYPART_ARC
(23,17),0.0426952 # DEPENDENCYPART_ARC
(23,18),-0.516876 # DEPENDENCYPART_ARC
(23,19),3.03849 # DEPENDENCYPART_ARC
(23,20),2.42983 # DEPENDENCYPART_ARC
(23,21),3.15555 # DEPENDENCYPART_ARC
(23,22),4.20382 # DEPENDENCYPART_ARC
(23,27),-1.95679 # DEPENDENCYPART_ARC
(23,32),-1.39595 # DEPENDENCYPART_ARC
(24,1),0.467176 # DEPENDENCYPART_ARC
(24,2),-2.02269 # DEPENDENCYPART_ARC
