# _root_ Egybehangzó kommentárok szerint az együttes nemcsak hogy hullámvölgybe került , hanem alapjaiban rendült meg , sőt széthullóban van .
#goldHeads=2,3,9,5,9,9,9,9,16,16,16,13,16,13,16,0,18,16,16,
#predictedHeads=2,3,9,5,9,9,9,9,11,11,13,13,16,13,13,0,18,16,11,
(0,3),-3.21414 # DEPENDENCYPART_ARC
(0,6),-2.53729 # DEPENDENCYPART_ARC
(0,7),-2.10411 # DEPENDENCYPART_ARC
(0,9),-1.86182 # DEPENDENCYPART_ARC
(0,11),-0.425556 # DEPENDENCYPART_ARC
(0,13),-1.98953 # DEPENDENCYPART_ARC
(0,14),-3.32063 # DEPENDENCYPART_ARC
(0,16),-0.660293 # DEPENDENCYPART_ARC
(0,17),-2.71554 # DEPENDENCYPART_ARC
(0,18),-2.37374 # DEPENDENCYPART_ARC
(1,19),-0.241044 # DEPENDENCYPART_ARC
(2,1),3.04398 # DEPENDENCYPART_ARC
(2,5),-1.68048 # DEPENDENCYPART_ARC
(3,1),0.631325 # DEPENDENCYPART_ARC
(3,2),3.87157 # DEPENDENCYPART_ARC
(3,5),-0.0510494 # DEPENDENCYPART_ARC
(3,6),-0.0611794 # DEPENDENCYPART_ARC
(3,8),-0.382118 # DEPENDENCYPART_ARC
(3,9),-0.156071 # DEPENDENCYPART_ARC
(3,10),0.152769 # DEPENDENCYPART_ARC
(3,12),-0.593374 # DEPENDENCYPART_ARC
(3,13),-0.309308 # DEPENDENCYPART_ARC
(3,15),-0.0135994 # DEPENDENCYPART_ARC
(3,18),-0.155343 # DEPENDENCYPART_ARC
(3,19),-0.0845999 # DEPENDENCYPART_ARC
(5,1),-0.595706 # DEPENDENCYPART_ARC
(5,2),-2.02476 # DEPENDENCYPART_ARC
(5,3),-0.684573 # DEPENDENCYPART_ARC
(5,4),2.81934 # DEPENDENCYPART_ARC
(6,1),-1.54153 # DEPENDENCYPART_ARC
(6,2),-1.59553 # DEPENDENCYPART_ARC
(6,3),-1.11354 # DEPENDENCYPART_ARC
(6,4),-1.35447 # DEPENDENCYPART_ARC
(6,5),-0.914987 # DEPENDENCYPART_ARC
(6,7),-0.91164 # DEPENDENCYPART_ARC
(6,8),-1.67797 # DEPENDENCYPART_ARC
(6,9),-1.08996 # DEPENDENCYPART_ARC
(6,10),-1.15193 # DEPENDENCYPART_ARC
(6,11),-1.40308 # DEPENDENCYPART_ARC
(6,13),-1.91448 # DEPENDENCYPART_ARC
(6,15),-1.25328 # DEPENDENCYPART_ARC
(6,16),-1.63481 # DEPENDENCYPART_ARC
(6,17),-2.36079 # DEPENDENCYPART_ARC
(6,18),-2.5436 # DEPENDENCYPART_ARC
(6,19),-1.36418 # DEPENDENCYPART_ARC
(7,1),0.05752 # DEPENDENCYPART_ARC
(7,2),-0.482711 # DEPENDENCYPART_ARC
(7,3),-0.241131 # DEPENDENCYPART_ARC
(7,4),-0.493587 # DEPENDENCYPART_ARC
(7,5),-0.0160572 # DEPENDENCYPART_ARC
(7,6),0.295408 # DEPENDENCYPART_ARC
(7,8),-1.21024 # DEPENDENCYPART_ARC
(7,9),0.0530612 # DEPENDENCYPART_ARC
(7,10),-0.256349 # DEPENDENCYPART_ARC
(7,11),-0.253417 # DEPENDENCYPART_ARC
(7,13),-0.926161 # DEPENDENCYPART_ARC
(7,15),-0.301883 # DEPENDENCYPART_ARC
(7,16),-0.587097 # DEPENDENCYPART_ARC
(7,17),-1.46313 # DEPENDENCYPART_ARC
(7,18),-1.45718 # DEPENDENCYPART_ARC
(7,19),0.113256 # DEPENDENCYPART_ARC
(8,4),-0.784383 # DEPENDENCYPART_ARC
(8,5),-0.867665 # DEPENDENCYPART_ARC
(8,6),-0.50119 # DEPENDENCYPART_ARC
(8,7),-0.491922 # DEPENDENCYPART_ARC
(8,12),-2.03805 # DEPENDENCYPART_ARC
(8,17),-1.7446 # DEPENDENCYPART_ARC
(9,1),-0.166878 # DEPENDENCYPART_ARC
(9,2),0.417197 # DEPENDENCYPART_ARC
(9,3),2.14173 # DEPENDENCYPART_ARC
(9,4),-0.559568 # DEPENDENCYPART_ARC
(9,5),2.07532 # DEPENDENCYPART_ARC
(9,6),2.412 # DEPENDENCYPART_ARC
(9,7),1.26974 # DEPENDENCYPART_ARC
(9,8),3.21397 # DEPENDENCYPART_ARC
(9,10),1.23771 # DEPENDENCYPART_ARC
(9,11),0.528882 # DEPENDENCYPART_ARC
(9,12),-0.569786 # DEPENDENCYPART_ARC
(9,13),1.061 # DEPENDENCYPART_ARC
(9,14),0.556526 # DEPENDENCYPART_ARC
(9,15),0.37437 # DEPENDENCYPART_ARC
(9,16),0.0171551 # DEPENDENCYPART_ARC
(9,17),-0.225313 # DEPENDENCYPART_ARC
(9,18),-0.16745 # DEPENDENCYPART_ARC
(9,19),1.74844 # DEPENDENCYPART_ARC
(11,1),-0.582633 # DEPENDENCYPART_ARC
(11,2),-1.01293 # DEPENDENCYPART_ARC
(11,3),-0.579099 # DEPENDENCYPART_ARC
(11,5),-1.38209 # DEPENDENCYPART_ARC
(11,6),0.145429 # DEPENDENCYPART_ARC
(11,7),0.362225 # DEPENDENCYPART_ARC
(11,8),-0.999608 # DEPENDENCYPART_ARC
(11,9),1.8827 # DEPENDENCYPART_ARC
(11,10),1.56599 # DEPENDENCYPART_ARC
(11,12),-0.309792 # DEPENDENCYPART_ARC
(11,13),1.51577 # DEPENDENCYPART_ARC
(11,15),0.177249 # DEPENDENCYPART_ARC
(11,16),0.0794235 # DEPENDENCYPART_ARC
(11,17),-0.939718 # DEPENDENCYPART_ARC
(11,18),0.135549 # DEPENDENCYPART_ARC
(11,19),2.6099 # DEPENDENCYPART_ARC
(12,4),-2.27298 # DEPENDENCYPART_ARC
(12,5),-0.320415 # DEPENDENCYPART_ARC
(12,7),-1.71117 # DEPENDENCYPART_ARC
(12,8),-1.51801 # DEPENDENCYPART_ARC
(12,9),-2.98606 # DEPENDENCYPART_ARC
(12,10),0.0686835 # DEPENDENCYPART_ARC
(12,11),0.51035 # DEPENDENCYPART_ARC
(12,16),-0.918555 # DEPENDENCYPART_ARC
(12,17),-1.27477 # DEPENDENCYPART_ARC
(12,18),-2.30722 # DEPENDENCYPART_ARC
(13,1),-1.06074 # DEPENDENCYPART_ARC
(13,2),-0.674053 # DEPENDENCYPART_ARC
(13,3),1.11329 # DEPENDENCYPART_ARC
(13,4),-0.831114 # DEPENDENCYPART_ARC
(13,5),0.749142 # DEPENDENCYPART_ARC
(13,6),1.73035 # DEPENDENCYPART_ARC
(13,7),1.07704 # DEPENDENCYPART_ARC
(13,8),1.06936 # DEPENDENCYPART_ARC
(13,9),-0.224417 # DEPENDENCYPART_ARC
(13,10),1.09236 # DEPENDENCYPART_ARC
(13,11),1.84985 # DEPENDENCYPART_ARC
(13,12),3.73803 # DEPENDENCYPART_ARC
(13,14),3.25244 # DEPENDENCYPART_ARC
