# _root_ A jogszabályok nem voltak ilyen szabadok , de utasításba adtam , hogy minden kétes esetben a kutató javára kell dönteni .
#goldHeads=2,4,4,8,6,4,8,0,10,8,10,10,15,15,20,17,18,20,10,19,8,
#predictedHeads=2,4,4,8,4,4,8,0,10,8,10,10,15,15,20,17,18,20,10,19,8,
(0,3),-2.02727 # DEPENDENCYPART_ARC
(0,4),-0.73207 # DEPENDENCYPART_ARC
(0,5),-2.10119 # DEPENDENCYPART_ARC
(0,6),-2.38313 # DEPENDENCYPART_ARC
(0,8),0.238451 # DEPENDENCYPART_ARC
(0,10),-0.692285 # DEPENDENCYPART_ARC
(0,12),-1.93268 # DEPENDENCYPART_ARC
(0,19),-1.78102 # DEPENDENCYPART_ARC
(0,20),-2.64728 # DEPENDENCYPART_ARC
(2,1),2.82291 # DEPENDENCYPART_ARC
(3,2),-0.110928 # DEPENDENCYPART_ARC
(3,19),-1.51579 # DEPENDENCYPART_ARC
(3,20),-1.75996 # DEPENDENCYPART_ARC
(3,21),-0.529437 # DEPENDENCYPART_ARC
(4,1),-0.386665 # DEPENDENCYPART_ARC
(4,2),2.73914 # DEPENDENCYPART_ARC
(4,3),3.12097 # DEPENDENCYPART_ARC
(4,5),1.92886 # DEPENDENCYPART_ARC
(4,6),1.42165 # DEPENDENCYPART_ARC
(4,7),1.31123 # DEPENDENCYPART_ARC
(4,8),0.537636 # DEPENDENCYPART_ARC
(4,9),0.0359172 # DEPENDENCYPART_ARC
(4,10),0.817144 # DEPENDENCYPART_ARC
(4,11),0.798289 # DEPENDENCYPART_ARC
(4,12),1.21698 # DEPENDENCYPART_ARC
(4,13),-1.78428 # DEPENDENCYPART_ARC
(4,14),-1.0125 # DEPENDENCYPART_ARC
(4,15),-0.770259 # DEPENDENCYPART_ARC
(4,17),-2.3664 # DEPENDENCYPART_ARC
(4,18),-1.8332 # DEPENDENCYPART_ARC
(4,19),0.180405 # DEPENDENCYPART_ARC
(4,20),0.698594 # DEPENDENCYPART_ARC
(4,21),1.77985 # DEPENDENCYPART_ARC
(5,2),-0.517395 # DEPENDENCYPART_ARC
(5,4),-0.0302838 # DEPENDENCYPART_ARC
(5,6),-0.561179 # DEPENDENCYPART_ARC
(5,7),-0.903967 # DEPENDENCYPART_ARC
(5,8),-0.80557 # DEPENDENCYPART_ARC
(5,9),-1.25444 # DEPENDENCYPART_ARC
(5,10),-0.761326 # DEPENDENCYPART_ARC
(5,19),-1.30311 # DEPENDENCYPART_ARC
(5,20),-1.30962 # DEPENDENCYPART_ARC
(6,1),-0.0121471 # DEPENDENCYPART_ARC
(6,2),-0.651459 # DEPENDENCYPART_ARC
(6,3),-0.1293 # DEPENDENCYPART_ARC
(6,4),-0.120471 # DEPENDENCYPART_ARC
(6,5),1.76683 # DEPENDENCYPART_ARC
(6,7),0.0940976 # DEPENDENCYPART_ARC
(6,8),-0.628378 # DEPENDENCYPART_ARC
(6,9),-0.548389 # DEPENDENCYPART_ARC
(6,10),-0.0791943 # DEPENDENCYPART_ARC
(6,11),-0.429363 # DEPENDENCYPART_ARC
(6,12),-0.152251 # DEPENDENCYPART_ARC
(6,13),-1.18393 # DEPENDENCYPART_ARC
(6,14),-1.12257 # DEPENDENCYPART_ARC
(6,15),-0.831815 # DEPENDENCYPART_ARC
(6,17),-1.53914 # DEPENDENCYPART_ARC
(6,18),-0.903242 # DEPENDENCYPART_ARC
(6,19),-0.413175 # DEPENDENCYPART_ARC
(6,20),-1.06346 # DEPENDENCYPART_ARC
(6,21),0.976037 # DEPENDENCYPART_ARC
(8,2),-0.721537 # DEPENDENCYPART_ARC
(8,3),-0.41063 # DEPENDENCYPART_ARC
(8,4),1.76467 # DEPENDENCYPART_ARC
(8,5),0.342999 # DEPENDENCYPART_ARC
(8,6),0.116117 # DEPENDENCYPART_ARC
(8,7),2.0028 # DEPENDENCYPART_ARC
