# _root_ Amit csak hosszabb út esetén , vagy ha a protokoll megkívánja , vezet a sofőröm .
#goldHeads=13,13,4,5,13,13,13,13,10,11,13,13,0,15,13,13,
#predictedHeads=11,11,4,5,11,7,13,13,10,11,13,13,0,15,13,13,
(0,2),-2.42397 # DEPENDENCYPART_ARC
(0,3),-2.99649 # DEPENDENCYPART_ARC
(0,4),-3.60195 # DEPENDENCYPART_ARC
(0,5),-3.88824 # DEPENDENCYPART_ARC
(0,7),-2.16874 # DEPENDENCYPART_ARC
(0,8),-2.83282 # DEPENDENCYPART_ARC
(0,11),-1.86093 # DEPENDENCYPART_ARC
(0,13),-1.67093 # DEPENDENCYPART_ARC
(1,3),0.182517 # DEPENDENCYPART_ARC
(1,4),-0.0338336 # DEPENDENCYPART_ARC
(1,5),-0.996752 # DEPENDENCYPART_ARC
(1,10),-0.754217 # DEPENDENCYPART_ARC
(1,15),-0.392696 # DEPENDENCYPART_ARC
(2,1),-0.366597 # DEPENDENCYPART_ARC
(2,3),-0.249529 # DEPENDENCYPART_ARC
(2,4),-0.0791595 # DEPENDENCYPART_ARC
(2,5),-0.365371 # DEPENDENCYPART_ARC
(2,6),-0.411205 # DEPENDENCYPART_ARC
(2,7),-0.667765 # DEPENDENCYPART_ARC
(2,8),-0.810577 # DEPENDENCYPART_ARC
(2,10),-1.41192 # DEPENDENCYPART_ARC
(2,11),-0.544788 # DEPENDENCYPART_ARC
(2,12),-0.96493 # DEPENDENCYPART_ARC
(2,13),-1.17374 # DEPENDENCYPART_ARC
(2,15),-1.93392 # DEPENDENCYPART_ARC
(2,16),-0.244812 # DEPENDENCYPART_ARC
(3,1),-0.164125 # DEPENDENCYPART_ARC
(3,2),0.76907 # DEPENDENCYPART_ARC
(3,4),-0.702255 # DEPENDENCYPART_ARC
(3,5),-0.532858 # DEPENDENCYPART_ARC
(3,6),-0.557276 # DEPENDENCYPART_ARC
(3,7),-1.26786 # DEPENDENCYPART_ARC
(3,8),-1.25637 # DEPENDENCYPART_ARC
(3,11),-1.27861 # DEPENDENCYPART_ARC
(3,12),-0.646314 # DEPENDENCYPART_ARC
(3,13),-1.31665 # DEPENDENCYPART_ARC
(3,16),-0.209903 # DEPENDENCYPART_ARC
(4,1),-1.86237 # DEPENDENCYPART_ARC
(4,2),0.488278 # DEPENDENCYPART_ARC
(4,3),2.95657 # DEPENDENCYPART_ARC
(4,5),-1.45015 # DEPENDENCYPART_ARC
(4,6),-0.5682 # DEPENDENCYPART_ARC
(4,7),-0.950972 # DEPENDENCYPART_ARC
(4,11),-1.48592 # DEPENDENCYPART_ARC
(4,13),-1.4895 # DEPENDENCYPART_ARC
(4,16),-0.184499 # DEPENDENCYPART_ARC
(5,1),-2.62364 # DEPENDENCYPART_ARC
(5,2),-0.290527 # DEPENDENCYPART_ARC
(5,3),1.07509 # DEPENDENCYPART_ARC
(5,4),3.58957 # DEPENDENCYPART_ARC
(5,6),-0.403543 # DEPENDENCYPART_ARC
(5,7),-1.19543 # DEPENDENCYPART_ARC
(5,10),-1.93842 # DEPENDENCYPART_ARC
(5,11),-2.02089 # DEPENDENCYPART_ARC
(5,12),-0.819253 # DEPENDENCYPART_ARC
(5,13),-1.72088 # DEPENDENCYPART_ARC
(5,15),-2.32511 # DEPENDENCYPART_ARC
(5,16),-0.116993 # DEPENDENCYPART_ARC
(7,2),0.454193 # DEPENDENCYPART_ARC
(7,3),-0.0790133 # DEPENDENCYPART_ARC
(7,4),-0.164877 # DEPENDENCYPART_ARC
(7,5),-0.60258 # DEPENDENCYPART_ARC
(7,6),0.830019 # DEPENDENCYPART_ARC
(7,8),0.279183 # DEPENDENCYPART_ARC
(7,10),-0.899762 # DEPENDENCYPART_ARC
(7,11),0.868104 # DEPENDENCYPART_ARC
(7,12),0.473679 # DEPENDENCYPART_ARC
(7,13),-0.0546392 # DEPENDENCYPART_ARC
(7,15),-1.39544 # DEPENDENCYPART_ARC
(7,16),2.25536 # DEPENDENCYPART_ARC
(8,1),-0.0896451 # DEPENDENCYPART_ARC
(8,2),0.718546 # DEPENDENCYPART_ARC
(8,3),0.770001 # DEPENDENCYPART_ARC
(8,4),0.340123 # DEPENDENCYPART_ARC
(8,5),0.471631 # DEPENDENCYPART_ARC
(8,6),0.676568 # DEPENDENCYPART_ARC
(8,7),0.716383 # DEPENDENCYPART_ARC
(8,10),-0.202199 # DEPENDENCYPART_ARC
(8,11),-0.0367285 # DEPENDENCYPART_ARC
(8,12),0.477114 # DEPENDENCYPART_ARC
(8,13),-0.823158 # DEPENDENCYPART_ARC
(8,15),-0.35967 # DEPENDENCYPART_ARC
(8,16),0.126219 # DEPENDENCYPART_ARC
(9,12),-0.992879 # DEPENDENCYPART_ARC
(10,2),-1.82185 # DEPENDENCYPART_ARC
(10,3),-1.74863 # DEPENDENCYPART_ARC
(10,4),-1.50194 # DEPENDENCYPART_ARC
(10,5),-3.55004 # DEPENDENCYPART_ARC
(10,6),-0.861814 # DEPENDENCYPART_ARC
(10,7),-0.712583 # DEPENDENCYPART_ARC
(10,8),-0.752797 # DEPENDENCYPART_ARC
(10,9),2.54239 # DEPENDENCYPART_ARC
(10,11),-0.465064 # DEPENDENCYPART_ARC
(10,12),-0.635912 # DEPENDENCYPART_ARC
(10,13),-0.681926 # DEPENDENCYPART_ARC
(10,15),-1.41857 # DEPENDENCYPART_ARC
(10,16),-0.346936 # DEPENDENCYPART_ARC
(11,1),1.21322 # DEPENDENCYPART_ARC
(11,2),0.838535 # DEPENDENCYPART_ARC
(11,3),-0.109647 # DEPENDENCYPART_ARC
(11,4),0.893015 # DEPENDENCYPART_ARC
(11,5),0.521537 # DEPENDENCYPART_ARC
(11,6),0.619718 # DEPENDENCYPART_ARC
(11,7),0.5035 # DEPENDENCYPART_ARC
(11,8),1.36854 # DEPENDENCYPART_ARC
(11,9),-0.447035 # DEPENDENCYPART_ARC
(11,10),3.49345 # DEPENDENCYPART_ARC
(11,12),1.43123 # DEPENDENCYPART_ARC
(11,13),1.80089 # DEPENDENCYPART_ARC
(11,14),-1.23738 # DEPENDENCYPART_ARC
(11,15),0.240805 # DEPENDENCYPART_ARC
(11,16),1.89356 # DEPENDENCYPART_ARC
(13,1),-0.268938 # DEPENDENCYPART_ARC
(13,2),-0.0723171 # DEPENDENCYPART_ARC
(13,3),-0.23613 # DEPENDENCYPART_ARC
(13,4),-0.230978 # DEPENDENCYPART_ARC
(13,5),-0.458027 # DEPENDENCYPART_ARC
(13,6),0.78972 # DEPENDENCYPART_ARC
(13,7),1.17083 # DEPENDENCYPART_ARC
(13,8),1.5349 # DEPENDENCYPART_ARC
(13,9),-1.15643 # DEPENDENCYPART_ARC
(13,10),1.51355 # DEPENDENCYPART_ARC
(13,11),1.66921 # DEPENDENCYPART_ARC
(13,12),1.58511 # DEPENDENCYPART_ARC
(13,14),-0.290276 # DEPENDENCYPART_ARC
(13,15),3.52041 # DEPENDENCYPART_ARC
(13,16),2.32031 # DEPENDENCYPART_ARC
(15,2),-2.24046 # DEPENDENCYPART_ARC
(15,6),-2.05151 # DEPENDENCYPART_ARC
(15,7),-1.36426 # DEPENDENCYPART_ARC
(15,8),-2.00946 # DEPENDENCYPART_ARC
(15,9),-1.67839 # DEPENDENCYPART_ARC
(15,11),-2.25597 # DEPENDENCYPART_ARC
(15,12),-1.49302 # DEPENDENCYPART_ARC
