# _root_ Hogy pontosan mennyi , azt a Központi_Statisztikai_Hivatal illetékese , Próbáld_Ákos sem tudja megmondani .
#goldHeads=12,5,5,12,13,7,8,12,12,12,12,0,12,12,
#predictedHeads=12,13,5,3,13,7,8,5,12,12,12,0,12,12,
(0,1),-2.1498 # DEPENDENCYPART_ARC
(0,2),-2.51034 # DEPENDENCYPART_ARC
(0,3),-3.76975 # DEPENDENCYPART_ARC
(0,5),-4.40284 # DEPENDENCYPART_ARC
(0,7),-4.18106 # DEPENDENCYPART_ARC
(0,8),-4.62521 # DEPENDENCYPART_ARC
(0,10),-4.22792 # DEPENDENCYPART_ARC
(0,11),-3.67506 # DEPENDENCYPART_ARC
(0,12),-2.90495 # DEPENDENCYPART_ARC
(0,13),-3.19346 # DEPENDENCYPART_ARC
(1,2),-0.494496 # DEPENDENCYPART_ARC
(1,4),-0.040519 # DEPENDENCYPART_ARC
(1,7),-1.428 # DEPENDENCYPART_ARC
(1,8),-1.57577 # DEPENDENCYPART_ARC
(1,9),-0.278653 # DEPENDENCYPART_ARC
(1,12),-0.573812 # DEPENDENCYPART_ARC
(1,13),-0.964901 # DEPENDENCYPART_ARC
(1,14),0.0546386 # DEPENDENCYPART_ARC
(2,1),-0.441991 # DEPENDENCYPART_ARC
(2,4),-0.0113924 # DEPENDENCYPART_ARC
(2,7),-0.767916 # DEPENDENCYPART_ARC
(2,8),-0.777588 # DEPENDENCYPART_ARC
(2,9),0.0338186 # DEPENDENCYPART_ARC
(2,11),-0.790925 # DEPENDENCYPART_ARC
(2,12),-1.12812 # DEPENDENCYPART_ARC
(2,13),-1.02807 # DEPENDENCYPART_ARC
(2,14),0.813946 # DEPENDENCYPART_ARC
(3,2),0.722173 # DEPENDENCYPART_ARC
(3,4),0.398448 # DEPENDENCYPART_ARC
(3,8),-0.460449 # DEPENDENCYPART_ARC
(5,1),-0.0151019 # DEPENDENCYPART_ARC
(5,2),0.532407 # DEPENDENCYPART_ARC
(5,3),0.45849 # DEPENDENCYPART_ARC
(5,4),0.290225 # DEPENDENCYPART_ARC
(5,7),0.699993 # DEPENDENCYPART_ARC
(5,8),0.459796 # DEPENDENCYPART_ARC
(5,9),0.0278823 # DEPENDENCYPART_ARC
(5,10),-0.0677344 # DEPENDENCYPART_ARC
(5,11),0.23222 # DEPENDENCYPART_ARC
(5,12),1.55638 # DEPENDENCYPART_ARC
(5,13),0.848254 # DEPENDENCYPART_ARC
(5,14),0.631265 # DEPENDENCYPART_ARC
(6,7),-0.106892 # DEPENDENCYPART_ARC
(6,9),-0.276229 # DEPENDENCYPART_ARC
(7,1),-1.70083 # DEPENDENCYPART_ARC
(7,2),-3.87621 # DEPENDENCYPART_ARC
(7,4),-0.815332 # DEPENDENCYPART_ARC
(7,5),-2.19424 # DEPENDENCYPART_ARC
(7,6),2.27496 # DEPENDENCYPART_ARC
(7,8),-0.530817 # DEPENDENCYPART_ARC
(7,9),-0.429092 # DEPENDENCYPART_ARC
(7,10),-1.3191 # DEPENDENCYPART_ARC
(7,12),-0.78784 # DEPENDENCYPART_ARC
(7,14),-0.413838 # DEPENDENCYPART_ARC
(8,1),-1.14959 # DEPENDENCYPART_ARC
(8,2),-4.24809 # DEPENDENCYPART_ARC
(8,3),-0.996311 # DEPENDENCYPART_ARC
(8,4),-0.29456 # DEPENDENCYPART_ARC
(8,5),-2.74453 # DEPENDENCYPART_ARC
(8,6),1.15159 # DEPENDENCYPART_ARC
(8,7),3.97499 # DEPENDENCYPART_ARC
(8,9),-0.0928188 # DEPENDENCYPART_ARC
(8,10),-0.88669 # DEPENDENCYPART_ARC
(8,12),-1.37809 # DEPENDENCYPART_ARC
(8,13),-0.627282 # DEPENDENCYPART_ARC
(8,14),0.0068512 # DEPENDENCYPART_ARC
(10,2),-3.29586 # DEPENDENCYPART_ARC
(10,4),-0.357895 # DEPENDENCYPART_ARC
(10,5),-2.79365 # DEPENDENCYPART_ARC
(10,6),0.739065 # DEPENDENCYPART_ARC
(10,7),0.152504 # DEPENDENCYPART_ARC
(10,8),-0.542244 # DEPENDENCYPART_ARC
(10,9),0.446672 # DEPENDENCYPART_ARC
(10,12),-0.588984 # DEPENDENCYPART_ARC
(10,13),-0.48848 # DEPENDENCYPART_ARC
(10,14),-0.325828 # DEPENDENCYPART_ARC
(11,4),-1.2269 # DEPENDENCYPART_ARC
(11,8),-0.969192 # DEPENDENCYPART_ARC
(11,9),-0.827982 # DEPENDENCYPART_ARC
(11,10),0.314688 # DEPENDENCYPART_ARC
(11,12),0.019218 # DEPENDENCYPART_ARC
(11,13),-0.507853 # DEPENDENCYPART_ARC
(11,14),-0.468361 # DEPENDENCYPART_ARC
(12,1),0.489315 # DEPENDENCYPART_ARC
(12,2),0.0308868 # DEPENDENCYPART_ARC
(12,4),0.168272 # DEPENDENCYPART_ARC
(12,5),0.334576 # DEPENDENCYPART_ARC
(12,6),-1.80146 # DEPENDENCYPART_ARC
(12,7),0.544345 # DEPENDENCYPART_ARC
(12,8),0.0460037 # DEPENDENCYPART_ARC
(12,9),0.892393 # DEPENDENCYPART_ARC
(12,10),1.90152 # DEPENDENCYPART_ARC
(12,11),2.80244 # DEPENDENCYPART_ARC
(12,13),3.89468 # DEPENDENCYPART_ARC
(12,14),1.99079 # DEPENDENCYPART_ARC
(13,1),0.125341 # DEPENDENCYPART_ARC
(13,2),0.963637 # DEPENDENCYPART_ARC
(13,4),-0.0254566 # DEPENDENCYPART_ARC
(13,5),1.45489 # DEPENDENCYPART_ARC
(13,6),-1.24791 # DEPENDENCYPART_ARC
(13,7),-0.773212 # DEPENDENCYPART_ARC
(13,8),-0.271156 # DEPENDENCYPART_ARC
(13,9),0.779065 # DEPENDENCYPART_ARC
(13,10),0.681912 # DEPENDENCYPART_ARC
(13,11),1.7091 # DEPENDENCYPART_ARC
(13,12),1.13488 # DEPENDENCYPART_ARC
(13,14),0.531529 # DEPENDENCYPART_ARC
