# _root_ Ám csak egy banktól lehet igényelni a termények — búza , kukorica , rozs és árpa — termelési költségeire felvett éven belüli hitel törlesztésének halasztását .
#goldHeads=5,6,4,6,0,5,8,19,19,16,16,16,16,16,16,19,19,19,20,23,22,23,24,5,6,5,
#predictedHeads=5,6,4,6,0,5,8,19,12,12,24,19,16,19,16,19,19,19,20,21,22,23,24,25,6,5,
(0,1),-2.1976 # DEPENDENCYPART_ARC
(0,2),-1.98833 # DEPENDENCYPART_ARC
(0,3),-1.93987 # DEPENDENCYPART_ARC
(0,4),-3.12704 # DEPENDENCYPART_ARC
(0,5),-1.46038 # DEPENDENCYPART_ARC
(0,6),-2.32701 # DEPENDENCYPART_ARC
(1,2),-0.422226 # DEPENDENCYPART_ARC
(1,3),-0.462976 # DEPENDENCYPART_ARC
(1,4),-0.802987 # DEPENDENCYPART_ARC
(1,5),0.659852 # DEPENDENCYPART_ARC
(1,6),0.0200975 # DEPENDENCYPART_ARC
(1,25),-1.69724 # DEPENDENCYPART_ARC
(1,26),1.30885 # DEPENDENCYPART_ARC
(2,1),0.32597 # DEPENDENCYPART_ARC
(2,3),0.26083 # DEPENDENCYPART_ARC
(2,4),0.410544 # DEPENDENCYPART_ARC
(2,5),0.196617 # DEPENDENCYPART_ARC
(2,6),-0.237523 # DEPENDENCYPART_ARC
(2,23),-1.55583 # DEPENDENCYPART_ARC
(2,24),-1.38627 # DEPENDENCYPART_ARC
(2,25),-1.44454 # DEPENDENCYPART_ARC
(2,26),0.695775 # DEPENDENCYPART_ARC
(3,1),-0.466257 # DEPENDENCYPART_ARC
(3,2),0.259974 # DEPENDENCYPART_ARC
(3,5),-0.211854 # DEPENDENCYPART_ARC
(3,6),-0.717815 # DEPENDENCYPART_ARC
(3,26),0.203713 # DEPENDENCYPART_ARC
(4,1),-0.0507264 # DEPENDENCYPART_ARC
(4,2),0.979068 # DEPENDENCYPART_ARC
(4,3),2.92369 # DEPENDENCYPART_ARC
(4,5),-0.881078 # DEPENDENCYPART_ARC
(4,6),-0.762896 # DEPENDENCYPART_ARC
(4,26),-0.260307 # DEPENDENCYPART_ARC
(5,1),1.52249 # DEPENDENCYPART_ARC
(5,2),1.10334 # DEPENDENCYPART_ARC
(5,3),-0.443161 # DEPENDENCYPART_ARC
(5,4),1.26947 # DEPENDENCYPART_ARC
(5,6),3.79148 # DEPENDENCYPART_ARC
(5,7),-0.838454 # DEPENDENCYPART_ARC
