# _root_ E társaság tulajdonosai 150_millió forintot keresnek a Márkus_Kft.-n , mondván , ekkora összegben helyeztek el náluk importletétet .
#goldHeads=2,3,6,5,6,0,8,6,6,6,6,13,14,10,14,14,14,6,
#predictedHeads=2,3,6,5,6,0,8,6,6,6,6,13,14,10,14,14,14,6,
(0,1),-2.97709 # DEPENDENCYPART_ARC
(0,2),-2.40397 # DEPENDENCYPART_ARC
(0,3),-2.83028 # DEPENDENCYPART_ARC
(0,4),-2.45089 # DEPENDENCYPART_ARC
(0,5),-3.70886 # DEPENDENCYPART_ARC
(0,6),-1.47765 # DEPENDENCYPART_ARC
(0,10),-2.99405 # DEPENDENCYPART_ARC
(0,12),-3.75609 # DEPENDENCYPART_ARC
(0,14),-2.09642 # DEPENDENCYPART_ARC
(0,15),-3.10243 # DEPENDENCYPART_ARC
(0,16),-2.71605 # DEPENDENCYPART_ARC
(1,2),-0.0265307 # DEPENDENCYPART_ARC
(1,3),-0.197799 # DEPENDENCYPART_ARC
(1,4),-0.590165 # DEPENDENCYPART_ARC
(1,5),-0.987127 # DEPENDENCYPART_ARC
(1,6),0.269467 # DEPENDENCYPART_ARC
(1,8),-1.2472 # DEPENDENCYPART_ARC
(1,9),-0.123967 # DEPENDENCYPART_ARC
(1,10),-0.190622 # DEPENDENCYPART_ARC
(1,11),-0.0767378 # DEPENDENCYPART_ARC
(1,12),-0.580129 # DEPENDENCYPART_ARC
(1,13),-1.19346 # DEPENDENCYPART_ARC
(1,14),1.13374 # DEPENDENCYPART_ARC
(1,15),-0.17552 # DEPENDENCYPART_ARC
(1,17),-1.3511 # DEPENDENCYPART_ARC
(1,18),-0.129123 # DEPENDENCYPART_ARC
(2,1),2.77092 # DEPENDENCYPART_ARC
(2,3),-0.600838 # DEPENDENCYPART_ARC
(2,4),-0.868398 # DEPENDENCYPART_ARC
(2,5),-1.12666 # DEPENDENCYPART_ARC
(2,6),-0.0482932 # DEPENDENCYPART_ARC
(2,14),-0.540331 # DEPENDENCYPART_ARC
(3,1),1.00998 # DEPENDENCYPART_ARC
(3,2),3.60432 # DEPENDENCYPART_ARC
(3,4),-0.365683 # DEPENDENCYPART_ARC
(3,5),-0.822482 # DEPENDENCYPART_ARC
(3,6),-0.426423 # DEPENDENCYPART_ARC
(3,8),-1.67344 # DEPENDENCYPART_ARC
(3,9),0.464221 # DEPENDENCYPART_ARC
(3,10),-0.322418 # DEPENDENCYPART_ARC
(3,11),0.270917 # DEPENDENCYPART_ARC
(3,14),-0.216818 # DEPENDENCYPART_ARC
