# _root_ Egyes hírek szerint S._József , akit ügyes jogásznak tartanak , a közelmúltban több állásajánlatot kapott a városban .
#goldHeads=2,3,15,15,15,9,8,9,15,15,12,15,14,15,0,17,15,15,
#predictedHeads=2,3,9,9,9,9,8,9,0,9,12,15,14,15,9,17,15,9,
(0,1),-1.85995 # DEPENDENCYPART_ARC
(0,2),-2.5413 # DEPENDENCYPART_ARC
(0,3),-3.04039 # DEPENDENCYPART_ARC
(0,4),-2.44366 # DEPENDENCYPART_ARC
(0,9),-1.60171 # DEPENDENCYPART_ARC
(0,15),-1.94649 # DEPENDENCYPART_ARC
(1,3),-0.725499 # DEPENDENCYPART_ARC
(1,4),-1.31645 # DEPENDENCYPART_ARC
(1,5),-0.651552 # DEPENDENCYPART_ARC
(1,9),-1.45999 # DEPENDENCYPART_ARC
(1,15),-1.62055 # DEPENDENCYPART_ARC
(1,18),-0.336679 # DEPENDENCYPART_ARC
(2,1),2.901 # DEPENDENCYPART_ARC
(2,3),-0.412619 # DEPENDENCYPART_ARC
(2,4),-1.19689 # DEPENDENCYPART_ARC
(2,5),-0.448167 # DEPENDENCYPART_ARC
(2,9),-1.16997 # DEPENDENCYPART_ARC
(2,15),-1.53531 # DEPENDENCYPART_ARC
(2,18),0.141866 # DEPENDENCYPART_ARC
(3,1),0.6115 # DEPENDENCYPART_ARC
(3,2),3.85282 # DEPENDENCYPART_ARC
(3,4),-0.0269255 # DEPENDENCYPART_ARC
(3,5),-0.0166045 # DEPENDENCYPART_ARC
(3,7),-0.568297 # DEPENDENCYPART_ARC
(3,8),-0.69571 # DEPENDENCYPART_ARC
(3,9),-0.242947 # DEPENDENCYPART_ARC
(3,10),-0.0597172 # DEPENDENCYPART_ARC
(3,12),-0.963709 # DEPENDENCYPART_ARC
(3,15),-0.586376 # DEPENDENCYPART_ARC
(3,17),-1.07602 # DEPENDENCYPART_ARC
(3,18),-0.0756637 # DEPENDENCYPART_ARC
(4,1),0.111264 # DEPENDENCYPART_ARC
(4,2),-0.729736 # DEPENDENCYPART_ARC
(4,3),0.704783 # DEPENDENCYPART_ARC
(4,5),0.582885 # DEPENDENCYPART_ARC
(4,7),-0.122681 # DEPENDENCYPART_ARC
(4,8),-0.341827 # DEPENDENCYPART_ARC
(4,9),0.311972 # DEPENDENCYPART_ARC
(4,10),0.29077 # DEPENDENCYPART_ARC
(4,12),-1.15836 # DEPENDENCYPART_ARC
(4,13),-0.435926 # DEPENDENCYPART_ARC
(4,14),-1.0773 # DEPENDENCYPART_ARC
(4,15),-0.337098 # DEPENDENCYPART_ARC
(4,17),-1.5779 # DEPENDENCYPART_ARC
(4,18),1.23432 # DEPENDENCYPART_ARC
(6,7),-0.320209 # DEPENDENCYPART_ARC
(6,8),-0.549903 # DEPENDENCYPART_ARC
(6,12),-0.942234 # DEPENDENCYPART_ARC
(6,14),-1.58417 # DEPENDENCYPART_ARC
(6,17),-1.03836 # DEPENDENCYPART_ARC
(7,2),-2.73757 # DEPENDENCYPART_ARC
(7,3),-1.0433 # DEPENDENCYPART_ARC
(7,4),-2.3843 # DEPENDENCYPART_ARC
(7,5),-1.26088 # DEPENDENCYPART_ARC
(7,6),-0.285648 # DEPENDENCYPART_ARC
(7,10),-0.996987 # DEPENDENCYPART_ARC
(7,12),-1.79054 # DEPENDENCYPART_ARC
(7,15),-1.56035 # DEPENDENCYPART_ARC
(7,17),-2.08756 # DEPENDENCYPART_ARC
(8,1),0.924676 # DEPENDENCYPART_ARC
(8,2),-1.96541 # DEPENDENCYPART_ARC
(8,3),-0.112014 # DEPENDENCYPART_ARC
(8,4),-0.290372 # DEPENDENCYPART_ARC
(8,5),0.0380049 # DEPENDENCYPART_ARC
(8,6),-0.100104 # DEPENDENCYPART_ARC
(8,7),3.23052 # DEPENDENCYPART_ARC
(8,10),-0.813212 # DEPENDENCYPART_ARC
(8,12),-2.01575 # DEPENDENCYPART_ARC
(8,15),-1.67748 # DEPENDENCYPART_ARC
(8,17),-2.38188 # DEPENDENCYPART_ARC
(8,18),-0.254484 # DEPENDENCYPART_ARC
(9,1),-0.504846 # DEPENDENCYPART_ARC
(9,2),1.06076 # DEPENDENCYPART_ARC
(9,3),2.06766 # DEPENDENCYPART_ARC
(9,4),0.666729 # DEPENDENCYPART_ARC
(9,5),0.949676 # DEPENDENCYPART_ARC
(9,6),2.11788 # DEPENDENCYPART_ARC
(9,7),0.987455 # DEPENDENCYPART_ARC
(9,8),3.75209 # DEPENDENCYPART_ARC
(9,10),1.59076 # DEPENDENCYPART_ARC
(9,11),-0.45943 # DEPENDENCYPART_ARC
(9,12),-0.0918293 # DEPENDENCYPART_ARC
(9,13),-0.66138 # DEPENDENCYPART_ARC
(9,14),-0.899105 # DEPENDENCYPART_ARC
(9,15),1.28483 # DEPENDENCYPART_ARC
(9,17),-0.41648 # DEPENDENCYPART_ARC
(9,18),2.23491 # DEPENDENCYPART_ARC
(11,10),-0.589927 # DEPENDENCYPART_ARC
(11,14),-1.04344 # DEPENDENCYPART_ARC
(12,3),-1.82822 # DEPENDENCYPART_ARC
(12,6),-3.1791 # DEPENDENCYPART_ARC
(12,9),-2.71363 # DEPENDENCYPART_ARC
(12,10),-1.09041 # DEPENDENCYPART_ARC
(12,11),2.65291 # DEPENDENCYPART_ARC
(12,13),-0.785014 # DEPENDENCYPART_ARC
(12,14),-0.494213 # DEPENDENCYPART_ARC
(12,15),-0.573293 # DEPENDENCYPART_ARC
(12,17),-1.34278 # DEPENDENCYPART_ARC
(12,18),-0.147515 # DEPENDENCYPART_ARC
(13,4),-2.12726 # DEPENDENCYPART_ARC
(13,5),-1.89148 # DEPENDENCYPART_ARC
(13,9),-1.66959 # DEPENDENCYPART_ARC
(13,10),-1.37341 # DEPENDENCYPART_ARC
(13,11),-0.638496 # DEPENDENCYPART_ARC
(13,12),-1.11123 # DEPENDENCYPART_ARC
(13,15),-0.891292 # DEPENDENCYPART_ARC
(13,17),-1.77251 # DEPENDENCYPART_ARC
(13,18),-0.819669 # DEPENDENCYPART_ARC
(14,3),-1.00206 # DEPENDENCYPART_ARC
(14,4),-2.97596 # DEPENDENCYPART_ARC
(14,5),-1.74539 # DEPENDENCYPART_ARC
(14,9),-2.06397 # DEPENDENCYPART_ARC
(14,10),-0.435702 # DEPENDENCYPART_ARC
(14,11),0.533831 # DEPENDENCYPART_ARC
(14,12),-0.638864 # DEPENDENCYPART_ARC
(14,13),2.89089 # DEPENDENCYPART_ARC
