# _root_ A tervgazdaságban , ahol nem működik valódi gazdasági kalkuláció , a központi tervezőnek nincs eszköze a versengő beruházási javaslatok közötti ésszerű választáshoz .
#goldHeads=2,14,14,6,6,14,9,9,6,14,13,13,14,0,14,19,19,19,20,22,22,14,14,
#predictedHeads=2,6,6,6,6,0,9,9,6,6,13,13,14,6,14,19,19,19,20,22,22,14,6,
(0,2),-2.12307 # DEPENDENCYPART_ARC
(0,4),-2.25629 # DEPENDENCYPART_ARC
(0,5),-2.07141 # DEPENDENCYPART_ARC
(0,6),-1.29047 # DEPENDENCYPART_ARC
(0,7),-2.38932 # DEPENDENCYPART_ARC
(0,8),-2.66691 # DEPENDENCYPART_ARC
(0,9),-3.06905 # DEPENDENCYPART_ARC
(0,14),-1.55225 # DEPENDENCYPART_ARC
(1,3),-0.604538 # DEPENDENCYPART_ARC
(2,1),2.71912 # DEPENDENCYPART_ARC
(2,3),0.140453 # DEPENDENCYPART_ARC
(2,6),-0.435191 # DEPENDENCYPART_ARC
(2,9),-0.992611 # DEPENDENCYPART_ARC
(2,10),0.0868686 # DEPENDENCYPART_ARC
(2,23),0.347217 # DEPENDENCYPART_ARC
(4,2),-0.602913 # DEPENDENCYPART_ARC
(4,3),-0.165707 # DEPENDENCYPART_ARC
(4,6),0.00962815 # DEPENDENCYPART_ARC
(4,9),-0.672609 # DEPENDENCYPART_ARC
(4,10),-0.44282 # DEPENDENCYPART_ARC
(4,13),-1.39592 # DEPENDENCYPART_ARC
(4,14),-0.894624 # DEPENDENCYPART_ARC
(4,19),-1.60946 # DEPENDENCYPART_ARC
(4,22),-1.62439 # DEPENDENCYPART_ARC
(4,23),-0.52744 # DEPENDENCYPART_ARC
(5,2),-1.18814 # DEPENDENCYPART_ARC
(5,3),-0.761124 # DEPENDENCYPART_ARC
(5,4),0.0906765 # DEPENDENCYPART_ARC
(5,6),-0.19139 # DEPENDENCYPART_ARC
(5,7),-0.500372 # DEPENDENCYPART_ARC
(5,9),-0.890752 # DEPENDENCYPART_ARC
(5,10),-0.655771 # DEPENDENCYPART_ARC
(5,13),-1.55537 # DEPENDENCYPART_ARC
(5,14),-1.42068 # DEPENDENCYPART_ARC
(5,23),0.0255997 # DEPENDENCYPART_ARC
(6,1),-1.28224 # DEPENDENCYPART_ARC
(6,2),1.25747 # DEPENDENCYPART_ARC
(6,3),1.02687 # DEPENDENCYPART_ARC
(6,4),2.12267 # DEPENDENCYPART_ARC
(6,5),2.73506 # DEPENDENCYPART_ARC
(6,7),1.334 # DEPENDENCYPART_ARC
(6,8),0.697905 # DEPENDENCYPART_ARC
(6,9),2.3506 # DEPENDENCYPART_ARC
(6,10),1.6445 # DEPENDENCYPART_ARC
(6,11),-0.608811 # DEPENDENCYPART_ARC
(6,12),-0.688277 # DEPENDENCYPART_ARC
(6,13),0.791435 # DEPENDENCYPART_ARC
(6,14),1.30903 # DEPENDENCYPART_ARC
(6,15),1.1068 # DEPENDENCYPART_ARC
(6,17),-1.2485 # DEPENDENCYPART_ARC
(6,18),-1.17028 # DEPENDENCYPART_ARC
(6,19),-0.54034 # DEPENDENCYPART_ARC
(6,20),-1.22448 # DEPENDENCYPART_ARC
(6,21),-1.24199 # DEPENDENCYPART_ARC
