# _root_ Ez azért megoldható , mert a szív voltaképpen csupán egy pumpa , egyszerű izommunkát végez .
#goldHeads=5,5,5,5,0,7,9,9,5,11,9,9,14,15,9,5,
#predictedHeads=5,5,5,5,0,7,15,15,15,11,15,15,14,15,5,5,
(0,1),-2.90822 # DEPENDENCYPART_ARC
(0,2),-1.83042 # DEPENDENCYPART_ARC
(0,3),-1.98415 # DEPENDENCYPART_ARC
(0,5),-1.21532 # DEPENDENCYPART_ARC
(0,8),-2.4866 # DEPENDENCYPART_ARC
(0,9),-2.26262 # DEPENDENCYPART_ARC
(0,15),-1.667 # DEPENDENCYPART_ARC
(1,2),-0.432757 # DEPENDENCYPART_ARC
(1,3),-0.736522 # DEPENDENCYPART_ARC
(1,4),0.211807 # DEPENDENCYPART_ARC
(1,5),-0.396347 # DEPENDENCYPART_ARC
(1,7),-0.810135 # DEPENDENCYPART_ARC
(1,8),-0.276592 # DEPENDENCYPART_ARC
(1,9),-0.305869 # DEPENDENCYPART_ARC
(1,11),-0.94442 # DEPENDENCYPART_ARC
(1,12),-0.114014 # DEPENDENCYPART_ARC
(1,13),-1.14024 # DEPENDENCYPART_ARC
(1,14),-1.31255 # DEPENDENCYPART_ARC
(1,15),-0.231716 # DEPENDENCYPART_ARC
(1,16),-0.0999319 # DEPENDENCYPART_ARC
(2,1),0.191654 # DEPENDENCYPART_ARC
(2,3),0.0687493 # DEPENDENCYPART_ARC
(2,4),-0.192764 # DEPENDENCYPART_ARC
(2,7),-0.61231 # DEPENDENCYPART_ARC
(2,11),-1.04343 # DEPENDENCYPART_ARC
(2,12),-0.194624 # DEPENDENCYPART_ARC
(2,15),-0.368453 # DEPENDENCYPART_ARC
(2,16),0.578819 # DEPENDENCYPART_ARC
(3,1),0.09957 # DEPENDENCYPART_ARC
(3,2),1.30965 # DEPENDENCYPART_ARC
(3,4),0.710903 # DEPENDENCYPART_ARC
(3,5),0.148648 # DEPENDENCYPART_ARC
(3,7),-0.440355 # DEPENDENCYPART_ARC
(3,11),-0.661234 # DEPENDENCYPART_ARC
(3,12),0.498281 # DEPENDENCYPART_ARC
(3,13),-0.777558 # DEPENDENCYPART_ARC
(3,14),-1.2701 # DEPENDENCYPART_ARC
