# _root_ A kárpótlási jegyek árfolyama 9,12 százalékkal lett több múlt heti értékénél , így 622 forinton végzett .
#goldHeads=3,3,4,7,6,7,13,7,10,11,7,13,0,15,16,13,13,
#predictedHeads=3,3,4,7,6,7,13,15,10,11,7,13,0,15,16,13,13,
(0,4),-2.66299 # DEPENDENCYPART_ARC
(0,5),-2.79895 # DEPENDENCYPART_ARC
(0,7),-0.981635 # DEPENDENCYPART_ARC
(0,8),-3.19311 # DEPENDENCYPART_ARC
(0,9),-2.80362 # DEPENDENCYPART_ARC
(0,13),0.112154 # DEPENDENCYPART_ARC
(0,16),-1.55182 # DEPENDENCYPART_ARC
(1,2),-0.104696 # DEPENDENCYPART_ARC
(1,6),-1.40996 # DEPENDENCYPART_ARC
(1,9),-1.12916 # DEPENDENCYPART_ARC
(2,1),0.541919 # DEPENDENCYPART_ARC
(3,1),2.5243 # DEPENDENCYPART_ARC
(3,2),3.54317 # DEPENDENCYPART_ARC
(3,5),-1.29289 # DEPENDENCYPART_ARC
(3,11),-2.3185 # DEPENDENCYPART_ARC
(4,1),0.71177 # DEPENDENCYPART_ARC
(4,2),1.73169 # DEPENDENCYPART_ARC
(4,3),3.93825 # DEPENDENCYPART_ARC
(4,5),-0.545319 # DEPENDENCYPART_ARC
(4,6),-0.455236 # DEPENDENCYPART_ARC
(4,7),-0.491997 # DEPENDENCYPART_ARC
(4,8),-0.737665 # DEPENDENCYPART_ARC
(4,9),-0.885088 # DEPENDENCYPART_ARC
(4,11),-1.52783 # DEPENDENCYPART_ARC
(4,12),0.270414 # DEPENDENCYPART_ARC
(4,13),-0.214943 # DEPENDENCYPART_ARC
(4,16),-1.28682 # DEPENDENCYPART_ARC
(4,17),0.25962 # DEPENDENCYPART_ARC
(5,3),-0.433561 # DEPENDENCYPART_ARC
(5,4),-0.094318 # DEPENDENCYPART_ARC
(5,7),-0.60404 # DEPENDENCYPART_ARC
(5,13),-0.663916 # DEPENDENCYPART_ARC
(5,17),-0.101052 # DEPENDENCYPART_ARC
(6,1),0.197074 # DEPENDENCYPART_ARC
(6,2),0.936043 # DEPENDENCYPART_ARC
(6,3),-0.959144 # DEPENDENCYPART_ARC
(6,4),-0.153395 # DEPENDENCYPART_ARC
(6,5),2.75631 # DEPENDENCYPART_ARC
(6,11),-1.9209 # DEPENDENCYPART_ARC
(6,12),-0.567536 # DEPENDENCYPART_ARC
(6,16),-1.64257 # DEPENDENCYPART_ARC
(6,17),-0.398935 # DEPENDENCYPART_ARC
(7,1),-0.993349 # DEPENDENCYPART_ARC
(7,2),-0.358356 # DEPENDENCYPART_ARC
(7,3),1.38968 # DEPENDENCYPART_ARC
(7,4),2.31911 # DEPENDENCYPART_ARC
(7,5),0.420252 # DEPENDENCYPART_ARC
(7,6),2.29658 # DEPENDENCYPART_ARC
(7,8),1.05658 # DEPENDENCYPART_ARC
(7,9),0.901242 # DEPENDENCYPART_ARC
(7,10),0.294923 # DEPENDENCYPART_ARC
(7,11),2.72546 # DEPENDENCYPART_ARC
(7,12),1.77714 # DEPENDENCYPART_ARC
(7,13),1.28142 # DEPENDENCYPART_ARC
(7,14),-0.266292 # DEPENDENCYPART_ARC
(7,15),0.513147 # DEPENDENCYPART_ARC
(7,16),1.02523 # DEPENDENCYPART_ARC
(7,17),1.97776 # DEPENDENCYPART_ARC
(8,4),-2.0778 # DEPENDENCYPART_ARC
(8,6),-2.23193 # DEPENDENCYPART_ARC
(8,7),-0.456137 # DEPENDENCYPART_ARC
(8,9),-0.76743 # DEPENDENCYPART_ARC
(8,11),-1.52278 # DEPENDENCYPART_ARC
(8,12),-0.842774 # DEPENDENCYPART_ARC
(8,13),-1.05369 # DEPENDENCYPART_ARC
(8,14),-1.56408 # DEPENDENCYPART_ARC
(8,16),-1.15976 # DEPENDENCYPART_ARC
(8,17),-0.391492 # DEPENDENCYPART_ARC
(9,3),-2.32327 # DEPENDENCYPART_ARC
(9,4),-2.40891 # DEPENDENCYPART_ARC
(9,6),-1.1136 # DEPENDENCYPART_ARC
(9,7),-1.28189 # DEPENDENCYPART_ARC
(9,8),0.867094 # DEPENDENCYPART_ARC
(9,10),-0.680841 # DEPENDENCYPART_ARC
(9,11),-0.422693 # DEPENDENCYPART_ARC
(9,12),-0.418189 # DEPENDENCYPART_ARC
(9,13),-1.10114 # DEPENDENCYPART_ARC
(9,14),-0.861122 # DEPENDENCYPART_ARC
(9,16),-0.924164 # DEPENDENCYPART_ARC
(9,17),-0.233941 # DEPENDENCYPART_ARC
(10,3),-1.86254 # DEPENDENCYPART_ARC
(10,4),-1.7639 # DEPENDENCYPART_ARC
(10,6),-0.577581 # DEPENDENCYPART_ARC
(10,7),-0.840366 # DEPENDENCYPART_ARC
(10,8),0.668667 # DEPENDENCYPART_ARC
(10,9),1.98166 # DEPENDENCYPART_ARC
(10,16),-1.2748 # DEPENDENCYPART_ARC
(11,1),-0.31178 # DEPENDENCYPART_ARC
(11,2),0.201539 # DEPENDENCYPART_ARC
(11,3),-0.0199752 # DEPENDENCYPART_ARC
(11,4),-1.9104 # DEPENDENCYPART_ARC
(11,6),-2.49361 # DEPENDENCYPART_ARC
(11,7),-1.56461 # DEPENDENCYPART_ARC
(11,8),1.2466 # DEPENDENCYPART_ARC
(11,9),1.97732 # DEPENDENCYPART_ARC
(11,10),2.97912 # DEPENDENCYPART_ARC
(11,12),-0.354584 # DEPENDENCYPART_ARC
(11,13),-0.981379 # DEPENDENCYPART_ARC
(11,14),-1.27645 # DEPENDENCYPART_ARC
(11,15),-1.48418 # DEPENDENCYPART_ARC
(11,16),-0.940228 # DEPENDENCYPART_ARC
(11,17),-0.29149 # DEPENDENCYPART_ARC
(13,2),-0.143962 # DEPENDENCYPART_ARC
(13,3),-0.108293 # DEPENDENCYPART_ARC
(13,4),-0.202173 # DEPENDENCYPART_ARC
(13,6),-0.23366 # DEPENDENCYPART_ARC
(13,7),2.18049 # DEPENDENCYPART_ARC
(13,8),0.551537 # DEPENDENCYPART_ARC
(13,9),0.66771 # DEPENDENCYPART_ARC
(13,10),0.659593 # DEPENDENCYPART_ARC
(13,11),0.0394805 # DEPENDENCYPART_ARC
(13,12),2.16269 # DEPENDENCYPART_ARC
(13,14),0.428374 # DEPENDENCYPART_ARC
(13,15),0.114203 # DEPENDENCYPART_ARC
(13,16),2.18907 # DEPENDENCYPART_ARC
(13,17),3.19379 # DEPENDENCYPART_ARC
(14,8),-0.85246 # DEPENDENCYPART_ARC
(14,11),-1.63969 # DEPENDENCYPART_ARC
(14,12),-0.903591 # DEPENDENCYPART_ARC
(14,13),-0.239236 # DEPENDENCYPART_ARC
(14,16),-0.715904 # DEPENDENCYPART_ARC
(14,17),-0.527677 # DEPENDENCYPART_ARC
(15,1),-0.364955 # DEPENDENCYPART_ARC
(15,2),-0.13302 # DEPENDENCYPART_ARC
(15,3),-3.02007 # DEPENDENCYPART_ARC
(15,6),-3.0184 # DEPENDENCYPART_ARC
(15,7),-1.54045 # DEPENDENCYPART_ARC
(15,8),1.28806 # DEPENDENCYPART_ARC
(15,9),0.36021 # DEPENDENCYPART_ARC
(15,10),0.853715 # DEPENDENCYPART_ARC
(15,11),-1.89581 # DEPENDENCYPART_ARC
(15,12),0.497495 # DEPENDENCYPART_ARC
(15,13),0.998291 # DEPENDENCYPART_ARC
(15,14),3.626 # DEPENDENCYPART_ARC
(16,2),-1.31497 # DEPENDENCYPART_ARC
(16,3),0.290614 # DEPENDENCYPART_ARC
(16,4),1.01234 # DEPENDENCYPART_ARC
(16,6),0.26682 # DEPENDENCYPART_ARC
(16,7),-0.281499 # DEPENDENCYPART_ARC
(16,8),-0.673791 # DEPENDENCYPART_ARC
(16,9),-0.446727 # DEPENDENCYPART_ARC
