# _root_ De hogy az átütemezést valóban megkapja -e gazda , arról a bankok egyedileg döntenek , azaz a termelőknek a pénzintézetekkel kell megállapodniuk .
#goldHeads=16,14,4,6,6,10,6,6,14,14,12,14,14,16,16,0,18,21,20,22,16,21,16,
#predictedHeads=21,14,4,6,6,0,6,6,6,14,12,14,14,6,14,21,18,22,20,22,10,21,6,
(0,1),-1.99172 # DEPENDENCYPART_ARC
(0,2),-2.19669 # DEPENDENCYPART_ARC
(0,5),-2.50029 # DEPENDENCYPART_ARC
(0,6),-1.35014 # DEPENDENCYPART_ARC
(0,10),-4.09858 # DEPENDENCYPART_ARC
(0,13),-2.91772 # DEPENDENCYPART_ARC
(0,14),-2.21582 # DEPENDENCYPART_ARC
(0,16),-2.74193 # DEPENDENCYPART_ARC
(0,21),-2.32804 # DEPENDENCYPART_ARC
(0,22),-2.39314 # DEPENDENCYPART_ARC
(1,2),-0.277594 # DEPENDENCYPART_ARC
(1,4),-1.56221 # DEPENDENCYPART_ARC
(1,6),-0.242608 # DEPENDENCYPART_ARC
(1,9),-0.0330455 # DEPENDENCYPART_ARC
(1,10),-1.3716 # DEPENDENCYPART_ARC
(1,14),-0.852804 # DEPENDENCYPART_ARC
(1,15),-0.327311 # DEPENDENCYPART_ARC
(1,16),-1.11545 # DEPENDENCYPART_ARC
(1,18),-2.208 # DEPENDENCYPART_ARC
(1,21),-1.05219 # DEPENDENCYPART_ARC
(1,22),-1.3718 # DEPENDENCYPART_ARC
(1,23),1.33548 # DEPENDENCYPART_ARC
(2,1),0.811335 # DEPENDENCYPART_ARC
(2,4),-1.02634 # DEPENDENCYPART_ARC
(2,6),0.213935 # DEPENDENCYPART_ARC
(2,9),0.27948 # DEPENDENCYPART_ARC
(2,14),-0.276723 # DEPENDENCYPART_ARC
(2,15),-0.187113 # DEPENDENCYPART_ARC
(2,16),-0.428768 # DEPENDENCYPART_ARC
(2,21),-0.704706 # DEPENDENCYPART_ARC
(2,22),-1.02662 # DEPENDENCYPART_ARC
(2,23),1.03494 # DEPENDENCYPART_ARC
(4,1),-0.888219 # DEPENDENCYPART_ARC
(4,2),-0.909 # DEPENDENCYPART_ARC
(4,3),2.7668 # DEPENDENCYPART_ARC
(5,1),-0.690082 # DEPENDENCYPART_ARC
(5,2),-0.777964 # DEPENDENCYPART_ARC
(5,4),-0.0903889 # DEPENDENCYPART_ARC
(5,8),-1.02662 # DEPENDENCYPART_ARC
(5,12),-1.71771 # DEPENDENCYPART_ARC
(5,14),-0.851364 # DEPENDENCYPART_ARC
(6,1),0.774004 # DEPENDENCYPART_ARC
(6,2),-0.0684669 # DEPENDENCYPART_ARC
(6,3),-1.63499 # DEPENDENCYPART_ARC
(6,4),1.85672 # DEPENDENCYPART_ARC
(6,5),2.15512 # DEPENDENCYPART_ARC
(6,7),2.52731 # DEPENDENCYPART_ARC
(6,8),2.52286 # DEPENDENCYPART_ARC
(6,9),1.62048 # DEPENDENCYPART_ARC
(6,10),-0.658559 # DEPENDENCYPART_ARC
(6,11),-1.00463 # DEPENDENCYPART_ARC
(6,12),-1.18175 # DEPENDENCYPART_ARC
(6,13),0.072642 # DEPENDENCYPART_ARC
(6,14),1.06505 # DEPENDENCYPART_ARC
(6,15),1.27765 # DEPENDENCYPART_ARC
(6,16),0.619287 # DEPENDENCYPART_ARC
(6,18),-1.22176 # DEPENDENCYPART_ARC
(6,20),-2.43272 # DEPENDENCYPART_ARC
(6,21),0.871602 # DEPENDENCYPART_ARC
(6,22),2.35911 # DEPENDENCYPART_ARC
(6,23),2.4694 # DEPENDENCYPART_ARC
(7,4),-0.587275 # DEPENDENCYPART_ARC
(7,5),-0.245318 # DEPENDENCYPART_ARC
(7,8),-0.851213 # DEPENDENCYPART_ARC
(8,3),-0.381178 # DEPENDENCYPART_ARC
(8,4),-3.6739 # DEPENDENCYPART_ARC
(8,5),-0.345494 # DEPENDENCYPART_ARC
(8,6),0.0574698 # DEPENDENCYPART_ARC
(8,9),0.80874 # DEPENDENCYPART_ARC
(8,12),-0.312228 # DEPENDENCYPART_ARC
(8,13),-0.491097 # DEPENDENCYPART_ARC
(8,14),0.523 # DEPENDENCYPART_ARC
(8,15),0.34608 # DEPENDENCYPART_ARC
(8,18),-1.90375 # DEPENDENCYPART_ARC
(8,20),-1.93062 # DEPENDENCYPART_ARC
(8,21),-0.0404116 # DEPENDENCYPART_ARC
(8,22),0.0290914 # DEPENDENCYPART_ARC
(8,23),1.80846 # DEPENDENCYPART_ARC
(10,1),0.048143 # DEPENDENCYPART_ARC
(10,2),-0.333919 # DEPENDENCYPART_ARC
(10,4),-0.927556 # DEPENDENCYPART_ARC
(10,5),0.0812196 # DEPENDENCYPART_ARC
(10,6),0.976176 # DEPENDENCYPART_ARC
(10,8),-0.279501 # DEPENDENCYPART_ARC
(10,9),0.00673211 # DEPENDENCYPART_ARC
(10,12),0.582559 # DEPENDENCYPART_ARC
(10,13),-0.117654 # DEPENDENCYPART_ARC
(10,14),1.56725 # DEPENDENCYPART_ARC
(10,15),0.566762 # DEPENDENCYPART_ARC
(10,16),0.724192 # DEPENDENCYPART_ARC
(10,18),-0.318936 # DEPENDENCYPART_ARC
(10,20),-0.716506 # DEPENDENCYPART_ARC
(10,21),1.48692 # DEPENDENCYPART_ARC
(10,22),0.732391 # DEPENDENCYPART_ARC
(10,23),0.702852 # DEPENDENCYPART_ARC
(11,13),-0.557453 # DEPENDENCYPART_ARC
(12,3),-0.998788 # DEPENDENCYPART_ARC
(12,8),-2.05933 # DEPENDENCYPART_ARC
(12,10),-0.571404 # DEPENDENCYPART_ARC
(12,11),3.02043 # DEPENDENCYPART_ARC
(12,13),-0.646323 # DEPENDENCYPART_ARC
(13,5),-0.999329 # DEPENDENCYPART_ARC
(13,6),-1.13364 # DEPENDENCYPART_ARC
(13,8),-2.22891 # DEPENDENCYPART_ARC
(13,9),-0.525951 # DEPENDENCYPART_ARC
(13,10),-0.512297 # DEPENDENCYPART_ARC
(13,11),0.264176 # DEPENDENCYPART_ARC
(13,12),-0.196153 # DEPENDENCYPART_ARC
(13,15),-0.628519 # DEPENDENCYPART_ARC
(13,18),-1.86729 # DEPENDENCYPART_ARC
(13,20),-2.20252 # DEPENDENCYPART_ARC
(13,21),-1.6652 # DEPENDENCYPART_ARC
(13,22),-1.50656 # DEPENDENCYPART_ARC
(13,23),0.372021 # DEPENDENCYPART_ARC
(14,1),1.01057 # DEPENDENCYPART_ARC
(14,2),0.738867 # DEPENDENCYPART_ARC
(14,3),-0.987287 # DEPENDENCYPART_ARC
(14,4),-0.0542876 # DEPENDENCYPART_ARC
(14,5),0.452154 # DEPENDENCYPART_ARC
(14,6),0.168742 # DEPENDENCYPART_ARC
(14,7),0.483933 # DEPENDENCYPART_ARC
(14,8),-0.361077 # DEPENDENCYPART_ARC
(14,9),0.438486 # DEPENDENCYPART_ARC
(14,10),1.92186 # DEPENDENCYPART_ARC
(14,11),-0.3154 # DEPENDENCYPART_ARC
(14,12),2.35859 # DEPENDENCYPART_ARC
(14,13),3.25913 # DEPENDENCYPART_ARC
(14,15),1.86572 # DEPENDENCYPART_ARC
(14,16),0.98473 # DEPENDENCYPART_ARC
(14,17),-0.818036 # DEPENDENCYPART_ARC
(14,18),0.106449 # DEPENDENCYPART_ARC
(14,19),-0.909363 # DEPENDENCYPART_ARC
(14,20),-1.25963 # DEPENDENCYPART_ARC
(14,21),0.997606 # DEPENDENCYPART_ARC
(14,22),2.73421 # DEPENDENCYPART_ARC
(14,23),2.20467 # DEPENDENCYPART_ARC
(16,1),0.248438 # DEPENDENCYPART_ARC
(16,2),-0.568326 # DEPENDENCYPART_ARC
(16,4),-1.67151 # DEPENDENCYPART_ARC
(16,5),-1.1606 # DEPENDENCYPART_ARC
(16,6),0.0891911 # DEPENDENCYPART_ARC
(16,8),-1.38653 # DEPENDENCYPART_ARC
(16,9),-0.622108 # DEPENDENCYPART_ARC
(16,10),-1.74735 # DEPENDENCYPART_ARC
(16,11),-1.42324 # DEPENDENCYPART_ARC
(16,12),-0.931095 # DEPENDENCYPART_ARC
(16,13),-0.75888 # DEPENDENCYPART_ARC
(16,14),1.18888 # DEPENDENCYPART_ARC
(16,15),0.779792 # DEPENDENCYPART_ARC
(16,17),-0.703706 # DEPENDENCYPART_ARC
(16,18),-0.263446 # DEPENDENCYPART_ARC
(16,20),-0.977313 # DEPENDENCYPART_ARC
(16,21),0.559978 # DEPENDENCYPART_ARC
(16,22),0.0965744 # DEPENDENCYPART_ARC
(16,23),1.43926 # DEPENDENCYPART_ARC
(17,16),-0.13473 # DEPENDENCYPART_ARC
(17,20),-1.28306 # DEPENDENCYPART_ARC
(18,10),-2.57577 # DEPENDENCYPART_ARC
(18,11),-1.34108 # DEPENDENCYPART_ARC
(18,12),-3.74058 # DEPENDENCYPART_ARC
(18,16),-0.805688 # DEPENDENCYPART_ARC
(18,17),2.75857 # DEPENDENCYPART_ARC
(18,19),-1.05142 # DEPENDENCYPART_ARC
(18,20),-0.818796 # DEPENDENCYPART_ARC
(20,17),-0.0511272 # DEPENDENCYPART_ARC
(20,18),-1.88261 # DEPENDENCYPART_ARC
(20,19),2.28986 # DEPENDENCYPART_ARC
(21,1),1.14089 # DEPENDENCYPART_ARC
(21,2),0.708501 # DEPENDENCYPART_ARC
(21,5),-0.407112 # DEPENDENCYPART_ARC
(21,6),-1.0812 # DEPENDENCYPART_ARC
(21,8),-2.11813 # DEPENDENCYPART_ARC
(21,9),-0.156807 # DEPENDENCYPART_ARC
(21,10),-0.07312 # DEPENDENCYPART_ARC
(21,12),-0.961486 # DEPENDENCYPART_ARC
(21,13),0.338769 # DEPENDENCYPART_ARC
(21,14),-0.904974 # DEPENDENCYPART_ARC
(21,15),0.296154 # DEPENDENCYPART_ARC
(21,16),1.09414 # DEPENDENCYPART_ARC
(21,17),-1.52664 # DEPENDENCYPART_ARC
(21,18),1.16483 # DEPENDENCYPART_ARC
(21,19),-1.06974 # DEPENDENCYPART_ARC
(21,20),0.775116 # DEPENDENCYPART_ARC
(21,22),5.37441 # DEPENDENCYPART_ARC
(21,23),1.77506 # DEPENDENCYPART_ARC
(22,1),0.221648 # DEPENDENCYPART_ARC
(22,2),0.145349 # DEPENDENCYPART_ARC
(22,3),-1.09317 # DEPENDENCYPART_ARC
(22,4),-0.0365365 # DEPENDENCYPART_ARC
(22,5),-0.14469 # DEPENDENCYPART_ARC
(22,6),-0.97706 # DEPENDENCYPART_ARC
(22,8),-2.26235 # DEPENDENCYPART_ARC
(22,9),0.0522487 # DEPENDENCYPART_ARC
(22,10),0.636566 # DEPENDENCYPART_ARC
(22,11),-1.20465 # DEPENDENCYPART_ARC
(22,12),-0.898255 # DEPENDENCYPART_ARC
(22,13),1.97295 # DEPENDENCYPART_ARC
(22,14),-0.659443 # DEPENDENCYPART_ARC
(22,15),0.427794 # DEPENDENCYPART_ARC
(22,16),0.934531 # DEPENDENCYPART_ARC
(22,17),-1.15295 # DEPENDENCYPART_ARC
(22,18),1.95027 # DEPENDENCYPART_ARC
(22,19),-0.912263 # DEPENDENCYPART_ARC
(22,20),3.58644 # DEPENDENCYPART_ARC
(22,21),1.10841 # DEPENDENCYPART_ARC
(22,23),0.372747 # DEPENDENCYPART_ARC
