# _root_ A képmutató terminus technicus jelentése , hogy az egyik etnikum fegyveres alakulatai tömegesen elüldözik a másik népcsoport civil lakosságát , hogy egy adott területet a sajátjai számára " megtisztítson " .
#goldHeads=4,4,4,5,7,7,0,10,10,12,12,14,14,7,17,17,19,19,14,14,14,24,24,29,26,27,29,29,14,29,7,
#predictedHeads=3,3,5,5,7,7,0,10,10,12,12,14,14,7,17,17,19,19,14,14,14,24,24,29,26,27,29,29,14,29,14,
(0,4),-2.35944 # DEPENDENCYPART_ARC
(0,7),-0.848467 # DEPENDENCYPART_ARC
(0,9),-3.07906 # DEPENDENCYPART_ARC
(0,11),-2.72376 # DEPENDENCYPART_ARC
(0,13),-2.90122 # DEPENDENCYPART_ARC
(0,14),-1.96785 # DEPENDENCYPART_ARC
(0,21),-2.32407 # DEPENDENCYPART_ARC
(0,29),-2.31091 # DEPENDENCYPART_ARC
(1,2),-0.0941947 # DEPENDENCYPART_ARC
(2,1),0.466338 # DEPENDENCYPART_ARC
(3,1),2.36654 # DEPENDENCYPART_ARC
(3,2),3.35558 # DEPENDENCYPART_ARC
(3,4),-0.51774 # DEPENDENCYPART_ARC
(3,5),-0.581847 # DEPENDENCYPART_ARC
(3,14),-0.917687 # DEPENDENCYPART_ARC
(3,27),-0.817896 # DEPENDENCYPART_ARC
(3,31),0.684963 # DEPENDENCYPART_ARC
(4,1),1.11605 # DEPENDENCYPART_ARC
(4,2),0.977753 # DEPENDENCYPART_ARC
(4,3),1.8685 # DEPENDENCYPART_ARC
(4,5),0.191015 # DEPENDENCYPART_ARC
(4,6),0.163768 # DEPENDENCYPART_ARC
(4,7),-0.0592927 # DEPENDENCYPART_ARC
(4,10),-0.735148 # DEPENDENCYPART_ARC
(4,12),-0.88945 # DEPENDENCYPART_ARC
(4,17),-1.10225 # DEPENDENCYPART_ARC
(5,1),0.631178 # DEPENDENCYPART_ARC
(5,2),1.41502 # DEPENDENCYPART_ARC
(5,3),2.93256 # DEPENDENCYPART_ARC
(5,4),2.27202 # DEPENDENCYPART_ARC
(5,6),0.00966419 # DEPENDENCYPART_ARC
(5,14),-1.1953 # DEPENDENCYPART_ARC
(5,24),-2.61875 # DEPENDENCYPART_ARC
(5,27),-0.616399 # DEPENDENCYPART_ARC
(5,29),-2.47058 # DEPENDENCYPART_ARC
(5,30),-1.10903 # DEPENDENCYPART_ARC
(5,31),1.06911 # DEPENDENCYPART_ARC
(7,2),0.321743 # DEPENDENCYPART_ARC
(7,3),0.750168 # DEPENDENCYPART_ARC
(7,4),0.552855 # DEPENDENCYPART_ARC
(7,5),0.971789 # DEPENDENCYPART_ARC
(7,6),0.715815 # DEPENDENCYPART_ARC
(7,10),-0.994036 # DEPENDENCYPART_ARC
(7,11),-0.391612 # DEPENDENCYPART_ARC
(7,12),-0.855943 # DEPENDENCYPART_ARC
(7,13),-0.684625 # DEPENDENCYPART_ARC
(7,14),0.833272 # DEPENDENCYPART_ARC
(7,20),-0.571531 # DEPENDENCYPART_ARC
(7,21),-0.345757 # DEPENDENCYPART_ARC
(7,28),-0.489401 # DEPENDENCYPART_ARC
(7,29),-0.753531 # DEPENDENCYPART_ARC
(7,30),-0.706832 # DEPENDENCYPART_ARC
(7,31),2.20379 # DEPENDENCYPART_ARC
(8,11),-0.155864 # DEPENDENCYPART_ARC
(8,13),-0.511298 # DEPENDENCYPART_ARC
(9,8),0.406979 # DEPENDENCYPART_ARC
(9,14),-0.800452 # DEPENDENCYPART_ARC
(9,16),-1.24649 # DEPENDENCYPART_ARC
(9,19),-1.30046 # DEPENDENCYPART_ARC
(9,20),-0.420633 # DEPENDENCYPART_ARC
(9,29),-0.614927 # DEPENDENCYPART_ARC
(10,1),-0.380905 # DEPENDENCYPART_ARC
(10,2),0.0109209 # DEPENDENCYPART_ARC
(10,3),-1.72222 # DEPENDENCYPART_ARC
(10,4),0.0607466 # DEPENDENCYPART_ARC
(10,5),-2.24294 # DEPENDENCYPART_ARC
(10,6),-0.158856 # DEPENDENCYPART_ARC
(10,7),-0.63458 # DEPENDENCYPART_ARC
(10,8),2.20526 # DEPENDENCYPART_ARC
(10,9),2.98286 # DEPENDENCYPART_ARC
(10,11),-0.392827 # DEPENDENCYPART_ARC
(10,12),-0.31827 # DEPENDENCYPART_ARC
(10,27),-0.251743 # DEPENDENCYPART_ARC
(10,31),0.952739 # DEPENDENCYPART_ARC
(11,3),-1.54942 # DEPENDENCYPART_ARC
(11,4),-0.199505 # DEPENDENCYPART_ARC
(11,5),-1.91684 # DEPENDENCYPART_ARC
(11,6),-0.263052 # DEPENDENCYPART_ARC
(11,7),-0.624388 # DEPENDENCYPART_ARC
(11,8),-0.423757 # DEPENDENCYPART_ARC
(11,9),-0.122075 # DEPENDENCYPART_ARC
(11,10),1.208 # DEPENDENCYPART_ARC
(12,1),-0.751876 # DEPENDENCYPART_ARC
(12,2),0.386709 # DEPENDENCYPART_ARC
(12,3),0.387239 # DEPENDENCYPART_ARC
(12,4),0.342275 # DEPENDENCYPART_ARC
(12,5),-1.39518 # DEPENDENCYPART_ARC
(12,6),-0.0832006 # DEPENDENCYPART_ARC
(12,7),-0.709927 # DEPENDENCYPART_ARC
(12,8),0.688113 # DEPENDENCYPART_ARC
(12,9),0.61809 # DEPENDENCYPART_ARC
(12,10),2.83457 # DEPENDENCYPART_ARC
(12,11),3.25653 # DEPENDENCYPART_ARC
(12,13),-0.623699 # DEPENDENCYPART_ARC
(12,27),-0.587685 # DEPENDENCYPART_ARC
(13,3),-2.19492 # DEPENDENCYPART_ARC
(13,4),-0.348318 # DEPENDENCYPART_ARC
(13,5),-2.38591 # DEPENDENCYPART_ARC
