# _root_ Szívet melengető érzés , hogy Európában még mindig mekkora kultusza van , és a mostani negyvenévesek milyen nosztalgiával emlegetik őt .
#goldHeads=2,3,5,5,0,11,11,11,10,11,13,13,5,16,16,19,18,19,13,19,5,
#predictedHeads=2,3,5,5,0,11,11,11,10,11,13,13,5,16,16,19,18,19,13,19,13,
(0,1),-2.79596 # DEPENDENCYPART_ARC
(0,3),-3.3863 # DEPENDENCYPART_ARC
(0,5),-1.30703 # DEPENDENCYPART_ARC
(0,7),-3.08472 # DEPENDENCYPART_ARC
(0,11),-1.75849 # DEPENDENCYPART_ARC
(0,13),-1.18769 # DEPENDENCYPART_ARC
(0,16),-3.50877 # DEPENDENCYPART_ARC
(0,19),-2.52154 # DEPENDENCYPART_ARC
(0,20),-4.98969 # DEPENDENCYPART_ARC
(1,2),-0.617465 # DEPENDENCYPART_ARC
(1,3),-0.510504 # DEPENDENCYPART_ARC
(1,4),-0.218322 # DEPENDENCYPART_ARC
(1,6),-1.41738 # DEPENDENCYPART_ARC
(1,7),-0.890787 # DEPENDENCYPART_ARC
(1,11),-0.924916 # DEPENDENCYPART_ARC
(1,13),-0.427159 # DEPENDENCYPART_ARC
(1,19),-1.44262 # DEPENDENCYPART_ARC
(1,21),0.381273 # DEPENDENCYPART_ARC
(2,1),1.77686 # DEPENDENCYPART_ARC
(2,5),-0.968567 # DEPENDENCYPART_ARC
(2,6),-1.53618 # DEPENDENCYPART_ARC
(2,11),-1.49489 # DEPENDENCYPART_ARC
(3,1),-0.692166 # DEPENDENCYPART_ARC
(3,2),3.83178 # DEPENDENCYPART_ARC
(3,4),-0.0582575 # DEPENDENCYPART_ARC
(3,6),-1.31186 # DEPENDENCYPART_ARC
(3,7),-0.903271 # DEPENDENCYPART_ARC
(3,11),-0.773445 # DEPENDENCYPART_ARC
(3,19),-0.945607 # DEPENDENCYPART_ARC
(3,21),0.813658 # DEPENDENCYPART_ARC
(5,1),0.782219 # DEPENDENCYPART_ARC
(5,2),1.2716 # DEPENDENCYPART_ARC
(5,3),1.02026 # DEPENDENCYPART_ARC
(5,4),1.09054 # DEPENDENCYPART_ARC
(5,6),-0.897888 # DEPENDENCYPART_ARC
(5,7),-0.300456 # DEPENDENCYPART_ARC
(5,10),-1.3851 # DEPENDENCYPART_ARC
(5,11),0.564543 # DEPENDENCYPART_ARC
(5,12),0.174388 # DEPENDENCYPART_ARC
(5,13),0.539682 # DEPENDENCYPART_ARC
(5,15),-0.779175 # DEPENDENCYPART_ARC
(5,16),-1.02622 # DEPENDENCYPART_ARC
(5,19),0.0887543 # DEPENDENCYPART_ARC
(5,20),-1.01127 # DEPENDENCYPART_ARC
(5,21),2.57869 # DEPENDENCYPART_ARC
(6,2),-0.767556 # DEPENDENCYPART_ARC
(6,3),-2.06745 # DEPENDENCYPART_ARC
(6,4),-0.74137 # DEPENDENCYPART_ARC
(6,5),-1.50573 # DEPENDENCYPART_ARC
(6,10),-1.15394 # DEPENDENCYPART_ARC
(6,15),-1.43918 # DEPENDENCYPART_ARC
(6,21),0.760312 # DEPENDENCYPART_ARC
(7,1),-1.18176 # DEPENDENCYPART_ARC
(7,3),-1.54961 # DEPENDENCYPART_ARC
(7,4),-0.519003 # DEPENDENCYPART_ARC
(7,5),-1.00989 # DEPENDENCYPART_ARC
(7,6),-0.440689 # DEPENDENCYPART_ARC
(7,10),-1.1105 # DEPENDENCYPART_ARC
(7,12),-0.937076 # DEPENDENCYPART_ARC
(7,13),-1.06739 # DEPENDENCYPART_ARC
(7,19),-1.54444 # DEPENDENCYPART_ARC
(7,21),-0.856302 # DEPENDENCYPART_ARC
(8,1),-0.590428 # DEPENDENCYPART_ARC
(8,3),-1.01391 # DEPENDENCYPART_ARC
(8,4),-0.179503 # DEPENDENCYPART_ARC
(8,6),-0.352641 # DEPENDENCYPART_ARC
(8,7),0.328882 # DEPENDENCYPART_ARC
(8,10),-0.13695 # DEPENDENCYPART_ARC
(9,10),0.090399 # DEPENDENCYPART_ARC
(9,12),0.402281 # DEPENDENCYPART_ARC
(9,15),-0.500796 # DEPENDENCYPART_ARC
(10,1),-3.76046 # DEPENDENCYPART_ARC
(10,2),-0.395228 # DEPENDENCYPART_ARC
(10,3),-0.57501 # DEPENDENCYPART_ARC
(10,4),-0.236258 # DEPENDENCYPART_ARC
(10,5),-0.973038 # DEPENDENCYPART_ARC
(10,6),-2.23136 # DEPENDENCYPART_ARC
(10,7),-0.194582 # DEPENDENCYPART_ARC
(10,8),0.317135 # DEPENDENCYPART_ARC
(10,9),2.26879 # DEPENDENCYPART_ARC
(10,12),-0.624889 # DEPENDENCYPART_ARC
(10,15),-1.56326 # DEPENDENCYPART_ARC
(10,16),-1.56657 # DEPENDENCYPART_ARC
(10,18),-2.12089 # DEPENDENCYPART_ARC
(10,19),-1.55326 # DEPENDENCYPART_ARC
(10,21),0.488267 # DEPENDENCYPART_ARC
(11,1),-0.211012 # DEPENDENCYPART_ARC
(11,2),-0.801235 # DEPENDENCYPART_ARC
(11,3),-0.0970429 # DEPENDENCYPART_ARC
(11,4),0.393116 # DEPENDENCYPART_ARC
(11,5),0.309754 # DEPENDENCYPART_ARC
(11,6),1.89169 # DEPENDENCYPART_ARC
(11,7),1.48099 # DEPENDENCYPART_ARC
(11,8),1.50977 # DEPENDENCYPART_ARC
(11,9),1.34503 # DEPENDENCYPART_ARC
(11,10),3.91374 # DEPENDENCYPART_ARC
(11,12),1.63137 # DEPENDENCYPART_ARC
(11,13),0.784141 # DEPENDENCYPART_ARC
(11,14),-0.918132 # DEPENDENCYPART_ARC
(11,15),-0.786958 # DEPENDENCYPART_ARC
(11,16),-0.00866217 # DEPENDENCYPART_ARC
(11,17),-0.959469 # DEPENDENCYPART_ARC
(11,18),-1.61323 # DEPENDENCYPART_ARC
(11,19),0.725021 # DEPENDENCYPART_ARC
(11,20),-1.21099 # DEPENDENCYPART_ARC
(11,21),2.31699 # DEPENDENCYPART_ARC
(13,1),-0.971239 # DEPENDENCYPART_ARC
(13,2),-0.829378 # DEPENDENCYPART_ARC
(13,3),-1.14435 # DEPENDENCYPART_ARC
(13,4),0.340313 # DEPENDENCYPART_ARC
(13,5),0.139634 # DEPENDENCYPART_ARC
(13,6),-0.467696 # DEPENDENCYPART_ARC
(13,7),-0.507364 # DEPENDENCYPART_ARC
(13,8),-0.191832 # DEPENDENCYPART_ARC
(13,10),-0.593107 # DEPENDENCYPART_ARC
(13,11),1.44575 # DEPENDENCYPART_ARC
(13,12),2.10568 # DEPENDENCYPART_ARC
(13,14),-0.117329 # DEPENDENCYPART_ARC
(13,15),0.447854 # DEPENDENCYPART_ARC
(13,16),0.255459 # DEPENDENCYPART_ARC
(13,18),-0.110086 # DEPENDENCYPART_ARC
(13,19),1.31006 # DEPENDENCYPART_ARC
(13,21),3.16107 # DEPENDENCYPART_ARC
(14,13),-0.311215 # DEPENDENCYPART_ARC
(14,15),0.110128 # DEPENDENCYPART_ARC
(14,16),-0.178902 # DEPENDENCYPART_ARC
(14,18),-1.22689 # DEPENDENCYPART_ARC
(15,12),-0.872991 # DEPENDENCYPART_ARC
(15,13),-0.734406 # DEPENDENCYPART_ARC
(15,14),0.481502 # DEPENDENCYPART_ARC
(15,16),-0.673448 # DEPENDENCYPART_ARC
(15,18),-1.19596 # DEPENDENCYPART_ARC
(16,5),-0.991967 # DEPENDENCYPART_ARC
(16,7),-0.90357 # DEPENDENCYPART_ARC
(16,11),-1.23951 # DEPENDENCYPART_ARC
