# _root_ És persze leellenőrizték a családot , körbenéztek a szomszédoknál , kik vagyunk .
#goldHeads=0,3,1,5,3,1,1,9,7,7,12,7,1,
#predictedHeads=3,3,0,5,3,3,3,9,7,7,12,7,3,
(0,1),-2.52591 # DEPENDENCYPART_ARC
(0,2),-2.41088 # DEPENDENCYPART_ARC
(0,3),-0.947505 # DEPENDENCYPART_ARC
(0,5),-3.53186 # DEPENDENCYPART_ARC
(0,7),-1.08074 # DEPENDENCYPART_ARC
(0,12),-2.12583 # DEPENDENCYPART_ARC
(1,2),-1.15364 # DEPENDENCYPART_ARC
(1,3),0.223846 # DEPENDENCYPART_ARC
(1,5),-1.24224 # DEPENDENCYPART_ARC
(1,6),0.302876 # DEPENDENCYPART_ARC
(1,7),-0.326829 # DEPENDENCYPART_ARC
(1,9),-1.54221 # DEPENDENCYPART_ARC
(1,10),0.306531 # DEPENDENCYPART_ARC
(1,12),-0.857317 # DEPENDENCYPART_ARC
(1,13),-0.168001 # DEPENDENCYPART_ARC
(2,1),-0.200389 # DEPENDENCYPART_ARC
(2,3),-0.331712 # DEPENDENCYPART_ARC
(2,5),-1.34773 # DEPENDENCYPART_ARC
(2,6),-0.872997 # DEPENDENCYPART_ARC
(2,7),-1.11996 # DEPENDENCYPART_ARC
(2,9),-2.02145 # DEPENDENCYPART_ARC
(2,10),-0.966016 # DEPENDENCYPART_ARC
(2,12),-1.06861 # DEPENDENCYPART_ARC
(2,13),-0.115048 # DEPENDENCYPART_ARC
(3,1),1.77833 # DEPENDENCYPART_ARC
(3,2),2.77559 # DEPENDENCYPART_ARC
(3,4),-0.0634977 # DEPENDENCYPART_ARC
(3,5),3.50874 # DEPENDENCYPART_ARC
(3,6),1.68333 # DEPENDENCYPART_ARC
(3,7),1.13577 # DEPENDENCYPART_ARC
(3,8),-0.536887 # DEPENDENCYPART_ARC
(3,9),0.955541 # DEPENDENCYPART_ARC
(3,10),1.57536 # DEPENDENCYPART_ARC
(3,11),-1.59669 # DEPENDENCYPART_ARC
(3,12),0.91638 # DEPENDENCYPART_ARC
(3,13),2.46163 # DEPENDENCYPART_ARC
(4,6),-0.456724 # DEPENDENCYPART_ARC
(5,1),-1.46749 # DEPENDENCYPART_ARC
(5,2),-1.13189 # DEPENDENCYPART_ARC
(5,3),-0.47418 # DEPENDENCYPART_ARC
(5,4),2.8198 # DEPENDENCYPART_ARC
(5,6),0.0390005 # DEPENDENCYPART_ARC
(5,7),-0.537057 # DEPENDENCYPART_ARC
(5,9),-1.54393 # DEPENDENCYPART_ARC
(5,10),-0.312269 # DEPENDENCYPART_ARC
(5,12),-1.23515 # DEPENDENCYPART_ARC
(5,13),0.586879 # DEPENDENCYPART_ARC
(7,1),1.41775 # DEPENDENCYPART_ARC
(7,2),0.742792 # DEPENDENCYPART_ARC
(7,3),0.880283 # DEPENDENCYPART_ARC
(7,4),-0.417226 # DEPENDENCYPART_ARC
(7,5),0.361988 # DEPENDENCYPART_ARC
(7,6),1.36685 # DEPENDENCYPART_ARC
(7,8),-0.0533736 # DEPENDENCYPART_ARC
(7,9),3.17373 # DEPENDENCYPART_ARC
(7,10),2.04818 # DEPENDENCYPART_ARC
(7,11),-0.810596 # DEPENDENCYPART_ARC
(7,12),1.2491 # DEPENDENCYPART_ARC
(7,13),2.36925 # DEPENDENCYPART_ARC
(8,6),-1.60991 # DEPENDENCYPART_ARC
(8,10),-0.519478 # DEPENDENCYPART_ARC
(9,1),-1.99373 # DEPENDENCYPART_ARC
(9,3),-2.64008 # DEPENDENCYPART_ARC
(9,4),-0.524942 # DEPENDENCYPART_ARC
(9,5),-4.10698 # DEPENDENCYPART_ARC
(9,6),-1.47888 # DEPENDENCYPART_ARC
(9,7),-1.73995 # DEPENDENCYPART_ARC
(9,8),2.98907 # DEPENDENCYPART_ARC
(9,10),-0.140307 # DEPENDENCYPART_ARC
(9,12),-0.681614 # DEPENDENCYPART_ARC
(9,13),0.0902738 # DEPENDENCYPART_ARC
(11,10),0.185074 # DEPENDENCYPART_ARC
(11,13),-0.482166 # DEPENDENCYPART_ARC
(12,1),1.05541 # DEPENDENCYPART_ARC
(12,2),-0.14194 # DEPENDENCYPART_ARC
(12,3),0.41215 # DEPENDENCYPART_ARC
(12,4),-1.18795 # DEPENDENCYPART_ARC
(12,5),-0.846425 # DEPENDENCYPART_ARC
(12,6),0.233976 # DEPENDENCYPART_ARC
(12,7),0.380432 # DEPENDENCYPART_ARC
(12,8),-0.708416 # DEPENDENCYPART_ARC
(12,9),0.707709 # DEPENDENCYPART_ARC
(12,10),1.10124 # DEPENDENCYPART_ARC
(12,11),3.15603 # DEPENDENCYPART_ARC
(12,13),1.23823 # DEPENDENCYPART_ARC
