# _root_ Lajtos és Rózsavölgyi él-hal a sportágért , így aztán nem csoda , ha nem sajnálják a pénzt a futballra .
#goldHeads=4,4,4,9,6,4,9,9,0,13,13,13,9,15,13,17,15,19,15,9,
#predictedHeads=4,4,4,8,6,4,8,0,15,15,13,15,15,15,8,17,15,19,15,8,
(0,1),-2.25625 # DEPENDENCYPART_ARC
(0,2),-2.86094 # DEPENDENCYPART_ARC
(0,3),-2.37001 # DEPENDENCYPART_ARC
(0,4),-1.09064 # DEPENDENCYPART_ARC
(0,8),0.254117 # DEPENDENCYPART_ARC
(0,9),-1.25267 # DEPENDENCYPART_ARC
(0,10),-2.54771 # DEPENDENCYPART_ARC
(0,13),-1.8109 # DEPENDENCYPART_ARC
(0,15),-2.08274 # DEPENDENCYPART_ARC
(1,3),-1.30724 # DEPENDENCYPART_ARC
(1,4),-1.19475 # DEPENDENCYPART_ARC
(1,6),-2.6397 # DEPENDENCYPART_ARC
(2,1),0.0757043 # DEPENDENCYPART_ARC
(2,3),-0.141694 # DEPENDENCYPART_ARC
(2,4),0.36854 # DEPENDENCYPART_ARC
(2,6),-0.41177 # DEPENDENCYPART_ARC
(2,7),-0.248879 # DEPENDENCYPART_ARC
(2,8),-0.38485 # DEPENDENCYPART_ARC
(2,9),-0.424964 # DEPENDENCYPART_ARC
(2,10),-0.898937 # DEPENDENCYPART_ARC
(2,11),-1.54124 # DEPENDENCYPART_ARC
(2,12),-0.411481 # DEPENDENCYPART_ARC
(2,13),-0.65632 # DEPENDENCYPART_ARC
(2,15),-1.66625 # DEPENDENCYPART_ARC
(2,17),-2.25618 # DEPENDENCYPART_ARC
(2,20),0.598313 # DEPENDENCYPART_ARC
(3,1),0.517846 # DEPENDENCYPART_ARC
(3,2),0.922098 # DEPENDENCYPART_ARC
(3,4),-0.432931 # DEPENDENCYPART_ARC
(3,6),-1.72613 # DEPENDENCYPART_ARC
(3,7),-0.476611 # DEPENDENCYPART_ARC
(3,11),-1.871 # DEPENDENCYPART_ARC
(3,13),-1.12585 # DEPENDENCYPART_ARC
(3,15),-1.43605 # DEPENDENCYPART_ARC
(3,20),-0.18605 # DEPENDENCYPART_ARC
(4,1),2.48328 # DEPENDENCYPART_ARC
(4,2),2.11659 # DEPENDENCYPART_ARC
(4,3),3.79657 # DEPENDENCYPART_ARC
(4,5),-0.765906 # DEPENDENCYPART_ARC
(4,6),2.45752 # DEPENDENCYPART_ARC
(4,7),1.32613 # DEPENDENCYPART_ARC
(4,8),0.737489 # DEPENDENCYPART_ARC
(4,9),-0.528099 # DEPENDENCYPART_ARC
(4,10),-0.304911 # DEPENDENCYPART_ARC
(4,11),0.0493283 # DEPENDENCYPART_ARC
(4,12),0.294354 # DEPENDENCYPART_ARC
(4,13),0.335984 # DEPENDENCYPART_ARC
(4,14),-0.77781 # DEPENDENCYPART_ARC
(4,15),-0.10135 # DEPENDENCYPART_ARC
(4,17),-2.53489 # DEPENDENCYPART_ARC
(4,19),-2.05561 # DEPENDENCYPART_ARC
(4,20),1.8934 # DEPENDENCYPART_ARC
(6,1),-2.46795 # DEPENDENCYPART_ARC
(6,2),-1.08667 # DEPENDENCYPART_ARC
(6,3),-2.20029 # DEPENDENCYPART_ARC
(6,4),-1.84667 # DEPENDENCYPART_ARC
(6,5),2.70824 # DEPENDENCYPART_ARC
(6,7),-0.447083 # DEPENDENCYPART_ARC
(6,8),-1.1307 # DEPENDENCYPART_ARC
(6,9),-1.04017 # DEPENDENCYPART_ARC
(6,11),-2.00184 # DEPENDENCYPART_ARC
(6,12),-0.864507 # DEPENDENCYPART_ARC
(6,15),-1.34931 # DEPENDENCYPART_ARC
(8,1),-0.673028 # DEPENDENCYPART_ARC
(8,2),0.382459 # DEPENDENCYPART_ARC
(8,3),-0.512436 # DEPENDENCYPART_ARC
(8,4),1.4515 # DEPENDENCYPART_ARC
(8,5),-0.328335 # DEPENDENCYPART_ARC
(8,6),-0.494221 # DEPENDENCYPART_ARC
(8,7),1.49636 # DEPENDENCYPART_ARC
(8,9),0.0907122 # DEPENDENCYPART_ARC
(8,10),-0.306994 # DEPENDENCYPART_ARC
(8,11),-0.708222 # DEPENDENCYPART_ARC
(8,12),-0.368006 # DEPENDENCYPART_ARC
(8,13),0.167561 # DEPENDENCYPART_ARC
(8,14),-0.368505 # DEPENDENCYPART_ARC
(8,15),0.550578 # DEPENDENCYPART_ARC
(8,17),-1.98603 # DEPENDENCYPART_ARC
(8,19),-2.67728 # DEPENDENCYPART_ARC
(8,20),2.73637 # DEPENDENCYPART_ARC
(9,1),-1.22495 # DEPENDENCYPART_ARC
(9,2),0.0100986 # DEPENDENCYPART_ARC
(9,3),-1.00598 # DEPENDENCYPART_ARC
(9,4),0.931258 # DEPENDENCYPART_ARC
(9,5),-0.766654 # DEPENDENCYPART_ARC
(9,6),-0.735307 # DEPENDENCYPART_ARC
(9,7),1.02599 # DEPENDENCYPART_ARC
(9,8),1.2797 # DEPENDENCYPART_ARC
(9,10),0.140871 # DEPENDENCYPART_ARC
(9,11),0.19714 # DEPENDENCYPART_ARC
(9,12),0.175941 # DEPENDENCYPART_ARC
(9,13),0.235414 # DEPENDENCYPART_ARC
(9,14),-0.331103 # DEPENDENCYPART_ARC
(9,15),0.600413 # DEPENDENCYPART_ARC
(9,17),-0.939282 # DEPENDENCYPART_ARC
(9,19),-1.44188 # DEPENDENCYPART_ARC
(9,20),1.42521 # DEPENDENCYPART_ARC
(10,6),-0.814268 # DEPENDENCYPART_ARC
(10,7),0.635366 # DEPENDENCYPART_ARC
(10,8),-0.572663 # DEPENDENCYPART_ARC
(10,9),0.132366 # DEPENDENCYPART_ARC
(10,11),-0.516433 # DEPENDENCYPART_ARC
(10,12),-0.466361 # DEPENDENCYPART_ARC
(10,13),-0.186342 # DEPENDENCYPART_ARC
(10,15),-0.612656 # DEPENDENCYPART_ARC
(10,17),-1.83712 # DEPENDENCYPART_ARC
(10,19),-1.94351 # DEPENDENCYPART_ARC
(10,20),0.199143 # DEPENDENCYPART_ARC
(11,1),-1.5493 # DEPENDENCYPART_ARC
(11,2),-1.03366 # DEPENDENCYPART_ARC
(11,3),-1.59263 # DEPENDENCYPART_ARC
(11,4),-1.96647 # DEPENDENCYPART_ARC
(11,5),-0.0436774 # DEPENDENCYPART_ARC
(11,6),-1.6915 # DEPENDENCYPART_ARC
(11,7),0.114093 # DEPENDENCYPART_ARC
(11,8),0.0173327 # DEPENDENCYPART_ARC
(11,9),0.569357 # DEPENDENCYPART_ARC
(11,10),0.480015 # DEPENDENCYPART_ARC
(11,12),-0.00616302 # DEPENDENCYPART_ARC
(11,15),-0.179608 # DEPENDENCYPART_ARC
(11,17),-2.3567 # DEPENDENCYPART_ARC
(11,19),-2.47398 # DEPENDENCYPART_ARC
(11,20),0.192739 # DEPENDENCYPART_ARC
(13,1),-0.599194 # DEPENDENCYPART_ARC
(13,2),-0.626305 # DEPENDENCYPART_ARC
(13,3),-0.296651 # DEPENDENCYPART_ARC
(13,4),-0.757586 # DEPENDENCYPART_ARC
(13,6),-0.634851 # DEPENDENCYPART_ARC
(13,7),0.395632 # DEPENDENCYPART_ARC
(13,8),0.355544 # DEPENDENCYPART_ARC
(13,9),0.747333 # DEPENDENCYPART_ARC
(13,10),1.16532 # DEPENDENCYPART_ARC
(13,11),0.698533 # DEPENDENCYPART_ARC
(13,12),0.874529 # DEPENDENCYPART_ARC
(13,14),-0.446735 # DEPENDENCYPART_ARC
(13,15),0.572392 # DEPENDENCYPART_ARC
(13,17),-1.41832 # DEPENDENCYPART_ARC
(13,19),-1.79652 # DEPENDENCYPART_ARC
(13,20),1.27469 # DEPENDENCYPART_ARC
(14,10),-1.01132 # DEPENDENCYPART_ARC
(14,11),-1.38019 # DEPENDENCYPART_ARC
(14,12),-0.647753 # DEPENDENCYPART_ARC
(14,13),-0.782637 # DEPENDENCYPART_ARC
(14,17),-1.71817 # DEPENDENCYPART_ARC
(14,19),-1.9506 # DEPENDENCYPART_ARC
(15,1),-0.398197 # DEPENDENCYPART_ARC
(15,2),0.375823 # DEPENDENCYPART_ARC
(15,3),-0.21785 # DEPENDENCYPART_ARC
(15,4),-0.786682 # DEPENDENCYPART_ARC
(15,5),-0.999574 # DEPENDENCYPART_ARC
(15,6),-0.927104 # DEPENDENCYPART_ARC
(15,7),0.314397 # DEPENDENCYPART_ARC
(15,8),0.490427 # DEPENDENCYPART_ARC
(15,9),1.40875 # DEPENDENCYPART_ARC
(15,10),1.28917 # DEPENDENCYPART_ARC
(15,11),-0.18718 # DEPENDENCYPART_ARC
(15,12),0.978174 # DEPENDENCYPART_ARC
(15,13),0.834274 # DEPENDENCYPART_ARC
(15,14),2.85176 # DEPENDENCYPART_ARC
(15,16),-0.612175 # DEPENDENCYPART_ARC
(15,17),2.55303 # DEPENDENCYPART_ARC
(15,18),-0.82067 # DEPENDENCYPART_ARC
(15,19),1.19814 # DEPENDENCYPART_ARC
(15,20),1.52814 # DEPENDENCYPART_ARC
(16,19),-1.24227 # DEPENDENCYPART_ARC
(17,8),-1.99588 # DEPENDENCYPART_ARC
(17,10),-1.82892 # DEPENDENCYPART_ARC
(17,13),-1.83555 # DEPENDENCYPART_ARC
(17,16),2.61968 # DEPENDENCYPART_ARC
(17,18),-0.926265 # DEPENDENCYPART_ARC
(17,19),-1.04381 # DEPENDENCYPART_ARC
(17,20),-0.257025 # DEPENDENCYPART_ARC
(19,2),-2.63161 # DEPENDENCYPART_ARC
(19,9),-1.47962 # DEPENDENCYPART_ARC
(19,16),0.20234 # DEPENDENCYPART_ARC
(19,17),-2.43296 # DEPENDENCYPART_ARC
(19,18),2.56652 # DEPENDENCYPART_ARC
