# _root_ Ha mégis belemelegedne , Savon leinti : csitt , ne politizálj !
#goldHeads=6,3,6,6,6,0,6,6,6,11,6,6,
#predictedHeads=6,6,6,6,6,0,6,6,6,11,6,6,
(0,1),-2.06626 # DEPENDENCYPART_ARC
(0,2),-2.32516 # DEPENDENCYPART_ARC
(0,3),-1.21952 # DEPENDENCYPART_ARC
(0,6),-1.58926 # DEPENDENCYPART_ARC
(0,8),-2.65994 # DEPENDENCYPART_ARC
(0,10),-2.60633 # DEPENDENCYPART_ARC
(0,11),-2.78007 # DEPENDENCYPART_ARC
(1,2),-0.612683 # DEPENDENCYPART_ARC
(1,3),-1.05383 # DEPENDENCYPART_ARC
(1,4),0.113373 # DEPENDENCYPART_ARC
(1,6),-1.5358 # DEPENDENCYPART_ARC
(1,7),-0.0413667 # DEPENDENCYPART_ARC
(1,9),-0.248635 # DEPENDENCYPART_ARC
(1,11),-2.47762 # DEPENDENCYPART_ARC
(1,12),-1.03343 # DEPENDENCYPART_ARC
(2,1),-0.389315 # DEPENDENCYPART_ARC
(2,3),0.344535 # DEPENDENCYPART_ARC
(2,4),-0.235501 # DEPENDENCYPART_ARC
(2,5),-1.33963 # DEPENDENCYPART_ARC
(2,6),-0.56592 # DEPENDENCYPART_ARC
(2,7),-0.234327 # DEPENDENCYPART_ARC
(2,9),-0.377576 # DEPENDENCYPART_ARC
(2,10),-1.4259 # DEPENDENCYPART_ARC
(2,11),-1.20398 # DEPENDENCYPART_ARC
(2,12),0.164031 # DEPENDENCYPART_ARC
(3,1),0.377933 # DEPENDENCYPART_ARC
(3,2),1.83397 # DEPENDENCYPART_ARC
(3,4),1.29169 # DEPENDENCYPART_ARC
(3,5),-0.196485 # DEPENDENCYPART_ARC
(3,6),1.09905 # DEPENDENCYPART_ARC
(3,7),1.2222 # DEPENDENCYPART_ARC
(3,8),-0.109913 # DEPENDENCYPART_ARC
(3,9),0.374135 # DEPENDENCYPART_ARC
(3,10),-1.00512 # DEPENDENCYPART_ARC
(3,11),0.299889 # DEPENDENCYPART_ARC
(3,12),1.90856 # DEPENDENCYPART_ARC
(5,1),-0.810104 # DEPENDENCYPART_ARC
(5,2),0.236503 # DEPENDENCYPART_ARC
(5,3),-0.159972 # DEPENDENCYPART_ARC
(5,4),0.33312 # DEPENDENCYPART_ARC
(5,6),-0.238072 # DEPENDENCYPART_ARC
(5,7),-0.38587 # DEPENDENCYPART_ARC
(5,9),-0.254464 # DEPENDENCYPART_ARC
(5,11),-1.05508 # DEPENDENCYPART_ARC
(5,12),-0.0235578 # DEPENDENCYPART_ARC
(6,1),1.11044 # DEPENDENCYPART_ARC
(6,2),2.0896 # DEPENDENCYPART_ARC
(6,3),1.49677 # DEPENDENCYPART_ARC
(6,4),1.39816 # DEPENDENCYPART_ARC
(6,5),4.25075 # DEPENDENCYPART_ARC
(6,7),2.12519 # DEPENDENCYPART_ARC
(6,8),0.926619 # DEPENDENCYPART_ARC
(6,9),1.27876 # DEPENDENCYPART_ARC
(6,10),0.00399029 # DEPENDENCYPART_ARC
(6,11),1.88134 # DEPENDENCYPART_ARC
(6,12),2.26644 # DEPENDENCYPART_ARC
(8,7),0.283946 # DEPENDENCYPART_ARC
(8,9),0.633014 # DEPENDENCYPART_ARC
(8,11),0.0624185 # DEPENDENCYPART_ARC
(8,12),0.28792 # DEPENDENCYPART_ARC
(10,4),-0.917248 # DEPENDENCYPART_ARC
(10,6),-0.250112 # DEPENDENCYPART_ARC
(10,7),-0.371801 # DEPENDENCYPART_ARC
(10,9),-0.157425 # DEPENDENCYPART_ARC
(10,11),0.458669 # DEPENDENCYPART_ARC
(10,12),-0.370078 # DEPENDENCYPART_ARC
(11,1),1.00535 # DEPENDENCYPART_ARC
(11,2),1.04071 # DEPENDENCYPART_ARC
(11,3),-0.436907 # DEPENDENCYPART_ARC
(11,4),0.171081 # DEPENDENCYPART_ARC
(11,5),0.375186 # DEPENDENCYPART_ARC
(11,6),-0.9023 # DEPENDENCYPART_ARC
(11,7),-0.056962 # DEPENDENCYPART_ARC
(11,8),0.435749 # DEPENDENCYPART_ARC
(11,9),0.83386 # DEPENDENCYPART_ARC
(11,10),2.733 # DEPENDENCYPART_ARC
(11,12),0.869567 # DEPENDENCYPART_ARC
