# _root_ Szerinte a tudomány egyrészt az élet minden szférájába behatolt , másrészt viszont lekerült arról a piedesztálról , amelyre a felvilágosodás korában állították .
#goldHeads=9,3,9,9,6,8,8,9,0,9,13,13,9,16,16,13,13,22,20,21,22,14,9,
#predictedHeads=9,3,9,9,6,8,8,9,0,9,13,13,9,16,16,13,13,22,20,21,22,14,13,
(0,1),-2.12057 # DEPENDENCYPART_ARC
(0,3),-3.01147 # DEPENDENCYPART_ARC
(0,4),-2.39526 # DEPENDENCYPART_ARC
(0,9),-1.41368 # DEPENDENCYPART_ARC
(0,11),-2.67161 # DEPENDENCYPART_ARC
(0,12),-1.15025 # DEPENDENCYPART_ARC
(0,13),-1.65246 # DEPENDENCYPART_ARC
(0,14),-3.77462 # DEPENDENCYPART_ARC
(0,22),-2.54466 # DEPENDENCYPART_ARC
(1,3),-0.0549018 # DEPENDENCYPART_ARC
(1,6),-0.743524 # DEPENDENCYPART_ARC
(1,8),-0.935272 # DEPENDENCYPART_ARC
(1,9),0.0383073 # DEPENDENCYPART_ARC
(1,10),0.000128675 # DEPENDENCYPART_ARC
(1,13),-0.645865 # DEPENDENCYPART_ARC
(1,16),-1.60367 # DEPENDENCYPART_ARC
(1,17),-0.168612 # DEPENDENCYPART_ARC
(1,20),-2.19203 # DEPENDENCYPART_ARC
(1,22),-0.616936 # DEPENDENCYPART_ARC
(1,23),1.25738 # DEPENDENCYPART_ARC
(2,6),-1.43811 # DEPENDENCYPART_ARC
(3,1),-0.888881 # DEPENDENCYPART_ARC
(3,2),2.78182 # DEPENDENCYPART_ARC
(3,6),-1.13144 # DEPENDENCYPART_ARC
(3,9),-0.877791 # DEPENDENCYPART_ARC
(3,10),-0.539652 # DEPENDENCYPART_ARC
(3,12),-0.996168 # DEPENDENCYPART_ARC
(3,13),-1.213 # DEPENDENCYPART_ARC
(3,22),-0.960923 # DEPENDENCYPART_ARC
(4,6),0.342056 # DEPENDENCYPART_ARC
(4,8),0.0417774 # DEPENDENCYPART_ARC
(4,10),0.2506 # DEPENDENCYPART_ARC
(4,23),1.37928 # DEPENDENCYPART_ARC
(6,2),0.244513 # DEPENDENCYPART_ARC
(6,3),-1.61519 # DEPENDENCYPART_ARC
(6,4),-0.522518 # DEPENDENCYPART_ARC
(6,5),2.99172 # DEPENDENCYPART_ARC
(6,8),-1.10662 # DEPENDENCYPART_ARC
(6,9),-0.198935 # DEPENDENCYPART_ARC
(6,10),-0.197632 # DEPENDENCYPART_ARC
(6,12),-0.623188 # DEPENDENCYPART_ARC
(6,13),-0.760372 # DEPENDENCYPART_ARC
(6,22),-0.496214 # DEPENDENCYPART_ARC
(6,23),1.18401 # DEPENDENCYPART_ARC
(7,6),-0.311819 # DEPENDENCYPART_ARC
(8,2),-1.45281 # DEPENDENCYPART_ARC
(8,3),-0.30729 # DEPENDENCYPART_ARC
(8,5),-0.189996 # DEPENDENCYPART_ARC
(8,6),2.06313 # DEPENDENCYPART_ARC
(8,7),2.59786 # DEPENDENCYPART_ARC
(8,10),-0.70904 # DEPENDENCYPART_ARC
(8,12),-0.938958 # DEPENDENCYPART_ARC
(8,13),-1.08146 # DEPENDENCYPART_ARC
(8,16),-3.60007 # DEPENDENCYPART_ARC
(8,22),-1.35419 # DEPENDENCYPART_ARC
(8,23),0.594152 # DEPENDENCYPART_ARC
(9,1),1.93517 # DEPENDENCYPART_ARC
(9,2),-1.3499 # DEPENDENCYPART_ARC
(9,3),1.40724 # DEPENDENCYPART_ARC
(9,4),1.76885 # DEPENDENCYPART_ARC
(9,5),-0.878812 # DEPENDENCYPART_ARC
(9,6),1.83091 # DEPENDENCYPART_ARC
(9,7),0.620301 # DEPENDENCYPART_ARC
(9,8),3.24251 # DEPENDENCYPART_ARC
(9,10),1.3343 # DEPENDENCYPART_ARC
(9,11),0.342128 # DEPENDENCYPART_ARC
(9,12),0.341538 # DEPENDENCYPART_ARC
(9,13),0.889658 # DEPENDENCYPART_ARC
(9,14),-1.6008 # DEPENDENCYPART_ARC
(9,16),-1.3364 # DEPENDENCYPART_ARC
(9,17),0.321983 # DEPENDENCYPART_ARC
(9,18),-2.37882 # DEPENDENCYPART_ARC
(9,22),0.423947 # DEPENDENCYPART_ARC
(9,23),2.62712 # DEPENDENCYPART_ARC
(11,16),-0.950909 # DEPENDENCYPART_ARC
(11,17),-0.299342 # DEPENDENCYPART_ARC
(11,20),-1.72925 # DEPENDENCYPART_ARC
(11,23),0.490924 # DEPENDENCYPART_ARC
(12,3),-1.55533 # DEPENDENCYPART_ARC
(12,6),-1.64476 # DEPENDENCYPART_ARC
(12,7),-1.91986 # DEPENDENCYPART_ARC
(12,8),-1.78506 # DEPENDENCYPART_ARC
(12,9),0.129061 # DEPENDENCYPART_ARC
(12,10),0.216062 # DEPENDENCYPART_ARC
(12,11),0.323972 # DEPENDENCYPART_ARC
(12,13),0.722021 # DEPENDENCYPART_ARC
(12,14),-1.41385 # DEPENDENCYPART_ARC
(12,16),-0.474715 # DEPENDENCYPART_ARC
(12,17),0.0371961 # DEPENDENCYPART_ARC
(12,20),-1.14547 # DEPENDENCYPART_ARC
(12,22),-0.740853 # DEPENDENCYPART_ARC
(12,23),1.57207 # DEPENDENCYPART_ARC
(13,1),0.467662 # DEPENDENCYPART_ARC
(13,3),0.248834 # DEPENDENCYPART_ARC
(13,4),0.133869 # DEPENDENCYPART_ARC
(13,5),-1.55872 # DEPENDENCYPART_ARC
(13,6),0.0597631 # DEPENDENCYPART_ARC
(13,7),-1.78604 # DEPENDENCYPART_ARC
(13,8),0.462437 # DEPENDENCYPART_ARC
(13,9),-0.636796 # DEPENDENCYPART_ARC
(13,10),0.669568 # DEPENDENCYPART_ARC
(13,11),1.7031 # DEPENDENCYPART_ARC
(13,12),2.19061 # DEPENDENCYPART_ARC
(13,14),0.832606 # DEPENDENCYPART_ARC
(13,15),0.0785133 # DEPENDENCYPART_ARC
(13,16),2.50072 # DEPENDENCYPART_ARC
(13,17),2.04722 # DEPENDENCYPART_ARC
(13,18),-0.491174 # DEPENDENCYPART_ARC
(13,19),-0.231963 # DEPENDENCYPART_ARC
(13,20),-0.0443769 # DEPENDENCYPART_ARC
(13,21),0.559916 # DEPENDENCYPART_ARC
(13,22),1.41055 # DEPENDENCYPART_ARC
(13,23),2.65216 # DEPENDENCYPART_ARC
(14,3),-1.30464 # DEPENDENCYPART_ARC
(14,7),-1.14161 # DEPENDENCYPART_ARC
(14,9),-0.444478 # DEPENDENCYPART_ARC
(14,10),-0.422027 # DEPENDENCYPART_ARC
(14,12),-0.804289 # DEPENDENCYPART_ARC
(14,13),0.38469 # DEPENDENCYPART_ARC
(14,16),0.577742 # DEPENDENCYPART_ARC
(14,17),0.46039 # DEPENDENCYPART_ARC
(14,18),-0.74256 # DEPENDENCYPART_ARC
(14,20),0.318506 # DEPENDENCYPART_ARC
(14,21),0.217792 # DEPENDENCYPART_ARC
(14,22),2.57615 # DEPENDENCYPART_ARC
(14,23),0.880497 # DEPENDENCYPART_ARC
(15,20),-1.26582 # DEPENDENCYPART_ARC
(16,7),-1.57203 # DEPENDENCYPART_ARC
(16,9),-2.08385 # DEPENDENCYPART_ARC
(16,12),-1.41585 # DEPENDENCYPART_ARC
(16,14),2.21134 # DEPENDENCYPART_ARC
(16,15),3.1554 # DEPENDENCYPART_ARC
(16,17),-0.0729899 # DEPENDENCYPART_ARC
(16,18),-1.50572 # DEPENDENCYPART_ARC
(16,20),-1.40789 # DEPENDENCYPART_ARC
(16,21),-1.32862 # DEPENDENCYPART_ARC
(16,22),0.221792 # DEPENDENCYPART_ARC
(18,20),-0.0792694 # DEPENDENCYPART_ARC
(18,21),-0.558255 # DEPENDENCYPART_ARC
(20,14),-1.56619 # DEPENDENCYPART_ARC
(20,15),-0.36772 # DEPENDENCYPART_ARC
(20,16),-3.83362 # DEPENDENCYPART_ARC
(20,17),-1.0621 # DEPENDENCYPART_ARC
(20,18),-1.00147 # DEPENDENCYPART_ARC
(20,19),2.51019 # DEPENDENCYPART_ARC
(21,3),-4.30564 # DEPENDENCYPART_ARC
(21,9),-3.70609 # DEPENDENCYPART_ARC
(21,12),-1.33295 # DEPENDENCYPART_ARC
(21,13),-3.27073 # DEPENDENCYPART_ARC
(21,14),-1.51222 # DEPENDENCYPART_ARC
(21,15),-1.44929 # DEPENDENCYPART_ARC
(21,16),-3.40723 # DEPENDENCYPART_ARC
(21,17),-0.48855 # DEPENDENCYPART_ARC
(21,18),-1.4854 # DEPENDENCYPART_ARC
(21,19),0.805179 # DEPENDENCYPART_ARC
(21,20),3.40491 # DEPENDENCYPART_ARC
(22,3),-1.08779 # DEPENDENCYPART_ARC
(22,4),-0.359172 # DEPENDENCYPART_ARC
(22,6),-1.62592 # DEPENDENCYPART_ARC
(22,8),-0.807211 # DEPENDENCYPART_ARC
(22,9),-0.863948 # DEPENDENCYPART_ARC
(22,10),-0.349348 # DEPENDENCYPART_ARC
(22,11),0.116403 # DEPENDENCYPART_ARC
(22,12),1.11046 # DEPENDENCYPART_ARC
(22,13),-0.187189 # DEPENDENCYPART_ARC
(22,14),0.375639 # DEPENDENCYPART_ARC
(22,15),-0.971171 # DEPENDENCYPART_ARC
(22,16),0.110263 # DEPENDENCYPART_ARC
(22,17),0.492684 # DEPENDENCYPART_ARC
(22,18),1.53665 # DEPENDENCYPART_ARC
(22,19),-0.599605 # DEPENDENCYPART_ARC
(22,20),1.58237 # DEPENDENCYPART_ARC
(22,21),4.0619 # DEPENDENCYPART_ARC
(22,23),1.81785 # DEPENDENCYPART_ARC
