# _root_ E párt a gyakorlatban szigorúan hierarchikus rendet szab , még akkor is , ha hivatalos ideológiája — mint a kommunistáké — egalitárius .
#goldHeads=2,8,4,8,6,7,8,0,8,14,14,14,14,8,16,22,18,22,20,18,18,14,8,
#predictedHeads=2,8,4,8,8,7,8,0,8,18,14,18,16,8,16,18,18,8,20,22,22,18,14,
(0,1),-2.97709 # DEPENDENCYPART_ARC
(0,2),-2.4321 # DEPENDENCYPART_ARC
(0,5),-2.54641 # DEPENDENCYPART_ARC
(0,8),-1.33863 # DEPENDENCYPART_ARC
(0,10),-3.12823 # DEPENDENCYPART_ARC
(0,11),-2.4763 # DEPENDENCYPART_ARC
(0,12),-2.38563 # DEPENDENCYPART_ARC
(0,14),-1.33006 # DEPENDENCYPART_ARC
(0,18),-2.63819 # DEPENDENCYPART_ARC
(0,22),-3.03771 # DEPENDENCYPART_ARC
(1,2),-0.0491412 # DEPENDENCYPART_ARC
(1,4),-0.142916 # DEPENDENCYPART_ARC
(1,5),-0.797716 # DEPENDENCYPART_ARC
(1,6),-0.451546 # DEPENDENCYPART_ARC
(1,7),-0.842807 # DEPENDENCYPART_ARC
(1,8),0.638256 # DEPENDENCYPART_ARC
(1,9),0.291131 # DEPENDENCYPART_ARC
(1,10),-0.304045 # DEPENDENCYPART_ARC
(1,11),-0.180078 # DEPENDENCYPART_ARC
(1,12),-0.172291 # DEPENDENCYPART_ARC
(1,13),0.221907 # DEPENDENCYPART_ARC
(1,14),-0.0673321 # DEPENDENCYPART_ARC
(1,15),-0.58218 # DEPENDENCYPART_ARC
(1,16),-0.667395 # DEPENDENCYPART_ARC
(1,17),-0.269527 # DEPENDENCYPART_ARC
(1,18),-0.51961 # DEPENDENCYPART_ARC
(1,20),-0.884052 # DEPENDENCYPART_ARC
(1,21),-0.776615 # DEPENDENCYPART_ARC
(1,22),-0.646015 # DEPENDENCYPART_ARC
(1,23),0.175065 # DEPENDENCYPART_ARC
(2,1),2.55961 # DEPENDENCYPART_ARC
(2,3),-0.464566 # DEPENDENCYPART_ARC
(2,4),-0.0711867 # DEPENDENCYPART_ARC
(2,5),-0.466479 # DEPENDENCYPART_ARC
(2,6),-0.236515 # DEPENDENCYPART_ARC
(2,7),-0.460852 # DEPENDENCYPART_ARC
(2,8),0.223632 # DEPENDENCYPART_ARC
(2,9),0.445571 # DEPENDENCYPART_ARC
(2,16),-1.76124 # DEPENDENCYPART_ARC
(2,22),-1.49495 # DEPENDENCYPART_ARC
(2,23),0.507411 # DEPENDENCYPART_ARC
(4,1),-0.568206 # DEPENDENCYPART_ARC
(4,2),-1.71893 # DEPENDENCYPART_ARC
(4,3),2.7121 # DEPENDENCYPART_ARC
(5,1),-0.552778 # DEPENDENCYPART_ARC
(5,2),-1.60043 # DEPENDENCYPART_ARC
(5,3),0.366645 # DEPENDENCYPART_ARC
(5,4),1.32352 # DEPENDENCYPART_ARC
(5,6),-0.276166 # DEPENDENCYPART_ARC
(5,23),-0.130319 # DEPENDENCYPART_ARC
(6,1),-1.13137 # DEPENDENCYPART_ARC
(6,2),-1.42782 # DEPENDENCYPART_ARC
(6,3),-0.281863 # DEPENDENCYPART_ARC
(6,4),1.23905 # DEPENDENCYPART_ARC
(6,5),1.69069 # DEPENDENCYPART_ARC
(7,1),0.582981 # DEPENDENCYPART_ARC
(7,2),-1.21207 # DEPENDENCYPART_ARC
(7,3),1.41851 # DEPENDENCYPART_ARC
(7,4),-0.644342 # DEPENDENCYPART_ARC
(7,5),0.616985 # DEPENDENCYPART_ARC
(7,6),3.53653 # DEPENDENCYPART_ARC
(7,11),-1.15956 # DEPENDENCYPART_ARC
(7,22),-2.36992 # DEPENDENCYPART_ARC
(8,1),0.461336 # DEPENDENCYPART_ARC
(8,2),2.25767 # DEPENDENCYPART_ARC
