# _root_ 1998 márciusában az ÁPTF a Riverbank név használatát sem engedélyezte egy kft számára , mondván , nem végez pénzügyi szolgáltatási tevékenységet .
#goldHeads=2,10,4,10,7,7,8,10,10,0,12,13,10,10,10,10,18,15,20,21,18,10,
#predictedHeads=2,10,4,10,7,7,8,10,10,0,12,10,10,10,10,10,18,15,21,21,18,10,
(0,1),-1.43302 # DEPENDENCYPART_ARC
(0,2),-2.41009 # DEPENDENCYPART_ARC
(0,4),-2.77046 # DEPENDENCYPART_ARC
(0,9),-2.97945 # DEPENDENCYPART_ARC
(0,10),-1.30073 # DEPENDENCYPART_ARC
(0,12),-2.81496 # DEPENDENCYPART_ARC
(0,15),-2.95805 # DEPENDENCYPART_ARC
(0,17),-2.4587 # DEPENDENCYPART_ARC
(0,18),-2.19045 # DEPENDENCYPART_ARC
(0,19),-2.777 # DEPENDENCYPART_ARC
(1,4),-1.47816 # DEPENDENCYPART_ARC
(1,6),-1.66163 # DEPENDENCYPART_ARC
(1,7),-1.44948 # DEPENDENCYPART_ARC
(1,8),-2.24753 # DEPENDENCYPART_ARC
(1,10),-1.06372 # DEPENDENCYPART_ARC
(1,18),-1.49591 # DEPENDENCYPART_ARC
(1,19),-1.53457 # DEPENDENCYPART_ARC
(1,22),-0.0506262 # DEPENDENCYPART_ARC
(2,1),2.39706 # DEPENDENCYPART_ARC
(2,3),-1.17916 # DEPENDENCYPART_ARC
(2,4),0.199167 # DEPENDENCYPART_ARC
(2,6),-0.0956388 # DEPENDENCYPART_ARC
(2,7),-0.534629 # DEPENDENCYPART_ARC
(2,8),-1.01758 # DEPENDENCYPART_ARC
(2,10),-1.28414 # DEPENDENCYPART_ARC
(2,12),-0.651488 # DEPENDENCYPART_ARC
(2,13),-0.475762 # DEPENDENCYPART_ARC
(2,14),-0.31454 # DEPENDENCYPART_ARC
(2,15),-0.741725 # DEPENDENCYPART_ARC
(2,18),-1.54976 # DEPENDENCYPART_ARC
(2,19),-1.91282 # DEPENDENCYPART_ARC
(2,21),-1.94807 # DEPENDENCYPART_ARC
(2,22),0.46209 # DEPENDENCYPART_ARC
(4,2),-2.93975 # DEPENDENCYPART_ARC
(4,3),2.35178 # DEPENDENCYPART_ARC
(4,6),-0.440251 # DEPENDENCYPART_ARC
(4,7),-0.180592 # DEPENDENCYPART_ARC
(4,8),-1.10376 # DEPENDENCYPART_ARC
(4,10),-0.71334 # DEPENDENCYPART_ARC
(4,13),-0.48736 # DEPENDENCYPART_ARC
(4,21),-2.08924 # DEPENDENCYPART_ARC
(4,22),0.0286645 # DEPENDENCYPART_ARC
(6,3),-0.340786 # DEPENDENCYPART_ARC
(6,4),-0.957573 # DEPENDENCYPART_ARC
(6,5),2.07577 # DEPENDENCYPART_ARC
(7,1),-1.04512 # DEPENDENCYPART_ARC
(7,2),-4.1046 # DEPENDENCYPART_ARC
(7,3),0.19524 # DEPENDENCYPART_ARC
(7,4),-0.444306 # DEPENDENCYPART_ARC
(7,5),2.09895 # DEPENDENCYPART_ARC
(7,6),3.51005 # DEPENDENCYPART_ARC
(7,8),-1.53403 # DEPENDENCYPART_ARC
(7,12),-1.13806 # DEPENDENCYPART_ARC
(7,15),-1.21174 # DEPENDENCYPART_ARC
(8,1),-1.23826 # DEPENDENCYPART_ARC
(8,2),-4.31744 # DEPENDENCYPART_ARC
(8,3),-1.1062 # DEPENDENCYPART_ARC
(8,4),-0.249909 # DEPENDENCYPART_ARC
(8,5),0.00770595 # DEPENDENCYPART_ARC
(8,6),2.53324 # DEPENDENCYPART_ARC
(8,7),3.5162 # DEPENDENCYPART_ARC
(8,10),-1.01475 # DEPENDENCYPART_ARC
(8,12),-0.793514 # DEPENDENCYPART_ARC
(8,13),-0.486429 # DEPENDENCYPART_ARC
(8,15),-0.888053 # DEPENDENCYPART_ARC
(8,21),-2.76298 # DEPENDENCYPART_ARC
(9,2),-0.634508 # DEPENDENCYPART_ARC
(9,7),-0.48577 # DEPENDENCYPART_ARC
(9,8),0.0836433 # DEPENDENCYPART_ARC
(9,14),-0.264929 # DEPENDENCYPART_ARC
(9,16),-0.335545 # DEPENDENCYPART_ARC
(9,18),-0.754198 # DEPENDENCYPART_ARC
(9,22),-0.291415 # DEPENDENCYPART_ARC
(10,1),0.193584 # DEPENDENCYPART_ARC
(10,2),1.90898 # DEPENDENCYPART_ARC
(10,3),-0.77016 # DEPENDENCYPART_ARC
(10,4),2.13969 # DEPENDENCYPART_ARC
(10,5),-1.05704 # DEPENDENCYPART_ARC
(10,6),1.88297 # DEPENDENCYPART_ARC
(10,7),1.68924 # DEPENDENCYPART_ARC
(10,8),3.02433 # DEPENDENCYPART_ARC
(10,9),3.45146 # DEPENDENCYPART_ARC
(10,12),1.67753 # DEPENDENCYPART_ARC
(10,13),2.63422 # DEPENDENCYPART_ARC
(10,14),2.19977 # DEPENDENCYPART_ARC
(10,15),1.61395 # DEPENDENCYPART_ARC
(10,16),1.92643 # DEPENDENCYPART_ARC
(10,17),0.395273 # DEPENDENCYPART_ARC
(10,18),1.66606 # DEPENDENCYPART_ARC
(10,19),-0.415495 # DEPENDENCYPART_ARC
(10,20),-0.628448 # DEPENDENCYPART_ARC
(10,21),1.13074 # DEPENDENCYPART_ARC
(10,22),2.51894 # DEPENDENCYPART_ARC
(12,3),-0.297021 # DEPENDENCYPART_ARC
(12,4),-1.01448 # DEPENDENCYPART_ARC
(12,5),-0.15089 # DEPENDENCYPART_ARC
(12,6),-0.768118 # DEPENDENCYPART_ARC
(12,7),-0.699234 # DEPENDENCYPART_ARC
(12,8),-0.529445 # DEPENDENCYPART_ARC
(12,10),0.0939872 # DEPENDENCYPART_ARC
(12,11),1.88136 # DEPENDENCYPART_ARC
(12,14),-0.296976 # DEPENDENCYPART_ARC
(12,16),-0.449484 # DEPENDENCYPART_ARC
(12,18),-0.709483 # DEPENDENCYPART_ARC
(12,21),-1.41538 # DEPENDENCYPART_ARC
(12,22),-0.574512 # DEPENDENCYPART_ARC
(13,2),-2.59715 # DEPENDENCYPART_ARC
(13,4),-2.11366 # DEPENDENCYPART_ARC
(13,6),-1.78405 # DEPENDENCYPART_ARC
(13,7),-1.42785 # DEPENDENCYPART_ARC
(13,8),-0.712257 # DEPENDENCYPART_ARC
(13,12),1.65975 # DEPENDENCYPART_ARC
(13,14),0.0288734 # DEPENDENCYPART_ARC
(13,16),-0.0977447 # DEPENDENCYPART_ARC
(13,18),-0.251991 # DEPENDENCYPART_ARC
(13,19),-0.621041 # DEPENDENCYPART_ARC
(13,21),-1.21988 # DEPENDENCYPART_ARC
(13,22),0.0207963 # DEPENDENCYPART_ARC
(15,2),0.140391 # DEPENDENCYPART_ARC
(15,7),0.0858994 # DEPENDENCYPART_ARC
(15,8),0.0953425 # DEPENDENCYPART_ARC
(15,13),0.837887 # DEPENDENCYPART_ARC
(15,14),0.790824 # DEPENDENCYPART_ARC
(15,16),1.12665 # DEPENDENCYPART_ARC
(15,17),0.991971 # DEPENDENCYPART_ARC
(15,18),1.68578 # DEPENDENCYPART_ARC
(15,19),0.863318 # DEPENDENCYPART_ARC
(15,20),0.902163 # DEPENDENCYPART_ARC
(15,21),0.159136 # DEPENDENCYPART_ARC
(15,22),1.06961 # DEPENDENCYPART_ARC
(17,2),-1.27876 # DEPENDENCYPART_ARC
(17,13),-0.40655 # DEPENDENCYPART_ARC
(17,14),-0.426045 # DEPENDENCYPART_ARC
(17,16),-0.0325047 # DEPENDENCYPART_ARC
(17,19),-0.215126 # DEPENDENCYPART_ARC
(17,21),-0.621963 # DEPENDENCYPART_ARC
(17,22),-0.290679 # DEPENDENCYPART_ARC
(18,1),-1.64538 # DEPENDENCYPART_ARC
(18,2),0.810818 # DEPENDENCYPART_ARC
(18,3),-1.47354 # DEPENDENCYPART_ARC
(18,4),1.03894 # DEPENDENCYPART_ARC
(18,5),-1.76621 # DEPENDENCYPART_ARC
(18,6),0.166334 # DEPENDENCYPART_ARC
(18,7),-0.186131 # DEPENDENCYPART_ARC
(18,8),0.246032 # DEPENDENCYPART_ARC
(18,9),0.25009 # DEPENDENCYPART_ARC
(18,10),0.0568823 # DEPENDENCYPART_ARC
(18,11),-0.431202 # DEPENDENCYPART_ARC
(18,12),0.402325 # DEPENDENCYPART_ARC
(18,13),0.576146 # DEPENDENCYPART_ARC
(18,14),1.1154 # DEPENDENCYPART_ARC
(18,15),1.19291 # DEPENDENCYPART_ARC
(18,16),1.3999 # DEPENDENCYPART_ARC
(18,17),2.8511 # DEPENDENCYPART_ARC
(18,19),1.21343 # DEPENDENCYPART_ARC
(18,20),0.579607 # DEPENDENCYPART_ARC
(18,21),1.77169 # DEPENDENCYPART_ARC
(18,22),1.33051 # DEPENDENCYPART_ARC
(19,1),-2.32565 # DEPENDENCYPART_ARC
(19,10),-2.05026 # DEPENDENCYPART_ARC
(19,12),-1.15615 # DEPENDENCYPART_ARC
(19,13),-1.14861 # DEPENDENCYPART_ARC
(19,15),-0.656075 # DEPENDENCYPART_ARC
(19,16),-0.515656 # DEPENDENCYPART_ARC
(19,17),-0.373063 # DEPENDENCYPART_ARC
(19,18),-0.440359 # DEPENDENCYPART_ARC
(19,20),-0.886437 # DEPENDENCYPART_ARC
(19,21),-1.16888 # DEPENDENCYPART_ARC
(20,1),-1.68864 # DEPENDENCYPART_ARC
(20,10),-1.28537 # DEPENDENCYPART_ARC
(20,12),-0.432412 # DEPENDENCYPART_ARC
(20,13),-0.458973 # DEPENDENCYPART_ARC
(20,14),-0.0874278 # DEPENDENCYPART_ARC
(20,15),-0.300866 # DEPENDENCYPART_ARC
(20,16),0.0282525 # DEPENDENCYPART_ARC
(20,17),-0.027124 # DEPENDENCYPART_ARC
(20,19),1.62456 # DEPENDENCYPART_ARC
(21,1),-1.89862 # DEPENDENCYPART_ARC
(21,3),-1.35917 # DEPENDENCYPART_ARC
(21,5),-0.903239 # DEPENDENCYPART_ARC
(21,6),-1.38511 # DEPENDENCYPART_ARC
(21,10),-0.758916 # DEPENDENCYPART_ARC
(21,11),0.930023 # DEPENDENCYPART_ARC
(21,12),-0.061451 # DEPENDENCYPART_ARC
(21,13),-0.354904 # DEPENDENCYPART_ARC
(21,14),-0.27061 # DEPENDENCYPART_ARC
(21,15),-0.266748 # DEPENDENCYPART_ARC
(21,16),-0.28322 # DEPENDENCYPART_ARC
(21,17),0.340036 # DEPENDENCYPART_ARC
(21,18),-0.517321 # DEPENDENCYPART_ARC
(21,19),2.55031 # DEPENDENCYPART_ARC
(21,20),3.46385 # DEPENDENCYPART_ARC
