# _root_ Mi vagyunk a hátország , az elkövetkezendő években is az lesz a feladatunk , hogy segítsük a tehetséges fiatalok előbbre jutását .
#goldHeads=2,0,4,2,2,8,8,11,11,11,2,13,11,11,11,10,19,19,21,21,16,2,
#predictedHeads=2,0,4,2,11,8,8,11,11,11,1,13,11,11,11,10,19,19,21,21,16,2,
(0,1),-2.76841 # DEPENDENCYPART_ARC
(0,2),-1.00847 # DEPENDENCYPART_ARC
(0,4),-3.41223 # DEPENDENCYPART_ARC
(0,9),-2.75087 # DEPENDENCYPART_ARC
(0,10),-4.06533 # DEPENDENCYPART_ARC
(0,11),-1.63553 # DEPENDENCYPART_ARC
(0,15),-3.08547 # DEPENDENCYPART_ARC
(0,16),-2.59116 # DEPENDENCYPART_ARC
(1,2),-1.31315 # DEPENDENCYPART_ARC
(1,4),-0.481291 # DEPENDENCYPART_ARC
(1,5),0.376819 # DEPENDENCYPART_ARC
(1,8),-0.523397 # DEPENDENCYPART_ARC
(1,11),-0.122048 # DEPENDENCYPART_ARC
(1,13),-0.778939 # DEPENDENCYPART_ARC
(1,16),-0.203077 # DEPENDENCYPART_ARC
(1,19),-0.999827 # DEPENDENCYPART_ARC
(1,21),-1.36786 # DEPENDENCYPART_ARC
(1,22),0.611291 # DEPENDENCYPART_ARC
(2,1),2.99839 # DEPENDENCYPART_ARC
(2,3),-0.376172 # DEPENDENCYPART_ARC
(2,4),1.78123 # DEPENDENCYPART_ARC
(2,5),1.00126 # DEPENDENCYPART_ARC
(2,6),-0.615477 # DEPENDENCYPART_ARC
(2,7),-1.30726 # DEPENDENCYPART_ARC
(2,8),0.704565 # DEPENDENCYPART_ARC
(2,9),0.723682 # DEPENDENCYPART_ARC
(2,10),-1.43667 # DEPENDENCYPART_ARC
(2,11),-0.149399 # DEPENDENCYPART_ARC
(2,13),-1.03287 # DEPENDENCYPART_ARC
(2,14),0.955606 # DEPENDENCYPART_ARC
(2,15),0.950612 # DEPENDENCYPART_ARC
(2,16),0.714263 # DEPENDENCYPART_ARC
(2,19),-2.14864 # DEPENDENCYPART_ARC
(2,20),-0.868739 # DEPENDENCYPART_ARC
(2,21),-1.55933 # DEPENDENCYPART_ARC
(2,22),2.73031 # DEPENDENCYPART_ARC
(3,8),-1.50905 # DEPENDENCYPART_ARC
(4,1),-2.38574 # DEPENDENCYPART_ARC
(4,3),2.70985 # DEPENDENCYPART_ARC
(4,5),0.106787 # DEPENDENCYPART_ARC
(4,8),-1.04615 # DEPENDENCYPART_ARC
(4,9),-1.25786 # DEPENDENCYPART_ARC
(4,11),-0.765491 # DEPENDENCYPART_ARC
(4,14),-0.608509 # DEPENDENCYPART_ARC
(4,22),0.285254 # DEPENDENCYPART_ARC
(6,5),-0.445257 # DEPENDENCYPART_ARC
(6,7),0.295558 # DEPENDENCYPART_ARC
(7,2),-1.51467 # DEPENDENCYPART_ARC
(7,3),-1.18684 # DEPENDENCYPART_ARC
(7,4),-2.13395 # DEPENDENCYPART_ARC
(7,6),0.191578 # DEPENDENCYPART_ARC
(8,1),-1.75857 # DEPENDENCYPART_ARC
(8,2),-2.87498 # DEPENDENCYPART_ARC
(8,3),0.336116 # DEPENDENCYPART_ARC
(8,4),-2.04408 # DEPENDENCYPART_ARC
(8,5),-0.514854 # DEPENDENCYPART_ARC
(8,6),2.31864 # DEPENDENCYPART_ARC
(8,7),3.39216 # DEPENDENCYPART_ARC
(8,9),-1.20291 # DEPENDENCYPART_ARC
(8,11),-1.68336 # DEPENDENCYPART_ARC
(9,2),-0.810832 # DEPENDENCYPART_ARC
(9,4),-0.919461 # DEPENDENCYPART_ARC
(9,5),-0.456178 # DEPENDENCYPART_ARC
(9,6),-0.709488 # DEPENDENCYPART_ARC
(9,7),-0.495235 # DEPENDENCYPART_ARC
(9,8),-0.182413 # DEPENDENCYPART_ARC
(9,10),-1.70702 # DEPENDENCYPART_ARC
(9,11),-0.266454 # DEPENDENCYPART_ARC
(9,13),-0.751291 # DEPENDENCYPART_ARC
(9,14),-0.590057 # DEPENDENCYPART_ARC
(9,15),-0.457051 # DEPENDENCYPART_ARC
(9,16),-1.47319 # DEPENDENCYPART_ARC
(9,19),-1.16915 # DEPENDENCYPART_ARC
(9,20),-1.28558 # DEPENDENCYPART_ARC
(9,22),-0.0232583 # DEPENDENCYPART_ARC
(10,2),0.224082 # DEPENDENCYPART_ARC
(10,4),-0.162482 # DEPENDENCYPART_ARC
(10,5),0.249137 # DEPENDENCYPART_ARC
(10,7),-0.350509 # DEPENDENCYPART_ARC
(10,8),-0.068158 # DEPENDENCYPART_ARC
(10,9),0.463463 # DEPENDENCYPART_ARC
(10,11),0.902625 # DEPENDENCYPART_ARC
(10,13),0.802768 # DEPENDENCYPART_ARC
(10,14),0.94528 # DEPENDENCYPART_ARC
(10,15),0.401307 # DEPENDENCYPART_ARC
(10,16),2.69246 # DEPENDENCYPART_ARC
(10,18),0.158321 # DEPENDENCYPART_ARC
(10,19),-0.00511325 # DEPENDENCYPART_ARC
(10,20),0.536671 # DEPENDENCYPART_ARC
(10,21),-0.33451 # DEPENDENCYPART_ARC
(10,22),0.899891 # DEPENDENCYPART_ARC
(11,1),-0.858887 # DEPENDENCYPART_ARC
(11,2),-0.456352 # DEPENDENCYPART_ARC
(11,3),-1.01494 # DEPENDENCYPART_ARC
(11,4),-0.299173 # DEPENDENCYPART_ARC
(11,5),1.02078 # DEPENDENCYPART_ARC
(11,6),-0.816201 # DEPENDENCYPART_ARC
(11,7),0.305357 # DEPENDENCYPART_ARC
(11,8),1.75184 # DEPENDENCYPART_ARC
(11,9),2.17559 # DEPENDENCYPART_ARC
(11,10),2.56652 # DEPENDENCYPART_ARC
(11,12),-0.419706 # DEPENDENCYPART_ARC
(11,13),3.22202 # DEPENDENCYPART_ARC
(11,14),2.0404 # DEPENDENCYPART_ARC
(11,15),2.73612 # DEPENDENCYPART_ARC
(11,16),0.800599 # DEPENDENCYPART_ARC
(11,17),-1.1058 # DEPENDENCYPART_ARC
(11,18),-1.07628 # DEPENDENCYPART_ARC
(11,19),-0.771468 # DEPENDENCYPART_ARC
(11,20),0.195715 # DEPENDENCYPART_ARC
(11,21),0.385414 # DEPENDENCYPART_ARC
(11,22),2.17066 # DEPENDENCYPART_ARC
(13,6),-1.93577 # DEPENDENCYPART_ARC
(13,8),-6.62601 # DEPENDENCYPART_ARC
(13,9),-2.16848 # DEPENDENCYPART_ARC
(13,10),-1.29222 # DEPENDENCYPART_ARC
(13,12),2.61321 # DEPENDENCYPART_ARC
(13,14),-0.438246 # DEPENDENCYPART_ARC
(13,16),-2.33108 # DEPENDENCYPART_ARC
(13,19),-1.53669 # DEPENDENCYPART_ARC
(13,20),-1.24126 # DEPENDENCYPART_ARC
(15,2),0.00387335 # DEPENDENCYPART_ARC
(15,4),-1.1695 # DEPENDENCYPART_ARC
(15,5),0.00140575 # DEPENDENCYPART_ARC
(15,7),-0.27505 # DEPENDENCYPART_ARC
(15,8),-0.717633 # DEPENDENCYPART_ARC
(15,9),0.280349 # DEPENDENCYPART_ARC
(15,10),-0.379422 # DEPENDENCYPART_ARC
(15,11),-0.150659 # DEPENDENCYPART_ARC
(15,12),-0.198583 # DEPENDENCYPART_ARC
(15,13),0.485047 # DEPENDENCYPART_ARC
(15,14),0.889088 # DEPENDENCYPART_ARC
(15,16),0.828486 # DEPENDENCYPART_ARC
(15,18),-0.592302 # DEPENDENCYPART_ARC
(15,19),-1.25919 # DEPENDENCYPART_ARC
(15,20),-0.539675 # DEPENDENCYPART_ARC
(15,21),-1.84243 # DEPENDENCYPART_ARC
(15,22),1.80647 # DEPENDENCYPART_ARC
(16,1),-2.29627 # DEPENDENCYPART_ARC
(16,2),-1.86773 # DEPENDENCYPART_ARC
(16,4),-4.09763 # DEPENDENCYPART_ARC
(16,5),-1.17482 # DEPENDENCYPART_ARC
(16,7),-3.00677 # DEPENDENCYPART_ARC
(16,8),-0.269373 # DEPENDENCYPART_ARC
(16,9),-0.934645 # DEPENDENCYPART_ARC
(16,10),-2.5704 # DEPENDENCYPART_ARC
(16,11),-0.768277 # DEPENDENCYPART_ARC
(16,12),-1.86621 # DEPENDENCYPART_ARC
(16,13),-2.35004 # DEPENDENCYPART_ARC
