# _root_ Aki elsőnek ér a tájékozódási pontokra , azé a tojás , és a legtöbb tojás tulajdonosa lesz a tojáskereső verseny győztese .
#goldHeads=3,3,8,6,6,3,8,12,10,8,12,0,15,15,16,17,12,20,20,21,17,12,
#predictedHeads=3,3,12,6,6,3,3,17,10,3,12,0,15,15,16,17,12,20,20,21,17,3,
(0,2),-2.49429 # DEPENDENCYPART_ARC
(0,3),-1.01225 # DEPENDENCYPART_ARC
(0,8),-3.65571 # DEPENDENCYPART_ARC
(0,12),-1.54366 # DEPENDENCYPART_ARC
(0,17),-2.37436 # DEPENDENCYPART_ARC
(1,5),-0.474172 # DEPENDENCYPART_ARC
(1,6),-0.961405 # DEPENDENCYPART_ARC
(1,10),-0.945627 # DEPENDENCYPART_ARC
(1,15),-1.24075 # DEPENDENCYPART_ARC
(1,16),-1.3313 # DEPENDENCYPART_ARC
(2,3),-0.117505 # DEPENDENCYPART_ARC
(2,6),-1.91035 # DEPENDENCYPART_ARC
(2,10),-1.68239 # DEPENDENCYPART_ARC
(3,1),1.44474 # DEPENDENCYPART_ARC
(3,2),2.1827 # DEPENDENCYPART_ARC
(3,4),-0.492111 # DEPENDENCYPART_ARC
(3,5),0.297956 # DEPENDENCYPART_ARC
(3,6),2.2139 # DEPENDENCYPART_ARC
(3,7),1.98794 # DEPENDENCYPART_ARC
(3,8),-0.827513 # DEPENDENCYPART_ARC
(3,9),-0.685374 # DEPENDENCYPART_ARC
(3,10),0.986779 # DEPENDENCYPART_ARC
(3,11),1.23761 # DEPENDENCYPART_ARC
(3,12),0.318368 # DEPENDENCYPART_ARC
(3,14),-0.572347 # DEPENDENCYPART_ARC
(3,15),-1.16186 # DEPENDENCYPART_ARC
(3,16),-0.802812 # DEPENDENCYPART_ARC
(3,17),0.64935 # DEPENDENCYPART_ARC
(3,20),-1.10802 # DEPENDENCYPART_ARC
(3,21),-0.000980514 # DEPENDENCYPART_ARC
(3,22),3.00794 # DEPENDENCYPART_ARC
(4,5),0.179639 # DEPENDENCYPART_ARC
(4,7),-0.283095 # DEPENDENCYPART_ARC
(5,1),-2.22416 # DEPENDENCYPART_ARC
(5,3),-1.35143 # DEPENDENCYPART_ARC
(5,4),0.522675 # DEPENDENCYPART_ARC
(5,7),-0.679183 # DEPENDENCYPART_ARC
(5,17),-1.84376 # DEPENDENCYPART_ARC
(5,22),-0.596982 # DEPENDENCYPART_ARC
(6,1),-1.42686 # DEPENDENCYPART_ARC
(6,2),-1.77222 # DEPENDENCYPART_ARC
(6,3),-2.44714 # DEPENDENCYPART_ARC
(6,4),2.44498 # DEPENDENCYPART_ARC
(6,5),3.35579 # DEPENDENCYPART_ARC
(6,7),-0.00525472 # DEPENDENCYPART_ARC
(6,10),-1.27363 # DEPENDENCYPART_ARC
(6,11),-0.427591 # DEPENDENCYPART_ARC
(6,12),-0.565677 # DEPENDENCYPART_ARC
(6,14),-1.22302 # DEPENDENCYPART_ARC
(6,15),-1.9426 # DEPENDENCYPART_ARC
(6,16),-1.87639 # DEPENDENCYPART_ARC
(6,17),-1.42176 # DEPENDENCYPART_ARC
(6,21),-2.65531 # DEPENDENCYPART_ARC
(6,22),0.44448 # DEPENDENCYPART_ARC
(8,1),-0.141072 # DEPENDENCYPART_ARC
(8,3),0.918207 # DEPENDENCYPART_ARC
(8,5),0.292318 # DEPENDENCYPART_ARC
(8,6),0.234239 # DEPENDENCYPART_ARC
(8,7),0.504828 # DEPENDENCYPART_ARC
(8,10),0.795503 # DEPENDENCYPART_ARC
(8,11),0.556824 # DEPENDENCYPART_ARC
(8,12),-0.0759274 # DEPENDENCYPART_ARC
(8,14),-0.0263478 # DEPENDENCYPART_ARC
(8,15),0.166594 # DEPENDENCYPART_ARC
