# _root_ Nyolc dolgot kifogásoltak , hétről kapásból kiderült , hogy nem jogos az óvás .
#goldHeads=2,3,0,3,7,7,3,7,7,7,7,13,7,3,
#predictedHeads=2,3,0,3,7,7,3,7,7,11,7,13,11,3,
(0,1),-1.41189 # DEPENDENCYPART_ARC
(0,2),-2.6309 # DEPENDENCYPART_ARC
(0,3),-1.006 # DEPENDENCYPART_ARC
(0,5),-2.86666 # DEPENDENCYPART_ARC
(0,6),-3.54767 # DEPENDENCYPART_ARC
(0,7),-1.56688 # DEPENDENCYPART_ARC
(0,9),-1.81875 # DEPENDENCYPART_ARC
(0,10),-2.42368 # DEPENDENCYPART_ARC
(0,11),-2.52645 # DEPENDENCYPART_ARC
(0,13),-3.89086 # DEPENDENCYPART_ARC
(1,2),-1.12485 # DEPENDENCYPART_ARC
(1,3),-0.531067 # DEPENDENCYPART_ARC
(1,4),-0.318682 # DEPENDENCYPART_ARC
(1,5),-1.31066 # DEPENDENCYPART_ARC
(1,6),-1.44937 # DEPENDENCYPART_ARC
(1,7),-0.766779 # DEPENDENCYPART_ARC
(1,8),-0.266899 # DEPENDENCYPART_ARC
(1,11),-1.2305 # DEPENDENCYPART_ARC
(1,13),-1.80072 # DEPENDENCYPART_ARC
(1,14),0.428307 # DEPENDENCYPART_ARC
(2,1),3.06809 # DEPENDENCYPART_ARC
(2,3),-0.629369 # DEPENDENCYPART_ARC
(2,4),-0.416208 # DEPENDENCYPART_ARC
(2,5),-1.54528 # DEPENDENCYPART_ARC
(2,6),-1.90861 # DEPENDENCYPART_ARC
(2,7),-0.841362 # DEPENDENCYPART_ARC
(2,8),-0.163229 # DEPENDENCYPART_ARC
(2,13),-2.45084 # DEPENDENCYPART_ARC
(2,14),-0.0799149 # DEPENDENCYPART_ARC
(3,1),0.472815 # DEPENDENCYPART_ARC
(3,2),3.01276 # DEPENDENCYPART_ARC
(3,4),1.46503 # DEPENDENCYPART_ARC
(3,5),1.02602 # DEPENDENCYPART_ARC
(3,6),-0.490328 # DEPENDENCYPART_ARC
(3,7),1.35367 # DEPENDENCYPART_ARC
(3,8),1.21369 # DEPENDENCYPART_ARC
(3,9),1.66505 # DEPENDENCYPART_ARC
(3,10),-0.353251 # DEPENDENCYPART_ARC
(3,11),-0.803998 # DEPENDENCYPART_ARC
(3,13),-1.98557 # DEPENDENCYPART_ARC
(3,14),2.08109 # DEPENDENCYPART_ARC
(5,1),-0.576115 # DEPENDENCYPART_ARC
(5,2),-1.51807 # DEPENDENCYPART_ARC
(5,3),-0.175338 # DEPENDENCYPART_ARC
(5,4),-0.112435 # DEPENDENCYPART_ARC
(5,6),-0.669583 # DEPENDENCYPART_ARC
(5,7),-0.243411 # DEPENDENCYPART_ARC
(5,8),-0.593372 # DEPENDENCYPART_ARC
(5,11),-1.37696 # DEPENDENCYPART_ARC
(5,13),-1.84475 # DEPENDENCYPART_ARC
(5,14),-0.697685 # DEPENDENCYPART_ARC
(6,1),0.0102043 # DEPENDENCYPART_ARC
(6,2),-3.13221 # DEPENDENCYPART_ARC
(6,3),-1.30055 # DEPENDENCYPART_ARC
(6,4),-0.172922 # DEPENDENCYPART_ARC
(6,5),0.89226 # DEPENDENCYPART_ARC
(6,7),-0.921924 # DEPENDENCYPART_ARC
(6,8),-0.822592 # DEPENDENCYPART_ARC
(6,11),-1.84516 # DEPENDENCYPART_ARC
(6,13),-2.96981 # DEPENDENCYPART_ARC
(6,14),-0.75147 # DEPENDENCYPART_ARC
(7,1),-0.495243 # DEPENDENCYPART_ARC
(7,2),1.31518 # DEPENDENCYPART_ARC
(7,3),0.116676 # DEPENDENCYPART_ARC
(7,4),1.22044 # DEPENDENCYPART_ARC
(7,5),2.21381 # DEPENDENCYPART_ARC
(7,6),3.50015 # DEPENDENCYPART_ARC
(7,8),2.1012 # DEPENDENCYPART_ARC
(7,9),3.05775 # DEPENDENCYPART_ARC
(7,10),0.572964 # DEPENDENCYPART_ARC
(7,11),0.523215 # DEPENDENCYPART_ARC
(7,12),-0.421913 # DEPENDENCYPART_ARC
(7,13),-0.166044 # DEPENDENCYPART_ARC
(7,14),1.98604 # DEPENDENCYPART_ARC
(9,2),-1.00448 # DEPENDENCYPART_ARC
(9,3),-0.335295 # DEPENDENCYPART_ARC
(9,4),0.206805 # DEPENDENCYPART_ARC
(9,6),0.495054 # DEPENDENCYPART_ARC
(9,7),0.0471929 # DEPENDENCYPART_ARC
(9,8),1.30852 # DEPENDENCYPART_ARC
(9,10),-0.362466 # DEPENDENCYPART_ARC
(9,11),-0.291155 # DEPENDENCYPART_ARC
(9,13),-1.80987 # DEPENDENCYPART_ARC
(9,14),1.0468 # DEPENDENCYPART_ARC
(10,4),-1.07344 # DEPENDENCYPART_ARC
(10,7),-0.839355 # DEPENDENCYPART_ARC
(10,8),-0.500299 # DEPENDENCYPART_ARC
(10,9),-0.660846 # DEPENDENCYPART_ARC
(10,11),-0.240253 # DEPENDENCYPART_ARC
(10,13),-0.868123 # DEPENDENCYPART_ARC
(10,14),0.167851 # DEPENDENCYPART_ARC
(11,1),-1.19017 # DEPENDENCYPART_ARC
(11,2),-1.40502 # DEPENDENCYPART_ARC
(11,3),-1.47636 # DEPENDENCYPART_ARC
(11,4),-0.329461 # DEPENDENCYPART_ARC
(11,5),-0.599693 # DEPENDENCYPART_ARC
(11,6),-0.477878 # DEPENDENCYPART_ARC
(11,7),-1.04433 # DEPENDENCYPART_ARC
(11,8),0.366032 # DEPENDENCYPART_ARC
(11,9),-0.101334 # DEPENDENCYPART_ARC
(11,10),0.942026 # DEPENDENCYPART_ARC
(11,13),0.107803 # DEPENDENCYPART_ARC
(11,14),0.590106 # DEPENDENCYPART_ARC
(12,11),-0.79143 # DEPENDENCYPART_ARC
(13,3),-2.22339 # DEPENDENCYPART_ARC
(13,4),-1.9324 # DEPENDENCYPART_ARC
(13,5),-2.80129 # DEPENDENCYPART_ARC
(13,7),-1.56889 # DEPENDENCYPART_ARC
(13,8),-0.942203 # DEPENDENCYPART_ARC
(13,9),-1.26761 # DEPENDENCYPART_ARC
(13,10),-0.831556 # DEPENDENCYPART_ARC
(13,11),-0.767707 # DEPENDENCYPART_ARC
(13,12),2.50061 # DEPENDENCYPART_ARC
(13,14),-0.727763 # DEPENDENCYPART_ARC
