# _root_ A század első negyedében Alsógöd , Felsőgöd és Sződliget kialakuló református gyülekezetei előbb a váci anyaegyház leány- , majd fiókegyházaiként növekedtek .
#goldHeads=2,4,4,21,12,12,12,12,12,12,12,21,21,16,16,20,20,20,20,21,0,21,
#predictedHeads=2,12,4,5,12,21,12,10,12,12,12,21,21,16,16,21,20,19,0,21,19,19,
(0,3),-2.25887 # DEPENDENCYPART_ARC
(0,4),-2.68034 # DEPENDENCYPART_ARC
(0,8),-2.82121 # DEPENDENCYPART_ARC
(0,10),-2.91404 # DEPENDENCYPART_ARC
(0,13),-3.17065 # DEPENDENCYPART_ARC
(0,19),-1.6381 # DEPENDENCYPART_ARC
(0,21),-2.31598 # DEPENDENCYPART_ARC
(1,3),-0.514562 # DEPENDENCYPART_ARC
(2,1),2.89007 # DEPENDENCYPART_ARC
(2,4),-1.07402 # DEPENDENCYPART_ARC
(2,5),-0.238101 # DEPENDENCYPART_ARC
(2,13),-0.751232 # DEPENDENCYPART_ARC
(2,19),-0.524042 # DEPENDENCYPART_ARC
(2,21),-1.17033 # DEPENDENCYPART_ARC
(2,22),-0.262946 # DEPENDENCYPART_ARC
(3,2),0.275806 # DEPENDENCYPART_ARC
(4,2),0.904738 # DEPENDENCYPART_ARC
(4,3),1.51328 # DEPENDENCYPART_ARC
(4,19),-0.768176 # DEPENDENCYPART_ARC
(5,1),0.733948 # DEPENDENCYPART_ARC
(5,2),-0.231746 # DEPENDENCYPART_ARC
(5,3),1.11776 # DEPENDENCYPART_ARC
(5,4),0.103866 # DEPENDENCYPART_ARC
(5,6),-0.0144167 # DEPENDENCYPART_ARC
(5,7),-0.900162 # DEPENDENCYPART_ARC
(5,9),-1.02745 # DEPENDENCYPART_ARC
(5,12),-1.43251 # DEPENDENCYPART_ARC
(5,18),-0.771919 # DEPENDENCYPART_ARC
(5,21),-1.47353 # DEPENDENCYPART_ARC
(5,22),-0.371293 # DEPENDENCYPART_ARC
(7,1),0.536772 # DEPENDENCYPART_ARC
(7,2),-0.911987 # DEPENDENCYPART_ARC
(7,3),-0.316618 # DEPENDENCYPART_ARC
(7,5),0.438465 # DEPENDENCYPART_ARC
(7,6),0.401053 # DEPENDENCYPART_ARC
(7,9),-1.0664 # DEPENDENCYPART_ARC
(7,12),-1.58706 # DEPENDENCYPART_ARC
(7,16),-1.27757 # DEPENDENCYPART_ARC
(7,21),-2.05997 # DEPENDENCYPART_ARC
(7,22),-0.942065 # DEPENDENCYPART_ARC
(8,4),-0.637952 # DEPENDENCYPART_ARC
(8,5),-0.418689 # DEPENDENCYPART_ARC
(8,6),0.403582 # DEPENDENCYPART_ARC
(8,7),-0.210719 # DEPENDENCYPART_ARC
(8,9),-0.108775 # DEPENDENCYPART_ARC
(8,10),-0.123212 # DEPENDENCYPART_ARC
(8,11),-0.36995 # DEPENDENCYPART_ARC
(8,12),-0.196681 # DEPENDENCYPART_ARC
(8,13),-0.751764 # DEPENDENCYPART_ARC
(8,15),-0.899287 # DEPENDENCYPART_ARC
(8,16),-0.713929 # DEPENDENCYPART_ARC
(8,18),-0.592679 # DEPENDENCYPART_ARC
(8,19),-0.916473 # DEPENDENCYPART_ARC
(8,21),-1.11199 # DEPENDENCYPART_ARC
(8,22),0.104433 # DEPENDENCYPART_ARC
(9,1),-0.0886555 # DEPENDENCYPART_ARC
(9,3),-1.11109 # DEPENDENCYPART_ARC
(9,5),-0.400998 # DEPENDENCYPART_ARC
(9,6),0.513454 # DEPENDENCYPART_ARC
(9,7),0.77268 # DEPENDENCYPART_ARC
(9,8),0.795794 # DEPENDENCYPART_ARC
(9,10),-0.0626609 # DEPENDENCYPART_ARC
(9,11),0.0614249 # DEPENDENCYPART_ARC
(9,12),-0.369632 # DEPENDENCYPART_ARC
(9,16),-0.172372 # DEPENDENCYPART_ARC
(9,18),-0.0458462 # DEPENDENCYPART_ARC
(9,21),-1.0102 # DEPENDENCYPART_ARC
(9,22),0.0055176 # DEPENDENCYPART_ARC
(10,2),-0.301442 # DEPENDENCYPART_ARC
(10,5),-0.224151 # DEPENDENCYPART_ARC
(10,6),0.443503 # DEPENDENCYPART_ARC
(10,7),0.397091 # DEPENDENCYPART_ARC
