# _root_ A legrövidebb távot , a 2000 métert a II. korcsoport tagjai , az 1986- 1988-as születésű lányok teszik meg .
#goldHeads=3,3,18,18,7,7,18,10,10,11,18,18,17,16,16,17,18,0,18,18,
#predictedHeads=3,3,18,18,7,7,18,10,10,11,18,18,17,17,17,17,18,0,18,18,
(0,3),-2.95536 # DEPENDENCYPART_ARC
(0,6),-3.03292 # DEPENDENCYPART_ARC
(0,7),-3.89648 # DEPENDENCYPART_ARC
(0,11),-4.29132 # DEPENDENCYPART_ARC
(0,15),-3.01626 # DEPENDENCYPART_ARC
(0,18),-2.29579 # DEPENDENCYPART_ARC
(0,19),-3.76375 # DEPENDENCYPART_ARC
(1,2),-0.286117 # DEPENDENCYPART_ARC
(1,3),-0.756 # DEPENDENCYPART_ARC
(1,4),-0.386404 # DEPENDENCYPART_ARC
(2,1),0.919712 # DEPENDENCYPART_ARC
(2,18),-1.95816 # DEPENDENCYPART_ARC
(3,1),2.31988 # DEPENDENCYPART_ARC
(3,2),3.61004 # DEPENDENCYPART_ARC
(3,4),0.233758 # DEPENDENCYPART_ARC
(3,6),-1.03138 # DEPENDENCYPART_ARC
(3,7),-0.965783 # DEPENDENCYPART_ARC
(3,10),-1.33562 # DEPENDENCYPART_ARC
(3,11),-0.989211 # DEPENDENCYPART_ARC
(3,12),0.0761546 # DEPENDENCYPART_ARC
(3,15),-1.58705 # DEPENDENCYPART_ARC
(3,17),-1.14226 # DEPENDENCYPART_ARC
(3,18),-1.31317 # DEPENDENCYPART_ARC
(3,20),0.254203 # DEPENDENCYPART_ARC
(5,4),-0.226869 # DEPENDENCYPART_ARC
(5,10),-0.676015 # DEPENDENCYPART_ARC
(6,3),-2.48463 # DEPENDENCYPART_ARC
(6,5),-0.0551743 # DEPENDENCYPART_ARC
(6,10),-1.55255 # DEPENDENCYPART_ARC
(6,11),-1.96569 # DEPENDENCYPART_ARC
(6,18),-1.42949 # DEPENDENCYPART_ARC
(6,20),-0.408537 # DEPENDENCYPART_ARC
(7,1),0.125367 # DEPENDENCYPART_ARC
(7,2),0.393739 # DEPENDENCYPART_ARC
(7,3),-2.56899 # DEPENDENCYPART_ARC
(7,4),-0.0436714 # DEPENDENCYPART_ARC
(7,5),2.01259 # DEPENDENCYPART_ARC
(7,6),2.65593 # DEPENDENCYPART_ARC
(7,8),-0.675669 # DEPENDENCYPART_ARC
(7,10),-0.702985 # DEPENDENCYPART_ARC
(7,11),-0.580723 # DEPENDENCYPART_ARC
(7,12),0.204004 # DEPENDENCYPART_ARC
(7,15),-1.12145 # DEPENDENCYPART_ARC
(7,17),-0.779191 # DEPENDENCYPART_ARC
(7,18),-0.777423 # DEPENDENCYPART_ARC
(7,20),0.229293 # DEPENDENCYPART_ARC
(8,9),0.388756 # DEPENDENCYPART_ARC
(8,15),-0.561709 # DEPENDENCYPART_ARC
(9,7),-2.25275 # DEPENDENCYPART_ARC
(9,8),-0.261001 # DEPENDENCYPART_ARC
(9,20),-0.467632 # DEPENDENCYPART_ARC
(10,1),-0.829248 # DEPENDENCYPART_ARC
(10,2),-0.34055 # DEPENDENCYPART_ARC
(10,3),-4.42008 # DEPENDENCYPART_ARC
(10,4),-0.716026 # DEPENDENCYPART_ARC
(10,5),-0.00778744 # DEPENDENCYPART_ARC
(10,6),0.452975 # DEPENDENCYPART_ARC
(10,7),-2.94212 # DEPENDENCYPART_ARC
(10,8),1.99562 # DEPENDENCYPART_ARC
(10,9),2.6478 # DEPENDENCYPART_ARC
