# _root_ Érdekes helyzet volt : a vezetőség nem nagyon éreztette , hogy szükség van rám , és én se nagyon forszíroztam a dolgot .
#goldHeads=2,3,0,3,6,9,9,9,16,9,9,13,9,13,16,3,20,20,20,16,22,20,3,
#predictedHeads=2,3,16,3,6,9,9,9,3,9,9,13,9,13,16,0,20,20,20,16,22,20,16,
(0,1),-2.0121 # DEPENDENCYPART_ARC
(0,3),-0.969961 # DEPENDENCYPART_ARC
(0,7),-2.57846 # DEPENDENCYPART_ARC
(0,9),-1.43856 # DEPENDENCYPART_ARC
(0,11),-2.04067 # DEPENDENCYPART_ARC
(0,13),-2.24826 # DEPENDENCYPART_ARC
(0,14),-2.68343 # DEPENDENCYPART_ARC
(0,16),-0.187207 # DEPENDENCYPART_ARC
(0,17),-2.63188 # DEPENDENCYPART_ARC
(0,18),-3.96481 # DEPENDENCYPART_ARC
(0,20),-2.0194 # DEPENDENCYPART_ARC
(1,6),-1.72498 # DEPENDENCYPART_ARC
(1,7),-1.20909 # DEPENDENCYPART_ARC
(1,23),0.170317 # DEPENDENCYPART_ARC
(2,1),3.20581 # DEPENDENCYPART_ARC
(2,4),-0.772386 # DEPENDENCYPART_ARC
(2,6),-1.42905 # DEPENDENCYPART_ARC
(3,1),1.10934 # DEPENDENCYPART_ARC
(3,2),3.90483 # DEPENDENCYPART_ARC
(3,4),1.94647 # DEPENDENCYPART_ARC
(3,5),-0.226808 # DEPENDENCYPART_ARC
(3,6),-0.483714 # DEPENDENCYPART_ARC
(3,7),0.499722 # DEPENDENCYPART_ARC
(3,8),0.153637 # DEPENDENCYPART_ARC
(3,9),1.29332 # DEPENDENCYPART_ARC
(3,10),1.33664 # DEPENDENCYPART_ARC
(3,11),1.57815 # DEPENDENCYPART_ARC
(3,12),-2.66148 # DEPENDENCYPART_ARC
(3,13),1.21541 # DEPENDENCYPART_ARC
(3,14),0.244199 # DEPENDENCYPART_ARC
(3,15),0.859134 # DEPENDENCYPART_ARC
(3,16),-0.337283 # DEPENDENCYPART_ARC
(3,18),-0.684067 # DEPENDENCYPART_ARC
(3,19),-1.25252 # DEPENDENCYPART_ARC
(3,20),0.0345556 # DEPENDENCYPART_ARC
(3,23),2.72675 # DEPENDENCYPART_ARC
(6,4),-1.39641 # DEPENDENCYPART_ARC
(6,5),2.78914 # DEPENDENCYPART_ARC
(7,3),-0.236702 # DEPENDENCYPART_ARC
(7,4),-0.103092 # DEPENDENCYPART_ARC
(7,6),0.261634 # DEPENDENCYPART_ARC
(7,9),-0.0241251 # DEPENDENCYPART_ARC
(7,10),-0.267646 # DEPENDENCYPART_ARC
(7,11),-0.392511 # DEPENDENCYPART_ARC
