# _root_ Ő korábban — egyebek között — az Ybl_Bank csődjét okozó Hepta-csoport egyik cégének , a Carbontransz_Rt.-nek volt az elnök-vezérigazgatója ( HVG , 1992. augusztus 1. )
#goldHeads=17,17,17,5,17,17,8,9,10,11,13,13,17,13,16,13,0,19,17,21,17,21,25,25,21,21,
#predictedHeads=2,5,5,5,17,17,8,9,10,11,13,13,17,17,16,17,0,19,17,21,17,17,25,25,17,17,
(0,1),-3.23489 # DEPENDENCYPART_ARC
(0,2),-2.37283 # DEPENDENCYPART_ARC
(0,4),-2.98475 # DEPENDENCYPART_ARC
(0,5),-3.19084 # DEPENDENCYPART_ARC
(0,10),-3.12793 # DEPENDENCYPART_ARC
(0,11),-4.37078 # DEPENDENCYPART_ARC
(0,12),-3.66848 # DEPENDENCYPART_ARC
(0,17),-2.0082 # DEPENDENCYPART_ARC
(1,3),-0.726676 # DEPENDENCYPART_ARC
(1,5),-0.398783 # DEPENDENCYPART_ARC
(1,6),-0.80248 # DEPENDENCYPART_ARC
(1,9),-1.36665 # DEPENDENCYPART_ARC
(1,11),-1.13743 # DEPENDENCYPART_ARC
(1,13),-1.4402 # DEPENDENCYPART_ARC
(1,17),0.4499 # DEPENDENCYPART_ARC
(1,19),-1.84013 # DEPENDENCYPART_ARC
(2,1),0.456949 # DEPENDENCYPART_ARC
(2,3),0.537062 # DEPENDENCYPART_ARC
(2,5),-0.0431322 # DEPENDENCYPART_ARC
(2,6),0.301883 # DEPENDENCYPART_ARC
(2,8),-1.20584 # DEPENDENCYPART_ARC
(2,9),-1.2002 # DEPENDENCYPART_ARC
(2,11),-1.28609 # DEPENDENCYPART_ARC
(2,13),-1.35405 # DEPENDENCYPART_ARC
(2,14),-0.269098 # DEPENDENCYPART_ARC
(2,17),0.0740161 # DEPENDENCYPART_ARC
(2,20),-0.745598 # DEPENDENCYPART_ARC
(2,22),-0.542704 # DEPENDENCYPART_ARC
(2,25),-2.17205 # DEPENDENCYPART_ARC
(2,26),1.07524 # DEPENDENCYPART_ARC
(4,5),-0.160832 # DEPENDENCYPART_ARC
(4,6),-0.700519 # DEPENDENCYPART_ARC
(4,8),-1.00723 # DEPENDENCYPART_ARC
(4,9),-0.717342 # DEPENDENCYPART_ARC
(4,11),-0.804756 # DEPENDENCYPART_ARC
(4,12),-1.14209 # DEPENDENCYPART_ARC
(4,13),-0.711147 # DEPENDENCYPART_ARC
(4,14),-0.41697 # DEPENDENCYPART_ARC
(4,16),-1.40785 # DEPENDENCYPART_ARC
(4,17),0.12466 # DEPENDENCYPART_ARC
(4,20),-0.766381 # DEPENDENCYPART_ARC
(4,21),-1.85012 # DEPENDENCYPART_ARC
(4,22),-0.588168 # DEPENDENCYPART_ARC
(4,26),-0.00679671 # DEPENDENCYPART_ARC
(5,2),0.731141 # DEPENDENCYPART_ARC
(5,3),0.667762 # DEPENDENCYPART_ARC
(5,4),3.79896 # DEPENDENCYPART_ARC
(5,6),-0.207047 # DEPENDENCYPART_ARC
(5,8),-0.809568 # DEPENDENCYPART_ARC
