# _root_ A szóvivő valószínűtlennek tartotta , hogy Arkan tudva a körözéséről , átlépte volna a magyar határt .
#goldHeads=2,4,4,0,4,4,12,12,10,8,12,4,12,16,16,12,4,
#predictedHeads=2,4,4,0,4,4,8,12,10,8,12,4,12,16,16,12,4,
(0,2),-1.91978 # DEPENDENCYPART_ARC
(0,3),-2.29868 # DEPENDENCYPART_ARC
(0,4),-0.143511 # DEPENDENCYPART_ARC
(0,6),-0.488869 # DEPENDENCYPART_ARC
(0,7),-2.61609 # DEPENDENCYPART_ARC
(0,8),-2.54444 # DEPENDENCYPART_ARC
(0,12),-0.954925 # DEPENDENCYPART_ARC
(0,13),-1.49829 # DEPENDENCYPART_ARC
(1,3),-0.598512 # DEPENDENCYPART_ARC
(2,1),2.55072 # DEPENDENCYPART_ARC
(2,3),-0.451863 # DEPENDENCYPART_ARC
(2,4),-0.248159 # DEPENDENCYPART_ARC
(2,5),0.0256725 # DEPENDENCYPART_ARC
(2,7),-1.13176 # DEPENDENCYPART_ARC
(2,8),-0.619794 # DEPENDENCYPART_ARC
(2,10),-2.64988 # DEPENDENCYPART_ARC
(2,12),-0.712005 # DEPENDENCYPART_ARC
(2,16),-2.28667 # DEPENDENCYPART_ARC
(2,17),0.424925 # DEPENDENCYPART_ARC
(3,1),0.644416 # DEPENDENCYPART_ARC
(3,2),0.238641 # DEPENDENCYPART_ARC
(3,4),-0.45611 # DEPENDENCYPART_ARC
(3,5),-0.462936 # DEPENDENCYPART_ARC
(3,6),-0.604256 # DEPENDENCYPART_ARC
(3,7),-1.42347 # DEPENDENCYPART_ARC
(3,8),-0.960342 # DEPENDENCYPART_ARC
(3,10),-2.00866 # DEPENDENCYPART_ARC
(3,11),-0.475278 # DEPENDENCYPART_ARC
(3,12),-1.44453 # DEPENDENCYPART_ARC
(3,16),-2.42735 # DEPENDENCYPART_ARC
(3,17),0.506771 # DEPENDENCYPART_ARC
(4,1),-0.6631 # DEPENDENCYPART_ARC
(4,2),2.09068 # DEPENDENCYPART_ARC
(4,3),3.29405 # DEPENDENCYPART_ARC
(4,5),2.31409 # DEPENDENCYPART_ARC
(4,6),2.84261 # DEPENDENCYPART_ARC
(4,7),-0.719109 # DEPENDENCYPART_ARC
(4,8),0.722246 # DEPENDENCYPART_ARC
(4,9),-0.880762 # DEPENDENCYPART_ARC
(4,10),-0.0159381 # DEPENDENCYPART_ARC
(4,11),0.790811 # DEPENDENCYPART_ARC
(4,12),1.05737 # DEPENDENCYPART_ARC
(4,13),1.6639 # DEPENDENCYPART_ARC
(4,15),-1.46391 # DEPENDENCYPART_ARC
(4,16),-0.94446 # DEPENDENCYPART_ARC
(4,17),2.50072 # DEPENDENCYPART_ARC
(6,2),0.691118 # DEPENDENCYPART_ARC
(6,3),0.731113 # DEPENDENCYPART_ARC
(6,4),0.0985376 # DEPENDENCYPART_ARC
(6,5),1.35368 # DEPENDENCYPART_ARC
(6,7),-0.587795 # DEPENDENCYPART_ARC
(6,8),-0.296415 # DEPENDENCYPART_ARC
(6,10),-1.5657 # DEPENDENCYPART_ARC
(6,11),-0.325674 # DEPENDENCYPART_ARC
(6,12),0.476792 # DEPENDENCYPART_ARC
