# _root_ És van egy elvem , ami lehet , hogy sokak szemében nem lesz szimpatikus : nem szeretnék semminek a mártírja lenni .
#goldHeads=0,1,4,2,2,7,2,7,7,11,13,13,7,13,1,17,1,17,20,21,17,1,
#predictedHeads=2,0,4,2,2,7,2,7,7,11,13,13,9,13,13,17,13,17,20,21,17,2,
(0,1),-2.30679 # DEPENDENCYPART_ARC
(0,2),-1.17841 # DEPENDENCYPART_ARC
(0,4),-3.60062 # DEPENDENCYPART_ARC
(0,7),-1.87699 # DEPENDENCYPART_ARC
(0,9),-2.38206 # DEPENDENCYPART_ARC
(0,13),-2.55467 # DEPENDENCYPART_ARC
(0,14),-3.06186 # DEPENDENCYPART_ARC
(0,17),-2.09994 # DEPENDENCYPART_ARC
(0,21),-3.53147 # DEPENDENCYPART_ARC
(1,2),0.535418 # DEPENDENCYPART_ARC
(1,4),-0.738723 # DEPENDENCYPART_ARC
(1,5),0.550656 # DEPENDENCYPART_ARC
(1,7),-0.288167 # DEPENDENCYPART_ARC
(1,8),0.270251 # DEPENDENCYPART_ARC
(1,9),-0.66576 # DEPENDENCYPART_ARC
(1,10),-1.08401 # DEPENDENCYPART_ARC
(1,11),-1.45331 # DEPENDENCYPART_ARC
(1,12),-1.33579 # DEPENDENCYPART_ARC
(1,13),-0.518506 # DEPENDENCYPART_ARC
(1,14),-1.15313 # DEPENDENCYPART_ARC
(1,15),0.69052 # DEPENDENCYPART_ARC
(1,16),-1.40046 # DEPENDENCYPART_ARC
(1,17),-0.389747 # DEPENDENCYPART_ARC
(1,21),-0.689785 # DEPENDENCYPART_ARC
(1,22),0.822675 # DEPENDENCYPART_ARC
(2,1),1.69351 # DEPENDENCYPART_ARC
(2,4),3.45442 # DEPENDENCYPART_ARC
(2,5),2.2087 # DEPENDENCYPART_ARC
(2,6),0.0164626 # DEPENDENCYPART_ARC
(2,7),1.23975 # DEPENDENCYPART_ARC
(2,8),1.30438 # DEPENDENCYPART_ARC
(2,9),1.83824 # DEPENDENCYPART_ARC
(2,10),-0.284128 # DEPENDENCYPART_ARC
(2,11),-0.828436 # DEPENDENCYPART_ARC
(2,12),-0.0102993 # DEPENDENCYPART_ARC
(2,13),0.607 # DEPENDENCYPART_ARC
(2,14),-0.35022 # DEPENDENCYPART_ARC
(2,15),0.520988 # DEPENDENCYPART_ARC
(2,16),-0.605533 # DEPENDENCYPART_ARC
(2,17),0.831341 # DEPENDENCYPART_ARC
(2,21),1.68556 # DEPENDENCYPART_ARC
(2,22),2.88423 # DEPENDENCYPART_ARC
(4,1),-0.926038 # DEPENDENCYPART_ARC
(4,2),-1.89584 # DEPENDENCYPART_ARC
(4,3),2.42859 # DEPENDENCYPART_ARC
(4,5),-0.0424018 # DEPENDENCYPART_ARC
(4,6),-1.55548 # DEPENDENCYPART_ARC
(4,7),-1.17707 # DEPENDENCYPART_ARC
(4,10),-0.911333 # DEPENDENCYPART_ARC
(4,13),-1.72773 # DEPENDENCYPART_ARC
(4,17),-2.12374 # DEPENDENCYPART_ARC
(4,22),1.19344 # DEPENDENCYPART_ARC
(6,11),-0.312482 # DEPENDENCYPART_ARC
(6,20),-0.754499 # DEPENDENCYPART_ARC
(7,1),0.424924 # DEPENDENCYPART_ARC
(7,2),-0.921494 # DEPENDENCYPART_ARC
(7,3),-1.38322 # DEPENDENCYPART_ARC
(7,4),0.228585 # DEPENDENCYPART_ARC
(7,5),0.224609 # DEPENDENCYPART_ARC
(7,6),2.50518 # DEPENDENCYPART_ARC
(7,8),2.20587 # DEPENDENCYPART_ARC
(7,9),2.43663 # DEPENDENCYPART_ARC
(7,10),-0.852842 # DEPENDENCYPART_ARC
(7,11),-0.975127 # DEPENDENCYPART_ARC
(7,12),-0.508556 # DEPENDENCYPART_ARC
(7,13),0.0966009 # DEPENDENCYPART_ARC
(7,14),-1.01364 # DEPENDENCYPART_ARC
(7,15),0.113999 # DEPENDENCYPART_ARC
(7,16),-1.32937 # DEPENDENCYPART_ARC
(7,17),0.17271 # DEPENDENCYPART_ARC
(7,21),0.361207 # DEPENDENCYPART_ARC
(7,22),2.21475 # DEPENDENCYPART_ARC
(9,1),0.814298 # DEPENDENCYPART_ARC
(9,2),-0.764813 # DEPENDENCYPART_ARC
(9,4),-0.117234 # DEPENDENCYPART_ARC
(9,5),-0.258813 # DEPENDENCYPART_ARC
(9,6),0.0954225 # DEPENDENCYPART_ARC
(9,7),-0.19536 # DEPENDENCYPART_ARC
(9,8),1.08617 # DEPENDENCYPART_ARC
(9,10),0.100612 # DEPENDENCYPART_ARC
(9,11),-0.744884 # DEPENDENCYPART_ARC
(9,13),0.856223 # DEPENDENCYPART_ARC
(9,14),-0.522618 # DEPENDENCYPART_ARC
(9,15),0.890261 # DEPENDENCYPART_ARC
(9,17),0.152391 # DEPENDENCYPART_ARC
(9,21),0.192294 # DEPENDENCYPART_ARC
(9,22),2.23416 # DEPENDENCYPART_ARC
(10,6),-2.12313 # DEPENDENCYPART_ARC
(10,9),-0.638543 # DEPENDENCYPART_ARC
(10,22),0.135889 # DEPENDENCYPART_ARC
(11,1),-0.937797 # DEPENDENCYPART_ARC
(11,2),-3.59351 # DEPENDENCYPART_ARC
(11,3),-0.781875 # DEPENDENCYPART_ARC
(11,4),-1.4843 # DEPENDENCYPART_ARC
(11,5),-0.969732 # DEPENDENCYPART_ARC
