# _root_ Drága mulatság a washoku , de a legfinomabb alapanyagokból készítik , és elképesztő dúskálást lehet vele csapni .
#goldHeads=2,12,4,2,12,12,9,9,10,12,12,0,14,17,12,17,15,12,
#predictedHeads=2,10,4,10,6,10,9,9,10,12,12,0,14,17,12,17,15,12,
(0,2),-2.49759 # DEPENDENCYPART_ARC
(0,4),-2.76747 # DEPENDENCYPART_ARC
(0,6),-0.911283 # DEPENDENCYPART_ARC
(0,10),-2.01876 # DEPENDENCYPART_ARC
(0,12),-0.782517 # DEPENDENCYPART_ARC
(0,14),-4.52004 # DEPENDENCYPART_ARC
(0,15),-2.3026 # DEPENDENCYPART_ARC
(0,17),-3.18729 # DEPENDENCYPART_ARC
(1,15),-1.70104 # DEPENDENCYPART_ARC
(1,18),-0.152309 # DEPENDENCYPART_ARC
(2,1),3.42486 # DEPENDENCYPART_ARC
(2,3),-0.916983 # DEPENDENCYPART_ARC
(2,4),-0.353971 # DEPENDENCYPART_ARC
(2,5),-0.103888 # DEPENDENCYPART_ARC
(2,6),-0.472064 # DEPENDENCYPART_ARC
(2,9),-1.75829 # DEPENDENCYPART_ARC
(2,10),-0.655605 # DEPENDENCYPART_ARC
(2,11),-0.460125 # DEPENDENCYPART_ARC
(2,12),-0.303816 # DEPENDENCYPART_ARC
(2,14),-2.18045 # DEPENDENCYPART_ARC
(2,15),-1.20363 # DEPENDENCYPART_ARC
(2,17),-0.95188 # DEPENDENCYPART_ARC
(2,18),0.598655 # DEPENDENCYPART_ARC
(3,1),-1.05749 # DEPENDENCYPART_ARC
(3,5),-0.154806 # DEPENDENCYPART_ARC
(3,8),-0.786632 # DEPENDENCYPART_ARC
(4,1),0.0937806 # DEPENDENCYPART_ARC
(4,2),-0.0316125 # DEPENDENCYPART_ARC
(4,3),1.75796 # DEPENDENCYPART_ARC
(4,5),0.258268 # DEPENDENCYPART_ARC
(4,6),-0.243814 # DEPENDENCYPART_ARC
(4,9),-0.714021 # DEPENDENCYPART_ARC
(4,10),-0.429732 # DEPENDENCYPART_ARC
(4,11),-0.286672 # DEPENDENCYPART_ARC
(4,12),-0.257619 # DEPENDENCYPART_ARC
(4,14),-1.08636 # DEPENDENCYPART_ARC
(6,1),-0.204401 # DEPENDENCYPART_ARC
(6,2),-0.449408 # DEPENDENCYPART_ARC
(6,3),-0.492573 # DEPENDENCYPART_ARC
(6,4),0.313295 # DEPENDENCYPART_ARC
(6,5),2.10746 # DEPENDENCYPART_ARC
(6,7),-0.518463 # DEPENDENCYPART_ARC
(6,8),0.0182711 # DEPENDENCYPART_ARC
(6,9),-0.652521 # DEPENDENCYPART_ARC
(6,10),1.85778 # DEPENDENCYPART_ARC
(6,11),0.276408 # DEPENDENCYPART_ARC
(6,12),0.225633 # DEPENDENCYPART_ARC
(6,13),-0.691613 # DEPENDENCYPART_ARC
(6,14),-0.966385 # DEPENDENCYPART_ARC
