# _root_ Στο σημείο των εκβολών του , στο Ιόνιο , δημιουργείται το δέλτα του ποταμού .
#goldHeads=6,1,4,2,4,10,6,7,10,0,12,10,14,12,0,
#predictedHeads=10,1,4,2,4,10,10,7,10,0,12,10,14,12,0,
(0,1),-0.527948 # DEPENDENCYPART_ARC
(0,2),-0.16021 # DEPENDENCYPART_ARC
(0,3),-0.928705 # DEPENDENCYPART_ARC
(0,4),-0.932156 # DEPENDENCYPART_ARC
(0,5),-1.16507 # DEPENDENCYPART_ARC
(0,6),0.0119371 # DEPENDENCYPART_ARC
(0,7),-0.650609 # DEPENDENCYPART_ARC
(0,8),-0.612582 # DEPENDENCYPART_ARC
(0,9),-0.409948 # DEPENDENCYPART_ARC
(0,10),1.68864 # DEPENDENCYPART_ARC
(0,11),-1.84876 # DEPENDENCYPART_ARC
(0,12),-1.60079 # DEPENDENCYPART_ARC
(0,13),-2.03277 # DEPENDENCYPART_ARC
(0,14),-1.87579 # DEPENDENCYPART_ARC
(0,15),2.91312 # DEPENDENCYPART_ARC
(1,2),3.59047 # DEPENDENCYPART_ARC
(1,3),-0.750522 # DEPENDENCYPART_ARC
(1,4),-1.11574 # DEPENDENCYPART_ARC
(1,5),-1.18682 # DEPENDENCYPART_ARC
(1,6),-0.0724114 # DEPENDENCYPART_ARC
(1,7),-0.963689 # DEPENDENCYPART_ARC
(1,8),-0.772281 # DEPENDENCYPART_ARC
(1,9),-0.183166 # DEPENDENCYPART_ARC
(1,10),-2.7375 # DEPENDENCYPART_ARC
(1,11),-1.59451 # DEPENDENCYPART_ARC
(1,12),-3.97721 # DEPENDENCYPART_ARC
(1,13),-2.16524 # DEPENDENCYPART_ARC
(1,14),-5.27822 # DEPENDENCYPART_ARC
(1,15),-1.21215 # DEPENDENCYPART_ARC
(2,1),0.143795 # DEPENDENCYPART_ARC
(2,3),0.346869 # DEPENDENCYPART_ARC
(2,4),1.91092 # DEPENDENCYPART_ARC
(2,5),1.21867 # DEPENDENCYPART_ARC
(2,6),-0.0164568 # DEPENDENCYPART_ARC
(2,7),0.00709312 # DEPENDENCYPART_ARC
(2,8),-0.814022 # DEPENDENCYPART_ARC
(2,9),-0.205917 # DEPENDENCYPART_ARC
(2,10),-0.503955 # DEPENDENCYPART_ARC
(2,11),-1.5038 # DEPENDENCYPART_ARC
(2,12),-2.13609 # DEPENDENCYPART_ARC
(2,13),-1.5511 # DEPENDENCYPART_ARC
(2,14),-1.04022 # DEPENDENCYPART_ARC
(2,15),-0.583853 # DEPENDENCYPART_ARC
(3,1),-1.4327 # DEPENDENCYPART_ARC
(3,2),-1.48107 # DEPENDENCYPART_ARC
(3,4),0.221427 # DEPENDENCYPART_ARC
(3,5),-1.40099 # DEPENDENCYPART_ARC
(3,6),-0.391412 # DEPENDENCYPART_ARC
(3,7),-1.03095 # DEPENDENCYPART_ARC
(3,8),-1.41196 # DEPENDENCYPART_ARC
(3,9),-0.587783 # DEPENDENCYPART_ARC
(3,10),-2.30047 # DEPENDENCYPART_ARC
(3,11),-2.22674 # DEPENDENCYPART_ARC
(3,12),-2.49081 # DEPENDENCYPART_ARC
(3,13),-1.9412 # DEPENDENCYPART_ARC
(3,14),-2.24995 # DEPENDENCYPART_ARC
(3,15),-1.22517 # DEPENDENCYPART_ARC
(4,1),-2.27452 # DEPENDENCYPART_ARC
(4,2),-1.74431 # DEPENDENCYPART_ARC
(4,3),3.874 # DEPENDENCYPART_ARC
(4,5),3.6621 # DEPENDENCYPART_ARC
(4,6),0.0671544 # DEPENDENCYPART_ARC
(4,7),0.523614 # DEPENDENCYPART_ARC
(4,8),-0.736942 # DEPENDENCYPART_ARC
(4,9),-0.0760742 # DEPENDENCYPART_ARC
(4,10),-0.347503 # DEPENDENCYPART_ARC
(4,11),-1.81145 # DEPENDENCYPART_ARC
(4,12),-2.56338 # DEPENDENCYPART_ARC
(4,13),-1.36475 # DEPENDENCYPART_ARC
(4,14),-1.1709 # DEPENDENCYPART_ARC
(4,15),-0.56482 # DEPENDENCYPART_ARC
(5,1),-1.5478 # DEPENDENCYPART_ARC
(5,2),-2.53108 # DEPENDENCYPART_ARC
(5,3),0.791456 # DEPENDENCYPART_ARC
(5,4),-0.704543 # DEPENDENCYPART_ARC
(5,6),-0.146352 # DEPENDENCYPART_ARC
(5,7),-1.04405 # DEPENDENCYPART_ARC
(5,8),-1.2028 # DEPENDENCYPART_ARC
(5,9),-0.689712 # DEPENDENCYPART_ARC
(5,10),-2.85383 # DEPENDENCYPART_ARC
(5,11),-2.5498 # DEPENDENCYPART_ARC
(5,12),-2.22696 # DEPENDENCYPART_ARC
(5,13),-2.34132 # DEPENDENCYPART_ARC
(5,14),-1.67825 # DEPENDENCYPART_ARC
(5,15),-1.17886 # DEPENDENCYPART_ARC
(6,1),0.0218761 # DEPENDENCYPART_ARC
(6,2),0.228561 # DEPENDENCYPART_ARC
(6,3),0.283429 # DEPENDENCYPART_ARC
(6,4),0.214059 # DEPENDENCYPART_ARC
(6,5),0.46957 # DEPENDENCYPART_ARC
(6,7),0.0206256 # DEPENDENCYPART_ARC
(6,8),0.125373 # DEPENDENCYPART_ARC
(6,9),0.391424 # DEPENDENCYPART_ARC
(6,10),-0.286653 # DEPENDENCYPART_ARC
(6,11),-1.30585 # DEPENDENCYPART_ARC
(6,12),-1.30958 # DEPENDENCYPART_ARC
(6,13),-1.31941 # DEPENDENCYPART_ARC
(6,14),-1.35252 # DEPENDENCYPART_ARC
(6,15),-0.600508 # DEPENDENCYPART_ARC
(7,1),-1.01842 # DEPENDENCYPART_ARC
(7,2),-1.77381 # DEPENDENCYPART_ARC
(7,3),-1.31315 # DEPENDENCYPART_ARC
(7,4),-2.17337 # DEPENDENCYPART_ARC
(7,5),-0.385454 # DEPENDENCYPART_ARC
(7,6),0.328411 # DEPENDENCYPART_ARC
(7,8),3.40688 # DEPENDENCYPART_ARC
(7,9),0.881134 # DEPENDENCYPART_ARC
(7,10),-1.31543 # DEPENDENCYPART_ARC
(7,11),-0.949727 # DEPENDENCYPART_ARC
(7,12),-1.54905 # DEPENDENCYPART_ARC
(7,13),-1.66444 # DEPENDENCYPART_ARC
(7,14),-3.52863 # DEPENDENCYPART_ARC
(7,15),-0.403326 # DEPENDENCYPART_ARC
(8,1),-1.68778 # DEPENDENCYPART_ARC
(8,2),-1.50548 # DEPENDENCYPART_ARC
(8,3),-1.86231 # DEPENDENCYPART_ARC
(8,4),-2.77848 # DEPENDENCYPART_ARC
(8,5),-0.947573 # DEPENDENCYPART_ARC
(8,6),-0.278754 # DEPENDENCYPART_ARC
(8,7),0.142376 # DEPENDENCYPART_ARC
(8,9),0.145776 # DEPENDENCYPART_ARC
(8,10),-0.164225 # DEPENDENCYPART_ARC
(8,11),-1.30984 # DEPENDENCYPART_ARC
(8,12),-1.47373 # DEPENDENCYPART_ARC
(8,13),-1.52738 # DEPENDENCYPART_ARC
(8,14),-0.805955 # DEPENDENCYPART_ARC
(8,15),-0.857601 # DEPENDENCYPART_ARC
(9,1),-0.587407 # DEPENDENCYPART_ARC
(9,2),-0.150226 # DEPENDENCYPART_ARC
(9,3),-0.550884 # DEPENDENCYPART_ARC
(9,4),-0.214312 # DEPENDENCYPART_ARC
(9,5),-0.650337 # DEPENDENCYPART_ARC
(9,6),0.100055 # DEPENDENCYPART_ARC
(9,7),0.0618857 # DEPENDENCYPART_ARC
(9,8),0.194709 # DEPENDENCYPART_ARC
(9,10),-0.0204131 # DEPENDENCYPART_ARC
(9,11),-1.18934 # DEPENDENCYPART_ARC
(9,12),-0.504587 # DEPENDENCYPART_ARC
(9,13),-1.41343 # DEPENDENCYPART_ARC
(9,14),-0.804939 # DEPENDENCYPART_ARC
(9,15),-0.523213 # DEPENDENCYPART_ARC
(10,1),1.23795 # DEPENDENCYPART_ARC
(10,2),-0.956777 # DEPENDENCYPART_ARC
(10,3),-2.22017 # DEPENDENCYPART_ARC
(10,4),-2.17761 # DEPENDENCYPART_ARC
(10,5),-3.26503 # DEPENDENCYPART_ARC
(10,6),1.03759 # DEPENDENCYPART_ARC
(10,7),1.17991 # DEPENDENCYPART_ARC
(10,8),0.0267308 # DEPENDENCYPART_ARC
(10,9),1.4448 # DEPENDENCYPART_ARC
(10,11),-1.3841 # DEPENDENCYPART_ARC
(10,12),2.52329 # DEPENDENCYPART_ARC
(10,13),-1.99492 # DEPENDENCYPART_ARC
(10,14),-0.817222 # DEPENDENCYPART_ARC
(10,15),0.658419 # DEPENDENCYPART_ARC
(11,1),-1.65182 # DEPENDENCYPART_ARC
(11,2),-2.00679 # DEPENDENCYPART_ARC
(11,3),-2.25205 # DEPENDENCYPART_ARC
(11,4),-2.79403 # DEPENDENCYPART_ARC
