# _root_ Τα τελευταία χρόνια , η δημιουργία Συνεδριακού Κέντρου , δυναμικότητας 1000 συνέδρων έδωσε σημαντική ώθηση στην τουριστική ανάπτυξη της περιοχής .
#goldHeads=3,3,13,13,6,13,8,6,13,8,12,10,0,15,13,13,18,16,20,18,0,
#predictedHeads=3,3,4,13,6,13,8,6,13,8,12,10,0,15,13,13,18,16,20,18,0,
(0,1),-0.497541 # DEPENDENCYPART_ARC
(0,2),-0.33712 # DEPENDENCYPART_ARC
(0,3),-0.202371 # DEPENDENCYPART_ARC
(0,4),-0.134448 # DEPENDENCYPART_ARC
(0,5),-1.19789 # DEPENDENCYPART_ARC
(0,6),-0.996585 # DEPENDENCYPART_ARC
(0,7),-1.16248 # DEPENDENCYPART_ARC
(0,8),-1.31421 # DEPENDENCYPART_ARC
(0,9),0.0689676 # DEPENDENCYPART_ARC
(0,10),-0.881317 # DEPENDENCYPART_ARC
(0,11),-0.783614 # DEPENDENCYPART_ARC
(0,12),-1.36613 # DEPENDENCYPART_ARC
(0,13),1.34527 # DEPENDENCYPART_ARC
(0,14),-1.16065 # DEPENDENCYPART_ARC
(0,15),-1.78582 # DEPENDENCYPART_ARC
(0,16),-1.08588 # DEPENDENCYPART_ARC
(0,17),-1.23916 # DEPENDENCYPART_ARC
(0,18),-1.94253 # DEPENDENCYPART_ARC
(0,19),-2.07903 # DEPENDENCYPART_ARC
(0,20),-2.41055 # DEPENDENCYPART_ARC
(0,21),3.75763 # DEPENDENCYPART_ARC
(1,2),-0.569601 # DEPENDENCYPART_ARC
(1,3),-0.40975 # DEPENDENCYPART_ARC
(1,4),-0.239135 # DEPENDENCYPART_ARC
(1,5),-1.28557 # DEPENDENCYPART_ARC
(1,6),-1.38879 # DEPENDENCYPART_ARC
(1,7),-2.04947 # DEPENDENCYPART_ARC
(1,8),-1.20445 # DEPENDENCYPART_ARC
(1,9),-0.546157 # DEPENDENCYPART_ARC
(1,10),-1.41871 # DEPENDENCYPART_ARC
(1,11),-0.918573 # DEPENDENCYPART_ARC
(1,12),-1.6603 # DEPENDENCYPART_ARC
(1,13),-2.62092 # DEPENDENCYPART_ARC
(1,14),-2.22963 # DEPENDENCYPART_ARC
(1,15),-2.18015 # DEPENDENCYPART_ARC
(1,16),-1.73831 # DEPENDENCYPART_ARC
(1,17),-2.34449 # DEPENDENCYPART_ARC
(1,18),-2.23637 # DEPENDENCYPART_ARC
(1,19),-1.91991 # DEPENDENCYPART_ARC
(1,20),-2.03263 # DEPENDENCYPART_ARC
(1,21),-1.26789 # DEPENDENCYPART_ARC
(2,1),1.8679 # DEPENDENCYPART_ARC
