# _root_ Χάρη στο Κοινοβούλιο , η οδηγία θα μπορέσει τελικά να καλύψει όλους τους οδηγούς όλων των κατηγοριών , αυτοαπασχολούμενους και μη .
#goldHeads=8,1,2,8,6,8,8,0,8,11,8,14,14,18,17,17,14,11,20,18,20,0,
#predictedHeads=8,1,2,8,6,8,8,0,8,11,8,14,14,11,17,17,20,20,20,14,20,0,
(0,1),-0.612131 # DEPENDENCYPART_ARC
(0,2),-0.908254 # DEPENDENCYPART_ARC
(0,3),0.0157206 # DEPENDENCYPART_ARC
(0,4),-0.214691 # DEPENDENCYPART_ARC
(0,6),-0.64688 # DEPENDENCYPART_ARC
(0,8),-0.00412115 # DEPENDENCYPART_ARC
(0,9),-1.05886 # DEPENDENCYPART_ARC
(0,11),-0.552185 # DEPENDENCYPART_ARC
(0,12),-1.6103 # DEPENDENCYPART_ARC
(0,14),-1.51227 # DEPENDENCYPART_ARC
(0,15),-1.32526 # DEPENDENCYPART_ARC
(0,17),-1.80761 # DEPENDENCYPART_ARC
(0,18),-0.448075 # DEPENDENCYPART_ARC
(0,19),-1.8461 # DEPENDENCYPART_ARC
(0,20),-0.845017 # DEPENDENCYPART_ARC
(0,22),3.21269 # DEPENDENCYPART_ARC
(1,2),1.16385 # DEPENDENCYPART_ARC
(1,3),0.571265 # DEPENDENCYPART_ARC
(1,4),0.350781 # DEPENDENCYPART_ARC
(1,5),-0.962604 # DEPENDENCYPART_ARC
(1,6),-0.732797 # DEPENDENCYPART_ARC
(1,7),-0.744561 # DEPENDENCYPART_ARC
(1,8),-0.777073 # DEPENDENCYPART_ARC
(1,9),-1.10793 # DEPENDENCYPART_ARC
(1,11),-1.30792 # DEPENDENCYPART_ARC
(1,12),-1.75477 # DEPENDENCYPART_ARC
(1,13),-1.85931 # DEPENDENCYPART_ARC
(1,14),-2.65464 # DEPENDENCYPART_ARC
(1,15),-1.48432 # DEPENDENCYPART_ARC
(1,16),-1.6922 # DEPENDENCYPART_ARC
(1,17),-2.27554 # DEPENDENCYPART_ARC
(1,18),-0.820421 # DEPENDENCYPART_ARC
