# _root_ Πρότεινα να ξεκινήσει ο Πρόεδρός μας , παράλληλα με τις εργασίες της Συνέλευσης και σε συνεργασία με τα εθνικά κοινοβούλια , εκστρατεία με θέμα " Ας μιλήσουμε ανοιχτά " .
#goldHeads=0,3,1,5,3,5,14,14,8,11,9,13,11,3,14,15,16,20,20,17,14,3,22,23,27,27,24,27,27,0,
#predictedHeads=0,3,1,5,3,5,8,3,8,11,9,13,11,11,14,15,16,20,20,17,17,17,22,23,22,27,22,27,27,0,
(0,1),0.898595 # DEPENDENCYPART_ARC
(0,2),-1.18766 # DEPENDENCYPART_ARC
(0,3),-0.78038 # DEPENDENCYPART_ARC
(0,4),-1.83095 # DEPENDENCYPART_ARC
(0,5),-1.74539 # DEPENDENCYPART_ARC
(0,6),-1.69694 # DEPENDENCYPART_ARC
(0,7),-0.0819969 # DEPENDENCYPART_ARC
(0,8),-1.28353 # DEPENDENCYPART_ARC
(0,9),-2.11806 # DEPENDENCYPART_ARC
(0,10),-1.72084 # DEPENDENCYPART_ARC
(0,11),-1.59235 # DEPENDENCYPART_ARC
(0,12),-2.05167 # DEPENDENCYPART_ARC
(0,13),-2.13069 # DEPENDENCYPART_ARC
(0,14),-0.786578 # DEPENDENCYPART_ARC
(0,15),-2.2304 # DEPENDENCYPART_ARC
(0,16),-1.90621 # DEPENDENCYPART_ARC
(0,17),-2.16213 # DEPENDENCYPART_ARC
(0,18),-2.01608 # DEPENDENCYPART_ARC
(0,19),-1.87021 # DEPENDENCYPART_ARC
(0,20),-1.90085 # DEPENDENCYPART_ARC
(0,21),-1.05039 # DEPENDENCYPART_ARC
(0,22),-1.79998 # DEPENDENCYPART_ARC
(0,23),-2.53599 # DEPENDENCYPART_ARC
(0,24),-1.87738 # DEPENDENCYPART_ARC
(0,25),-0.981376 # DEPENDENCYPART_ARC
(0,26),-1.84445 # DEPENDENCYPART_ARC
(0,27),-1.9667 # DEPENDENCYPART_ARC
(0,28),-1.3819 # DEPENDENCYPART_ARC
(0,29),-1.29662 # DEPENDENCYPART_ARC
(0,30),3.69948 # DEPENDENCYPART_ARC
(1,2),1.15481 # DEPENDENCYPART_ARC
(1,3),3.35416 # DEPENDENCYPART_ARC
(1,4),-2.26491 # DEPENDENCYPART_ARC
(1,5),0.525158 # DEPENDENCYPART_ARC
(1,6),-2.33636 # DEPENDENCYPART_ARC
(1,7),0.569967 # DEPENDENCYPART_ARC
(1,8),0.49959 # DEPENDENCYPART_ARC
(1,9),-0.023599 # DEPENDENCYPART_ARC
(1,10),-1.93831 # DEPENDENCYPART_ARC
(1,11),-1.97294 # DEPENDENCYPART_ARC
(1,12),-2.44652 # DEPENDENCYPART_ARC
(1,13),-3.34529 # DEPENDENCYPART_ARC
(1,14),0.272693 # DEPENDENCYPART_ARC
(1,15),-0.386335 # DEPENDENCYPART_ARC
(1,16),-2.5543 # DEPENDENCYPART_ARC
(1,17),-0.498449 # DEPENDENCYPART_ARC
(1,18),-2.39794 # DEPENDENCYPART_ARC
(1,19),-2.67389 # DEPENDENCYPART_ARC
(1,20),-4.05127 # DEPENDENCYPART_ARC
(1,21),-0.135323 # DEPENDENCYPART_ARC
(1,22),-3.51836 # DEPENDENCYPART_ARC
(1,23),-0.760571 # DEPENDENCYPART_ARC
(1,24),-4.52512 # DEPENDENCYPART_ARC
(1,25),0.245268 # DEPENDENCYPART_ARC
(1,26),-0.5962 # DEPENDENCYPART_ARC
(1,27),-2.12423 # DEPENDENCYPART_ARC
(1,28),-0.587247 # DEPENDENCYPART_ARC
(1,29),0.217395 # DEPENDENCYPART_ARC
