# _root_ Μιλώντας στην 46η επέτειο από την εξέγερση των κατοίκων του Θιβέτ , ο Δαλάι Λάμα είπε ότι η εικόνα της Κίνας δέχεται πλήγματα από αντιδημοκρατικές συμπεριφορές , καταπάτηση των ανθρωπίνων δικαιωμάτων και ανισότητες στον τρόπο μεταχείρισης των μειονοτήτων .
#goldHeads=16,1,4,2,4,7,5,9,7,11,9,16,15,15,16,0,16,19,22,21,19,17,22,23,26,32,32,32,31,31,28,24,32,33,34,35,38,36,0,
#predictedHeads=16,1,4,2,1,7,5,9,7,11,9,16,15,15,16,0,16,19,22,21,19,17,22,22,26,24,32,32,31,31,32,24,32,28,34,35,38,36,0,
(0,1),-0.88142 # DEPENDENCYPART_ARC
(0,2),-1.60642 # DEPENDENCYPART_ARC
(0,3),-1.20966 # DEPENDENCYPART_ARC
(0,4),-1.14827 # DEPENDENCYPART_ARC
(0,5),-1.30208 # DEPENDENCYPART_ARC
(0,7),-1.67803 # DEPENDENCYPART_ARC
(0,9),-2.35359 # DEPENDENCYPART_ARC
(0,11),-1.82476 # DEPENDENCYPART_ARC
(0,12),-1.0597 # DEPENDENCYPART_ARC
(0,14),-1.66255 # DEPENDENCYPART_ARC
(0,15),-1.89826 # DEPENDENCYPART_ARC
(0,16),1.1378 # DEPENDENCYPART_ARC
(0,17),-2.82933 # DEPENDENCYPART_ARC
(0,19),-2.03441 # DEPENDENCYPART_ARC
(0,21),-2.55189 # DEPENDENCYPART_ARC
(0,22),0.107543 # DEPENDENCYPART_ARC
(0,23),-2.38313 # DEPENDENCYPART_ARC
(0,24),-1.55737 # DEPENDENCYPART_ARC
(0,25),-1.78153 # DEPENDENCYPART_ARC
(0,26),-2.13936 # DEPENDENCYPART_ARC
(0,27),-1.72631 # DEPENDENCYPART_ARC
(0,28),-1.93759 # DEPENDENCYPART_ARC
(0,30),-2.49716 # DEPENDENCYPART_ARC
(0,31),-3.05897 # DEPENDENCYPART_ARC
(0,32),-1.75816 # DEPENDENCYPART_ARC
(0,33),-2.66424 # DEPENDENCYPART_ARC
(0,34),-2.7231 # DEPENDENCYPART_ARC
(0,35),-2.76816 # DEPENDENCYPART_ARC
(0,36),-2.87035 # DEPENDENCYPART_ARC
(0,38),-2.87513 # DEPENDENCYPART_ARC
(0,39),5.00549 # DEPENDENCYPART_ARC
(1,2),2.6937 # DEPENDENCYPART_ARC
(1,3),0.64569 # DEPENDENCYPART_ARC
(1,4),1.64927 # DEPENDENCYPART_ARC
(1,5),0.875503 # DEPENDENCYPART_ARC
(1,6),-1.28955 # DEPENDENCYPART_ARC
(1,7),-0.593434 # DEPENDENCYPART_ARC
(1,8),-2.28037 # DEPENDENCYPART_ARC
(1,9),-3.80865 # DEPENDENCYPART_ARC
(1,10),-3.01572 # DEPENDENCYPART_ARC
(1,11),-0.533062 # DEPENDENCYPART_ARC
(1,12),0.473041 # DEPENDENCYPART_ARC
(1,13),-3.18519 # DEPENDENCYPART_ARC
(1,14),-0.0532687 # DEPENDENCYPART_ARC
(1,15),-1.89753 # DEPENDENCYPART_ARC
(1,16),-4.67094 # DEPENDENCYPART_ARC
(1,17),-1.33394 # DEPENDENCYPART_ARC
(1,18),-3.55533 # DEPENDENCYPART_ARC
(1,19),-3.52952 # DEPENDENCYPART_ARC
(1,20),-3.49135 # DEPENDENCYPART_ARC
(1,21),-5.78556 # DEPENDENCYPART_ARC
(1,22),-6.44672 # DEPENDENCYPART_ARC
(1,23),-3.13404 # DEPENDENCYPART_ARC
(1,24),-0.880004 # DEPENDENCYPART_ARC
(1,25),-4.5755 # DEPENDENCYPART_ARC
(1,26),-4.21049 # DEPENDENCYPART_ARC
(1,27),-0.655613 # DEPENDENCYPART_ARC
(1,28),-4.46853 # DEPENDENCYPART_ARC
(1,29),-3.66593 # DEPENDENCYPART_ARC
(1,30),-5.743 # DEPENDENCYPART_ARC
(1,31),-7.27171 # DEPENDENCYPART_ARC
(1,32),-1.04245 # DEPENDENCYPART_ARC
(1,33),-5.48114 # DEPENDENCYPART_ARC
(1,34),-3.74045 # DEPENDENCYPART_ARC
(1,35),-6.75505 # DEPENDENCYPART_ARC
(1,36),-8.46267 # DEPENDENCYPART_ARC
(1,37),-3.51262 # DEPENDENCYPART_ARC
(1,38),-8.69916 # DEPENDENCYPART_ARC
(1,39),-0.521917 # DEPENDENCYPART_ARC
(2,1),-1.00707 # DEPENDENCYPART_ARC
(2,3),1.17166 # DEPENDENCYPART_ARC
(2,4),2.74607 # DEPENDENCYPART_ARC
(2,5),-0.303818 # DEPENDENCYPART_ARC
(2,7),0.457952 # DEPENDENCYPART_ARC
(2,9),-2.7415 # DEPENDENCYPART_ARC
(2,11),-1.25941 # DEPENDENCYPART_ARC
(2,12),-0.454659 # DEPENDENCYPART_ARC
(2,14),-0.900943 # DEPENDENCYPART_ARC
(2,15),-2.91828 # DEPENDENCYPART_ARC
(2,16),-2.96604 # DEPENDENCYPART_ARC
(2,17),-1.78647 # DEPENDENCYPART_ARC
(2,19),-5.69547 # DEPENDENCYPART_ARC
(2,21),-6.55395 # DEPENDENCYPART_ARC
(2,22),-4.37385 # DEPENDENCYPART_ARC
(2,23),-7.66587 # DEPENDENCYPART_ARC
(2,24),-2.08089 # DEPENDENCYPART_ARC
(2,25),-2.77606 # DEPENDENCYPART_ARC
(2,26),-7.79124 # DEPENDENCYPART_ARC
(2,27),-2.0652 # DEPENDENCYPART_ARC
(2,28),-8.30117 # DEPENDENCYPART_ARC
(2,30),-3.21799 # DEPENDENCYPART_ARC
(2,31),-10.9703 # DEPENDENCYPART_ARC
(2,32),-2.94094 # DEPENDENCYPART_ARC
(2,33),-11.4308 # DEPENDENCYPART_ARC
(2,35),-10.9276 # DEPENDENCYPART_ARC
(2,36),-12.2923 # DEPENDENCYPART_ARC
(2,38),-13.6048 # DEPENDENCYPART_ARC
(2,39),-2.7111 # DEPENDENCYPART_ARC
(3,1),-0.854106 # DEPENDENCYPART_ARC
(3,4),0.560227 # DEPENDENCYPART_ARC
(3,5),-0.189903 # DEPENDENCYPART_ARC
(3,6),-0.507854 # DEPENDENCYPART_ARC
(3,7),-0.299193 # DEPENDENCYPART_ARC
(3,8),-0.847101 # DEPENDENCYPART_ARC
(3,9),-0.774357 # DEPENDENCYPART_ARC
(3,10),-0.996383 # DEPENDENCYPART_ARC
(3,12),-0.699691 # DEPENDENCYPART_ARC
(3,13),-1.00355 # DEPENDENCYPART_ARC
(3,14),-0.445668 # DEPENDENCYPART_ARC
(3,15),-0.841447 # DEPENDENCYPART_ARC
(3,16),-1.21374 # DEPENDENCYPART_ARC
(3,18),-1.53356 # DEPENDENCYPART_ARC
(3,19),-1.41286 # DEPENDENCYPART_ARC
(3,20),-1.63179 # DEPENDENCYPART_ARC
(3,21),-1.18047 # DEPENDENCYPART_ARC
(3,22),-1.74262 # DEPENDENCYPART_ARC
(3,23),-1.46979 # DEPENDENCYPART_ARC
(3,24),-1.73414 # DEPENDENCYPART_ARC
(3,25),-1.94448 # DEPENDENCYPART_ARC
(3,26),-1.42575 # DEPENDENCYPART_ARC
(3,27),-1.9939 # DEPENDENCYPART_ARC
(3,28),-1.61277 # DEPENDENCYPART_ARC
(3,29),-1.97003 # DEPENDENCYPART_ARC
(3,30),-2.02811 # DEPENDENCYPART_ARC
(3,31),-1.49477 # DEPENDENCYPART_ARC
(3,32),-1.38702 # DEPENDENCYPART_ARC
(3,33),-1.56987 # DEPENDENCYPART_ARC
(3,35),-1.82591 # DEPENDENCYPART_ARC
(3,36),-1.84052 # DEPENDENCYPART_ARC
(3,37),-2.19182 # DEPENDENCYPART_ARC
(3,38),-1.64875 # DEPENDENCYPART_ARC
(3,39),-2.28844 # DEPENDENCYPART_ARC
(4,1),-1.4038 # DEPENDENCYPART_ARC
(4,2),0.903267 # DEPENDENCYPART_ARC
(4,3),2.20647 # DEPENDENCYPART_ARC
(4,5),0.850333 # DEPENDENCYPART_ARC
(4,6),-0.123193 # DEPENDENCYPART_ARC
(4,7),-0.441531 # DEPENDENCYPART_ARC
(4,8),-0.546054 # DEPENDENCYPART_ARC
(4,9),0.308923 # DEPENDENCYPART_ARC
(4,10),-0.961906 # DEPENDENCYPART_ARC
(4,11),-0.487534 # DEPENDENCYPART_ARC
(4,12),-0.058443 # DEPENDENCYPART_ARC
(4,13),-1.29287 # DEPENDENCYPART_ARC
