# _root_ Το Κάστρο βρίσκεται πάνω σε ένα γιγαντιαίο βράχο , κρεμασμένο πάνω από το πέλαγος , με πανοραμική θέα και αποτελεί ένα φυσικό φρούριο .
#goldHeads=2,19,19,3,4,8,8,5,10,3,10,11,14,12,10,2,18,16,0,19,23,23,20,0,
#predictedHeads=2,3,0,3,4,8,8,5,3,8,10,11,14,12,16,10,18,16,16,19,23,23,20,0,
(0,1),-0.509505 # DEPENDENCYPART_ARC
(0,2),-0.781829 # DEPENDENCYPART_ARC
(0,3),1.47482 # DEPENDENCYPART_ARC
(0,4),-1.25042 # DEPENDENCYPART_ARC
(0,5),-1.49221 # DEPENDENCYPART_ARC
(0,6),-1.53886 # DEPENDENCYPART_ARC
(0,7),-1.66167 # DEPENDENCYPART_ARC
(0,8),-1.66471 # DEPENDENCYPART_ARC
(0,9),-0.529011 # DEPENDENCYPART_ARC
(0,10),-0.517746 # DEPENDENCYPART_ARC
(0,11),-1.25727 # DEPENDENCYPART_ARC
(0,12),-1.75455 # DEPENDENCYPART_ARC
(0,13),-1.8726 # DEPENDENCYPART_ARC
(0,14),-1.80825 # DEPENDENCYPART_ARC
(0,15),-0.494604 # DEPENDENCYPART_ARC
(0,16),-2.34205 # DEPENDENCYPART_ARC
(0,17),-1.44837 # DEPENDENCYPART_ARC
(0,18),-1.74395 # DEPENDENCYPART_ARC
(0,19),0.423942 # DEPENDENCYPART_ARC
(0,20),0.0209746 # DEPENDENCYPART_ARC
(0,21),-2.03395 # DEPENDENCYPART_ARC
(0,22),-2.14329 # DEPENDENCYPART_ARC
(0,23),-2.14196 # DEPENDENCYPART_ARC
(0,24),3.9032 # DEPENDENCYPART_ARC
(1,2),0.00409242 # DEPENDENCYPART_ARC
(1,3),-2.17845 # DEPENDENCYPART_ARC
(1,4),-0.768361 # DEPENDENCYPART_ARC
(1,5),-1.11011 # DEPENDENCYPART_ARC
(1,6),-1.77685 # DEPENDENCYPART_ARC
(1,7),-2.22613 # DEPENDENCYPART_ARC
(1,8),-2.08075 # DEPENDENCYPART_ARC
(1,9),-1.09553 # DEPENDENCYPART_ARC
