# _root_ Ο κ. Γιούνκερ εκτίμησε ωστόσο ότι στις συνομιλίες , που διήρκεσαν σχεδόν δέκα ώρες , επιτεύχθηκε πρόοδος .
#goldHeads=3,3,4,5,0,4,16,7,11,11,8,13,14,11,11,6,16,0,
#predictedHeads=3,3,4,0,4,4,4,7,11,11,6,11,14,11,16,6,16,0,
(0,2),-0.74699 # DEPENDENCYPART_ARC
(0,3),-0.736727 # DEPENDENCYPART_ARC
(0,4),1.21895 # DEPENDENCYPART_ARC
(0,5),-0.029932 # DEPENDENCYPART_ARC
(0,6),-1.14765 # DEPENDENCYPART_ARC
(0,7),-1.78046 # DEPENDENCYPART_ARC
(0,8),-1.15972 # DEPENDENCYPART_ARC
(0,9),-0.709798 # DEPENDENCYPART_ARC
(0,11),-0.781645 # DEPENDENCYPART_ARC
(0,12),-1.23607 # DEPENDENCYPART_ARC
(0,14),-0.933015 # DEPENDENCYPART_ARC
(0,15),-0.926887 # DEPENDENCYPART_ARC
(0,16),-0.167102 # DEPENDENCYPART_ARC
(0,17),-1.27947 # DEPENDENCYPART_ARC
(0,18),2.75926 # DEPENDENCYPART_ARC
(1,3),-0.192213 # DEPENDENCYPART_ARC
(1,5),-0.540106 # DEPENDENCYPART_ARC
(1,8),-2.44319 # DEPENDENCYPART_ARC
(1,12),-1.16783 # DEPENDENCYPART_ARC
(1,14),-2.62821 # DEPENDENCYPART_ARC
(1,17),-2.64281 # DEPENDENCYPART_ARC
(2,1),1.29607 # DEPENDENCYPART_ARC
(2,3),0.800047 # DEPENDENCYPART_ARC
(2,4),-0.267287 # DEPENDENCYPART_ARC
(2,5),-0.531326 # DEPENDENCYPART_ARC
(2,8),-1.34344 # DEPENDENCYPART_ARC
(2,9),-0.783775 # DEPENDENCYPART_ARC
(2,11),-1.53716 # DEPENDENCYPART_ARC
(2,13),-1.35647 # DEPENDENCYPART_ARC
(2,14),-1.59746 # DEPENDENCYPART_ARC
(2,15),-1.09965 # DEPENDENCYPART_ARC
(2,16),-1.70398 # DEPENDENCYPART_ARC
(2,17),-1.66591 # DEPENDENCYPART_ARC
(2,18),-1.04568 # DEPENDENCYPART_ARC
(3,1),2.98649 # DEPENDENCYPART_ARC
(3,2),1.75991 # DEPENDENCYPART_ARC
(3,4),-0.635257 # DEPENDENCYPART_ARC
(3,5),-0.567181 # DEPENDENCYPART_ARC
(3,6),-0.50277 # DEPENDENCYPART_ARC
(3,7),-2.32815 # DEPENDENCYPART_ARC
(3,8),-2.16812 # DEPENDENCYPART_ARC
(3,9),-1.1906 # DEPENDENCYPART_ARC
(3,10),-3.45744 # DEPENDENCYPART_ARC
(3,11),-2.66524 # DEPENDENCYPART_ARC
(3,12),-1.92512 # DEPENDENCYPART_ARC
(3,13),-2.80258 # DEPENDENCYPART_ARC
(3,14),-3.20153 # DEPENDENCYPART_ARC
(3,15),-1.50694 # DEPENDENCYPART_ARC
(3,16),-3.38891 # DEPENDENCYPART_ARC
(3,17),-3.28447 # DEPENDENCYPART_ARC
(3,18),-1.22152 # DEPENDENCYPART_ARC
(4,1),-1.24221 # DEPENDENCYPART_ARC
(4,2),0.416538 # DEPENDENCYPART_ARC
(4,3),2.13503 # DEPENDENCYPART_ARC
(4,5),1.33154 # DEPENDENCYPART_ARC
(4,6),1.38532 # DEPENDENCYPART_ARC
(4,7),1.19819 # DEPENDENCYPART_ARC
(4,8),-0.953149 # DEPENDENCYPART_ARC
(4,9),0.381548 # DEPENDENCYPART_ARC
(4,10),-2.7879 # DEPENDENCYPART_ARC
(4,11),-3.3845 # DEPENDENCYPART_ARC
(4,12),-0.907868 # DEPENDENCYPART_ARC
(4,13),-2.9312 # DEPENDENCYPART_ARC
(4,14),-2.38663 # DEPENDENCYPART_ARC
(4,15),0.0698633 # DEPENDENCYPART_ARC
(4,16),-4.09773 # DEPENDENCYPART_ARC
(4,17),-1.79634 # DEPENDENCYPART_ARC
(4,18),-0.0920567 # DEPENDENCYPART_ARC
(5,1),0.0773283 # DEPENDENCYPART_ARC
(5,2),0.115309 # DEPENDENCYPART_ARC
(5,3),0.264561 # DEPENDENCYPART_ARC
(5,4),1.78539 # DEPENDENCYPART_ARC
(5,6),0.336951 # DEPENDENCYPART_ARC
(5,7),-0.127397 # DEPENDENCYPART_ARC
(5,8),-0.472469 # DEPENDENCYPART_ARC
(5,9),0.0432722 # DEPENDENCYPART_ARC
(5,10),-1.15612 # DEPENDENCYPART_ARC
(5,11),0.707359 # DEPENDENCYPART_ARC
(5,12),-0.962215 # DEPENDENCYPART_ARC
(5,13),-1.18203 # DEPENDENCYPART_ARC
(5,14),-2.13056 # DEPENDENCYPART_ARC
(5,15),-0.150142 # DEPENDENCYPART_ARC
(5,16),-0.433831 # DEPENDENCYPART_ARC
(5,17),-2.54755 # DEPENDENCYPART_ARC
(5,18),-0.735128 # DEPENDENCYPART_ARC
(6,1),-1.41734 # DEPENDENCYPART_ARC
(6,4),-0.788858 # DEPENDENCYPART_ARC
(6,5),-0.0225207 # DEPENDENCYPART_ARC
