# _root_ Περίπου 4.000 άνθρωποι συγκεντρώθηκαν έξω από την αμερικανική πρεσβεία στις Βρυξέλλες , φωνάζοντας αντιαμερικανικά συνθήματα και πετώντας μπουκάλια και αυγά στο κτίριο , όπου λίγο αργότερα ο Αμερικανός πρόεδρος φιλοξένησε τον Ζακ Σιράκ .
#goldHeads=3,3,4,0,4,5,9,9,6,9,10,4,16,15,13,4,16,19,17,19,17,21,30,30,26,30,29,29,30,22,33,33,30,0,
#predictedHeads=4,3,4,16,4,4,9,9,6,9,10,13,16,15,13,0,16,19,17,19,20,21,30,30,26,17,29,29,30,25,33,33,30,0,
(0,1),-0.214205 # DEPENDENCYPART_ARC
(0,2),-0.306557 # DEPENDENCYPART_ARC
(0,3),-0.168376 # DEPENDENCYPART_ARC
(0,4),1.32562 # DEPENDENCYPART_ARC
(0,5),-1.07571 # DEPENDENCYPART_ARC
(0,6),-1.24974 # DEPENDENCYPART_ARC
(0,7),-1.33919 # DEPENDENCYPART_ARC
(0,8),-0.9348 # DEPENDENCYPART_ARC
(0,9),-1.43575 # DEPENDENCYPART_ARC
(0,10),-1.22592 # DEPENDENCYPART_ARC
(0,11),-1.16256 # DEPENDENCYPART_ARC
(0,12),-0.712082 # DEPENDENCYPART_ARC
(0,13),-0.524794 # DEPENDENCYPART_ARC
(0,14),-1.26846 # DEPENDENCYPART_ARC
(0,15),-1.44591 # DEPENDENCYPART_ARC
(0,16),0.406394 # DEPENDENCYPART_ARC
(0,17),-1.60234 # DEPENDENCYPART_ARC
(0,18),-1.53312 # DEPENDENCYPART_ARC
(0,19),-0.385351 # DEPENDENCYPART_ARC
(0,20),-1.69065 # DEPENDENCYPART_ARC
(0,21),-1.94828 # DEPENDENCYPART_ARC
(0,22),-1.61659 # DEPENDENCYPART_ARC
(0,23),-1.44779 # DEPENDENCYPART_ARC
(0,24),-0.759588 # DEPENDENCYPART_ARC
(0,25),-0.607965 # DEPENDENCYPART_ARC
(0,26),-0.278113 # DEPENDENCYPART_ARC
(0,27),-2.25432 # DEPENDENCYPART_ARC
(0,28),-2.1846 # DEPENDENCYPART_ARC
(0,29),-2.19709 # DEPENDENCYPART_ARC
(0,30),-0.349461 # DEPENDENCYPART_ARC
(0,31),-2.40781 # DEPENDENCYPART_ARC
(0,32),-1.54102 # DEPENDENCYPART_ARC
(0,33),-1.40658 # DEPENDENCYPART_ARC
(0,34),4.24357 # DEPENDENCYPART_ARC
(1,2),0.457268 # DEPENDENCYPART_ARC
(1,3),0.306444 # DEPENDENCYPART_ARC
(1,4),0.42439 # DEPENDENCYPART_ARC
(1,5),-0.792338 # DEPENDENCYPART_ARC
(1,6),-0.327072 # DEPENDENCYPART_ARC
(1,7),-1.58838 # DEPENDENCYPART_ARC
(1,8),-1.63947 # DEPENDENCYPART_ARC
(1,9),-1.77794 # DEPENDENCYPART_ARC
(1,10),-0.597925 # DEPENDENCYPART_ARC
(1,11),-2.09082 # DEPENDENCYPART_ARC
(1,12),-0.490492 # DEPENDENCYPART_ARC
(1,13),-1.49555 # DEPENDENCYPART_ARC
(1,14),-1.39928 # DEPENDENCYPART_ARC
(1,15),-2.25436 # DEPENDENCYPART_ARC
(1,16),-0.814314 # DEPENDENCYPART_ARC
(1,17),-1.74748 # DEPENDENCYPART_ARC
(1,18),-2.49461 # DEPENDENCYPART_ARC
(1,19),-0.958832 # DEPENDENCYPART_ARC
(1,20),-2.56168 # DEPENDENCYPART_ARC
(1,21),-1.46391 # DEPENDENCYPART_ARC
(1,22),-2.66006 # DEPENDENCYPART_ARC
(1,23),-1.1026 # DEPENDENCYPART_ARC
(1,24),-1.51713 # DEPENDENCYPART_ARC
(1,25),-1.44403 # DEPENDENCYPART_ARC
(1,26),-1.4822 # DEPENDENCYPART_ARC
(1,27),-1.99187 # DEPENDENCYPART_ARC
(1,28),-3.21751 # DEPENDENCYPART_ARC
(1,29),-3.49959 # DEPENDENCYPART_ARC
(1,30),-1.62639 # DEPENDENCYPART_ARC
(1,31),-2.01637 # DEPENDENCYPART_ARC
(1,32),-1.57634 # DEPENDENCYPART_ARC
(1,33),-1.63752 # DEPENDENCYPART_ARC
(1,34),-1.53116 # DEPENDENCYPART_ARC
(2,1),1.22625 # DEPENDENCYPART_ARC
(2,3),0.621785 # DEPENDENCYPART_ARC
(2,4),-0.071585 # DEPENDENCYPART_ARC
(2,5),-0.343936 # DEPENDENCYPART_ARC
(2,6),-0.676913 # DEPENDENCYPART_ARC
(2,7),-1.14105 # DEPENDENCYPART_ARC
(2,8),-1.30373 # DEPENDENCYPART_ARC
(2,9),-1.16646 # DEPENDENCYPART_ARC
(2,10),-1.00133 # DEPENDENCYPART_ARC
(2,11),-1.30537 # DEPENDENCYPART_ARC
(2,12),-0.721062 # DEPENDENCYPART_ARC
(2,13),-1.48228 # DEPENDENCYPART_ARC
(2,14),-1.53856 # DEPENDENCYPART_ARC
(2,15),-1.41229 # DEPENDENCYPART_ARC
(2,16),-0.797614 # DEPENDENCYPART_ARC
(2,17),-1.49472 # DEPENDENCYPART_ARC
(2,18),-1.68311 # DEPENDENCYPART_ARC
(2,19),-0.936908 # DEPENDENCYPART_ARC
(2,20),-1.55805 # DEPENDENCYPART_ARC
(2,21),-1.39614 # DEPENDENCYPART_ARC
(2,22),-1.73129 # DEPENDENCYPART_ARC
(2,23),-1.40671 # DEPENDENCYPART_ARC
(2,24),-1.11325 # DEPENDENCYPART_ARC
(2,25),-1.1491 # DEPENDENCYPART_ARC
(2,26),-1.0955 # DEPENDENCYPART_ARC
(2,27),-1.78264 # DEPENDENCYPART_ARC
(2,28),-1.69984 # DEPENDENCYPART_ARC
(2,29),-1.71021 # DEPENDENCYPART_ARC
(2,30),-2.16273 # DEPENDENCYPART_ARC
(2,31),-1.74469 # DEPENDENCYPART_ARC
(2,32),-1.14296 # DEPENDENCYPART_ARC
(2,33),-1.37827 # DEPENDENCYPART_ARC
(2,34),-1.59116 # DEPENDENCYPART_ARC
(3,1),1.03629 # DEPENDENCYPART_ARC
(3,2),2.22092 # DEPENDENCYPART_ARC
(3,4),0.112939 # DEPENDENCYPART_ARC
(3,5),-0.219338 # DEPENDENCYPART_ARC
(3,6),-1.09407 # DEPENDENCYPART_ARC
(3,7),-2.4844 # DEPENDENCYPART_ARC
(3,8),-1.86026 # DEPENDENCYPART_ARC
(3,9),-2.25894 # DEPENDENCYPART_ARC
(3,10),-1.82272 # DEPENDENCYPART_ARC
(3,11),-3.33353 # DEPENDENCYPART_ARC
(3,12),-0.731884 # DEPENDENCYPART_ARC
(3,13),-2.50019 # DEPENDENCYPART_ARC
(3,14),-2.37191 # DEPENDENCYPART_ARC
(3,15),-3.65944 # DEPENDENCYPART_ARC
(3,16),-1.14814 # DEPENDENCYPART_ARC
(3,17),-3.25543 # DEPENDENCYPART_ARC
(3,18),-4.33117 # DEPENDENCYPART_ARC
(3,19),-1.32781 # DEPENDENCYPART_ARC
(3,20),-4.99023 # DEPENDENCYPART_ARC
(3,21),-2.25241 # DEPENDENCYPART_ARC
(3,22),-4.77658 # DEPENDENCYPART_ARC
(3,23),-0.953323 # DEPENDENCYPART_ARC
(3,24),-1.93574 # DEPENDENCYPART_ARC
(3,25),-1.94682 # DEPENDENCYPART_ARC
(3,26),-2.233 # DEPENDENCYPART_ARC
(3,27),-3.34503 # DEPENDENCYPART_ARC
(3,28),-5.30646 # DEPENDENCYPART_ARC
(3,29),-5.55936 # DEPENDENCYPART_ARC
(3,30),-6.4011 # DEPENDENCYPART_ARC
(3,31),-3.49869 # DEPENDENCYPART_ARC
(3,32),-3.0896 # DEPENDENCYPART_ARC
(3,33),-3.03728 # DEPENDENCYPART_ARC
(3,34),-0.79634 # DEPENDENCYPART_ARC
(4,1),1.4686 # DEPENDENCYPART_ARC
(4,2),0.709452 # DEPENDENCYPART_ARC
(4,3),2.51671 # DEPENDENCYPART_ARC
(4,5),2.21388 # DEPENDENCYPART_ARC
(4,6),1.27667 # DEPENDENCYPART_ARC
(4,7),-1.47537 # DEPENDENCYPART_ARC
(4,8),-0.613095 # DEPENDENCYPART_ARC
(4,9),0.487144 # DEPENDENCYPART_ARC
(4,10),1.52918 # DEPENDENCYPART_ARC
(4,11),-1.66824 # DEPENDENCYPART_ARC
