# _root_ Η Παροικιά , στην δυτική ακτή του νησιού , είναι η πρωτεύουσα και μεγαλύτερη πόλη της Πάρου .
#goldHeads=2,10,4,10,6,4,8,6,4,0,12,13,10,15,13,17,15,0,
#predictedHeads=2,13,4,10,6,4,8,6,10,0,12,10,10,15,13,17,15,0,
(0,1),-0.631246 # DEPENDENCYPART_ARC
(0,2),-0.50988 # DEPENDENCYPART_ARC
(0,3),0.235528 # DEPENDENCYPART_ARC
(0,4),-0.647716 # DEPENDENCYPART_ARC
(0,5),-0.644685 # DEPENDENCYPART_ARC
(0,6),-1.00469 # DEPENDENCYPART_ARC
(0,7),-1.43652 # DEPENDENCYPART_ARC
(0,8),-1.52589 # DEPENDENCYPART_ARC
(0,9),-0.319231 # DEPENDENCYPART_ARC
(0,10),1.70808 # DEPENDENCYPART_ARC
(0,11),-1.87454 # DEPENDENCYPART_ARC
(0,12),-2.02051 # DEPENDENCYPART_ARC
(0,13),-0.675812 # DEPENDENCYPART_ARC
(0,14),-1.33875 # DEPENDENCYPART_ARC
(0,15),-1.83182 # DEPENDENCYPART_ARC
(0,16),-2.21863 # DEPENDENCYPART_ARC
(0,17),-2.26167 # DEPENDENCYPART_ARC
(0,18),3.53232 # DEPENDENCYPART_ARC
(1,2),-0.694957 # DEPENDENCYPART_ARC
(1,3),-0.143943 # DEPENDENCYPART_ARC
(1,4),-0.14488 # DEPENDENCYPART_ARC
(1,5),-1.84033 # DEPENDENCYPART_ARC
(1,6),-1.09319 # DEPENDENCYPART_ARC
(1,7),-1.24746 # DEPENDENCYPART_ARC
(1,8),-1.25624 # DEPENDENCYPART_ARC
(1,9),-0.386901 # DEPENDENCYPART_ARC
(1,10),-2.68934 # DEPENDENCYPART_ARC
(1,11),-1.80413 # DEPENDENCYPART_ARC
(1,12),-2.28814 # DEPENDENCYPART_ARC
(1,13),-0.888442 # DEPENDENCYPART_ARC
(1,14),-2.72178 # DEPENDENCYPART_ARC
(1,15),-2.06155 # DEPENDENCYPART_ARC
(1,16),-1.73546 # DEPENDENCYPART_ARC
(1,17),-2.05567 # DEPENDENCYPART_ARC
(1,18),-0.984033 # DEPENDENCYPART_ARC
(2,1),2.1431 # DEPENDENCYPART_ARC
(2,3),0.281918 # DEPENDENCYPART_ARC
(2,4),-0.17428 # DEPENDENCYPART_ARC
(2,5),-1.73005 # DEPENDENCYPART_ARC
(2,6),-1.04406 # DEPENDENCYPART_ARC
(2,7),-1.53623 # DEPENDENCYPART_ARC
(2,8),-1.22981 # DEPENDENCYPART_ARC
(2,9),-0.367512 # DEPENDENCYPART_ARC
(2,10),-2.02488 # DEPENDENCYPART_ARC
(2,11),-2.19821 # DEPENDENCYPART_ARC
(2,12),-2.82298 # DEPENDENCYPART_ARC
(2,13),-0.678239 # DEPENDENCYPART_ARC
(2,14),-2.96454 # DEPENDENCYPART_ARC
(2,15),-2.86831 # DEPENDENCYPART_ARC
(2,16),-1.77239 # DEPENDENCYPART_ARC
(2,17),-1.9895 # DEPENDENCYPART_ARC
(2,18),-1.21371 # DEPENDENCYPART_ARC
(3,1),-0.0789148 # DEPENDENCYPART_ARC
(3,2),0.109641 # DEPENDENCYPART_ARC
(3,4),0.267033 # DEPENDENCYPART_ARC
(3,5),0.308307 # DEPENDENCYPART_ARC
(3,6),-0.03335 # DEPENDENCYPART_ARC
(3,7),-0.63902 # DEPENDENCYPART_ARC
(3,8),-0.319472 # DEPENDENCYPART_ARC
(3,9),0.28831 # DEPENDENCYPART_ARC
(3,10),-0.387282 # DEPENDENCYPART_ARC
