# _root_ Ασφαλώς , η συνόψιση των μέχρι τώρα οδηγιών , η εναρμόνιση και ο εκσυγχρονισμός τους αποτελούν ένα πολύ ουσιαστικό βήμα .
#goldHeads=16,16,4,12,8,8,6,4,12,11,12,16,14,12,14,0,20,19,20,16,0,
#predictedHeads=16,16,4,0,8,4,6,6,12,11,12,4,14,12,14,14,20,19,20,16,0,
(0,1),-0.0810746 # DEPENDENCYPART_ARC
(0,2),-0.200987 # DEPENDENCYPART_ARC
(0,4),-0.186989 # DEPENDENCYPART_ARC
(0,6),-0.773837 # DEPENDENCYPART_ARC
(0,7),-0.854577 # DEPENDENCYPART_ARC
(0,8),-0.817956 # DEPENDENCYPART_ARC
(0,9),-0.150637 # DEPENDENCYPART_ARC
(0,11),-0.706999 # DEPENDENCYPART_ARC
(0,12),-0.628779 # DEPENDENCYPART_ARC
(0,14),-1.18544 # DEPENDENCYPART_ARC
(0,16),-0.459528 # DEPENDENCYPART_ARC
(0,18),-1.30541 # DEPENDENCYPART_ARC
(0,19),-1.76586 # DEPENDENCYPART_ARC
(0,20),-1.58823 # DEPENDENCYPART_ARC
(0,21),3.27514 # DEPENDENCYPART_ARC
(1,2),0.391538 # DEPENDENCYPART_ARC
(1,3),-0.564982 # DEPENDENCYPART_ARC
(1,4),-0.450368 # DEPENDENCYPART_ARC
(1,5),-0.712826 # DEPENDENCYPART_ARC
(1,6),-0.542988 # DEPENDENCYPART_ARC
(1,7),-0.858794 # DEPENDENCYPART_ARC
(1,8),-1.03917 # DEPENDENCYPART_ARC
(1,9),-0.476894 # DEPENDENCYPART_ARC
(1,10),-1.58933 # DEPENDENCYPART_ARC
(1,11),-1.79155 # DEPENDENCYPART_ARC
(1,12),-0.725249 # DEPENDENCYPART_ARC
(1,13),-1.54643 # DEPENDENCYPART_ARC
(1,14),-2.11342 # DEPENDENCYPART_ARC
(1,15),-1.00837 # DEPENDENCYPART_ARC
(1,16),-0.663874 # DEPENDENCYPART_ARC
(1,18),-1.6128 # DEPENDENCYPART_ARC
(1,19),-1.77902 # DEPENDENCYPART_ARC
(1,20),-2.71244 # DEPENDENCYPART_ARC
(1,21),-1.5222 # DEPENDENCYPART_ARC
(2,1),-0.135811 # DEPENDENCYPART_ARC
(2,4),-0.166816 # DEPENDENCYPART_ARC
(2,6),-0.398833 # DEPENDENCYPART_ARC
(2,7),-0.642193 # DEPENDENCYPART_ARC
(2,8),-0.700798 # DEPENDENCYPART_ARC
(2,9),-0.401384 # DEPENDENCYPART_ARC
(2,11),-1.07062 # DEPENDENCYPART_ARC
(2,12),-0.180113 # DEPENDENCYPART_ARC
(2,14),-1.23474 # DEPENDENCYPART_ARC
(2,16),-0.495527 # DEPENDENCYPART_ARC
(2,17),-1.53541 # DEPENDENCYPART_ARC
(2,18),-1.13574 # DEPENDENCYPART_ARC
(2,19),-1.55967 # DEPENDENCYPART_ARC
(2,20),-1.61433 # DEPENDENCYPART_ARC
(2,21),-1.09771 # DEPENDENCYPART_ARC
(3,1),-0.837017 # DEPENDENCYPART_ARC
(3,4),-0.285536 # DEPENDENCYPART_ARC
(3,7),-0.580504 # DEPENDENCYPART_ARC
(3,8),-1.11419 # DEPENDENCYPART_ARC
(3,11),-2.05628 # DEPENDENCYPART_ARC
(3,12),-0.457287 # DEPENDENCYPART_ARC
(3,14),-2.20801 # DEPENDENCYPART_ARC
(3,18),-1.38789 # DEPENDENCYPART_ARC
(3,20),-2.39335 # DEPENDENCYPART_ARC
(4,1),-0.779035 # DEPENDENCYPART_ARC
(4,2),-0.205148 # DEPENDENCYPART_ARC
(4,3),3.18881 # DEPENDENCYPART_ARC
(4,5),0.68016 # DEPENDENCYPART_ARC
(4,6),0.994313 # DEPENDENCYPART_ARC
(4,7),0.871274 # DEPENDENCYPART_ARC
(4,8),1.91104 # DEPENDENCYPART_ARC
(4,9),0.470644 # DEPENDENCYPART_ARC
(4,10),-0.725786 # DEPENDENCYPART_ARC
(4,11),-0.368547 # DEPENDENCYPART_ARC
(4,12),1.08403 # DEPENDENCYPART_ARC
(4,13),-1.13944 # DEPENDENCYPART_ARC
(4,14),-1.90134 # DEPENDENCYPART_ARC
(4,15),-0.399103 # DEPENDENCYPART_ARC
(4,16),0.0471658 # DEPENDENCYPART_ARC
(4,17),-1.50107 # DEPENDENCYPART_ARC
(4,18),-0.464723 # DEPENDENCYPART_ARC
(4,19),-2.08213 # DEPENDENCYPART_ARC
(4,20),-2.48695 # DEPENDENCYPART_ARC
(4,21),0.105414 # DEPENDENCYPART_ARC
(5,1),-1.19393 # DEPENDENCYPART_ARC
(5,4),-1.27993 # DEPENDENCYPART_ARC
(5,7),-0.41696 # DEPENDENCYPART_ARC
(5,8),-0.774362 # DEPENDENCYPART_ARC
(5,11),-1.80562 # DEPENDENCYPART_ARC
(5,12),-0.455673 # DEPENDENCYPART_ARC
(5,14),-1.87108 # DEPENDENCYPART_ARC
(5,18),-1.73124 # DEPENDENCYPART_ARC
(5,20),-2.17257 # DEPENDENCYPART_ARC
(6,1),-0.529141 # DEPENDENCYPART_ARC
(6,2),-0.163716 # DEPENDENCYPART_ARC
(6,3),-0.294637 # DEPENDENCYPART_ARC
(6,4),-0.819283 # DEPENDENCYPART_ARC
(6,5),0.585921 # DEPENDENCYPART_ARC
(6,7),1.71786 # DEPENDENCYPART_ARC
(6,8),2.42562 # DEPENDENCYPART_ARC
(6,9),0.660973 # DEPENDENCYPART_ARC
(6,10),-0.820357 # DEPENDENCYPART_ARC
(6,11),-0.201924 # DEPENDENCYPART_ARC
(6,12),0.577525 # DEPENDENCYPART_ARC
(6,13),-1.21597 # DEPENDENCYPART_ARC
(6,14),-1.71484 # DEPENDENCYPART_ARC
(6,15),-1.15321 # DEPENDENCYPART_ARC
(6,16),-0.893215 # DEPENDENCYPART_ARC
(6,17),-1.73452 # DEPENDENCYPART_ARC
(6,18),-0.930504 # DEPENDENCYPART_ARC
(6,19),-1.42983 # DEPENDENCYPART_ARC
(6,20),-3.46321 # DEPENDENCYPART_ARC
(6,21),-0.769278 # DEPENDENCYPART_ARC
(7,1),-0.943316 # DEPENDENCYPART_ARC
(7,2),-1.02674 # DEPENDENCYPART_ARC
(7,3),-1.03113 # DEPENDENCYPART_ARC
(7,4),-1.10007 # DEPENDENCYPART_ARC
(7,5),0.454582 # DEPENDENCYPART_ARC
(7,6),0.257574 # DEPENDENCYPART_ARC
(7,8),0.733076 # DEPENDENCYPART_ARC
(7,9),-0.4247 # DEPENDENCYPART_ARC
(7,10),-1.30837 # DEPENDENCYPART_ARC
(7,11),-1.18307 # DEPENDENCYPART_ARC
(7,12),-0.581726 # DEPENDENCYPART_ARC
(7,13),-1.67111 # DEPENDENCYPART_ARC
(7,14),-2.00222 # DEPENDENCYPART_ARC
(7,15),-1.23708 # DEPENDENCYPART_ARC
(7,16),-1.26399 # DEPENDENCYPART_ARC
(7,18),-1.84699 # DEPENDENCYPART_ARC
(7,19),-2.12533 # DEPENDENCYPART_ARC
(7,20),-2.78079 # DEPENDENCYPART_ARC
(7,21),-1.63351 # DEPENDENCYPART_ARC
(8,1),-1.08076 # DEPENDENCYPART_ARC
(8,2),-0.668637 # DEPENDENCYPART_ARC
(8,3),-1.08208 # DEPENDENCYPART_ARC
(8,4),-2.27981 # DEPENDENCYPART_ARC
(8,5),0.957099 # DEPENDENCYPART_ARC
(8,6),0.527454 # DEPENDENCYPART_ARC
(8,7),1.22715 # DEPENDENCYPART_ARC
(8,9),0.105804 # DEPENDENCYPART_ARC
(8,10),-0.853923 # DEPENDENCYPART_ARC
(8,11),-1.10095 # DEPENDENCYPART_ARC
(8,12),-0.0237695 # DEPENDENCYPART_ARC
(8,13),-1.59033 # DEPENDENCYPART_ARC
(8,14),-2.96002 # DEPENDENCYPART_ARC
(8,15),-1.16085 # DEPENDENCYPART_ARC
(8,16),-0.27929 # DEPENDENCYPART_ARC
(8,17),-2.39409 # DEPENDENCYPART_ARC
