# _root_ Το ζητούμενο δεν είναι μόνον ποιος θα επιτύχει τα περισσότερα , η Επιτροπή ή το Συμβούλιο η εμείς ως Κοινοβούλιο , όχι !
#goldHeads=2,4,4,21,4,11,8,4,10,8,8,13,17,17,16,17,11,17,18,19,0,21,21,
#predictedHeads=2,4,4,0,4,8,8,4,10,8,14,13,14,8,16,14,20,14,18,19,22,19,0,
(0,2),-0.760609 # DEPENDENCYPART_ARC
(0,4),0.749933 # DEPENDENCYPART_ARC
(0,5),-1.26759 # DEPENDENCYPART_ARC
(0,8),-0.764674 # DEPENDENCYPART_ARC
(0,10),-1.46177 # DEPENDENCYPART_ARC
(0,11),-0.32281 # DEPENDENCYPART_ARC
(0,13),-2.07679 # DEPENDENCYPART_ARC
(0,14),-1.97336 # DEPENDENCYPART_ARC
(0,16),-2.53437 # DEPENDENCYPART_ARC
(0,19),-1.62821 # DEPENDENCYPART_ARC
(0,20),-2.21556 # DEPENDENCYPART_ARC
(0,21),-0.765811 # DEPENDENCYPART_ARC
(0,23),1.55991 # DEPENDENCYPART_ARC
(1,2),0.270372 # DEPENDENCYPART_ARC
(1,5),-0.925907 # DEPENDENCYPART_ARC
(1,13),-2.32735 # DEPENDENCYPART_ARC
(1,14),-1.0523 # DEPENDENCYPART_ARC
(1,16),-2.02756 # DEPENDENCYPART_ARC
(1,19),-1.32586 # DEPENDENCYPART_ARC
(1,20),-2.14886 # DEPENDENCYPART_ARC
(2,1),3.53763 # DEPENDENCYPART_ARC
(2,3),0.110793 # DEPENDENCYPART_ARC
(2,4),-0.196122 # DEPENDENCYPART_ARC
(2,5),-0.460056 # DEPENDENCYPART_ARC
(2,6),-0.33232 # DEPENDENCYPART_ARC
(2,8),-1.24042 # DEPENDENCYPART_ARC
(2,9),-1.99425 # DEPENDENCYPART_ARC
(2,10),-1.16279 # DEPENDENCYPART_ARC
(2,11),-0.589782 # DEPENDENCYPART_ARC
(2,12),-1.8805 # DEPENDENCYPART_ARC
(2,13),-1.521 # DEPENDENCYPART_ARC
(2,14),-0.406881 # DEPENDENCYPART_ARC
(2,15),-2.19918 # DEPENDENCYPART_ARC
(2,16),-2.48796 # DEPENDENCYPART_ARC
(2,17),-2.00966 # DEPENDENCYPART_ARC
(2,18),-3.68415 # DEPENDENCYPART_ARC
(2,19),-1.1105 # DEPENDENCYPART_ARC
