# _root_ Ιδιαίτερα , όσον αφορά μια μελλοντική συνεργασία βασισμένη στις δημοκρατικές αρχές των ανθρωπίνων δικαιωμάτων , των θεμελιωδών ελευθεριών και του κράτους δικαίου .
#goldHeads=4,4,4,0,7,7,4,7,8,11,9,14,14,19,19,18,18,19,11,21,19,21,0,
#predictedHeads=4,4,4,0,7,7,4,7,8,11,9,14,14,11,19,18,18,19,4,22,22,19,0,
(0,1),-0.114532 # DEPENDENCYPART_ARC
(0,2),-0.259144 # DEPENDENCYPART_ARC
(0,3),-0.608744 # DEPENDENCYPART_ARC
(0,4),-0.187575 # DEPENDENCYPART_ARC
(0,6),-1.13637 # DEPENDENCYPART_ARC
(0,7),-1.50414 # DEPENDENCYPART_ARC
(0,8),-1.19489 # DEPENDENCYPART_ARC
(0,9),-2.03408 # DEPENDENCYPART_ARC
(0,10),-1.04745 # DEPENDENCYPART_ARC
(0,11),-1.48178 # DEPENDENCYPART_ARC
(0,13),-1.84379 # DEPENDENCYPART_ARC
(0,14),-1.93906 # DEPENDENCYPART_ARC
(0,15),-0.686409 # DEPENDENCYPART_ARC
(0,17),-1.98008 # DEPENDENCYPART_ARC
(0,18),-1.70679 # DEPENDENCYPART_ARC
(0,19),-0.793689 # DEPENDENCYPART_ARC
(0,21),-2.16259 # DEPENDENCYPART_ARC
(0,22),-2.22051 # DEPENDENCYPART_ARC
(0,23),3.65994 # DEPENDENCYPART_ARC
(1,2),0.37514 # DEPENDENCYPART_ARC
(1,3),-0.195103 # DEPENDENCYPART_ARC
(1,4),-0.283 # DEPENDENCYPART_ARC
(1,6),-1.69704 # DEPENDENCYPART_ARC
(1,7),-1.9277 # DEPENDENCYPART_ARC
(1,8),-1.13159 # DEPENDENCYPART_ARC
(1,9),-0.988286 # DEPENDENCYPART_ARC
(1,10),-2.03875 # DEPENDENCYPART_ARC
(1,11),-2.35717 # DEPENDENCYPART_ARC
(1,12),-1.73893 # DEPENDENCYPART_ARC
(1,13),-1.30735 # DEPENDENCYPART_ARC
(1,14),-1.8268 # DEPENDENCYPART_ARC
(1,15),-0.946408 # DEPENDENCYPART_ARC
(1,16),-1.95083 # DEPENDENCYPART_ARC
(1,17),-2.49962 # DEPENDENCYPART_ARC
(1,18),-2.48855 # DEPENDENCYPART_ARC
(1,19),-1.47471 # DEPENDENCYPART_ARC
(1,20),-1.86744 # DEPENDENCYPART_ARC
(1,21),-1.6755 # DEPENDENCYPART_ARC
(1,22),-2.28655 # DEPENDENCYPART_ARC
(1,23),-1.7107 # DEPENDENCYPART_ARC
(2,1),0.370458 # DEPENDENCYPART_ARC
(2,3),-0.213948 # DEPENDENCYPART_ARC
(2,4),-0.29274 # DEPENDENCYPART_ARC
(2,5),-0.971346 # DEPENDENCYPART_ARC
(2,6),-0.947314 # DEPENDENCYPART_ARC
(2,7),-1.13982 # DEPENDENCYPART_ARC
(2,8),-1.13019 # DEPENDENCYPART_ARC
(2,9),-1.09601 # DEPENDENCYPART_ARC
(2,10),-1.29348 # DEPENDENCYPART_ARC
(2,11),-1.73476 # DEPENDENCYPART_ARC
(2,13),-1.39673 # DEPENDENCYPART_ARC
(2,14),-1.61181 # DEPENDENCYPART_ARC
(2,15),-0.860862 # DEPENDENCYPART_ARC
(2,17),-1.75727 # DEPENDENCYPART_ARC
(2,18),-1.86623 # DEPENDENCYPART_ARC
(2,19),-1.03462 # DEPENDENCYPART_ARC
(2,21),-1.53915 # DEPENDENCYPART_ARC
(2,22),-1.84814 # DEPENDENCYPART_ARC
(2,23),-1.0699 # DEPENDENCYPART_ARC
(3,1),-0.10295 # DEPENDENCYPART_ARC
(3,2),0.21761 # DEPENDENCYPART_ARC
(3,4),0.36139 # DEPENDENCYPART_ARC
(3,6),-1.51526 # DEPENDENCYPART_ARC
(3,7),-1.4334 # DEPENDENCYPART_ARC
(3,8),-1.09799 # DEPENDENCYPART_ARC
(3,9),-0.972189 # DEPENDENCYPART_ARC
(3,10),-2.11288 # DEPENDENCYPART_ARC
(3,11),-2.45143 # DEPENDENCYPART_ARC
(3,12),-1.78325 # DEPENDENCYPART_ARC
(3,13),-1.32087 # DEPENDENCYPART_ARC
(3,14),-1.90052 # DEPENDENCYPART_ARC
(3,15),-0.7017 # DEPENDENCYPART_ARC
(3,16),-2.13166 # DEPENDENCYPART_ARC
(3,17),-2.31989 # DEPENDENCYPART_ARC
(3,18),-2.44988 # DEPENDENCYPART_ARC
(3,19),-1.79046 # DEPENDENCYPART_ARC
(3,20),-1.92533 # DEPENDENCYPART_ARC
(3,21),-1.71523 # DEPENDENCYPART_ARC
(3,22),-2.38844 # DEPENDENCYPART_ARC
(3,23),-1.36166 # DEPENDENCYPART_ARC
(4,1),0.912928 # DEPENDENCYPART_ARC
(4,2),1.55997 # DEPENDENCYPART_ARC
(4,3),2.25132 # DEPENDENCYPART_ARC
(4,6),-0.659271 # DEPENDENCYPART_ARC
(4,7),2.22319 # DEPENDENCYPART_ARC
(4,8),0.105845 # DEPENDENCYPART_ARC
(4,9),0.00770185 # DEPENDENCYPART_ARC
(4,10),-2.77607 # DEPENDENCYPART_ARC
(4,11),-0.282354 # DEPENDENCYPART_ARC
(4,12),-3.40068 # DEPENDENCYPART_ARC
(4,13),-3.81237 # DEPENDENCYPART_ARC
(4,14),-2.5306 # DEPENDENCYPART_ARC
(4,15),0.189144 # DEPENDENCYPART_ARC
(4,16),-3.17341 # DEPENDENCYPART_ARC
(4,17),-3.27157 # DEPENDENCYPART_ARC
(4,18),-3.03041 # DEPENDENCYPART_ARC
(4,19),0.532242 # DEPENDENCYPART_ARC
(4,20),-3.82068 # DEPENDENCYPART_ARC
(4,21),-4.73413 # DEPENDENCYPART_ARC
(4,22),-3.10017 # DEPENDENCYPART_ARC
(4,23),-0.0923697 # DEPENDENCYPART_ARC
(5,1),-0.86018 # DEPENDENCYPART_ARC
(5,3),-0.397766 # DEPENDENCYPART_ARC
(6,1),-1.27338 # DEPENDENCYPART_ARC
(6,2),-1.08672 # DEPENDENCYPART_ARC
(6,3),-0.761528 # DEPENDENCYPART_ARC
(6,4),-3.27329 # DEPENDENCYPART_ARC
(6,5),0.646452 # DEPENDENCYPART_ARC
(6,7),0.650277 # DEPENDENCYPART_ARC
(6,8),-0.75717 # DEPENDENCYPART_ARC
(6,9),-0.408281 # DEPENDENCYPART_ARC
(6,10),-1.55193 # DEPENDENCYPART_ARC
(6,11),-1.4329 # DEPENDENCYPART_ARC
(6,12),-1.29191 # DEPENDENCYPART_ARC
(6,13),-1.04894 # DEPENDENCYPART_ARC
(6,14),-1.10916 # DEPENDENCYPART_ARC
(6,15),-0.683492 # DEPENDENCYPART_ARC
(6,16),-0.936096 # DEPENDENCYPART_ARC
(6,17),-1.33512 # DEPENDENCYPART_ARC
(6,18),-1.29593 # DEPENDENCYPART_ARC
(6,19),-0.701761 # DEPENDENCYPART_ARC
(6,20),-2.11384 # DEPENDENCYPART_ARC
(6,21),-1.44229 # DEPENDENCYPART_ARC
(6,22),-2.1412 # DEPENDENCYPART_ARC
(6,23),-0.929877 # DEPENDENCYPART_ARC
(7,1),-0.806026 # DEPENDENCYPART_ARC
(7,2),-0.183556 # DEPENDENCYPART_ARC
(7,3),-0.4037 # DEPENDENCYPART_ARC
(7,4),-2.2391 # DEPENDENCYPART_ARC
(7,5),3.47029 # DEPENDENCYPART_ARC
(7,6),3.77566 # DEPENDENCYPART_ARC
(7,8),1.13196 # DEPENDENCYPART_ARC
(7,9),-0.475766 # DEPENDENCYPART_ARC
(7,10),-1.27928 # DEPENDENCYPART_ARC
(7,11),-1.50406 # DEPENDENCYPART_ARC
(7,12),-1.70736 # DEPENDENCYPART_ARC
(7,13),-1.86852 # DEPENDENCYPART_ARC
(7,14),-1.15811 # DEPENDENCYPART_ARC
(7,15),-0.82361 # DEPENDENCYPART_ARC
(7,16),-1.66116 # DEPENDENCYPART_ARC
(7,17),-1.70067 # DEPENDENCYPART_ARC
(7,18),-2.00942 # DEPENDENCYPART_ARC
(7,19),-0.853649 # DEPENDENCYPART_ARC
(7,20),-2.33426 # DEPENDENCYPART_ARC
(7,21),-2.15201 # DEPENDENCYPART_ARC
(7,22),-2.45431 # DEPENDENCYPART_ARC
(7,23),-0.834017 # DEPENDENCYPART_ARC
(8,1),-0.215374 # DEPENDENCYPART_ARC
(8,2),0.226038 # DEPENDENCYPART_ARC
(8,3),-0.00838299 # DEPENDENCYPART_ARC
(8,4),-2.06945 # DEPENDENCYPART_ARC
(8,5),-0.186915 # DEPENDENCYPART_ARC
(8,6),0.3137 # DEPENDENCYPART_ARC
(8,7),-0.156866 # DEPENDENCYPART_ARC
(8,9),2.45739 # DEPENDENCYPART_ARC
(8,10),-1.16783 # DEPENDENCYPART_ARC
(8,11),-2.40941 # DEPENDENCYPART_ARC
(8,12),-2.39859 # DEPENDENCYPART_ARC
(8,13),-2.80817 # DEPENDENCYPART_ARC
(8,14),-4.97316 # DEPENDENCYPART_ARC
(8,15),0.268383 # DEPENDENCYPART_ARC
(8,16),-2.31512 # DEPENDENCYPART_ARC
(8,17),-5.38607 # DEPENDENCYPART_ARC
(8,18),-5.42053 # DEPENDENCYPART_ARC
(8,19),0.327122 # DEPENDENCYPART_ARC
(8,20),-3.279 # DEPENDENCYPART_ARC
(8,21),-3.36165 # DEPENDENCYPART_ARC
(8,22),-6.00893 # DEPENDENCYPART_ARC
(8,23),0.192827 # DEPENDENCYPART_ARC
(9,1),-1.1083 # DEPENDENCYPART_ARC
(9,2),-0.760795 # DEPENDENCYPART_ARC
